disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Private vehicles,col2_Buses,col3_Municipal fleet (government owned vehicles excluding buses),col4_Freight vehicles,col5_Taxis/Transport Network Companies/Carshares,col6_Comment
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,250614,,1310.0,,2127,Private vehicles number estimates are updated to 2023. Municipal and TNC counts have not been updated from previously reported values.
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,68444,,311.0,,,Private vehicles number estimates are updated to 2023. Municipal counts have not been updated from previously reported values.
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,2473,,,,,Private vehicles values scaled by population from data for County of Los Angeles.
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),1629580,35965,,686677,,"Except for RTA provided figures, these emissions are scaled up from 2020 EPA NEI data using Google VMT change from 2020 to 2023. Private vehicles are Light Commercial Truck, Motor Home, Motorcycle, Passenger Car, and Passenger Truck. Freight vehicles are Combination and Single Unit Long-haul and Short-haul Trucks and Refuse Truck. Buses are a combination of scaled NEI emissions for School Bus and Other Buses and emissions calculated from activity data provided by RTA (RTA Bus Diesel and RTA Paratransit in the GHG Inventory). "
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,,1124.0,2797,,1698.0,"The bus total fleet number is a sum of figures from RTA and what the City's ground transportation bureau (GTB) issues medallions to. Taxis are also what GTB issues medallions to, but does not include transport network companies."
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,,0.0,12,,,
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,,15.0,1.0,,,
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,,0.0,0.0,,,
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,,0.0,0.0,,,
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),139641,37434,659,211386,,"Numbers are only available for 2023. Buses includes both public transport and other buses (long distances, busses for hire ect), Muncipal fleet cannot be added up with the others and must be understood as contained in the other numbers. Freight consists of vans and heavy duty vehicles. Taxis are included in private vehicles, however all taxies with a licence in Oslo are zero emission. "
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,250933,4144,1333,52073,,Fleet size is 2025 numbers. Freight vehicles is cargo vans + trucks
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,107791,967,1131,9919,,
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,15056,,,,,
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,18985,,,,,
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),0,364,9681,0,0,"We only have on-road transportation emissions for gasoline and diesel vehicles, not by vehicle type. Data is collected and reported separately for buses and municipal fleets. Municipal fleets only includes the City of Portland, not other public agencies or schools. Taxi/TNC data reported by Portland Bureau of Transportation. "
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,505742,1027,2897,98512,15639.0,Based on data from Oregon DMV for registrations in Multnomah County (2023).\n
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,23270,10,195,0,214,NA
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,20348,0,266,0,1968.0,NA
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,9113,0,127,0,53.0,NA
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0,0,0,0,0.0,NA
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),1460237,45416,0.0,254574,0.0,TNC emissions presumed included in modeled data for private vehicles.
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,463300,0.0,3962.0,0.0,661.0,Total private vehicles updated to 2023 numbers from census data: https://www.theurbanist.org/2025/09/07/while-seattle-population-spikes-car-population-stalls-out/\nThe City of Seattle does not currently track freight vehicles. Buses are operated at the County level. Taxi figures include \'for hire\' vehicles.
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,12894.0,0.0,268.0,,0.0,Vehicle type breakouts for TNCs and taxis are not currently being tracked at the city level.
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,0.0,0.0,374.0,0.0,0.0,Vehicle type breakouts for TNCs and taxis are not currently being tracked at the city level.
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,3846.0,0.0,145.0,0.0,0.0,Vehicle type breakouts for TNCs and taxis are not currently being tracked at the city level.
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0.0,0.0,0.0,0.0,0.0,Vehicle type breakouts for TNCs and taxis are not currently being tracked at the city level.
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),696551,112591,8586,0,0,"Bus data is for TransLink, the regional transit service, and at a regional scale. Last available fleet data is from 2021. Annual emissions estimate includes GHGs from Revenue and non-Revenue Fleet (including Bus, SkyTrain, Canada Line, Community and Contracted Shuttles, HandyDART, SeaBus and West Coast Express. Non-revenue includes pool cars, maintenance and security vehicles, and transit police vehicles). See: https://www.translink.ca/plans-and-projects/data-and-information/accountability-centre/environment#total-revenue-and-non-revenue-fleet-ghg-emissions \n\nMunicipal fleet information from City of Vancouver Corporate GHG Inventory. Includes leased vehicles.\n\nPrivate vehicles count from ICBC stats website: https://public.tableau.com/app/profile/icbc/viz/VehiclePopulation-HybridVehicles/2019-2023HybridVehicles \n\nPrivate emission is an approximation. It is taken from the Community GHG Inventory as the emissions from all gasoline sales in Vancouver. \n\nFreight vehicle and taxi/carshare data not available."
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,325845,1505,2055,0.0,0,See 1st comment
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,22232,266,224,0.0,0.0,See 1st comment
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,24541,492,165,0.0,0,See 1st comment
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,0.0,0.0,6,0.0,0.0,See 1st comment
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,53,0.0,1.0,0.0,0.0,See 1st comment
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),201877,11861,1300,74611,0,"Private vehicles including motorcycles. \nFreight vehicles: vans and trucks. \nMunicipal fleet: data from 2024\nFor taxis etc no data available. \nSource for private vehicles, buses and freight: CO2 regnskab 2023. \n"
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,137900,353,1093,0,1942,"Private vehicles: source Københavns Kommunes Statistikbank (2024)\nBusses: ØKF (to end of 2025)\nMunicipal owned fleet: minibusses, trucks, passenger cars, vans (small and large). \nFreight vehicles: no data\nTaxis: covers only shared cars (station based and free floating) (2024)\n"
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,10630,295,603,0,1272,"Private vehicles: Data from Danmarks Statistik. \nBusses: ØKF (to end of 2025)\nMunicipal owned fleet: includes busses, minibuses, sweepers, trucks, passenger cars, vans (small and large). \nFreight vehicles: no data\nTaxis: covers only shared cars (station based and free floating) (2024)\n"
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,0,0,0,0,0,Data unknown therefore reported as zero
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,5441,0,0,0,0,Data unknown therefore reported as zero for all categories besides private vehicles
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0,0,0,0,0,Data unknown therefore reported as zero
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),1251040,0,86112,111361,0,"The District has data by fuel type, not ownership, for citywide data. The figures provided here reflect municipal government fleets, on- and off-road, and including both EV and diesel buses. Data reflects 2024 vehicle registrations."
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,243428,549,15454,4279,1771,DC is using DMV Registration data from 2025; which differs from previous years. There is overlap in the freight category with non-government-owned buses. The bus category only includes school buses. 
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,9423,0,244,112,15,
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,20888,0,801,72,474,
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,0,0.0,0,0,0,"The District currently does not track this separately, so all vehicles are included in hybrid line."
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0.0,0.0,0.0,0,0.0,
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",1,Annual emissions from transport mode (metric tonnes CO2e),305903,11294,3808,297785,0,Municipal data taken from City of Melbourne's transport emissions modelling. Modelling uses VKT statistics and assumptions modal % based on State registration data. Actual numbers of vehicles is not available. Taxis included in Private Vehicles.
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",2,Total fleet size per mode,0,0,61,0,0,Fleet numbers are for City of Melbourne's own corporate fleet. Does not include State or Federal vehicle fleet.
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",3,Electric fleet size per mode,0,0,31,0,0,Fleet numbers are for City of Melbourne's own corporate fleet. Does not include State or Federal vehicle fleet.
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",4,Hybrid electric vehicle fleet size per mode,0.0,0,3,0,0,Fleet numbers are for City of Melbourne's own corporate fleet. Does not include State or Federal vehicle fleet.
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",5,Plug in hybrid electric vehicle fleet size per mode,0.0,0,13,0,0,Fleet numbers are for City of Melbourne's own corporate fleet. Does not include State or Federal vehicle fleet.
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q4.6,"Report the total emissions, fleet size and number of vehicle types for the following modes of transport.",6,Hydrogen fleet size per mode,0.0,0,0,0,0,Fleet numbers are for City of Melbourne's own corporate fleet. Does not include State or Federal vehicle fleet.
