disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total annual jurisdiction-wide thermal consumption in MWh^,col2_Data source used to provide percentage breakdown of consumption by energy type,col3_Percentage of total consumption from coal (%)^,col4_Percentage of total consumption from gas (%)^,col5_Percentage of total consumption from oil (%)^,col6_Percentage of total consumption from nuclear (%)^,col7_Percentage of total consumption from non-renewable electricity (%)^,col8_Percentage of total consumption from renewable electricity (%)^,col9_Percentage of total consumption from bioenergy (inc. biomass and biofuels) (%)^,col10_Percentage of total consumption from solar thermal (%)^,col11_Percentage of total consumption from geothermal (%)^,col12_Percentage of total consumption from waste to energy (solid waste excluding biomass) (%)^,col13_Percentage of total consumption from waste water heat recovery (WWHR) (%)^,col14_Percentage of total consumption from other renewable sources (%)^,col15_Percentage of total consumption from other non-renewable sources (%)^,col16_Year data applies to,col17_Comment
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,1056618.53,Jurisdiction-level data,10.8,71.53,9.12,0,91.784,7.684,0.25,2.69,0.04,0,0,4.7,0.32,2023,It is noted that the thermal consumption provided above is only for heating. Coolinh is mostly provided by electricity and thus the energy consumption for cooling is incorporated in the aforementioned electricity consumption
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,11029681,Jurisdiction-level data,13.9,62.22,1.211,,,11.2,,,,,,,11.51,2023,
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,0.0,Regional/State-level data,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,2024,Sem dados no ano de 2024 sobre energia térmica no Município de Curitiba
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,1323022,Jurisdiction-level data,25.6,43.2,7.3,0,0,0,16.7,0.0,0.0,4.9,0,2.2,0,2022,"Source: ifeu 2022Heating from electricity is not included, because no data is available"
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,0,National-level data,0,0,0,0,0,0,0,0,0,0,0,0,0,,No se cuenta con la información requerida.
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,7836785,Jurisdiction-level data,0,87.4,2.5,0.0,2.9,2.3,0,0,0,4.8,0,3.7,0.1,2023,"Data are referred to heating only, cooling is not included. Other renewable energy sources include aerothermal and geothermal (heat pumps using groundwater).Regarding renewable electricity, the energy mix was considered."
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,14090633,Jurisdiction-level data,2.3,47,0,0,0,0,10.7,0,0.4,39.4,0.0,0.0,0,2022,URBAN HEAT NETWORK ONLY In 2023 the share of renewable and recovered energy in the urban heat energy mix is majority and increasing compared to 2022. 
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,752400,Jurisdiction-level data,0,39,0,0.0,0.0,0.0,7,0.0,0.0,48,0,0,6,2023,\'Energy consumption from: https://klimaatmonitor.databank.nl data code\n\'\'warmlev_gn_tot_tj\'\' and code\n\'\'warmlev_mkn_tot_tj\'\' Breakdown provided for thermal consumption via city heat/cold distribution networks. Link: https://www.eneco.nl/-/media/eneco-nl/files/warmte-etiket/warmte_etiket_eneco_2023_overzicht.pdf Due to a fire in the waste processing plant the percentage from waste to energy is considerably lower in 2023: https://www.eneco.nl/-/media/eneco-com/files/eneco-annual-report-2023.pdf?rev=5f1d046154e14c3083fcfcf253955d07&sc_lang=en\'\n
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,16287422.26,Jurisdiction-level data,49.78,45.48,0.37,0,0,0,3.79,0,0,0.42,0,0.17,0,2022,Air and ground based heat pumps were included in other renevable sources.\nThere surely is some direct electricity heating (or in fact most electricity used indors heats buildings!) but city has no data on that.
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,11722407,Jurisdiction-level data,0,82,12,0,0,0,0,0,0,0,0,0,6,2023,"5% of thermal energy from steam, largely produced using natural gas and fuel oil by Vicinity"
2025 Disclosure Cycle,779465,CDP,35449,City of Zürich,City,Europe,Switzerland,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,3555038,Jurisdiction-level data,0.0,51.5,18.5,0,0,0,5.8,0.3,4.2,0,0,13.3,6.4,2023,"Data from energy statistics, which contains detailed end energy consumption data by energy carrier. District heat reported under \'other renewable sources\' and \'other non-renewable sources\'."
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,24500,National-level data,10,70,5,0,0,0,5,3,6,1,0.2,0.8,0,2022,"Thermal (heating and cooling) energy consumption in Ankara Metropolitan Municipality (AMM) reflects both the legacy of fossil-fuel dependency and the ongoing transition toward cleaner and more diversified sources. The largest share of heating demand is still met by natural gas, which supplies approximately 70% of total thermal consumption, in line with national and municipal data from the Ministry of Energy and Natural Resources (MENR), Turkish Statistical Institute (TURKSTAT), and ABB's Sustainable Energy and Climate Action Plan (SECAP). Coal remains relevant in certain older district heating networks and in limited industrial facilities, accounting for about 10% of the thermal energy supply, while oil products (primarily heating oil) represent around 5%. These fossil sources together underline the city's continuing reliance on imported fuels and highlight the importance of accelerating the transition to domestic renewable solutions.\n\nRenewable and alternative energy sources contribute around 15% of the thermal supply mix. Biomass and biofuels (5%) are utilized in small-scale heating applications, particularly in peri-urban and rural areas within municipal boundaries. Geothermal energy (6%) is increasingly significant due to regional resources, with district heating projects supplying residential and public facilities. Solar thermal energy (3%) is supported by government and municipal incentives, with rooftop and building-integrated solar collectors becoming more widespread. Waste-to-energy facilities contribute approximately 1% of thermal supply, while wastewater heat recovery (WWHR), though still in the pilot stage, accounts for a small but promising share of about 0.2%. In addition, a further 0.8% is attributed to other renewable sources, such as innovative pilot technologies currently under development. Nuclear and electricity-based heating are excluded from this section, as they are reported separately in the electricity consumption category.\n\nThis breakdown demonstrates that Ankara is gradually diversifying its heating and cooling mix, with renewables and innovative recovery solutions being prioritized under Local Climate Change Action Plan and SECAP commitments. AMM is actively implementing policies to increase the share of clean energy by promoting geothermal district heating, expanding solar collector deployment, and exploring further wastewater heat recovery potential."
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,5098284,Regional/State-level data,8.78,72.39,0,8.1,0,0,7.6,0.96,0,7.6,0,0,0,2023,-
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,7703377,Jurisdiction-level data,0,52,0,0,38,10,0,0,0,0,0,0,0,2022,"Reported thermal consumption is from natural gas from stationary sources from the commercial and institutional buildings and facilities subsector from 2022 GHG inventory and estimated portion used from electricity used from stationary sources, as follows. Approximately 28% of electricity used in the residential sector is for cooling in Arizona and 14% is used for cooling in commercial buildings (U.S. Energy Information Administration [EIA]). 2020. Residential Energy Consumption Survey (RECS) Dashboard. https://experience.arcgis.com/experience/cbf6875974554a74823232f84f563253 and https://www.eia.gov/tools/faqs/faq.php?id1174&t1 ). "
2025 Disclosure Cycle,779465,CDP,35883,"City of San José, CA",City,North America,United States of America,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,5344130,Jurisdiction-level data,0.0,60,0.0,0.0,16.1,20.5,0.0,1.0,0.0,0.0,0.0,0.0,0.1,2023,"The value given for total annual jurisdiction-wide thermal consumption in MWh is the total jurisdiction-wide consumption of natural gas in 2023. No other data is available on energy used for heating and cooling, and natural gas is the most commonly used energy source for heating and cooling. The data for percentage breakdown of consumption by energy type is data from the 2023 American Community Survey Table B25040 (1 year estimates) on what kind of fuel households use for heating. The percentage of consumption from renewable vs non-renewable electricity is estimated based on ACS data on what percentage of households use electricity for heating, and 2023 data on the amount of renewable electricity provided to San Jose customers by local utilities. We do not have data on the mix of energy types used for cooling."
2025 Disclosure Cycle,779465,CDP,35898,Greater Manchester Combined Authority,City,UKWW,United Kingdom,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,5695365.9,National-level data,0.82,71.4,10.36,0.0,9.69,0,6.28,0.0,1.46,0.0,0.0,0,0,2023,Data is provided from national data on the detailed consumption of fuel type and end use heating and cooling This data is not available at jurisdiction level and also does not provide a breakdown by renewable energy. Therefore no percentage is available by renewable energy
2025 Disclosure Cycle,779465,CDP,36152,City of Tallinn,City,Europe,Estonia,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,1776234,Utility-level data,,30,,,2,,49,,,19,,,,2024,
2025 Disclosure Cycle,779465,CDP,36219,City of Sapporo,City,Japan,Japan,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,14561192,Utility-level data,0.003,46,53,0,0,0,0,0,0,1,0,0,0,2022,特になし
2025 Disclosure Cycle,779465,CDP,36285,City of Florence,City,Europe,Italy,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,1923994.4,Jurisdiction-level data,0.0,92.9,3.9,19,0.0,0.0,0.9,0.01,0.0,0.0,0.0,0.0,2.3,2022,the % of the electricity consumption for heating is not known (it can be only defined on literature as average at national level)
2025 Disclosure Cycle,779465,CDP,43910,"City of Columbus, OH",City,North America,United States of America,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,3769473,Jurisdiction-level data,7.39,72.13,0.17,16.27,0.33,3.44,0.27,0.0,0.0,0,0.0,0.0,0.33,2024,"Please see the \'4.1.2 PJMSystemMix_2023\' tab for methodology for this section, seen in upload for Question 4.1."
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,5220000,Regional/State-level data,,100,,,,,,,,,,,,2022,
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,3098969,Jurisdiction-level data,15.4,65,5.9,0,0,0,12.7,0,0,0,0,0,1.1,2024,"The energy use for heating is given as final energy by energy source, so geothermal, aerothermal and solar thermal energy are not included. Electricity for heating and cooling is already included in electricity consumption."
2025 Disclosure Cycle,779465,CDP,43926,City of Mannheim,City,Europe,Germany,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,3953983,Jurisdiction-level data,33,45,8,0,0.8,0,1,0.2,0,7,0,5,0,2022,2022 data
2025 Disclosure Cycle,779465,CDP,43940,City of Malmö,City,Europe,Sweden,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,2203066,Jurisdiction-level data,0,0,1.6,0,0,0,44.2,0,0,23.5,19.2,11.5,0,2023,"Data from the Swedish Bureaue of Statistics. A part of the “Percentage of total consumption from waste to energy (solid waste excluding biomass)” includes biobased fuels and bio-based waste that is incinerated together with other, non-renewable solid waste that fuels CHP plants. This is included in this category mainly due to the unclear nature of the categories provided. A category for bio-based waste is not included and it is not clear if it should be put in “Percentage of total consumption from bioenergy (inc. biomass and biofuels)” due to it being waste and not primarily fuel. The city only has reliable data for district heating, and not other forms of heating and cooling."
2025 Disclosure Cycle,779465,CDP,44188,Yongin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,2011990,National-level data,0,12.5,39.3,0,0,3.1,0,0,0,0,0,0,0,2023,
2025 Disclosure Cycle,779465,CDP,46470,Municipality of Vitoria-Gasteiz,City,Europe,Spain,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,1338352,Jurisdiction-level data,0.0,79,19.7,0,0,0,0.75,0.37,0.18,0,0,0,0,2021,"La energía térmica usada en la ciudad para calefacción y refrigeración es en su mayor parte (aproximadamente del 80%) procedente del gas natural, existiendo todavía algunas instalaciones de calefacción comunitarias que funcionan con gasóleo C. No está contabilizada aquí la electricidad utilizada para la producción térmica a través por ejemplo de bombas de calor (aunque esa electricidad si está incluida en el consumo eléctrico global)."
2025 Disclosure Cycle,779465,CDP,49326,"Ville de Quebec, QC",City,North America,Canada,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,4002879.0,Jurisdiction-level data,0.0,58.0,33.6,0.0,0.0,0.0,8.4,,,,,,,2021,"Les données saisies dans la section Consommation d'énergie thermique (chauffage/refroidissement) sont reliées à la consommation de gaz naturel, de mazout, de propane et de biomasse pour la production de chaleur.Les données ne sont pas disponibles pour les catégories suivantes: solaire thermique, géothermie, transformation des déchets en énergie, système de récupération des rejets thermiques, autres sources renouvelables et autres sources non-renouvelable."
2025 Disclosure Cycle,779465,CDP,49389,Kyoto City,City,Japan,Japan,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,6870418,Jurisdiction-level data,,89.9,9.7,,,,,0.38,,,,,,2023,
2025 Disclosure Cycle,779465,CDP,50154,City of Turku,City,Europe,Finland,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,2019000,Jurisdiction-level data,6.4,,6.9,,4.6,10.9,44.1,,,2.3,,20.9,3.8,2023,Other renewable sources include heat recovery (also WWHR).
2025 Disclosure Cycle,779465,CDP,50235,City of Kraków,City,Europe,Poland,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,2713186,Other data source(s): Regional/State level-data combined with Jurisdiction-level data,86.89,0,0.61,0.0,87.5,12.5,7.74,0.0,0.0,4.76,0.0,0.0,0.0,2023,"DOES NOT INCLUDE cooling consumption. CONSUMPTION based on the sales volume provided by the heat energy distributor, increased by the generated energy (mainly from RES), used for own needs, excluding the own needs of the PGE plant and the KHK ZTPO waste incineration plant. DOES NOT INCLUDE the consumption of heat energy from outside the district heating network; FUEL STRUCTURE based on MPEC data (distributor of district heating energy in the city), calculated taking into account the generated energy (mainly from RES), used for own needs, excluding the own needs of the PGE plant and the KHK ZTPO waste incineration plant.\n\nThe data refers to the year 2023, as it was not possible to obtain the updated figures from the Energy Department on time."
2025 Disclosure Cycle,779465,CDP,50373,Municipalidad de Rosario,City,Latin America,Argentina,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,2880254,Jurisdiction-level data,0,100,0,0,0,0,0,0,0,0,0,0,0,2024,"El consumo de energía térmica se refiere al gas natural distribuido por red, que en la ciudad es el combustible dominante para calefacción de ambientes, usos térmicos industriales (hornos, calderas y secado), cocción de alimentos y agua caliente sanitaria (ACS). A nivel nacional, los análisis del regulador muestran que en los hogares el gas se destina principalmente a calefacción, ACS y cocción, y que estos tres servicios concentran la mayor parte del uso residencial de GN; de hecho, la IEA estima que el gas natural cubre ~80% de las necesidades de calefacción y cocción en edificios en Argentina, lo que explica su peso en áreas urbanas como Rosario. Existen aportes térmicos de fuentes renovables (p. ej., calefones solares) y biomasa de uso directo, pero su presencia es muy minoritaria frente al gas por red; incluso el Balance de Energía Útil subraya que aún falta mejorar la estadística de solar térmica y biomasa por su escasa cobertura de datos, y los censos de INTI describen un mercado solar térmico acotado."
2025 Disclosure Cycle,779465,CDP,50385,Prefeitura de Campo Grande,City,Latin America,Brazil,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,0,Other data source(s): não temos esse dado.,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,54386,Tainan City Government,City,China,East Asia,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,0,National-level data,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,中央政府僅公布全台各類能源（包含熱能）的消耗狀況，並無各縣市的獨立能源消耗資料。\n
2025 Disclosure Cycle,779465,CDP,54389,Taichung City Government,City,China,East Asia,Public,Q4.1.2,Report the total thermal (heating/cooling) energy consumption in MWh and the energy mix used for thermal (heating/cooling) source mix breakdown for energy consumption in your jurisdiction.,1,Thermal (heating/cooling) consumption,10254525,National-level data,31.1,47.2,1.4,4.7,88.4,11.6,0.56,6.3,0.1,1.1,0,0,2.4,2024,2024 data from Taichung City
