disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Project area,col2_Project title,col3_Stage of project development,col4_Status of financing,col5_Identified financing model,"col6_Project description and URL link, if applicable","col7_Attach project proposal, if applicable",col8_Total cost of project (in currency specified in 1.2),"col9_Total investment cost needed, if relevant (in currency specified in 1.2)","col10_If this project is related to a previously reported adaptation or mitigation action, select the ID of the action"
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Nature-Based Solutions,Local carbon farming,Pre-feasibility/impact assessment,Project not funded and seeking full funding,Grants|Public finance- own budget|Carbon markets|Private investment,"Explore the ability of food forests and community gardens on public lands to use low-carbon and carbon farming practices. This agricultural practice can improve carbon sequestration rates in agricultural systems and aid in plant growth, reduce fertilizer use and improve soil water retention. Support local research on carbon farming practices, especially in partnership with local higher education institutions or organizations that work with individuals from low-income communities and communities of color. Provide basic oversight, technical assistance, startup resources, and ongoing maintenance at these gardens. This could be done by funding outside groups, community-based organizations, or Stewardship Councils/Ambassadors to provide these services. Encourage private residents to implement similar food production and carbon farming practices in their yards through education and incentives.",,2000000.0,2000000.0,Mitigation Action 4
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Energy efficiency (including public lighting),Climate Revolving Fund,Project structuring,Project partially funded and seeking additional funding,Grants|Private investment|Public finance- own budget|Public-private partnership,"The FY26 City Budget included $300k and 1 FTE staff member to set up a Climate Revolving Fund, intended to identify internal city projects that reduce GHGs and provide operational savings, which are then reinvested into future projects.\n\nAdditional funding would increase the impact of the Fund, and could support its expansion into external projects.",,2000000.0,2000000.0,Mitigation Action 4
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,4,Row 4,Buildings,"Lead by example, capture and destroy old refrigerants at City buildings",Project structuring,Project not funded and seeking partial funding,Grants|Public finance- own budget|Private investment|Carbon markets,"We propose to work in two phases: first, to build a complete, robust inventory of refrigerant and refrigerant-bearing equipment within the portfolio of buildings the City owns or controls. The results of the inventory will be used to calculate the scope of Austin's emissions risk posed by these gases. This phase is currently in progress, and a consultant has been retained to support its completion. Second, we will use this inventory analysis and inputs drawn from direct engagement with Austin stakeholders to develop a strategy for efficiently and responsibly managing those refrigerants. This strategy will focus on accelerating the transition from high Global Warming Potential (GWP) cooling systems to low GWP alternatives. Where available, we will provide immediate end-of-life solutions for decommissioning systems, with particular priority placed on those that still utilize particularly potent and high impact refrigerants like chlorofluorocarbons (CFCs), hydrochlorofluorocarbons (HCFCs), and hydrofluorocarbons (HFCs).Lessons learned from the city's inventorying of refrigerants and strategies for managing these refrigerants will inform future incentive or regulatory programs to manage refrigerants in buildings the city does not own or control.",,500000,500000.0,No linked action
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,5,Row 5,Nature-Based Solutions,Central Texas Árbol Equity Collective,Project structuring,Project not funded and seeking full funding,Grants,"East Austin and surrounding communities in Central Texas bear a legacy of systemic disinvestment and environmental inequities now reflected in disproportionate exposure to climate risks and high rates of chronic disease. These communities lack access to urban tree canopy: tree canopy cover falls below the regional average and is declining further. The Central Texas Árbol Equity Collective (CTAEC), a partnership of 15 different organizations, including the City of Austin, aims to address these inequities by expanding the urban forest and access to its climate resilience, public health, and workforce benefits. By championing work that is evidence-based and informed by the lived experiences of community members, this regional coalition will invest in Central Texas' forests, remove barriers to participation, elevate community priorities, leverage the expertise of local universities, and build the local forestry workforce. While not officially operating under the umbrella of CTAEC, a coalition of organizations is submitting a proposal to the EPA's Community Change Grants Program that meets many of the intents of CTAEC in Summer 2024.",CTAEC Project Narrative.pdf,35000000,35000000.0,Mitigation Action 4
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Energy efficiency (including public lighting),Urban Retrofitting Plan,Transaction preparation,Project partially funded and seeking additional funding,Grants,"The Urban Retroffiting Plan of the city establishes energy efficiency measures and involvement of local private sector. Includes actions in public space, buildings and housing.80 M€ will be destined to private buildings, 32.8M€ to public dwellings and 123M€ to public spaces (80+32.8 M€ to retrofitting = 125M$) (2016-2019).In 2020, 20.5 M€ were invested for the same purpose. https://ajuntament.barcelona.cat/instituturbanisme/ca/objectius-estrategics",,145849967,0,Mitigation Action 9
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Energy efficiency (including public lighting),High Complexity Building refurbishment,Project feasibility,Other: Funded,Public finance- own budget,"Barcelona City Council is working to promote a housing improvement program for vulnerable people based on improved accessibility, livability and energy efficiency. The program foresees investments of 3.5 million euros and is managed directly from the Barcelona City Council, which directly performs improvements in housing.Web link (in catalan): https://ajuntament.barcelona.cat/fomentdeciutat/es/noticia/el-pla-de-barris-destina-mes-de-21-milios-deuros-en-actuacions-per-un-habitatge-digne_919674",,21000000,0,Mitigation Action 9
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Renewable energy,Més Barcelona,Implementation,Project partially funded and seeking additional funding,Private investment|Public finance- own budget,"The Barcelona Sustainable Energy Mechanism (MES Barcelona), a tool to support and accelerate the city's energy transition alongside private investors. The tool is intended to encourage investment in solar panelling and energy renewal in the city.The mechanism's priority aim is to boost the production of photovoltaic energy in the city based on private initiatives, focusing on projects that use both large spaces (the roofs of industrial buildings and warehouses, of office buildings or of other places in the city) and roofs and flat rooftops of residential buildings by grouping together several residential buildings which, together, can make the entire investment manageable as well as scalable. In addition, investments are expected to be made in energy renovation projects for buildings with a high energy consumption, such as hospitals, hotels and sports facilities. Finally, MES Barcelona also intends to invest in projects to boost innovation in the renewable energy economic sector.MES Barcelona is a financial investment mechanism from Barcelona City Council. This €50-million municipal endowment will therefore be used for investment projects proposed by City Council-approved investors. These approved investors are a group of investors with experience investing in photovoltaic installations and energy renovation. When it comes to selecting investments, the City Council will require these to focus on either photovoltaic solar panel installations or energy renovation where the business model does not require co-funding from the owners of the buildings. Investors will contribute 100% of the investment, which they will recover through the surplus energy or energy savings resulting from the operations funded by them. In the case of investors specialising in photovoltaic energy, among other criteria, there will be a guarantee that these funds diversify the installation of photovoltaic solar panels in several types of building (residential, tertiary and industrial buildings) and encourage self-consumption, energy communities and the installation of electric vehicle charging points and so on. Private investors will be able to suggest improvements regarding the use and exploitation of community roofs.In March 2021, Barcelona City Council's Economy and Tax Office Commission approved the first companies and business groups that can be approved investors in the Barcelona Sustainable Energy Mechanism (MESBarcelona). These companies are: Endesa; GVC; Accelera Energia; Iberdrola; Naturgy Iberia, SA; Suma Capital SGECR, SA; Hengdian Group / ENERparking Sunstroom, i Intermoney Titulización SGFT, SA. The diversity of companies enables very diversified investment strategies to be proposed, encompassing different types of buildings and actions: residential buildings, offices, industrial warehouses, car parks, and public infrastructures and buildings committed to implementing clean energy (solar panels), building renovation, and even the possible production of green hydrogen. The investor approval process is open-ended, so start-ups will be able to join the MESBarcelona project in upcoming calls. Initially, there will be two calls per year, in addition to the new approval calls that will emerge.",,50000000,166000000,Mitigation Action 7|Mitigation Action 9
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Buildings,Decarbonisation of council assets,Project feasibility,Project partially funded and seeking additional funding,Grants, Decarbonisation of BCC owned assets - The Council is prioritising its buildings for the Public Sector Decarbonisation Scheme which is part of the Integrated Settlement from the West Midlands Combined Authority. The Council has been allocated £10.98m for 2025-2028 and has identified 14 buildings which are significant GHG emitters and could be decarbonised. Feasibility studies are being undertaken and then capital works will start if the feasibility studies show the project is deliverable within the timescale and budget.\nURL link: https://www.wmca.org.uk/what-we-do/environment-energy/energy-capital/the-building-retrofit-pilot/\n,,30000000,20000000,Mitigation Action 4
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Renewable energy,Solar PV,Scoping,Project not funded and seeking full funding,Private investment|Grants,With the support of the Innovate UK funded Fast Followers programme we are working in Tyseley and East Birmingham to establish some investable solar pv projects. Meetings have been held with local businesses and links made to solar pv suppliers offering a range of funding mechanisms. It's anticipated that the businesses will be able to work together to reduce costs and share best practice. https://iuk.ktn-uk.org/news/fast-followers-accelerate-towards-net-zero/ ,,2000000,2000000,No linked action
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Renewable energy,Solar Farm on an old landfill site,Scoping,Project not funded and seeking full funding,Private investment|Grants,Solar Farm on an old landfill site. With support from the WMCA a scoping exercise is being undertaken to understand the potential for a small solar array on this site. The land is owned by the Council and could supply neighbouring businesses with electricity.,,2000000,2000000,No linked action
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,4,Row 4,Energy efficiency (including public lighting),Replacement of inefficient sodium streetlamps ,Implementation,Project partially funded and seeking additional funding,Public finance- own budget,"Replacement of inefficient sodium streetlamps with more efficient LED lamps. The total cost of this £26,000,000 for 53,502 streetlights. The Highways Contractor is working with the Council to increase the replacement rate and the Council is investigating ways to fund this. ",,26000000,26000000,Mitigation Action 8
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,5,Row 5,Buildings,PV on wholesale market building,Project feasibility,Other: Funding being sourced,Private investment,The Council is exploring the opportunity to add rooftop solar to the Wholesale Market building. The roof is large and the tenants would benefit from reduced electricity prices for their refrigeration units. There may be scope to expand the scheme to other buildings close by and this is being investigated.,,3000000,3000000,No linked action
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,No relevant projects,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,1,Row 1,Waste management (including waste recycling),Community Garden Compost Pilot,Implementation,Project partially funded and seeking additional funding,Public-private partnership|Bonds|Public finance- own budget,"In November 2022, the City of Chicago announced a pilot project to divert household food scraps into composting through six community garden sites. The project was implemented in collaboration with the nonprofit NeighborSpace and was partially funded through the National Resources Defense Council. The announcement embedded the project in the city's effort to explore waste reuse strategies that contribute to reducing greenhouse gas emissions. Six gardens were chosen across Chicago in collaboration with the nonprofit NeighborSpace. \n\nAll six gardens composted food scraps during 2023; gardens acted as environmental education\nsites, introducing participants to the practice and importance of composting.\n100+ food scrap participants participated in the program across six community gardens and\nthe majority of participants lived in proximity to their submission garden. Gardens established unique systems for collecting food scraps in ways that were culturally relevant to their community. \n\nChicago has great potential to divert food scrap waste from landfills. A 2021 study of Chicago\nwaste generation estimated 522,510 tons of organic waste annually, almost half of which\noriginates in single-family households. The study recommends investment in residential\nsource reduction and community education programs. Evaluation data demonstrates that the\nprogram addressed both recommendations (Delta Institute, 2021).\nhttps://www.chicago.gov/city/en/sites/chicago-recycles/home/compost.html",,0,,Mitigation Action 2
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,2,Row 2,Buildings,Building Decarbonization Strategy,Project structuring,Project partially funded and seeking additional funding,Public-private partnership|Bonds|Public finance- own budget|Public finance- national government,"The City of Chicago seeks to advancing energy justice and climate resilience through efficiency and renewable energy investments. By strategically investing in moderate income (LMI), homes, affordable housing, neighborhood anchor buildings and institutions, public libraries, and historic protected landmarks. These projects will equitably decarbonize and retrofit LMI homes and units across the City to enhance resilience to climate change, lower utility costs, and improve livability. Further, funding for retrofits and renewable energy projects will be delivered to cornerstone neighborhood institutions (e.g., community centers and libraries), improving their long-term environmental and economic sustainability. The City will also invest in decarbonizing historic sites and support pilot industrial energy efficiency and renewable energy work.",,41000000.0,,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,3,Row 3,Water management,Lead Service Line Replacement,Implementation,Project partially funded and seeking additional funding,Public finance- own budget|Public finance- national government,"The City of Chicago has launched a lead service line replacement (LSLR) program that removes barriers to program access for low-income residents. The program provides both low-cost and free line replacement for qualifying residents.\n\nChicago has the most LSLs of any City in the country. The City will require Federal financial assistance to replace all the LSLs. The local impact of an LSLR program would result in $4.8 billion in local economic activity and over 45,000 jobs generated.\n\nSource: https://www.metroplanning.org/news/8845/The-costs-of-lead-in-our-drinking-water",,3200000000.0,,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,4,Row 4,Nature-Based Solutions,Urban Tree Canopy Expansion,Implementation,Project partially funded and seeking additional funding,Public finance- own budget|Grants|Bonds|Public-private partnership|Public finance- national government,"Expand canopy coverage by 15k trees annually for 5 years, creating job opportunities for planting and maintenance in partnership with City departments, sister agencies, community based organizations, workforce development programs, and other urban forestry organizations. \n\nhttps://www.chicago.gov/city/en/sites/our-roots-chicago/home.html",,46000000.0,,Adaptation Action 2
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q9.3,Describe any planned climate-related projects within your jurisdiction for which you hope to attract financing.,5,Row 5,Transport,Municipal Fleet Electrification ,Implementation,Project partially funded and seeking additional funding,Public finance- own budget|Bonds,"As a way to increase the use of low-carbon vehicles in the government fleet, Chicago is prioritizing the conversion of all non-emergency light-duty fleet vehicles to electric vehicles. This internal goal from 2021 was publicized through the 2022 Climate Action Plan and applies to approximately 1,289 vehicles. This strategy is also informed by the City's 2021 Air Quality and Health report. Fleets at facilities located in communities experiencing greater lower air quality are considered for priority conversion. The City has begun the process of buying electric vehicles as well as installing chargers through Chicago Recovery grant money. The City will continue to apply for grants and mobilize funds as they become available",,11300000,,Mitigation Action 7
