disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Factors that affect ability to adapt,col2_Degree to which this factor challenges/supports the adaptive capacity of your jurisdiction,col3_Describe how the factor supports or challenges the adaptive capacity of your jurisdiction
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,3,Row 3,Poverty,Challenges: Significantly challenges,Individuals living below the poverty level have limited access to adaptation resources. 
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,4,Row 4,Rapid urbanization,Challenges: Significantly challenges,"Rapid development, especially in the City periphery, places a greater number of residents at risk of flooding and wildfire hazards. Development in the Wildland-Urban Interface increases the risk of wildfire impacts. "
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,5,Row 5,Cost of living,Challenges: Significantly challenges,The cost of living in Austin is currently at an historic high. This will affect the City's efforts to to prevent the exodus of Austin's low-income and communities of color.
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,6,Row 6,Public health,Challenges: Significantly challenges,"Low-income communities of color with limited access to healthcare may face adaptation challenges related to air quality, extreme heat, flooding, and other climate-related public health hazards. "
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,7,Row 7,Infrastructure conditions / maintenance,Challenges: Significantly challenges,Older stormwater infrastructure has limited capacity to mitigate the effects of severe flooding events. Electricity and water outages during extreme weather events increase negative impacts during those episodes.
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,8,Row 8,Housing,Challenges: Significantly challenges,The cost of housing in Austin is currently at an historic high. This will affect the City's efforts to place a growing homeless population into long-term affordable housing and prevent the exodus of Austin's low-income and communities of color.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,1,Row 1,"Degradation, loss, and quality and quantity of green space and ecosystems",Challenges: Moderately challenges,the compact model of urbanization in Barcelona makes dificult to enlarge and enhance new green spaces
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,2,Row 2,Access to healthcare,Supports: Significantly supports,"It is public, free and universal."
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,3,Row 3,Infrastructure conditions / maintenance,Supports: Moderately supports,The City Hall has several internal procedures to keep updated the infrastructure's maintenance
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,4,Row 4,Land use planning,Supports: Significantly supports,"The implementation of superblocks and the green corridors are adressed to improve the habitability of the city, giving more public space for the citizenships and increasing the green cover at highly demanded areas."
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,5,Row 5,Access to education,Supports: Significantly supports,"It is public, free and universal."
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,6,Row 6,Inequality,Challenges: Moderately challenges,"In Barcelona, there is a certain inverse relationship between the level of wealth, life expectancy, health and energy poverty.The expected effects will affect unequally in the city and in particular the population over 75 years old, babies, people with chronic pathologies, and those who live in homes that are badly isolated, with lower income and in less green areas."
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,7,Row 7,Poverty,Challenges: Moderately challenges,"Climate change could cause water, energy and food prices to vary, and no doubt increase, and make access to these basic resources difficult.The main effects of climate change (more heat, less water) will also lead to changes in energy consumption patterns, with less demand for heating forecast while the demand for water and cooling could rise.In addition, given the demographic and socio-economic dynamics in the city, the vulnerable population is expected to increase because there will be more households with dependent children and single-person households, migratory movements will grow and the ageing process will be more evident. All these factors could mean an increase in energy poverty. At present, energy poverty affects 24% of Barcelona's population."
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,8,Row 8,Political engagement / transparency,Supports: Significantly supports,"Barcelona has the Open Data or Public Sector Information Openness, that is a movement driven by public administrations with the main objective of maximize available public resources, exposing the information generated or guarded by public bodies, allowing its access and use for the common good and for the benefit of anyone and any entity interested. This public information, of great potential value, can be relative to any subject and of any type —pictographic documents, statistical data, results of studies or analysis, information on public services, etc.—. Companies, researchers, other public institutions or citizens in general may make use of information resources for any purpose, maximizing the economic and social possibilities offered by this project: promotion of transparency in management, improvement of services to citizens , generation of business activities and social impact, in search of efficiency in governance. "
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,9,Row 9,Access to basic services,Supports: Significantly supports,Barcelona is a compact and mixed city. The 96% of its population lives less than 300 m from 3 basic services.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,10,Row 10,Resource availability,Challenges: Somewhat challenges,The city aims to boost alternative water resources and the use of renewable energies in order to address the loss of available energy resources.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,11,Row 11,Community engagement,Supports: Significantly supports,"We have an established environmental citizen action network, with more than 1.600 active organisations. A citizen participation platform has been implemented and several participatory budgets have been carried out in some neigbourghoods of the city"
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,12,Row 12,Access to quality / relevant data,Supports: Significantly supports,The city is committed to transparency in its climate action and its relationship with citizens and periodically publishes indicators and data through the open data portal
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,13,Row 13,Housing,Challenges: Moderately challenges,In the last years Barcelona is becoming a pole of foreign investments in real state sector which has motivated a continuous increase of housing prices. The comfortable climate conditions of Barcelona are highly valuated by foreign investors.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,14,Row 14,Cost of living,Challenges: Significantly challenges,Main challenges regarding the cost of living in Barcelona are related with the accesibilty to affordable housing and the increase of food and basic services prices
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,15,Row 15,Unemployment,Challenges: Somewhat challenges,"8,3% of unemployment tax"
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,16,Row 16,Public health,Supports: Significantly supports,"It is public, free and universal. We have also a Health Public Agency."
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,17,Row 17,Environmental conditions,Supports: Significantly supports,The city has started a process of greening aimed to the recovery of the public space by the citizenship. Projects like SuperBlocks and GreenPaths are putting the re-vegetation and naturalization of city's environment as the main objective of adaptation policies.
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,18,Row 18,Infrastructure capacity,Supports: Moderately supports,The infrastructure capacity is constantly enhanced and renewed by the city services teams and operators
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,1,Row 1,Budgetary capacity,Challenges: Significantly challenges,"Finance - Like many LAs, reductions in both government funding and available grants has had a negative impact on the availability of funds to be allocated for various projects. The Council has also declared a Section 114, which is a formal notice declaring that the Council is unable to balance its budget. The result of this action has led to the formal appointment of Commissioners who oversee all proposed Council spend going forward until the Council is able to balance their books on a sound footing, and can continue to do so going forward. These commissioners are still in place as of July 2025. Very little project work other than statutory expenditure and fully grant funded projects are being approved, and borrowing is highly restricted which severely impacts the Councils ability to undertake the breadth of environmental projects it needs to undertake."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,2,Row 2,Resource availability,Challenges: Moderately challenges,"Resource - Funding available to the local authorities and other public agencies working in similar fields need to compete with a range of statutory priorities. The challenge is further exacerbated that funding opportunities have been reduced significantly in the recent years. The conflicting pressure on the local authorities is having an impact in delivering adaptation, mitigation and resilience responses. "
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,3,Row 3,Access to basic services,Challenges: Moderately challenges,Access to services - This is a statutory duty placed on all local authorities making them responsible for the preparation of emergency plans to help guide on how to respond to major incident. City is a part of West Midlands Conurbation Local Resilience Forum which ensures adequate level of preparedness to deal and respond to emergency incidents
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,4,Row 4,Housing,Challenges: Significantly challenges,"Housing - Birmingham has a relatively old housing stock with many residential areas being built in the Victorian, Edwardian and inter-war periods. Consequently, many homes are over 70 years old and have inherent issues such as single-skin walls and poor quality original construction. Households living in properties built before 1919 had the highest average gap at £612 and the largest proportion of fuel poverty (17.1 per cent). A substantial number of more recent properties were built using non-traditional (system built) construction methods, which can require costly structural work. The Council owns a large number of these properties, with over 200 tower blocks, low rise flats and some houses. This type of housing is the least thermally efficient - Central Governments 'Help to heat' consultation identified that the most fuel poor in social housing live in this type of property. The most recent Birmingham Private Sector Stock Condition Survey (2010) found that 46,000 private sector homes failed on the thermal comfort criteria. Updated stock condition surveys are taking place between 2024-2028. The information gathered from the surveys will be used to help identify where improvement works are required and will be used to develop future programmes of work. There is also inadequate supply of homes to meet the needs of people especially shortage of homes for older people, people with specialist needs and people with dementia. Also densification of the city amplifies the urban heat island effect. Of all of the city's properties: 151,248 (33.4% of total dwellings) have an EPC of A-C and 302,147 (66.6% of total dwellings) are EPC D and below, with the most amount of dwellings are rated D (185,561) (40.9%)."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,5,Row 5,Environmental conditions,Challenges: Significantly challenges,"Environmental conditions - Climate change poses a threat to the built environment and natural environs in the city. Air pollution has the greatest impact in the most deprived areas with men affected more than women. Air pollution has been identified as the largest environmental risk to public health. There is a lack of open green spaces for all residents of the city. Over 1,000 deaths a year, in Birmingham alone, are caused by air pollution, mostly caused by road transport and the increased use of diesel vehicles. Living near a busy road in Birmingham can increase risk of lung cancer by 4.1%. Furthermore poor air quality has been found to increase the risk of respiratory diseases, heart failure and many other negative health effects."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,6,Row 6,Public health,Challenges: Moderately challenges,"Public Health - Health inequalities in the city are worse than the national average. Most vulnerable people also live in the poorest households and neighbourhoods. There are more people living in poverty and deprivation than the national average. 90% of wards are more deprived than the national average. 51 % of children live in poverty, compared to the national average of 31% (2021 data). East and West Birmingham are two localities where levels of infant mortality and childhood obesity are higher than the city's average. The localities are also characterised by a higher number of children in care, and lower educational outcomes, compared to the city's average. Residents in East and West Birmingham are more at risk of loneliness, more likely to have lower resilience and poorer mental wellbeing, and more likely to die early. Households in East and West Birmingham are more likely to be overcrowded, and to face food poverty and fuel poverty - all of which contribute to residents experiencing poorer health outcomes"
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,7,Row 7,Poverty,Challenges: Significantly challenges,"Poverty - Many areas within Birmingham are among the most deprived in the country. Birmingham is the 7th most deprived LA nationally. Birmingham is the 3rd most deprived core city. Birmingham suffers from high levels of deprivation, with 43% of the population living in LSOAs in the 10% most deprived in England, and 51% of children under 16s) living in the 10% most deprived areas. Birmingham has the second highest rate of fuel poverty in the country. There is a gap in life expectancy between the wealthiest and poorest wards. English is not the first language for 42% of school children. 28% children live in income deprived households. Hodge Hill is the most deprived constituency in the city; Sparkbrook & Balsall Heath East, Bordesley Green and Lozells are the top 3 most deprived wards. Too many Birmingham citizens do not have access to nutritious food. Some wards in the city are considered to be \'food deserts\' i.e. it is impossible to buy good food locally. 43% of people living are areas that are ranked in the 10% most deprived areas nationally. This equates to nearly half a million (490,800) of the city's residents living in the most deprived areas; 132,500 children live in these areas of the city."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,8,Row 8,Cost of living,Challenges: Significantly challenges,"Cost of living - 16% of households in the West Midlands are food insecure. 72,932 people in Birmingham were given a food parcel by a Trussell Trust foodbank between April 2022 and March 2023. 24,939 of these were to children. This represents a 42% increase on the previous year and an 84% increase from pre-pandemic levels.In the week beginning 27 March 2023, more than 7,700 people visited a food project in Birmingham, feeding at least 13,400 people (data from the City-Wide Food Aid Count)."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,9,Row 9,Infrastructure conditions / maintenance,Challenges: Moderately challenges,Infrastructure condition - Personal safety fears due to local quality environment -prevents active lifestyle- so increasing vulnerability. Lack of resources means not adequate funds to ensure all infrastructure needs are met.
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,1,Row 1,Budgetary capacity,Challenges: Significantly challenges,"Major adaptation, such as replacement and improvement to pumping stations, is needed - even before we consider climate related impacts. Funding from government is scarce for this and work to understand which areas we allow to flood is necessitated due to lack of funds."
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,2,Row 2,Poverty,Challenges: Significantly challenges,"Some areas of Cambridgeshire are some of the most deprived LSOAs in the UK. This, and its associated unemployment, heath and wellbeing challenges, makes capacity for individuals to act low."
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q2.3,Identify and describe the most significant factors impacting on your jurisdiction's ability to adapt to climate change and indicate how those factors either support or challenge this ability.,1,Row 1,Housing,Challenges: Moderately challenges,"Aging housing stock is widespread across the city, particularly in lower-income and historically disinvested neighborhoods. Many homes have poor insulation, outdated electrical systems, and lack flood protections (e.g., sump pumps, backflow valves). These homes are more vulnerable to extreme weather, basement flooding, and mold growth, reducing residents' ability to shelter safely in place or recover after disasters. The City of Chicago has launched several innovative, equity‑centered housing initiatives, from energy-efficient retrofits for low-income homeowners to tenant protections and new affordable units. The centerpiece is the Green Social Housing model, backed by unprecedented public investment and aimed at merging green construction, affordability, and long-term community reinvestment. "
