disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,What language are you submitting your response in?
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31164,Ho Chi Minh City,City,South East Asia & Oceania,Viet Nam,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q1.1,What language are you submitting your response in?,,,Other: Bahasa Indonesia
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31176,Prefeitura do Rio de Janeiro,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,31177,"Salt Lake City, UT",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31178,City of Mumbai,City,India,India,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31186,Changwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,"Other: 기타, 한국어(Korean) 입력"
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,31446,Taipei City Government,City,China,East Asia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35274,"City of Portland, ME",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35449,City of Zürich,City,Europe,Switzerland,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35475,"City of Calgary, AB",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35848,Municipality of Belo Horizonte,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35853,"City of Baltimore, MD",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35856,Busan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,Other: 한국어
2025 Disclosure Cycle,779465,CDP,35857,"City of Cincinnati, OH",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35859,"City of Cleveland, OH",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35860,"City of Dallas, TX",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35862,"City of Detroit, MI",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35871,City of Monterrey,City,Latin America,Mexico,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,35872,Municipality of Recife,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35877,"City of Pittsburgh, PA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35878,"City of Sacramento, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35880,Municipality of Porto Alegre,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,35882,"City of Tampa, FL",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35883,"City of San José, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35884,"City of San Diego, CA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35886,City of Turin,City,Europe,Italy,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35897,Municipality of Campinas,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,35898,Greater Manchester Combined Authority,City,UKWW,United Kingdom,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35914,Greater Hyderabad Municipal Corporation,City,India,India,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,36004,City of Abidjan,City,UKWW,Côte d'Ivoire,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,36032,Ville de Dakar,City,UKWW,Senegal,Public,Q1.1,What language are you submitting your response in?,,,Other: French
2025 Disclosure Cycle,779465,CDP,36036,City of Ibadan,City,UKWW,Nigeria,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,36037,Santiago de Cali,City,Latin America,Colombia,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,36039,Accra Metropolitan Assembly,City,UKWW,Ghana,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,36045,Santiago de Guayaquil,City,Latin America,Ecuador,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,36152,City of Tallinn,City,Europe,Estonia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,36159,City of Lisbon,City,Europe,Portugal,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,36218,Fukuoka City,City,Japan,Japan,Public,Q1.1,What language are you submitting your response in?,,,Japanese
2025 Disclosure Cycle,779465,CDP,36219,City of Sapporo,City,Japan,Japan,Public,Q1.1,What language are you submitting your response in?,,,Japanese
2025 Disclosure Cycle,779465,CDP,36247,City of Arezzo,City,Europe,Italy,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,36254,City of Venice,City,Europe,Italy,Public,Q1.1,What language are you submitting your response in?,,,Other: eng + ita
2025 Disclosure Cycle,779465,CDP,36262,City of Genoa,City,Europe,Italy,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,36285,City of Florence,City,Europe,Italy,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,36410,"City of Memphis, TN",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,36469,City of L'Aquila,City,Europe,Italy,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,36496,City of Palermo,City,Europe,Italy,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,36501,City of Prato,City,Europe,Italy,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,36517,City of Treviso,City,Europe,Italy,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,37261,City of Pietermaritzburg,City,UKWW,South Africa,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,42120,City of Salvador,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,42123,City of Goiânia,City,Latin America,Brazil,Public,Q1.1,What language are you submitting your response in?,,,Portuguese
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,42388,Intendencia de Montevideo,City,Latin America,Uruguay,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,43905,"City of San Antonio, TX",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43907,"City of Indianapolis, IN",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43908,"City of Milwaukee, WI",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43909,"City of Orlando, FL",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43910,"City of Columbus, OH",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43911,"City of Ottawa, ON",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43912,"City of Edmonton, AB",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43921,City of Zagreb,City,Europe,Croatia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43926,City of Mannheim,City,Europe,Germany,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43930,Municipality of The Hague,City,Europe,Netherlands,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43937,Wellington City Council,City,South East Asia & Oceania,New Zealand,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43938,"Environment and Climate Change Authority, Govt of Dubai",City,UKWW,United Arab Emirates,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43940,City of Malmö,City,Europe,Sweden,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,43970,Alcaldía Distrital de Barranquilla,City,Latin America,Colombia,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,44076,Bursa Metropolitan Municipality,City,UKWW,Türkiye,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,44080,City of Kitakyushu,City,Japan,Japan,Public,Q1.1,What language are you submitting your response in?,,,Japanese
2025 Disclosure Cycle,779465,CDP,44082,Surabaya City Municipality,City,South East Asia & Oceania,Indonesia,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,44180,Daegu Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,44181,Gwangju Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,Other: 한국어(Korean)
2025 Disclosure Cycle,779465,CDP,44184,Ulsan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,Other: 
2025 Disclosure Cycle,779465,CDP,44185,Suwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,Other: Korean
2025 Disclosure Cycle,779465,CDP,44187,Goyang City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,44188,Yongin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,Other: 한국어(korean)
2025 Disclosure Cycle,779465,CDP,44191,Ansan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,Other: korean
2025 Disclosure Cycle,779465,CDP,44194,Jeonju City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,44196,Hwaseong City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,44205,Gwangmyeong City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,Other: Korean
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.1,What language are you submitting your response in?,,,Other: Korean
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,46470,Municipality of Vitoria-Gasteiz,City,Europe,Spain,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,46473,Municipality of Zaragoza (Spain),City,Europe,Spain,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,46514,City of Porto,City,Europe,Portugal,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,49172,"City of St. Petersburg, FL",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,49326,"Ville de Quebec, QC",City,North America,Canada,Public,Q1.1,What language are you submitting your response in?,,,Other: Français
2025 Disclosure Cycle,779465,CDP,49327,"City of Providence, RI",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,49330,"Kansas City, MO",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,49333,"City of Louisville, KY",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,49334,"City of Richmond, VA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,49335,"Metropolitan Government of Nashville and Davidson County, TN",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,49342,"City of Rochester, NY",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,49345,"City of Birmingham, AL",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,49346,"City of Allentown, PA",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,49347,"City of Omaha, NE",City,North America,United States of America,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,City,UKWW,South Africa,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,49367,Freetown City,City,UKWW,Sierra Leone,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,49385,Bandung City,City,South East Asia & Oceania,Indonesia,Public,Q1.1,What language are you submitting your response in?,,,Other: Indonesia
2025 Disclosure Cycle,779465,CDP,49389,Kyoto City,City,Japan,Japan,Public,Q1.1,What language are you submitting your response in?,,,Japanese
2025 Disclosure Cycle,779465,CDP,50154,City of Turku,City,Europe,Finland,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50235,City of Kraków,City,Europe,Poland,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50355,Ayuntamiento de Tijuana,City,Latin America,Mexico,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,50357,Ciudad de Mendoza,City,Latin America,Argentina,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,50361,Ayuntamiento de Hermosillo,City,Latin America,Mexico,Public,Q1.1,What language are you submitting your response in?,,,English
2025 Disclosure Cycle,779465,CDP,50368,Municipalidad de Provincial de Arequipa,City,Latin America,Peru,Public,Q1.1,What language are you submitting your response in?,,,Spanish
2025 Disclosure Cycle,779465,CDP,50369,Ayuntamiento de San Luis Potosí,City,Latin America,Mexico,Public,Q1.1,What language are you submitting your response in?,,,Spanish
