disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Climate action plan type^,col2_Plan attachment^,"col3_Name of plan and URL link, if applicable^",col4_Confirm attachment/link provided to plan,col5_Boundary of plan relative to jurisdiction boundary,col6_Processes for monitoring evaluation and updates of plan^,col7_Plan status/progress towards plan,col8_Funding sources and financial instruments to finance plan,col9_Communities and organizations engaged,col10_Describe if and how climate-related scenarios have informed the plan,col11_Primary author(s) of plan^,"col12_Assessment of co-benefits, trade-offs, and synergies of actions included in plan",col13_Year of formal approval of plan^,col14_End year of plan,col15_Total cost of implementation of plan (in currency specified in 1.2),col16_Sectors covered by action plan,col17_Please explain
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",3,Row 3,Standalone mitigation plan,,Resilient Vancouver Strategy (RVS): https://vancouver.ca/files/cov/resilient-vancouver-strategy.pdf,The plan can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,"Other: Other, please specify: In Phase 3 of the plan (page 21) indicators and targets for resilience and risk reduction are to be developed. These will be integrated into other city initiatives (Resilience is a key theme for the Vancouver Plan).",Underway - moderate progress made,"Jurisdiction's own resources|Other: Collaboration with non-profits to deliver critical services, advocacy for the federal government to expand disaster mitigation and adaptation funding, improve internal and external collaboration to identify additional funding sources",State/regional government(s) and/or agencies|Vulnerable population groups|Non-governmental organisations|Citizens|Local government (s) and/or agencies|Business and private sector|Academia,"The Resilient Vancouver Strategy builds City capacity to understand and proactively address current and future shocks and stresses, including those related to climate change. As this strategy works in unison with the Climate Change Adaptation Strategy to build resilience to priority shocks and stresses in Vancouver, it incorporates IPCC aligned climate-related scenarios within it.",Dedicated team within jurisdiction,Plan assesses co-benefits of actions|Plan assesses synergies of actions|Plan assesses trade-offs of actions,2019.0,2050,1,"Financial and insurance activities|Forestry|Real estate activities|Water supply|Administrative and support service activities|Arts, entertainment and recreation|Electricity, gas, steam and air conditioning supply|Agriculture|Transportation and storage|Construction|Accommodation and food service activities|Education|Information and communication|Professional, scientific and technical activities|Sewerage, wastewater management and remediation activities|Human health and social work activities|Manufacturing","Description: The Resilient Vancouver Strategy builds City capacity to understand and proactively address current and future shocks and stresses, including those related to climate change. It leverages global and local knowledge to build the resilience of organizational, community, and infrastructure systems, and works in unison with the Climate Change Adaptation Strategy to build resilience to priority shocks and stresses in Vancouver. Objectives aligned with the “Proactive and Collaborative City” priority include strengthening organizational capacity to manage risk and recover from shocks and stresses and advancing collaborative disaster risk reduction and recovery planning. An associated action taking shape currently is to bring various City governance structures that deal with risk together into one disaster-risk reduction group. The group would oversee risk posed by various shocks and stresses, whether climate-related or not.\nPriority Areas:1. Thriving and Prepared Neighbourhoods2. Proactive and Collaborative City3. Safe and Adaptive Buildings and Infrastructure\nGovernance: Staff in the Vancouver Emergency Management Agency (VEMA), and staff working on seismic policy in other departments, manage RVS implementation."
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",1,Row 1,Integrated climate plan (addressing mitigation and energy),klimaplan-2025-revideret-tillg-til-roadmap-2021-2025-_2617.pdf,https://kk.sites.itera.dk/apps/kk_pub2/index.asp?mode=detalje&id=2617,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Update: Updates to the plan are published every 3-5 years|Evaluation: Evaluation of plan takes place every 3-5 years|Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually,Underway - moderate progress made,"Private|National funds and programmes|Jurisdiction's own resources|Public-private partnerships|Private partnerships (e.g., a combination of private investments)",Citizens|Local government (s) and/or agencies|Non-governmental organisations|Academia|Business and private sector,This is a supplement to the Roadmap implementing the overall climate plan for the period 2021-2025. Plan is based on scenarios showing how emissions are expected to evolve and realistic options to reduce emissions,Dedicated team within jurisdiction,Plan assesses synergies of actions|Plan assesses trade-offs of actions|Plan assesses co-benefits of actions,2021,2025,0,"Waste management|Electricity, gas, steam and air conditioning supply|Transportation and storage",The Supplement to Roadmap 2021-2025 targets the shortfall identified in the Roadmap 2021-2025 and proposes additional initiatives to close the gap and reach carbon-neutrality by 2025. Cost unknown at this time but listed as zero since field required numerical value
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",2,Row 2,Integrated climate plan (addressing mitigation and energy),cph-2025-climate-plan-roadmap-2021-2025-_2062.pdf,https://kk.sites.itera.dk/apps/kk_pub2/index.asp?mode=detalje&id=2062,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Evaluation: Evaluation of plan takes place every 3-5 years|Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually|Update: Updates to the plan are published every 3-5 years,Underway - moderate progress made,"National funds and programmes|Private partnerships (e.g., a combination of private investments)|Private|Public-private partnerships|Jurisdiction's own resources",Business and private sector|Non-governmental organisations|Academia|Local government (s) and/or agencies,This is a Roadmap implementing the overall climate plan for the period 2021-2025. Plan is based on scenarios showing how emissions are expected to evolve and realistic options to reduce emissions,Dedicated team within jurisdiction,Plan assesses co-benefits of actions|Plan assesses synergies of actions|Plan assesses trade-offs of actions,2020.0,2025.0,0,"Construction|Manufacturing|Transportation and storage|Waste management|Education|Sewerage, wastewater management and remediation activities|Forestry|Electricity, gas, steam and air conditioning supply","The roadmap adopted in 2020 contained a shortfall on the target of 430,000 tons of CO2 to be addressed in a supplement to the roadmap to be published in the summer of 2021 (described below) the current plan therefore consists of this roadmap and the mentioned supplement, which combined should help to reduce the emissions in Copenhagen to net zero by 2025. Cost unknown at this time but listed as zero since field required numerical value"
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",3,Row 3,Integrated climate plan (addressing mitigation and energy),cph-2025-climateplan-_983.pdf,http://kk.sites.itera.dk/apps/kk_pub2/index.asp?mode=detalje&id=983,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually|Evaluation: Evaluation of plan takes place every 3-5 years|Update: Updates to the plan are published every 3-5 years,Underway - significant progress made,"Public-private partnerships|Private partnerships (e.g., a combination of private investments)|National funds and programmes|Jurisdiction's own resources|Private",Local government (s) and/or agencies|Business and private sector|Non-governmental organisations|Academia,This is the overall climate plan. Plan is based on scenarios showing how emissions are expected to evolve and realistic options to reduce emissions,Dedicated team within jurisdiction,Plan assesses synergies of actions|Plan assesses co-benefits of actions|Plan assesses trade-offs of actions,2012.0,2025.0,0,"Forestry|Manufacturing|Electricity, gas, steam and air conditioning supply|Sewerage, wastewater management and remediation activities|Transportation and storage|Waste management|Construction|Education",Cost unknown at this time but listed as zero since field required numerical value
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",4,Row 4,Standalone adaptation plan,Cloudburst Management plan 2010.pdf,https://international.kk.dk/sites/default/files/2021-09/Cloudburst%20Management%20plan%202010.pdf,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported every 5+ years,Underway - moderate progress made,Jurisdiction's own resources|Other: Utility company (HOFOR),Local government (s) and/or agencies|Business and private sector,"Strategic cloud burst management plan. The cloudburst plan has been prepared on the basis of the City of Copenhagen's climate adaptation plan from 2010. The climate adaptation plan has been prepared on the basis of IPCC emissions scenario A2, which has been scaled down to local level and assumes a temperature increase of 2-3 degrees in 2100.",Dedicated team within jurisdiction|Consultant,Plan assesses co-benefits of actions|Plan assesses synergies of actions,2012.0,2100,13.7,"Sewerage, wastewater management and remediation activities",n/a
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",5,Row 5,Standalone adaptation plan,storm-surge-plan-for-copenhagen-2017-_1915 (1).pdf,https://kk.sites.itera.dk/apps/kk_pub2/pdf/1915_80b7f06dd0f1.pdf,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Update: Updates to the plan are published every 3-5 years|Evaluation: Evaluation of plan takes place every 3-5 years|Monitoring: Information on progress of plan is monitored and publicly reported every 3-5 years,Underway - moderate progress made,"Jurisdiction's own resources|Private partnerships (e.g., a combination of private investments)",Local government (s) and/or agencies|Business and private sector,"Storm surge plan. The plan has been prepared on the basis of the City of Copenhagen's climate adaptation plan from 2010. The climate adaptation plan has been prepared on the basis of IPCC emissions scenario A2, which has been scaled down to local level and assumes a temperature increase of 2-3 degrees in 2100.",Relevant department within jurisdiction|Consultant|Dedicated team within jurisdiction,Plan assesses synergies of actions|Plan assesses co-benefits of actions,2017.0,2100,0,"Sewerage, wastewater management and remediation activities",Cost unknown at this time but listed as zero since field required numerical value
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",6,Row 6,Standalone adaptation plan,Copenhagen Climate Adaptation Plan - 2011.pdf,https://international.kk.dk/sites/default/files/2021-09/Copenhagen%20Climate%20Adaptation%20Plan%20-%202011.pdf,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Monitoring: Information on progress of plan is monitored and publicly reported every 3-5 years|Other: Evaluation of the plan takes place every 4 years|Evaluation: Evaluation of plan takes place every 3-5 years,Underway - significant progress made,Jurisdiction's own resources|Public-private partnerships,Local government (s) and/or agencies|Citizens|Business and private sector,"The climate adaptation plan has been prepared on the basis of IPCC emissions scenario A2, which has been scaled down to local level and assumes a temperature increase of 2-3 degrees in 2100. The plan describes the risk of flooding and financial losses due to flooding from rain and storm surge. In addition, it also touches upon the risk of Urban Heat Island effects and increasing temperatures in a changing world. The plan is further developed and elaborated on in a seperate cloudburst plan and a storm surge plan that describe in more detail the challenges and proposals for solutions, including socio-economic calculations and service goals. New risk assessments are continuously prepared in connection with the preparation of master plans for the implementation of the cloudburst plan.",Relevant department within jurisdiction|Consultant|Dedicated team within jurisdiction,Plan assesses synergies of actions|Plan assesses co-benefits of actions,2011.0,2100,15.1,"Other: Storm surge, Urban Heat Island|Sewerage, wastewater management and remediation activities",n/a
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",7,Row 7,Standalone adaptation plan,Risikostyringsplan.pdf,https://www.kk.dk/sites/default/files/agenda/1e989a09-2799-4d24-9a78-01681700ac3a/cb79c6ba-c807-4a44-b95a-6efcad9200ca-bilag-1_0.pdf,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Other: Updated every six years,Other: Revised and expanded to cover most of the city,Jurisdiction's own resources,Local government (s) and/or agencies|Business and private sector,"The risk management plan was updated based on a revised national assessment of the risk of flood, where the designated risk area for Copenhagen was greatly expanded in 2018. This means a major change in the danger and risk situation for the city and lead to an expanded plan. The revised national assessment builds on updated information from IPCC reports as well as better modelling.",Relevant department within jurisdiction|Dedicated team within jurisdiction,Plan assesses synergies of actions|Plan assesses co-benefits of actions|Plan assesses trade-offs of actions,2021.0,2100,0,"Other: The plan and initiatives cover the entire city, why all sectors in risk of flooding (most of the city) are covered by the plan and its initiatives.",Cost unknown at this time but listed as zero since field required numerical value
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",8,Row 8,Standalone energy-related plan,Energistrategi - Nyt layout.pdf,https://www.kk.dk/sites/default/files/agenda/bd888d00-1c46-4d39-8663-26403b236b94/7596e0fd-5453-444b-8a18-3d6ed75a3c95-bilag-2_0.pdf,The plan has been attached and can be accessed (unrestricted) on the link provided,Other: Covers area corresponding to the capital region district heating network,Other: Processes still being developed.,Underway - limited progress made,Jurisdiction's own resources|Private|Public-private partnerships,Local government (s) and/or agencies|Citizens|Business and private sector,"The Energy strategy aims to be a guideline for development of the regional energy system towards emission reductions and reduction of biomass, and includes targets for example towards more renewable energy generation and reduction of fossil fuel use.",Dedicated team within jurisdiction,Plan assesses synergies of actions|Plan assesses co-benefits of actions|Plan assesses trade-offs of actions,2024,2035,0,"Electricity, gas, steam and air conditioning supply",n/a
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,City,UKWW,United Kingdom,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",1,Row 1,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",Net_Zero_Carbon_Route_Map_for_Coventry.pdf,Climate Change and Sustainability Action Plan - https://www.coventry.gov.uk/climate-change/tackling-climate-change/2,The plan has been attached,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Evaluation: Evaluation of plan takes place annually or more frequently than annually|Monitoring: Information on progress of plan is monitored and publicly reported every 3-5 years|Update: Updates to the plan are published annually or more frequently than annually,New,Public-private partnerships|Regional funds and programmes|Jurisdiction's own resources|National funds and programmes,Vulnerable population groups|Non-governmental organisations|Citizens|State/regional government(s) and/or agencies|Academia|Business and private sector|Local government (s) and/or agencies,"Targets are advised by a Zero Carbon Routemap (attached) for Coventry developed by Professor Gouldson, an economist and environmentalist who has worked closely with Central Government and is founder director of the Economic & Social Research Council's (ESRC) Centre for Climate Change Economics & Policy. His methodology is recognised by the UK Government and has been used to create Zero Carbon Routemaps for other major cities like Edinburgh, Glasgow, Belfast, Leeds, Swansea and Cambridge. The Routemap should inform our target commitments and help the partnership to develop an achievable pathway to net zero in keeping with national and international recommendations. The figures quoted are based upon those identified in the Zero Carbon Routemap an educated estimate conducted by Professor Andy Goulson sustainability advisor to the UK's Investment Bank the figures are a total with an annual investment over the next 15 years of £145m/yr. Obviously this is not an amaount the City has available as a lump sum but an indicator of the level of investment required across the City to make a zero carbon future possible by the 2050 target date. This applies to and all the other examples listed below they are not funded fully and that a key challenge for the City is to secure funding from whatever sources over time.",Dedicated team within jurisdiction,Plan assesses synergies of actions|Plan assesses trade-offs of actions|Plan assesses co-benefits of actions,2023,2030,30000000,"Water supply|Education|Real estate activities|Arts, entertainment and recreation|Sewerage, wastewater management and remediation activities|Construction|Administrative and support service activities|Electricity, gas, steam and air conditioning supply|Accommodation and food service activities|Public administration and defence; compulsory social security|Other: Essentially covers all aspects of ativity across the City as a whole.|Waste management|Human health and social work activities|Conservation|Transportation and storage|Information and communication",Action plan approved and adopted by Full Council Net Zero Route map which informed it is also attached. Also extensive consultation with communities and other tsakeholders shaped the plan for the future.
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,City,UKWW,United Kingdom,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",2,Row 2,Standalone adaptation plan,West-Midlands-Climate-Change-Risk-Assmt-Adaptation-Plan-2021-26.pdf,https://www.sustainabilitywestmidlands.org.uk/resources/west-midlands-climate-change-adaptation-plan-2021-2026/,The plan can be accessed (unrestricted) on the link provided,Other: Regional Plan - West Midlands,Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually,Underway - moderate progress made,"National funds and programmes|Private partnerships (e.g., a combination of private investments)|Regional funds and programmes",Business and private sector|Other: adaptation experts|Local government (s) and/or agencies|State/regional government(s) and/or agencies|Non-governmental organisations,"Projected changes in Mean Annual Temperature, Mean Winter Temperature, Mean Summer Temperature, Mean Summer Precipitation and Mean Winter Precipitation has influenced the actions included in the plan.",Relevant department within jurisdiction,Plan assesses trade-offs of actions|Plan assesses co-benefits of actions|Plan assesses synergies of actions,2021,2026,1,"Waste management|Information and communication|Construction|Public administration and defence; compulsory social security|Forestry|Conservation|Education|Manufacturing|Sewerage, wastewater management and remediation activities|Accommodation and food service activities|Financial and insurance activities|Electricity, gas, steam and air conditioning supply|Arts, entertainment and recreation|Real estate activities|Professional, scientific and technical activities|Water supply|Administrative and support service activities|Human health and social work activities|Agriculture|Other: essentially all activities across the city likely to be affected.|Transportation and storage",Adaptation and Resilience Pathway Group consisting of 15 organisations with interests and a stake in Adaptation & Resilience reporting to the Climate Change Board. Undertook a series of workshops and interactive activities which engaged all organisations concerned including the voluntary sector. Also supported by DEFRA and the Met Office as an ARP4 Reporting Authority pilot and the WMCA using the University of Birmingham assessment tool which assisted in identifying priority actions and the areas of interest with assessments of risk against the CCRA3 key risk indicators. Supported by consultants and the Council's GIS Team and the WMCA's CRVA Assessment Tool for a whole spectrum of environmental risk factors and assessment of economic impacts of certain risk factors using data of impact assessments from the University of Birmingham.
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,City,UKWW,United Kingdom,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",3,Row 3,"Integrated climate plan (addressing mitigation, adaptation and energy-related issues)",,Climate Change Strategy\nhttps://www.coventry.gov.uk/climate-change/climate-change-strategy,The plan can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Evaluation: Evaluation of plan takes place every 3-5 years|Update: Updates to the plan are published annually or more frequently than annually,New,Private|Jurisdiction's own resources|National funds and programmes|Public-private partnerships|Regional funds and programmes,Local government (s) and/or agencies|Non-governmental organisations|Vulnerable population groups|Academia|State/regional government(s) and/or agencies|Business and private sector|Citizens,"The City Council with its partners on the Climate Change Board are working together across five Pathway Groups - Circular Economy, Fairer Green Futures, Route to Net Zero, Nature Based and Adaptation & Resilience. 15 private, public and charitable sector organisations are involved in this work.",Dedicated team within jurisdiction,Plan assesses trade-offs of actions|Plan assesses synergies of actions|Plan assesses co-benefits of actions,2024,2030,2175000000,"Arts, entertainment and recreation|Water supply|Construction|Information and communication|Public administration and defence; compulsory social security|Wholesale and retail trade; repair of motor vehicles and motorcycles|Real estate activities|Waste management|Human health and social work activities|Accommodation and food service activities|Transportation and storage|Other: Essentiall all activities that can impact upon our City.|Financial and insurance activities|Manufacturing|Administrative and support service activities|Education|Electricity, gas, steam and air conditioning supply|Conservation|Sewerage, wastewater management and remediation activities|Professional, scientific and technical activities",Climate Change Strategy is complete and recieved approval by full Council. The Strategy addresses the following ICLEI Pathways \n- Carbon reduction\n- Circular Economy\n- Biodiversity\n- Adaptation & resilience\n- Just Transition & equitable development
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,City,UKWW,United Kingdom,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",4,Row 4,Standalone adaptation plan,"CCC Adaptation & Resilience Strategy for CDP.docx,Coventry ARP 4 Report Final.docx,Draft Climate Change Risk Assessment for Coventry City Council V5.docx","Coventry Adaptation & Resilience Risk Assessment, Strategy & Plan\nCovers all aspects of adaptation and resilience addressing all relevant CCRA3 National indicators at the City level. also attached is the ARP4 Report.\n\nIt is very dificult to put a figure on the overall cost to achieve these objectives but to give an idea of the scale Severn Trent submitted a private investment case for £75m towards the initial development of SUDs across the City only to have OFWAT the regulatory body oppose it on grounds of potential impact upon consumer prices. The City Council supported Severn Trent in an appeal against the decision and presented this as evidence to DEFRA in considerations for the future role of the proposed new regulatory body.",The plan has been attached,"Other: Some elements are shared with the NHS and Warwickshire County Council and Solihull - WCC, Solihull & Coventry work in Partnership regards to emergency planning etc.",Monitoring: Information on progress of plan is monitored and publicly reported annually or more frequently than annually|Monitoring: Information on progress of plan is monitored and publicly reported every 3-5 years,New,Regional funds and programmes|Jurisdiction's own resources|National funds and programmes,"Non-governmental organisations|Business and private sector|Vulnerable population groups|Other: Agencies and communities engaged Plan developed in partnership with 15 private, public and voluntary sector organisations with oversight from the Independent Climate Change Board.|Citizens|Academia|Local government (s) and/or agencies","Projected changes in Mean Annual Temperature, Mean Winter Temperature, Mean Summer Temperature, Mean Summer Precipitation and Mean Winter Precipitation has influenced the actions included in the plan. Working with DEFRA and MET Office to establish predicted trends for the future and use of the GIS Layers and data from Universities such as Uni of Birmingham, Cov Uni and Met Office to obtain more granular data for heat maps flood risk temperatures and precipitation etc.",Consultant|Dedicated team within jurisdiction,Plan assesses trade-offs of actions|Plan assesses co-benefits of actions|Plan assesses synergies of actions,2025,2030,2175000001,"Sewerage, wastewater management and remediation activities|Other: In fact all areas of activity which can impact upon adaptation and resilience across the City.|Education|Administrative and support service activities|Real estate activities|Transportation and storage|Professional, scientific and technical activities|Financial and insurance activities|Electricity, gas, steam and air conditioning supply|Conservation|Human health and social work activities|Information and communication|Construction|Forestry|Arts, entertainment and recreation|Water supply|Wholesale and retail trade; repair of motor vehicles and motorcycles|Public administration and defence; compulsory social security|Waste management|Manufacturing|Accommodation and food service activities",Coventry was selected by DEFRA to be one of the UK's first voluntary ARP4 Reporting Local Authorities which incoporated all of the City Council and Adaptation & Resilience Pathway Group's work a partnership of some 15 private public and voluntary sector organisations which are answerable to the Independent Climate Change Board and also the City Council who's Head of Sustainability & Climate Change working closely with the Environment Agency lead who Chairs the Pathway Group in carrying out a detailed risk assessment for all of the CCRA3 Risk indicators deemed applicable to Coventry as a city. A Strategy and Action Plan identifies the high and medium priority risks with approx 150 specific actions to address. See all documents attached and the link to the ARP4 report can be found here:\nhttps://www.coventry.gov.uk/climate-change/climate-change-adaptation-report-round-4\n
2025 Disclosure Cycle,779465,CDP,31051,Coventry City Council,City,UKWW,United Kingdom,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",5,Row 5,Standalone energy-related plan,Net_Zero_Carbon_Route_Map_for_Coventry (1).pdf,A Net Zero Routemap for Coventry\n\nhttps://www.coventry.gov.uk/downloads/file/40013/net-zero-carbon-route-map-for-coventry,The plan has been attached and can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Other: Provides an assessment and overview of priority actions and resulting carbon reductions for the City as a whole,Underway - limited progress made,Jurisdiction's own resources|National funds and programmes|Regional funds and programmes,Business and private sector|Citizens|Other: All sectors which contribute to energy use in the City|Local government (s) and/or agencies,"Professor Andy Gouldson (senior sustainability advisor to the UK Investment Bank) and his team at Leeds University undertook this study using the same methodology which was used for Glasgow ahead of COP26. I maps out different scenarios and assesses impacts of policy areas on carbon reduction including profiling against targets and prioritising areas of activity to help inform the City's Strategy. The Routemap is a high level strategic document that profiles the priority areas for action and estimated costs at a global level the figures involved are alarming to any organisation working with budgetary limitations this also looks at investment payback and returns from an economic as well as a carbon perspective and was a significant factor in making the case to develop a strategic energy partnership with private investors etc. the figures needed to achieve a zero. The total bill for achieving net zero comes in at £2,175m over a 15 yr period around £145m/yr. ",Dedicated team within jurisdiction|Consultant,Plan assesses trade-offs of actions|Plan assesses synergies of actions|Plan assesses co-benefits of actions,2023,2030,2175000000,"Accommodation and food service activities|Transportation and storage|Public administration and defence; compulsory social security|Agriculture|Information and communication|Other: Any organisations or activities operating in the City which contribute to carbon emissions.|Wholesale and retail trade; repair of motor vehicles and motorcycles|Administrative and support service activities|Real estate activities|Forestry|Manufacturing|Waste management|Arts, entertainment and recreation",The Routemap was a fundamental overview commissioned to inform Cabinet and the City's Independent Climate Change Board to understand the various areas of activity and sectors involved and which are most likely to achieve carbon reduction savings over time by activity and sector and the likely returns from a series of different policies and activities and what they could achieve during the course of time and how they will contribute to achieving net zero. It is impossible to assign a figure concerning budgets which can be delivered in the 2030 to 2050 timeframe but this gives us an estimation of what the overall costs are likely to be for the City as a whole much of which will have to come from private investment and as the economy shifts with better alignment with this agenda one is hoping that investment levels will increase dramatically.
2025 Disclosure Cycle,779465,CDP,31052,City of Cardiff,City,UKWW,United Kingdom,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",1,Row 1,Standalone mitigation plan,,https://www.oneplanetcardiff.co.uk/\n,The plan can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Evaluation: Evaluation of plan takes place annually or more frequently than annually,Underway - limited progress made,Jurisdiction's own resources,Academia|Citizens|Non-governmental organisations|State/regional government(s) and/or agencies|Business and private sector|Local government (s) and/or agencies,Local Climate Impact plan ,Consultant|Relevant department within jurisdiction,Plan assesses co-benefits of actions,2020,2030,0,"Professional, scientific and technical activities|Education|Conservation|Transportation and storage|Water supply|Financial and insurance activities|Sewerage, wastewater management and remediation activities|Human health and social work activities|Waste management|Electricity, gas, steam and air conditioning supply",Actions not all costed.
2025 Disclosure Cycle,779465,CDP,31054,Belfast City Council,City,UKWW,United Kingdom,Public,Q8.1.1,"Report details on the climate action plan or strategy that addresses mitigation, adaptation (resilience), and/or energy-related issues in your jurisdiction.",1,Row 1,Standalone mitigation plan,,https://pcancities.org.uk/sites/default/files/Belfast%20Net-Zero%20Carbon%20Roadmap_0.pdf,The plan can be accessed (unrestricted) on the link provided,Same (jurisdiction-wide) - covers entire jurisdiction and nothing else,Evaluation: Evaluation of plan takes place every 3-5 years,Underway - significant progress made,Public-private partnerships|Regional funds and programmes|Jurisdiction's own resources,Business and private sector|Citizens|State/regional government(s) and/or agencies|Academia,"To set science-based carbon reduction targets for an area, we take the total global level of emissions that the IPCC suggests gives us a 66% chance of limiting average levels of warming to 1.5ºC, and divide it according to the share of the global population living in the area in question. This enables us to set the total carbon budget for an area that is consistent with a global budget. To set targets for carbon reduction, we then calculate the annual percentage reductions from the current level that are required to enable an area to stay within its overall carbon budget. The plan was informed by the Resilience Strategy that highlighted the impacts of rising sea levels and temperatures (amongst other things) on the city.",,,,,,,"Belfast is a member of the Place Based Climate Action Network, along with Leeds and Edinburgh. The Leeds team led by Professor Andy Gouldson authored the Belfast Net Zero Carbon Roadmap. Utilising data from the Belfast Net Zero Carbon Roadmap the UK Cities Climate Investment Commission has estimated a cost of 451m - 935m to reach our target. "
