disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Select a reference ID for the target,col2_Target type^,col3_Boundary of target relative to jurisdiction boundary^,col4_Gases covered by target,col5_Emissions sources covered by target^,col6_Is this target a net zero target?,col7_Are carbon credits currently used or planned to be used to achieve this target?^,col8_Percentage of target to be met using carbon credits generated from outside jurisdiction or target boundary^,"col9_Are residual emissions expected in the net zero target year? If residual emissions are expected, explain why these emissions cannot be reduced",col10_Percentage of net zero target that is expected to remain as residual emissions in the target year,col11_Year target was established,col12_Emissions covered by target in year target was established (metric tonnes CO2e),col13_Base year^,col14_Base year emissions covered by target (metric tonnes CO2e)^,col15_Emissions intensity figure in base year (metric tonnes CO2e per capita or GDP)^,col16_Target year^,col17_Estimated business as usual emissions in target year (metric tonnes CO2e)^,col18_Percentage of emissions reduction (including offsets and carbon dioxide removal)^,col19_Net emissions in target year (including offsets and carbon dioxide removal) (metric tonnes CO2e) [auto-calculated]^,col20_Net emissions in target year (including offsets and carbon dioxide removal) (metric tonnes CO2e)^,col21_Specify if target is considered a science-based target (SBT) and the SBT methodology it aligns to,col22_Emissions covered by target in most recent inventory (metric tonnes CO2e),col23_Alignment with Nationally Determined Contribution,col24_Select the conditional components of your emissions reduction target,col25_Target status and progress made towards target,col26_Please explain
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 2,Base year emissions (absolute) target,Government operations - covers only emission sources owned and operated by jurisdictions government,SF6|N2O|PFCs|NF3|CH4|CO2|HFCs,All direct emissions (scope 1 or 'territorial') and indirect emissions from grid-supplied energy (scope 2) included in jurisdiction inventory,Yes,,,Do not know,,2022,1054,2018,1547,,2030,,100.0,0.00,,,764,This target is more ambitious than the Nationally Determined Contribution,"Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)",Underway - moderate progress made,Funding is likely to be required for further decarbonisation of buildings and vehicles. 
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",3,Row 3,Target 3,Base year emissions (absolute) target,Government operations - covers only emission sources owned and operated by jurisdictions government,CH4|NF3|N2O|CO2|SF6|PFCs|HFCs,Other: Council's Scope 3 emissions only,"No, but it is a mid-term target towards our net zero target","Yes, but the number of credits required has not been quantified",,,,2022,104566,2018,182213,,2030,,50.4,90377.65,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Other: Used Science-Based Targets Initiative tool to calculate target reduction %",123647,This target is as ambitious as the Nationally Determined Contribution,Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration,Underway - limited progress made,Target depends on contractors and suppliers. 
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",4,Row 4,Target 4,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CO2|N2O|CH4,All BASIC (GPC) emissions sources which are included in jurisdiction inventory,"No, but it is a mid-term target towards our net zero target",Do not know,,,,2024,,2018,4541552,,2035,,71.4,1298883.87,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Other: Used SBTi tool to calculate target",3832532,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government",Underway - moderate progress made,"Target excludes LULUCF and agriculture emissions.\n\n2024 emissions data not yet available, this is due to be published in 2026 (2 year data lag).\n\nThe latest data available is 2023."
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CO2,All emissions sources which are included in the jurisdiction inventory,No,"No, this target will not use carbon credits",,,,2022,31035000,2017,31035000,,2040,,62,11793300.00,,"No, our jurisdiction does not consider the target to be science-based (select future intention to set a SBT): But we are committed to setting a science-based target in the next 2 years",27660000,Do not know if this target is as ambitious as the Nationally Determined Contribution,"Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration",Underway - limited progress made,"The City of Chicago continues to advance its 2022 Climate Action Plan (CAP), developed using the C40 Deadline 2020 framework and aligned with the Climate and Equitable Jobs Act (CEJA). The plan prioritizes workforce development, energy justice investments, and a transition to a renewable energy economy.\n\nIn 2023, analysis of the Inflation Reduction Act (IRA) suggested that Chicago could surpass its 2040 emissions reduction target. However, recent federal rollbacks—such as the weakening of clean energy tax incentives under the One Big Beautiful Bill Act and the U.S. EPA's proposed revocation of its endangerment finding for vehicle-related greenhouse gas emissions—pose serious risks to the pace and scale of progress. Despite diminished federal support, Chicago remains steadfast in its climate goals and continues to lead with policies rooted in equity, science, and resilience.\n\nhttps://www.chicago.gov/content/dam/city/sites/climate-action-plan/documents/BA_Chicago-CAP-Addendum_20230508_Reduced.pdf"
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 3,Base year emissions (absolute) target,Other: NYC DEP operational emissions includes emissions from activity outside the 5 boroughs in the watershed.,CO2|N2O|CH4,All direct emissions (scope 1 or 'territorial') and indirect emissions from grid-supplied energy (scope 2) included in jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","Yes, but the number of credits required has not been quantified",,,,2014,3281678,2006,3870790,,2030,,50,1935395.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): Other: LGOP",2889310,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government",Underway - moderate progress made,Our 50% emissions reduction goal is dependent on the Champlain Hudson Power Express going online in 2026
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CO2|CH4|N2O,All BASIC (GPC) emissions sources which are included in jurisdiction inventory,"No, but it is a mid-term target towards our net zero target","No, this target will not use carbon credits",,,,2014,54686940,2005.0,64738138,,2030.0,,40.0,38842882.80,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",53653540,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on additional state or regional/national legislation, regulation and/or policy",Underway - moderate progress made,"NYC does not have direct control of the utilities or the MTA-NYCT (subway and bus system), which limits the city's ability to directly achieve emissions reductions. However, the city is committed to reducing it's emissions from government operations."
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",3,Row 3,Target 2,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CO2|N2O|CH4,All emissions sources which are included in the jurisdiction inventory,Yes,,,"Other: we anticipate at least that 15% of emissions will still occur in boundary, so there is a need for carbon credits or renewable fuels in 2050",15,2014,54686940,2005.0,64738138,,2050.0,,100.0,0.00,,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): C40 Cities Deadline 2020",53653540,This target is as ambitious as the Nationally Determined Contribution,"Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government",Underway - moderate progress made,"NYC does not have direct control of the utilities or the MTA-NYCT (subway and bus system), which limits the city's ability to directly achieve emissions reductions. However, the city is committed to enabling a policy environment and clean energy economy that would help the community reach this ambitious goal."
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Base year emissions (absolute) target,Same - covers entire jurisdiction and nothing else,CH4|SF6|HFCs|CO2|PFCs|NF3|N2O,All BASIC (GPC) emissions sources which are included in jurisdiction inventory,Yes,,,"Other: These are expected to be 22% in 2030 (reducing to 5% by 2050). While the Mayor has adopted the ambitious 'Accelerated Green' pathway to net zero, residual emissions remain in 2030, we will explore approaches to offset these over this Mayoral term.",22,2021,28671462,1990,45364793,,2030,,100,0.00,,"No, our jurisdiction does not consider the target to be science-based (select future intention to set a SBT): We are not committed to setting a science-based in the next 2 years",28671462,This target is more ambitious than the Nationally Determined Contribution,"Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on the development or scaling up of other innovative technologies|Target is conditional on a reduction in emissions from air travel that is outside the direct control of jurisdiction administration|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Conditional on the provision of national funding for infrastructure (e.g., renewable energy generation, energy efficiency measures etc.)|Target is conditional on the implementation of carbon capture and storage (CCS) technology|Target is conditional on mitigation in emissions sources that are controlled by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration",Underway - moderate progress made,"London has a net zero target for 2030. London's target is more ambitious than the UK's target to be net zero by 2050. The UK's NDC commits to a 68% reduction in emissions by 2030 compared to 1990 levels. Note: 'Covered emissions in year target was established (metric tonnes CO2e)' includes emissions in 2021, but in our CDP entry last year we reported emissions from 2019 for this question as we hadn't yet published a 2021 emissions inventory."
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",1,Row 1,Target 1,Fixed-level target,Same - covers entire jurisdiction and nothing else,CO2|CH4|N2O,All emissions sources which are included in the jurisdiction inventory,Yes,,,Other: Residual emissions from transport and incinerated waste for heating expected by 2030 as an intermediate goal to become fossil-free by 2040. Neutralisation is planned through bio-energy carbon capture and storage within the geographical boundary.,50,2022,1234200,,,,2030,,,,600000,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",1219000,This target is more ambitious than the Nationally Determined Contribution,"Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on additional state or regional/national legislation, regulation and/or policy|Target is conditional on the implementation of carbon capture and storage (CCS) technology",Underway - moderate progress made,"The city's target is to become climate positive by 2030 which is interpreted as net zero emissions. This target aligns with and exceeds the national target of net zero emissions by 2045. The reduction of emissions is not quantified in the target, but is estimated to 80% since 1990. Carbon neutrality is planned to be achieved using local scope 1 carbon removal such as biochar production and BECCS connected to bio-CHP. Neutralisation is needed for emissions caused by residual plastic in incinerated waste to energy recovery, international waterborne navigation and some parts of the transport sector."
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",2,Row 2,Target 4,Fixed-level target,Same - covers entire jurisdiction and nothing else,CO2|CH4|N2O,All emissions sources which are included in the jurisdiction inventory,Yes,,,Other: Only very small hard-to-abate emissions are expected in 2040,4,2015,2458000,,,,2040,,,,100000,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",1219000,This target is more ambitious than the Nationally Determined Contribution,"Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on complete implementation of legislation, regulation and/or policy set by a higher level of government|Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration",Underway - significant progress made,The City's target is to be fossil-free by 2040 which is interpreted as no use of fossil energy and zero emissions of greenhouse gases. This target is considered equally important as target 1. This target is not dependant on carbon removals as BECCS. It is important that the city works to phase out fossil energy as fast as possible. Using CCS technology cannot be an argument for continuing to use fossil energy but a way to neutralise the hardest-to-abate residual emissions.
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q6.1.1,"Provide details of your emissions reduction target(s). Please report both long-term and mid-term targets, if applicable.",3,Row 3,Target 3,Base year intensity target based on emissions per capita,Same - covers entire jurisdiction and nothing else,CO2|N2O|CH4,All emissions sources which are included in the jurisdiction inventory,No,"No, this target will not use carbon credits",,,,2024,1234200,1990,3669000.0,5.4,2030,,89,,600000,"Yes, our jurisdiction considers the target to be science-based (select applicable methodology): WWF's One Planet City Challenge (OPCC)",1219000,This target is more ambitious than the Nationally Determined Contribution,"Target is conditional on mitigation in emissions sources that are controlled by private entity outside of direct control of jurisdiction administration|Target is conditional on the decarbonization of the electricity grid that is outside the direct control of jurisdiction administration|Target is conditional on additional state or regional/national legislation, regulation and/or policy",Underway - limited progress made,"The city's target is to have 0,6 tons of Co2e per capita in 2030. This is a target aiming at Target 1 with the same coverage. In fact, this is a \'fixed level intensity target based on per capita emissions\' but this option does not exist in your template. Percentage of emission reductions is interpreted as target year."
