disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total scope 1 emissions (metric tonnes CO2e),col2_Total scope 2 emissions (metric tonnes CO2e),col3_Total scope 3 emissions (metric tonnes CO2e),col4_Comment
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,117729.0,256557.0,27211.0,"When we report our emissions, we plan to report both market- and location-based scope 2 emissions to reflect the PPA and other renewable energy purchases made by our Department of General Services. The Scope 2 figures here represent location-based calculations."
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,4849.46,522.43,4727.6,"City of Melbourne signed a ten-year Power Purchase Agreement with Tango Energy/Pacific Hydro for 100% renewable electricity which began in 2019. As a result, almost all of our Council's corporate electricity consumption is underwritten by renewable energy certificates."
2025 Disclosure Cycle,779465,CDP,31111,Tokyo Metropolitan Government,City,Japan,Japan,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,511278,1210133,8058,
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,0,791000,0,独自の計算方法のためスコープ1～3ごとではなく、総量を示した。
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,8051.47,0.0,4502.43,"Reduction in emissions since base year due to energy efficiency upgrades, LED street lighting, and electrification of fleet and properties."
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,177351,250284,0,"The local emissions inventory, conducted once, indicated a potential and suggestive quantity of emissions that the city could mitigate through its operations.The inventory shows that the city municipal operations are highly energy- and waste-treatment intensive, with wastewater facilities as the largest single source of emissions.Johannesburg, boasting a considerable budget of over R80 billion — the highest among South Africa's metropolitan municipalities — dedicates more than R7 billion to capital expenditure. As a result, the city has considerable influence to reduce emissions through its new infrastructure projects. Now there is even more clarity on the city's climate action policy signals to enable a shift towards transformational internal activities that can reduce GHG emissions and increase resilience. \n\nPlease note: Scope 3 was not reported (due to data gaps)."
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,740137.11,78648.29,13067.19,"Values may differ from what was reported in the 2022 SBEI above, as emission factors and activity data is updated yearly and used to recalculate previous years' emissions."
2025 Disclosure Cycle,779465,CDP,31146,Addis Ababa City Administration,City,UKWW,Ethiopia,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,5845259,382,1947652,
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,10115,24333,2644,"After a 18% increase between 2018 and 2019, municipal GHG emissions dropped by 32% from 2019 to 2020, mostly due to the 2020 lock down measures (many employees worked from home, while nursery and school buildings had remained closed for 15 weeks in 2020) and then declined another 12% between 2020 and 2021. However, municipal emissions slightly increased by 5% between 2022 and 2021, potentially due to the return to normality after COVID-19 lockdowns. Although, it was noted that there was no full rebound to the emission levels of the previous years (especially from 2019 and before). It is worth saying that there has been a significant reduction for streetlighting emissions, as an LED installation contract is been in progress of implementation and will be completed by the end of 2025 througout the city."
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,290741,,,"This includes the emissions of the public properties of the districts, the BIM as landlord of the main administrations and the sports facilities. The emission factors are from the Office for Statistics Berlin-Brandenburg from 2022 and the consumptions are the current values from 2023 from the Energy Management Office."
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,521605.44,96022.98,0,No fueron estimadas las emisiones de alcance 3 para las operaciones del gobierno distrital
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,4002.47,7359.18,0,"Como mencionado anteriormente, essas emissões referem-se apenas as entidades do Governo Municipal de Curitiba.\t\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\t"
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,702920,1007875,,"Total institutional greenhouse gas emission amount of IMM is 1,710,795 tCO2e. Base year of the inventory calculation is 2022."
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,230,9862,2132,no comment
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,29664420,33419735,0,Pelaksanaan Perhitungan Emisi GRK sampai pada Scope 2.
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,4697.62,3303.41,23178.85,Es importante precisar que el total de la huella corporativa para el año 2019 es de 31179.8815 tCO2e
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,414108,876791,2562399,
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,55065,0.0,0,"scope 3 \nnot estimated\n\nscope 2 is \'0\' as the municipality electricity supply is entirely green, i.e. certified from renewable energy sources"
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,46099,30745,119033,"These datas are extracted from governments operations 2023 previously linked excel file, you can refer to \'CDP 2018\' sheet. All emissions factors from ADEME'S national carbon database : https://bilans-ges.ademe.fr/"
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,12491,1524,664,Total scope 3 emissions comprise business travel. Data from 2023. 
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,142837.57,293371.09,10125.76,N/A
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,15600,165296,0,GHG emissions data is from 2022 inventory. See municipal slide on the SF Environment Climate Dashboard linked below. https://www.sfenvironment.org/san-franciscos-climate-storyboard
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,863000,498000,0,The total government operations emissions are the sums of the emissions from the facilities that were subject to the emissions trading scheme in 2024.
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,77361,48107,,
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,7274,322177,10753,"Emissions local government include operations such as office buildings, libraries, streetlights, traffic lights and water treatment plants\n\nScope 1: 15% decrease in emissions compared to 2022 despite an increase of 8% in stationary diesel use in response to increased power cuts. This can be attributed to a methodology change causing a significant decrease in kerosene (paraffin) consumption from 690 590 litres in 2022 to 760 litres in 2023. The 2022 figure was not strictly from local government records and was rather based on the wholesale level survey of oil majors by the Department of Electricity and Energy.\n\nScope 2: Methodology improvements increased the estimates of electricity supply to municipal offices in the Eskom supply area from 24 GWh in 2022 to 66 GWh in 2023. This resulted in a 7% overall increase in emissions attributed to local government, in spite of more frequent power supply interruptions in 2023.\n\nScope 3: 2023 showed a 75% decrease in emissions with losses calculated at 11 882 MWh (2023). This significant reduction was due to a revision in the transmission loss factor from 12.7% to 2.2% as reported by the national utility, Eskom. The previous transmission loss factor of 12.7% (calculated by subtracting sales from supply) was found to be incorrectly taking into account losses from Eskom's distribution and transmission network. \n"
2025 Disclosure Cycle,779465,CDP,35859,"City of Cleveland, OH",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,53701,144711,12916,
2025 Disclosure Cycle,779465,CDP,35860,"City of Dallas, TX",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,7629748.1,6422219,4589353,
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,12077477,8463206,4959536,eThekwini 2023 CIRIS 
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,10537203.0,8850441.0,,
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,5342,38565,0,"Os resultados obtidos por meio da utilização da ferramenta CIRIS são descritos de acordo com os setores de emissão em observância à metodologia GPC. Em 2021, as emissões totais de Gases de Efeito Estufa no município de Fortaleza alcançaram 4.128.082 tCO₂e, correspondendo a 1,5 tCO₂e/hab/ano.\n\nO setor de Transporte permaneceu como o principal contribuinte, com 1.704.323 tCO₂e, seguido pelas Fontes Estacionárias, responsáveis por 1.025.560 tCO₂e, e pelo setor de Resíduos, que totalizou 1.398.199 tCO₂e. Esses três setores concentram a totalidade das emissões inventariadas para o município em 2021. "
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,29811,27135,11991,As per 2023 ICLEI Clearpath report. 
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,575.1,900.09,2244.58,Inventario corresponde a emisiones de las operaciones del principal edificio administrativo de la ciudad.
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,260453,218569,33779,"The Phoenix 2022 Greenhouse Gas (GHG) Emissions Inventory for Government Operations is the sixth update to the City of Phoenix (the City) government operations GHG emissions inventory. The initial GHG inventory of government operations covered calendar year 2005 and was published in 2009. The total scope 1, scope 2, and scope 3 emissions for the Phoenix government operations in 2022 were 512,801 MTCO2e. The climate action plan projected that GHG emissions from the City's government operations would increase by 14% over 2005 levels if no actions were taken. As a result, the Phoenix City Council, in December 2008, adopted a mandate to reduce GHG emissions from government operations to 5% below the 2005 GHG emissions levels by 2015. In 2013, the City conducted a GHG emissions inventory for calendar year 2012 to track progress toward the 2015 GHG emissions reduction goal. The Phoenix 2012 GHG Emissions Inventory for Government Operations found that GHG emissions from government operations had decreased 7.2%, exceeding the City's 2015 goal. Shortly thereafter, the Phoenix City Council adopted a new goal to reduce government operations GHG emissions to 15% below 2005 levels by 2015. The Phoenix 2015 GHG Emissions Inventory for Government Operations found that government operations GHG emissions were reduced by 15.6%, thus meeting the updated 2015 GHG emissions goal. In 2017, the City updated its government operations GHG emissions reduction goal to 40% below 2005 levels by 2025. The Phoenix 2022 GHG Emissions Inventory for Government Operations provides data-driven progress tracking towards the 2025 goal. The City of Phoenix 2022 GHG Emissions Inventory for Government Operations in 2022 was 96,201 MT CO₂e (16%) below 2018 levels and 206,314 MT CO₂e (29%) below 2005 levels. A further reduction in the GHG intensity of government operations is needed between 2022 and 2025 to meet the stated GHG emissions reduction goals - 40% below 2005 levels by 2025. The City has achieved significant GHG emissions reductions despite having grown by approximately 300,000 people since 2005. Accordingly, the per capita GHG intensity of the City's government operations has fallen 41% from 0.52 to 0.31 MT CO2e per resident between 2005 and 2022. "
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,7374,40115,,Municipal scope 1 includes the government fleet. Municipal scope 2 refers to energy 
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,179525,1248,0,The teams responsible for procurement have been trained for scope 3 of the ghg protocol.\nData collection for Scope 3 Category 1 and 2 has begun. Part of scope 3 should be available for the next disclosure.\n
2025 Disclosure Cycle,779465,CDP,35914,Greater Hyderabad Municipal Corporation,City,India,India,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,11601.18,100383.84,,
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,1367002,2244854,,
2025 Disclosure Cycle,779465,CDP,36032,Ville de Dakar,City,UKWW,Senegal,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,2637330,1141201,542260,n/a
2025 Disclosure Cycle,779465,CDP,36159,City of Lisbon,City,Europe,Portugal,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,8100.0,20962.0,2046.0,"Gov operations emissions include:\nScope 1: Mobile combustion (Diesel/Petrol) and Stationary combustion (Natural Gas)\nScope 2: Eletricity\nScope 3: Transmissions & Distribution losses (Electricity grid)\n\nScope 2 details:\nScope 2 - MB (2020) = 2 0,962 tonnes CO2e\nScope 2 - LB (2020) = 15,842 tonnes CO2e"
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,1448.0,1128.0,35418.0,El informe de emisiones de Gobierno sse efecctuó en el 2012.
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,14004,3045,496807,Data from “Auckland Council Corporate Greenhouse Inventory FY 2023/24”.
2025 Disclosure Cycle,779465,CDP,43938,"Environment and Climate Change Authority, Govt of Dubai",City,UKWW,United Arab Emirates,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,3367842.9,25671498,0,Scope 3 emissions not calculated.
2025 Disclosure Cycle,779465,CDP,44180,Daegu Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,632700000,,,"This dataset, provided by the Greenhouse Gas Inventory and Research Center (GIR) of the Ministry of Environment, presents South Korea's 2022 greenhouse gas emissions. It includes only direct emissions (Scope 1) for Daegu Metropolitan City, and does not include indirect emissions (Scope 2) or other indirect emissions (Scope 3)."
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,6688.58,257243.0,,
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,City,UKWW,South Africa,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,8309124.0,10668311.0,1412966,No comment
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,City,Latin America,Brazil,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,0,80000,0,"No Inventário de Emissões do Plano de Ação Climática de Teresina, o consumo de energia pelo setor público é composto por duas subcategorias:\ninstitucional e iluminação pública. Em 2018, o consumo de energia elétrica\ninstitucional foi responsável 80 ktCO2e e a iluminação pública por 23 ktCO2e,\nrepresentando respectivamente 13% e 4% das emissões relacionadas ao\nconsumo de energia elétrica. No ano seguinte (2019), as emissões pelo consumo\nde energia elétrica pelo poder público foram de 82 ktCO2e (institucional) e 23\nktCO2e (iluminação pública), 13% e 4% respectivamente.\nEm 2020, as emissões da subcategoria institucional foram de 53 ktCO2e (10%)\ne da iluminação pública equivaleram a 20 ktCO2e (4%). Com base nos dados disponibilizados pelo GCOM, no link https://dataportalforcities.org/pt/america-latina-e-caribe/brasil/piaui/teresina, realizamos o cálculo de Estimativa 2023 — setor público de Teresina:\nTotal da cidade (2023): 1.497.694 tCO₂e;\nSe o setor público manteve participação semelhante (~17% do consumo de eletricidade), podemos aproximar:\nEscopo 2 - energia elétrica (institucional + iluminação pública):\n≈ 74-80 ktCO₂e\nEscopo 1 - emissões diretas (combustão própria):\n≈ 0 ktCO₂e (não foi reportado no inventário e não há evidências de mudança significativa).\nEscopo 3 - emissões indiretas (cadeia de suprimentos, construção, etc.):\nO inventário não reporta para o setor público. Para manter consistência, considera-se não contabilizado (0 ktCO₂e)."
2025 Disclosure Cycle,779465,CDP,54298,Dalian Municipal People's Government,City,China,China,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,466.56,0,0,大连市生态环境局2023年温室气体排放清单
2025 Disclosure Cycle,779465,CDP,54305,Rajkot Municipal Corporation,City,India,India,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,3153.15,60949.07,,Scope 3 emissions not estimated
2025 Disclosure Cycle,779465,CDP,54306,Medan City Government,City,South East Asia & Oceania,Indonesia,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,4732.18,531.99,280.08,"Emisi Gas Rumah Kaca Kota Medan tahun 2023 mencapai 5.604,6 Gg CO2eq dengan proporsi sumber emisi terbesar yaitu :\n1. Sektor Pengadaan dan Penggunaan Energi mencapai 4.732,18 Gg CO2eq (84,43%);\n2. Sektor Limbah sebesar 531,99 Gg CO2eq (9,49%);\n3. Sektor AFOLU 280,08 Gg CO2eq (5%)\n\n\n"
2025 Disclosure Cycle,779465,CDP,54310,Government of Palembang,City,South East Asia & Oceania,Indonesia,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,7969369,,,"Total emisi kota palembang tahun 2023 dan dilaporkan pada tahun 2024 adalah sebesar 7969369 ton CO2e, dimana sumber emisi dalam yurisdiksi kota palembang"
2025 Disclosure Cycle,779465,CDP,54337,Greater Amman Municipality,City,UKWW,Jordan,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,32647000,0,0,"A breakdown of Jordan's total emissions of GHGs by sector indicated that: THE ENERGY SECTOR was the major emitter releasing around 76% of total national emissions.\nThe National emission is not divided into Scopes, the provided number in Scope 1 cell is the total emission in Jordan"
2025 Disclosure Cycle,779465,CDP,59545,"City of Charlottesville, VA",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,6029.26,5480.36,0,
2025 Disclosure Cycle,779465,CDP,60051,Kakinada Municipal Corporation,City,India,India,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,950.89,6384.59,,
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,12558032.0,376741.0,5011,La réduction de l'emprunte carbone de la commune se fait à la lumière des CDN du pays.
2025 Disclosure Cycle,779465,CDP,74670,Antalya Metropolitan Municipality,City,UKWW,Türkiye,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,40760,328846,0,"The government operations emissions inventory was calculated based on the fuel and electricity consumption data of municipal buildings, street lighting and traffic signals, the municipal vehicle fleet, and public transportation services. Scope 1 emissions (40.760 tCO₂e) include direct fuel consumption from municipal buildings and the vehicle fleet, while Scope 2 emissions (328.846 tCO₂e) cover electricity use in municipal buildings, lighting infrastructure, and electric public transport. Scope 3 emissions are currently not reported due to lack of reliable data on staff commuting, air travel, or outsourced services."
2025 Disclosure Cycle,779465,CDP,884005,Dhaka South City,City,India,Bangladesh,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,3.14,0.69,1.83,
2025 Disclosure Cycle,779465,CDP,919730,Lambeth Council,City,UKWW,United Kingdom,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,21259,7908,121419,"Includes modelled emissions for our third party contractors, council tenanted units and commercially leased assets. "
2025 Disclosure Cycle,779465,CDP,929965,Çorlu Belediyesi,City,UKWW,Türkiye,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,197027.18,142392.96,23075.4,"According to Çorlu Municipality's 2019 SECAP report, total greenhouse gas emissions amounted to 362,495.54 tons of CO₂e, of which 54% is Scope 1 (197,027.18 tons of CO₂e), 39% is Scope 2 (142,392.96 tons of CO₂e), and 7% is Scope 3 (23,075.40 tons of CO₂e) emissions. Scope 1 emissions represent local, direct emissions from sources such as road transportation and direct fuel use in buildings, while Scope 2 emissions primarily encompass indirect emissions resulting from the production of grid electricity consumed in the industrial, commercial, and residential sectors. Scope 3 emissions, on the other hand, are primarily indirect emissions arising from waste management, energy transmission losses, and logistics activities that are beyond direct control. This distribution shows that the majority of Çorlu's carbon emissions originate from local energy use and transportation activities, highlighting the municipality's significant potential to reduce emissions by focusing on sustainable transportation, energy efficiency, and renewable energy investments."
2025 Disclosure Cycle,779465,CDP,2027109,Ilustre Municipalidad De El Quisco,City,Latin America,Chile,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,592.33,39.34,86.2785,
2025 Disclosure Cycle,779465,CDP,44210,Yeosu City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,4851,5402,,These are the emissions for 2024.
2025 Disclosure Cycle,779465,CDP,50543,"Halifax Regional Municipality, NS",City,North America,Canada,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,51058,45280,0,Scope 3 emissions not calculated
2025 Disclosure Cycle,779465,CDP,58485,"Abington Township, PA",City,North America,United States of America,Public,Q3.3.2,Report your government operations emissions in metric tonnes CO2e.,1,Government operations emissions,2786,1792,,
