disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals?,col2_Primary reason for no involvement in landscape and/or jurisdictional approaches,,
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"No, and do not plan to in the next two years",Important but not an immediate priority,,
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,72927,Autonomous Community of Catalonia,States & Regions,Europe,Spain,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"No, and do not plan to in the next two years",,,
2025 Disclosure Cycle,779465,CDP,72928,Autonomous Community of Cantabria,States & Regions,Europe,Spain,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,72930,KwaZulu-Natal,States & Regions,UKWW,South Africa,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,72932,Western Cape,States & Regions,UKWW,South Africa,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"No, but we are planning to in the next two years",Lack of knowledge or information on how to implement landscape and/or jurisdictional approaches,,
2025 Disclosure Cycle,779465,CDP,73014,Quintana Roo,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73018,Aguascalientes,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73025,Tabasco,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73112,Region of Uusimaa,States & Regions,Europe,Finland,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"No, and do not plan to in the next two years",Other: Issues presumably referred to here are dealt with within the Land Use Planning processes as designated by law.,,
2025 Disclosure Cycle,779465,CDP,73119,Pastaza,States & Regions,Latin America,Ecuador,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"No, but we are planning to in the next two years",Insufficient institutional arrangements to enable implementation,,
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"No, but we are planning to in the next two years",Other: Estão sendo desenvolvidos dentro do Programa de REDD+ Jurisdicional.,,
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73186,Minas Gerais,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"No, but we are planning to in the next two years",Other: No se tiene certeza si la institución encargada esta implementando REDD+ en la jurisdicción.,,
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,833240,Sergipe,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"No, but we are planning to in the next two years",Insufficient institutional arrangements to enable implementation,,
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"No, but we are planning to in the next two years",,,
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,848527,Sinaloa,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"No, but we are planning to in the next two years",,,
2025 Disclosure Cycle,779465,CDP,884371,Nayarit,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,908451,Klaipėda County,States & Regions,Europe,Lithuania,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,2045619,Nonthaburi Province,States & Regions,South East Asia & Oceania,Thailand,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we lead landscape/jurisdictional approaches",,,
2025 Disclosure Cycle,779465,CDP,2045832,Yasothon Province,States & Regions,South East Asia & Oceania,Thailand,Public,Q10.8,Is your state/region involved in landscape (including jurisdictional) approaches to progress shared sustainable land use goals during the reporting period?,1,Response,"Yes, we support landscape/jurisdictional approaches",,,
