disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Assessment attachment^,col2_Assessment direct link^,col3_Confirm attachment/link provided to assessment,col4_Boundary of assessment relative to jurisdiction boundary^,col5_Year of publication or approval,col6_Factors considered in assessment,col7_Please explain
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,1,Row 1,cap01_illa_de_calor20180227.pdf,https://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/cap01_illa_de_calor20180227.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018,"Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers vulnerable populations",Urban heat island assesment
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,2,Row 2,cap03_inudabilitat_urbana-20180227.pdf,https://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/cap03_inudabilitat_urbana-20180227.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment considers water security",Urban flooding assesment
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,3,Row 3,,https://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/cap10_risc_sobre_les_infraestructures-internet_20180227.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018,"Assessment considers transition risks|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Identified hazards have been incorporated into the jurisdiction's overall risk management framework",infraestructure risk assesment
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,4,Row 4,cap08_cicle_aigua-20180227.pdf,https://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/cap08_cicle_aigua-20180227.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018,"Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers water security",urban water cycle assesment
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,5,Row 5,cap02_onades_de_calor-20180322.pdf,https://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/cap02_onades_de_calor-20180322.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2017,"Assessment considers vulnerable populations|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Identified hazards have been incorporated into the jurisdiction's overall risk management framework",heat wave assesment
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,6,Row 6,,RESCCUE PROJECT - MULTI-HAZARDS ASSESSMENT RELATED TO WATER CYCLE EXTREME EVENTS FOR FUTURE SCENARIOS. https://toolkit.resccue.eu/\n\nhttps://toolkit.resccue.eu/resccue-deliverables/,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2019,"Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment considers water security|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|A process has been established for prioritizing identified hazards|Assessment considers nature|Assessment considers vulnerable populations",urban flooding risk assesment
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,7,Row 7,Climate_emergency_action_plan_2030_eng.pdf,https://bcnroc.ajuntament.barcelona.cat/jspui/bitstream/11703/123712/1/Climate_emergency_action_plan_2030_eng.pdf,The assessment can be accessed (unrestricted) on the link provided,Other: The vulnerability assessment carried out due to de Emergency Declaration Action Plan of the city of Barcelona get over the city boundaries as it is intended to tackle the climate action as a global challenge,2019,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers transition risks|Assessment considers vulnerable populations|Identified hazards have been incorporated into the jurisdiction's overall risk management framework|A process has been established for prioritizing identified hazards|Assessment considers water security|Assessment considers nature|A process has been established to update the assessment at least every five years",climate emergency plan 
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,8,Row 8,cap04_inudabilitat_maritima-20180227.pdf,https://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/cap04_inudabilitat_maritima-20180227.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers nature|Identified hazards have been incorporated into the jurisdiction's overall risk management framework",sea flooding assesment
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,9,Row 9,cap05_biodiversitat-20180322.pdf,https://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/cap05_biodiversitat-20180322.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018,"Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers nature",biodiversity loss assesment
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,10,Row 10,cap06_perill_incendis-20180227.pdf,https://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/cap06_perill_incendis-20180227.pdf,The assessment can be accessed (unrestricted) on the link provided,"Other: The forest area of Barcelona belongs to the Collserola Natural Park, which is made up of different adjoining municipalities.",2018,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers nature|Identified hazards have been incorporated into the jurisdiction's overall risk management framework",forest fire risk assesment
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,11,Row 11,,https://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/cap07_qualitat_de_laire-internet-20180227.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018.0,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers vulnerable populations|Identified hazards have been incorporated into the jurisdiction's overall risk management framework",Air quality
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,12,Row 12,cap09_fluxos_energetics-20180227.pdf,https://www.barcelona.cat/barcelona-pel-clima/sites/default/files/documents/cap09_fluxos_energetics-20180227.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2018,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers transition risks|Identified hazards have been incorporated into the jurisdiction's overall risk management framework",Energy flows
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,13,Row 13,O4.1 Policy Recommendations.pdf,https://climatereadybcn.eu/en/\n\nhttps://climatereadybcn.eu/en/climate-vulnerability-map/\n\n,The assessment has been attached,Same - covers entire jurisdiction and nothing else,2025,Assessment considers vulnerable populations,Household vulnerability assessment. By now it is not yet public. More functionalities are being implemented.
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,1,Row 1,,https://maps.birmingham.gov.uk/webapps/crva\nClimateChange\n ,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2023,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)|A process has been established to update the assessment at least every five years|Assessment considers nature|Assessment considers vulnerable populations","CRVA Written by former adaptation lead in collaboration with the University of Birmingham. Data is published at Ward and LSOA Level resolution. Pop up on the layers are enabled. Updates - regular updates to be undertaken, currently considering 12 mos. However, this is currently being reviewed as the combined authority have produced a CRVA at a combined authority level as well. As they may be able to commit resource to keeping that update, we may switch to using their mapping instead and pool our resources. Vulnerable Groups considered through the Index of Multiple Deprivation and Excess Years Life Lost are 2 of the input data sets. CRVA does not include a process for prioritising hazards - all hazards are considered equal at this stage as we have nothing to suggest flooding is worse than air pollution or surface water or vice versa. Hazards are incorporated into your overall risk management framework - this has not been done yet however we are currently in the process of revising our Environment and Sustainability Assessments to include the CRVA (still awaiting adoption as of summer 25 due to a digitalisation process). The assessment considers a high emissions scenario, as well as the following factors: water security, nature and transition risks - the assessment is for present day and does not consider future climate change at this stage. We could incorporate future climate change, e.g. changes to rainfall or changes to temperature, however we don't know what values they would add to the current CRVA as any change in in temperature/rainfall is likely to affect all areas of Birmingham equally."
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,1,Row 1,,https://f.hubspotusercontent40.net/hubfs/6985942/Preliminary%20report%20on%20climate%20risk%20in%20the%20Cambs%20%20Peterborough%20%20region%202020-2099_final.pdf,The assessment can be accessed (unrestricted) on the link provided,Other: Cambridgeshire and Peterborough,2020,"Assessment includes sectors and/or urban systems|Assessment considers transition risks|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment considers nature","Cambridge Zero, University of Cambridge, UKRI British Antarctic Survey"
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,2,Row 2,,https://www.chelmsford.gov.uk/media/fhab00zw/eb-090-a-summary-of-climate-change-risks-for-the-east-of-england-2012.pdf,The assessment can be accessed (unrestricted) on the link provided,Other: All of the East of England,2012,Assessment includes sectors and/or urban systems|Assessment considers vulnerable populations|Assessment considers nature|Assessment considers water security,"Commissioned by the Department for Environment, Food and Rural Affairs (Defra)"
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,3,Row 3,,https://www.cpprepared.org.uk/who-we-are/top-risks-for-cambridgeshire-and-peterborough/,The assessment can be accessed (unrestricted) on the link provided,Other: Cambridgeshire and Peterborough,2023,Identified hazards have been incorporated into the jurisdiction's overall risk management framework|Assessment considers water security|A process has been established for prioritizing identified hazards|Assessment includes consultation with partners|Assessment considers nature|A process has been established to update the assessment at least every five years|Assessment considers vulnerable populations|Assessment includes sectors and/or urban systems,Cambridgeshire and Peterborough Local Resilience Forum
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,4,Row 4,,https://awinnovationhub.co.uk/wp-content/uploads/2024/11/Fens-Climate-Change-Risk-Assessment-Final-4.pdf,The assessment can be accessed (unrestricted) on the link provided,Other: includes lincolnshire Fens,2024,"Assessment includes sectors and/or urban systems|Assessment considers nature|Assessment considers water security|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|Assessment includes consultation with partners",Future Fens Integrated Adaptation Taskforce (FFIA) and the Fens2100+ Programme
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,5,Row 5,,https://www.cambridge.gov.uk/media/kjjjqjlx/climate-change-risk-and-vulnerability-assessment-and-adaptation-plan.pdf,The assessment has been attached and can be accessed (unrestricted) on the link provided,"Other: Covers Cambridge city only; other districts in Cambridgeshire are excluded (Fenland, Huntingdonshire, East Cambridgeshire, South Cambridgeshire)",2024,"A process has been established to update the assessment at least every five years|Assessment considers transition risks|Assessment considers water security|Assessment considers nature|Assessment considers vulnerable populations|Assessment includes a high-emissions scenario (i.e., RCP 8.5)|A process has been established for prioritizing identified hazards|Identified hazards have been incorporated into the jurisdiction's overall risk management framework",Cambridge City Council - Climate Change Risk & Vulnerability Assessment and Adaptation Plan
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q2.1.1,Provide details on your climate risk and vulnerability assessment.,1,Row 1,,https://www.chicago.gov/content/dam/city/depts/cdph/environment/CumulativeImpact/CIA_ExecutiveSummary.pdf\n\nhttps://www.chicago.gov/content/dam/city/depts/cdph/environment/CumulativeImpact/EJ%20Action%20Plan%20Annual%20Report%20-%20December%202023.pdf,The assessment can be accessed (unrestricted) on the link provided,Same - covers entire jurisdiction and nothing else,2023,Assessment includes consultation with partners|Assessment considers vulnerable populations,"Chicago's Cumulative Impact Assessment illustrates that communities of greatest concern for pollution burdens and vulnerability to its effects - specifically with regard to intensive industry and truck traffic- are primarily located on the South and West Sides of the City. The combined environmental, health, and social stressors make these areas more vulnerable to negative health outcomes and widens equity gaps. Of course, economic development is an important aim for any city. Expanding Chicago's tax base and providing higher-wage job opportunities are also essential strategies to improve community health and well-being. The business community, as an economic catalyst, is asked to review this report to consider how to minimize burdens and maximize benefits for those who live nearby? \n\nIn addition to delivering this assessment, the collaborative partnership between policy makers, EJ community members, community based organizations, businesses, and technical advisors went on to sponsor an Environmental Justice Executive Order which states that the Cumulative Impact Assessment shall be used by the Mayor's Office and all City departments and offices to inform decision-making in policy areas such as land use and zoning, transportation,\npermitting, enforcement, and other interventions that consider the burdens of existing and proposed intensive industrial operations and better protect Environmental Justice Neighborhoods, as described in the Environmental Justice Action Plan. "
