disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Main community-wide emissions inventory attachment (spreadsheet)^,col2_URL link (with unrestricted access)^,col3_Status of main community-wide inventory attachment and/or direct link,col4_Year covered by main inventory^,col5_Boundary of main inventory relative to jurisdiction boundary^,col6_Population in year covered by main inventory,col7_Primary protocol/framework used to compile main inventory,col8_GCoM: Primary protocol/framework used to compile main inventory^,col9_Tool used to compile main inventory,col10_Gases included in main inventory^,col11_Primary source of emission factors^^,col12_Source of global warming potential values,col13_Has the main inventory been audited/verified?,col14_Overall level of data quality,col15_Have any of the calculation methodologies and/or boundary used for this inventory changed when compared to the previously reported inventory?,col16_Additional/historical inventories and other relevant attachments,"col17_Further documentation, links and comments"
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,Las Vegas GHG Report R2.pdf,n/a,The emissions inventory has been attached,2022,Same - covers entire jurisdiction and nothing else,659236,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),Internal tool/process,N2O|CO2|CH4,National/sub-national emission factors: EPA eGRID & EPA Emissions Factors Hub,IPCC Fifth Assessment Report (2013),"No, not audited/verified",Activity data - Medium data quality,Other: ,,N/A
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,LA Community 2023 CIRIS Tool - VALUES ONLY.xlsx,https://sanitation.lacity.gov/cs/groups/public/documents/document/y250/mta2/~edisp/cnt106346.pdf,The emissions inventory has been attached,2023,Same - covers entire jurisdiction and nothing else,3820914,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) reported in the format of GCoM Common Reporting Framework (CRF),CIRIS,PFCs|CH4|HFCs|NF3|CO2|N2O|SF6,"Other: Our inventory uses a combination of IPCC defaults, national/subnational EFs, and local EFs.",IPCC Fourth Assessment Report (2007),"Yes, internally audited/verified (self-verification)",Activity data - Medium data quality|Emissions factors - Medium data quality|Activity data - High data quality|Emissions factors - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,2023 Community Greenhouse Gas Inventory Report.pdf,"The population used for the 2023 Inventory was 3,820,914. "
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,SCATTER_manchester_Inventory_2020.xlsx,"No public URL available, please see the attachment",The emissions inventory has been attached,2020,Same - covers entire jurisdiction and nothing else,561482,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) reported in the format of GCoM Common Reporting Framework (CRF),SCATTER,CO2|CH4|N2O,Default IPCC emission factors,IPCC Fourth Assessment Report (2007),"Yes, externally audited/verified (third-party verification)",Emissions factors - High data quality|Activity data - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,SCATTER_manchester_Inventory_2019.xlsx,https://scattercities.com/
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,New Orleans 2023 CIRIS GHG Inventory _ CDP Upload.xlsx,New Orleans 2023 CIRIS GHG Inventory,The emissions inventory has been attached,2023,Same - covers entire jurisdiction and nothing else,364136,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) reported in the format of GCoM Common Reporting Framework (CRF),CIRIS,N2O|CO2|CH4,National/sub-national emission factors: Primarily US EPA emissions factors,IPCC Fifth Assessment Report (2013),"Yes, internally audited/verified (self-verification)",Emissions factors - Medium data quality|Activity data - Medium data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy and this has triggered a recalculation of historic emissions data",On-road Transportation Methodology Change - New Orleans GHG Inventory.docx,"The City of New Orleans updated its GHG inventory in 2024 using 2023 data. The City has also completed inventories in 2014, 2017, and 2021. Changes in methodology in the calculation of on-road transportation emissions resulted in revised inventories for 2014, 2017, and 2021. See attached for the methodology changes."
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,"BUCI Input Sheet 2023 with DOS1 (1).xlsx,BUCI Input Sheet 2023 with DOS1.xlsx,BUCI Methodology (3).docx",N/A,The emissions inventory has been attached,2023,Same - covers entire jurisdiction and nothing else,300200,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) reported in the format of GCoM Common Reporting Framework (CRF),Internal tool/process,CO2|CH4|N2O,National/sub-national emission factors: UK Government conversion factors for reporting of greenhouse gas emissions are applied,IPCC Fourth Assessment Report (2007),"Yes, internally audited/verified (self-verification)",Activity data - High data quality|Emissions factors - High data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy but this has not triggered a recalculation of historic emissions data",BUCI Methodology (3).docx,N/A
2025 Disclosure Cycle,779465,CDP,13490,Northumberland County Council,City,UKWW,United Kingdom,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,2005-22-uk-local-authority-ghg-emissions.xlsx,https://www.gov.uk/government/statistics/uk-local-authority-and-regional-greenhouse-gas-emissions-statistics-2005-to-2022,The emissions inventory can be accessed (unrestricted) on the link provided,2022,Same - covers entire jurisdiction and nothing else,324400,,Regional or country/area specific methodology,Other regionally/nationally developed tool/process: UK Department for Energy Security and Net Zero UK local authority greenhouse gas emissions estimates 2022,CO2|CH4|N2O,National/sub-national emission factors: DESNZ GHG Conversion Factors for Company Reporting UK Greenhouse Gas Inventory (GHGI) National Atmospheric Emissions Inventory (NAEI) COPERT 5 IPCC,IPCC Fifth Assessment Report (2013),"Other: Externally produced inventory, accredited statistics",Activity data - High data quality|Emissions factors - High data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy and this has triggered a recalculation of historic emissions data",local-authority-ghg-technical-report-2022 (1).pdf,"The UK Department for Energy Security and Net Zero (DESNZ) UK local authority greenhouse gas emissions estimates 2022 by DESNZ and estimates emissions for each Local Authority for the years 2005 - 2022. This data is published yearly, with a two year lag. The entire timeframe is revised with each new release to reflect improvements to data and methods as part of a continuous effort to improve accuracy. \n\nThe linked data covers the whole of the UK, but can be broken down to local authority level. \n\nSupporting technical report has been attached for the local authority emissions estimates released by DESNZ."
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,SCATTER_nottingham_CDP-report-inventory_2020.xlsx,NA,The emissions inventory has been attached and can be accessed (unrestricted) on the link provided,2020,Same - covers entire jurisdiction and nothing else,331077,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),SCATTER,N2O|CO2|CH4,Default IPCC emission factors,IPCC Fourth Assessment Report (2007),"Yes, internally audited/verified (self-verification)",Activity data - High data quality|Emissions factors - High data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,,
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,"CIRIS_Standard_v2.5_Oslo_2023.xlsx,Oslo emission inventory 2023.xlsx,Oslo emission inventory 2023.xlsx",\nhttps://www.miljodirektoratet.no/tjenester/klimagassutslipp-kommuner/?area=426&sector=-2,The emissions inventory has been attached,2023,Same - covers entire jurisdiction and nothing else,699827,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),CIRIS,CO2|N2O|CH4,National/sub-national emission factors: Emission inventory and emission factors are compiled at the national level by the Norwegian Environment Agency,IPCC Fifth Assessment Report (2013),"No, not audited/verified",Activity data - High data quality|Emissions factors - High data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy and this has triggered a recalculation of historic emissions data",,IPPU emissions included for the first time. Therefore increase in emissions from previous reporting. The entire historic inventory is included in the attached inventory. \n
2025 Disclosure Cycle,779465,CDP,14136,Oxford City Council,City,UKWW,United Kingdom,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,,https://scattercities.com/data/crf-reporting-download-city-wide-emissions/323/2020,The emissions inventory can be accessed (unrestricted) on the link provided,2020,Same - covers entire jurisdiction and nothing else,161556,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) reported in the format of GCoM Common Reporting Framework (CRF),SCATTER,CH4|CO2|N2O,National/sub-national emission factors: BEIS GHG reporting conversion factors & UK average livestock emissions factors,IPCC Fifth Assessment Report (2013),"Yes, externally audited/verified (third-party verification)",Emissions factors - High data quality|Activity data - High data quality,"Other: A conversion discrepancy was corrected for LULUCF and LULUCF Non CO2 values for all years. This will increase values for LULUCF Non CO2 values significantly, while decreasing LULUCF values.",,N/A
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,"Aviation_Emissions_workbook_2025_update.xlsx,CO2 and Energy Summary 1990-2023-6th-100GWP-public.xlsx,portland_2023_cdp_report_9_16_25.xlsx",https://www.portland.gov/bps/climate-action/progress-toward-carbon-reductions,The emissions inventory has been attached and can be accessed (unrestricted) on the link provided,2023,Other: Multnomah County scale,805007,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) reported in the format of GCoM Common Reporting Framework (CRF),ICLEI ClearPath,N2O|CH4|CO2,National/sub-national emission factors: US EPA,IPCC Sixth Assessment Report (2021),"Yes, internally audited/verified (self-verification)",Activity data - High data quality|Emissions factors - High data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy and this has triggered a recalculation of historic emissions data","cdp_report_2012.xlsx,cdp_report_2013.xlsx,cdp_report_2014.xlsx,cdp_report_2015.xlsx,cdp_report_2016.xlsx,cdp_report_2018.xlsx,cdp_report_2019.xlsx,cdp_report_2020.xlsx,cdp_report_2021.xlsx,cdp_report_2022.xlsx","Attached to this record are Portland's inventory for 2023 in GPC format, Portland's spreadsheet tracking emissions from 1990-2023, and our air travel emissions workbook for 2023.\n\nPortland revised the transportation sector methodology to obtain transportation subsector data. However, there are some data errors showing up this year that we have been unable to resolve. As such the data attached and reported below utilizes our prior transportation methodology (with sources like offroad, rail, and water transport included elsewhere, under the fuel type). The only exception is air travel, which has been attached separately as those emissions were not included elsewhere. Air travel emissions have also been added to the table below. \n\nFor Portland's new transportation methodology, data sets are not available to apply this method to all historic inventories. BPS is currently working on a methodology to reverse forecast those emissions back to the 1990 base year and will submit these inventories to CDP and C40 upon completion. \n\nIn addition, Portland updated all historical inventories with 6th Assessment 100 Yr GWP. We are unable to attach all the historic inventories to this question as they exceed the max file size allowed, but we have attached 2018 through 2022 updated inventories. Please contact us to receive copies of inventories back to 1990. "
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,Reading GHG data (borough) .xlsx,,The emissions inventory has been attached,2023,Same - covers entire jurisdiction and nothing else,178200,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),SCATTER,CH4|NF3|N2O|SF6|HFCs|CO2|PFCs,Emission Factor Database (EFDB),IPCC Fourth Assessment Report (2007),"No, not audited/verified",,No changes to the methodology and/or boundary used when compared to the previously reported inventory,,"Please note, XL attached. The figures have also been entered manually. Please email ben.burfoot@reading.gov.uk if any issues with data/file? "
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,CityofSeattleEmissionsInputMaster-2022Draft.xlsx,https://www.seattle.gov/documents/Departments/OSE/2022%20GHG%20Inventory%20Report%20-%20Final%2012-13-24%20%281%29.pdf,The emissions inventory has been attached,2022,Same - covers entire jurisdiction and nothing else,749256,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC),Other: Excel and PowerBI,CO2|N2O|CH4|SF6|HFCs|PFCs,Default IPCC emission factors,IPCC Sixth Assessment Report (2021),"No, not audited/verified",Activity data - Medium data quality|Emissions factors - High data quality,"Yes, due to changes in calculation methodology or improvements in data access and/or accuracy and this has triggered a recalculation of historic emissions data",,Additional historic inventories can be found at this link: https://www.seattle.gov/environment/climate-change/climate-planning-and-data/performance-monitoring\n\n
2025 Disclosure Cycle,779465,CDP,18078,Swale Borough Council,City,UKWW,United Kingdom,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,,https://assets.publishing.service.gov.uk/media/686539026569be0acf74db5a/2005-23-uk-local-authority-ghg-emissions.xlsx,The emissions inventory has been attached,2023,Other: The report covers Kent County but contains data that is specific to Swale,150100.0,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,SCATTER,HFCs|CH4|N2O|CO2,National/sub-national emission factors: sub-national emission factors,,,Activity data - High data quality,,,
2025 Disclosure Cycle,779465,CDP,19233,Municipality of Torres Vedras,City,Europe,Portugal,Public,Q3.1.1,Provide information on and an attachment (in spreadsheet format)/ direct link to your main community-wide GHG emissions inventory.,1,Response,PAESC-Torres-Vedras-2050_.pdf,https://www.cm-tvedras.pt/assets/upload/paginas/2023/05/16/paesc-torres-vedras-2050/paesc-torres-vedras-2050.pdf,The emissions inventory has been attached and can be accessed (unrestricted) on the link provided,2019,Same - covers entire jurisdiction and nothing else,78530.0,,Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC) reported in the format of GCoM Common Reporting Framework (CRF),Consultancy-developed tool/process: IrRadiare,CO2,Default IPCC emission factors,IPCC Fifth Assessment Report (2013),"Yes, externally audited/verified (third-party verification)",Activity data - Medium data quality,No changes to the methodology and/or boundary used when compared to the previously reported inventory,PASE_TV.pdf,"Informação do Inventário de Emissões disponível no Relatório do Plano de Ação para Energia Sustentável e Clima (no link de acesso direto) consta na página 57 e Anexos - página 82, Quadro 16.\n\nInventário anterior elaborado no âmbito do Plano de Ação para a Sustentabilidade Energética do Município de Torres Vedras (2013).\n\nInforma-se que o município está atualmente a trabalhar no inventário de emissões ao nível do concelho para obter informação mais atualizada.\n"
