disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicate if processes are in place for reviewing and updating emissions reduction targets,col2_Provide information on processes for reviewing and updating emissions reduction targets,col3_Indicate if accountability mechanisms are in place for cases in which emissions reduction targets are not met,col4_Provide information on the accountability mechanisms for cases in which emissions reduction targets are not met
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"An article of the Environment Quality Act, in which the emission reduction target for 2030 is set, stipulates that this target must be reviewed at least once by December 31th, 2025.",Yes,"The minister of the Environment and Fight against Climate Change, Wildlife and Parks, and the entire government as well, are now accountable for cases in which targets are not met (Act mainly to ensure effective governance of the fight against climate change and to promote electrification)."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,No,,No,
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"O Estado instituiu o Comitê Pernambuco Carbono Neutro (Decreto nº 52.458/2022), que prevê um sistema para o monitoramento/avaliação da implementação das ações e metas de descarbonização do Estado.",No,
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"A Estratégia Climática do Estado de São Paulo é o arcabouço de leis, planos, programas, projetos e ações, que buscam organizar a agenda climática estadual, com a promoção de inovação e de equidade. Seu objetivo é de induzir o desenvolvimento multisetorial para a descarbonização da economia, bem como para aprimorar a capacidade de adaptação e resiliência do estado aos efeitos das mudanças climáticas. Destacam-se o Plano de Ação Climática - PAC 2050, lançado em 2022, e o Plano de Adaptação e Resiliência Climática - PEARC, lançado em junho de 2025, que visam orientar as políticas públicas setoriais existentes e recomendar a elaboração de novas medidas de mitigação e adaptação, respectivamente.",No,
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"O processo de análise e atualização das metas será conduzido pelo Grupo de Trabalho de Monitoramento, Reporte e Verificação e pela Comissão Estadual de Validação, Acompanhamento e Transparência ",Do not know,
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"As informações para monitoramento e verificação das medidas de descarbonização do\nsetor AFOLU deverão ser obtidas e acompanhadas através de bases públicas oficiais, podendo contar também com outras fontes designadas pelo Grupo Gestor. Algumas possíveis fontes são:\n• Sistemas de Cadastro Ambiental Rural (CAR);\n• Registros de produção e movimentação animal (SISBOV, SIGEN+);\n• Informações do Censo Agropecuário e IBGE/PNAD Rural;\n• Mapas e imagens de satélite (projetos MapBiomas, TerraClass, PRODES);\n• Planos de manejo e inventários florestais;\n• Relatórios de execução do Plano ABC+ PR.\nO uso de ferramentas de geoprocessamento, sensoriamento remoto e modelagens espaciais é recomendado para quantificação de sequestro de carbono, monitoramento de cobertura vegetal e verificação da adoção de práticas conservacionistas. ",Do not know,
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"O Estado do RJ está em processo de elaboração do Plano de Descarbonização do Estado do Rio de Janeiro, através do Programa Rio Clima II, onde serão analisadas e atualizadas as metas de redução de emissões estaduais.",No,
2025 Disclosure Cycle,779465,CDP,73186,Minas Gerais,States & Regions,Latin America,Brazil,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"A ferramenta MRV Climático é um sistema de apoio à implementação do Plano de Ação Climática (PLAC) de Minas Gerais, por meio do Monitoramento, Relato e Verificação (MRV) das metas e ações prioritárias abordadas no plano. A ferramenta objetiva fornecer uma estrutura robusta de governança, reporte, monitoramento e uma avaliação que fortaleçam e promovam uma atuação mais assertiva e estratégica do Estado na agenda climática, de forma que seja possível direcionar os esforços de Minas em termos investimentos e de redução de emissões (https://mrvclimatico.meioambiente.mg.gov.br/mrv-climatico).",No,
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"The South Australian Climate Change and Greenhouse Emissions Reduction Act 2007 requires the setting of five-yearly emissions reduction targets from 2030 to 2045, that must be a greater reduction than the previous target.",No,
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,En el Programa Especial de Desarrollo Sustentable 2021-2027 se estableció la actualización de los instrumento para determinar las metas de reducción de emisiones.,Do not know,
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,No,,No,
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,No,,No,
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,Registro de Emisiones a nivel Estatal,No,
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Do not know,,Do not know,
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Do not know,,Do not know,
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Do not know,,Do not know,
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,No,,No,
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Do not know,,Do not know,
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Do not know,,Do not know,
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,No,,,
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,"En junio de 2025, comenzo el proceso participativo de la actualización del Programa de Acción Climática de la Ciudad de México(PACCM) y con ello, se ha llevado a cabo la revisión de las medidas que actualmente componen las metas establecidas al 2030, con la finalidad de incrementar la ambición climática e incluir las nuevas propuestas de los actores involucrados en el PACCM.\nSe espera contar con la actualización de este instrumento de política climática a finales del 2025",No,
2025 Disclosure Cycle,779465,CDP,2045619,Nonthaburi Province,States & Regions,South East Asia & Oceania,Thailand,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,No,,No,
2025 Disclosure Cycle,779465,CDP,2045832,Yasothon Province,States & Regions,South East Asia & Oceania,Thailand,Public,Q6.1.4,Provide the following information in relation to the governance of your jurisdiction's emissions reduction targets.,1,Response,Yes,There is a follow-up meeting every 6 months.,Yes,It is assigned to be driven by the provincial committee.
