disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,Do you have an emissions inventory for your government operations to report?
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35859,"City of Cleveland, OH",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35860,"City of Dallas, TX",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35914,Greater Hyderabad Municipal Corporation,City,India,India,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,36004,City of Abidjan,City,UKWW,Côte d'Ivoire,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,36032,Ville de Dakar,City,UKWW,Senegal,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,36039,Accra Metropolitan Assembly,City,UKWW,Ghana,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,36159,City of Lisbon,City,Europe,Portugal,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,42120,City of Salvador,City,Latin America,Brazil,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,43938,"Environment and Climate Change Authority, Govt of Dubai",City,UKWW,United Arab Emirates,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,44180,Daegu Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,City,UKWW,South Africa,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,49367,Freetown City,City,UKWW,Sierra Leone,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,50381,Municipio de Torreón,City,Latin America,Mexico,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,City,Latin America,Brazil,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,51075,City of Shenzhen,City,China,China,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,54290,Qingdao Municipal Government,City,China,China,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,54293,People's Government of Guangzhou Municipality,City,China,China,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,54298,Dalian Municipal People's Government,City,China,China,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,54305,Rajkot Municipal Corporation,City,India,India,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,54306,Medan City Government,City,South East Asia & Oceania,Indonesia,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,54310,Government of Palembang,City,South East Asia & Oceania,Indonesia,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,54337,Greater Amman Municipality,City,UKWW,Jordan,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,54348,The Local Government of Quezon City,City,South East Asia & Oceania,Philippines,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,54391,Nonthaburi City Municipality,City,South East Asia & Oceania,Thailand,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,59545,"City of Charlottesville, VA",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,60051,Kakinada Municipal Corporation,City,India,India,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,60546,Nanjing Municipal People's Government,City,China,China,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,74670,Antalya Metropolitan Municipality,City,UKWW,Türkiye,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,834120,City of Tanjungpinang,City,South East Asia & Oceania,Indonesia,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,834348,Phuentsholing Municipality,City,India,Bhutan,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,840105,Samdrup Jongkhar Municipality,City,India,Bhutan,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,840118,Jamnagar Municipal Corporation,City,India,India,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,840927,Prefeitura de São Cristóvão,City,Latin America,Brazil,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,863533,San Antonio,City,Latin America,Chile,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,884005,Dhaka South City,City,India,Bangladesh,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,918366,City of Gradiška,City,Europe,Bosnia and Herzegovina,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,919730,Lambeth Council,City,UKWW,United Kingdom,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,929965,Çorlu Belediyesi,City,UKWW,Türkiye,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,929994,Uskudar Municipality,City,UKWW,Türkiye,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,930367,Municipio de Montecristi,City,Latin America,Ecuador,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,2027109,Ilustre Municipalidad De El Quisco,City,Latin America,Chile,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,2027876,Tual City,City,South East Asia & Oceania,Indonesia,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,2033767,Prefeitura de Vitória De Santo Antão,City,Latin America,Brazil,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,2044725,Municipality of Choloma,City,Latin America,Honduras,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,2046070,Municipalidad de Esperanza,City,Latin America,Argentina,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,35913,City of Nairobi,City,UKWW,Kenya,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,44210,Yeosu City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,50543,"Halifax Regional Municipality, NS",City,North America,Canada,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,55371,Municipalidad de Vicente López,City,Latin America,Argentina,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,58485,"Abington Township, PA",City,North America,United States of America,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,60391,Municipalidad de San Borja,City,Latin America,Peru,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,60393,Municipalidad de Santiago,City,Latin America,Chile,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,68375,Prefeitura de Abaetetuba,City,Latin America,Brazil,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,73533,Intendencia de Canelones,City,Latin America,Uruguay,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,834374,Tagum City,City,South East Asia & Oceania,Philippines,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,840915,Prefeitura de Curvelo,City,Latin America,Brazil,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
2025 Disclosure Cycle,779465,CDP,866903,Prefeitura de Itapipoca,City,Latin America,Brazil,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,Yes
2025 Disclosure Cycle,779465,CDP,2033709,Prefeitura de Altamira,City,Latin America,Brazil,Public,Q3.3,Do you have an emissions inventory for your government operations to report?,,,No
