disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Risk assessment procedure,col2_Forests-related issue assessed,col3_Drivers assessed,col4_Frequency of assessment,col5_Tools and methods used to identify and assess risks,col6_Issues considered,col7_Communities and organizations considered,col8_Risk assessment web link,col9_Please explain
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of land use planning,Forest degradation|Conversion of natural habitats|Deforestation,Large-scale agriculture|Small-scale agriculture|Unsustainable logging|Infrastructure|Fires,Other: Ongoing; formal assessment published by FRAP approximately every 7 years.,Remote sensing (e.g. satellite or aerial photographs)|Region-specific tools and databases|Desk-based research and studies|National specific tools and databases|Field surveys|Consultations with partners,"Prices and demand trends of forest commodities|Climate change impacts|Impacts on water security|Socio-economic impacts|Legal framework (e.g. policies, regulations)",Companies|Local communities|Other regional governments|NGOs|Indigenous peoples|Local authorities (city-level)|National governments,https://frap.fire.ca.gov/assessment/,"Conducted periodically by the California Department of Forestry and Fire Protection's Fire and Resource Assessment Program (FRAP), California's Forests and Rangelands Assessment links together state requirements for natural resource inventories and strategies and the federal government's desire to rely more heavily on these state programs in determining priorities for funding. This update to the California Forest and Rangelands Assessment consists of over 40 indicators that collectively describe the status and trends of forest and rangelands across environmental and socio-economic dimensions. The indicators are based in part on the Montreal Process, an internationally recognized evaluation and reporting system. It consists of 7 criteria, each with a set of indicators to evaluate sustainability. FRAP assesses the amount and extent of California's forests and rangelands, analyses their conditions and identifies alternative management and policy guidelines. An assessment of these risks and trends are published periodically in California's Forests and Rangelands Assessment. FRAP also provides data on California's forests, such as Fire Hazard Severity Zone maps, and makes them publicly available through a variety tools and viewers. Additionally, threats to biodiversity in forested ecosystems are examined in the California Department of Fish and Wildlife's State Wildlife Action Plan, and impacts of forest degradation and deforestation on water quality and supply are described in the California Department of Water Resources' California Water Plan. "
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as part of the management of commercially valuable forests and/or plantations,,,Annually,,Other: Estado sanitario de los sistemas forestales navarros,,http://www.navarra.es/home_es/Temas/Medio+Ambiente/Montes/Salud+de+los+bosques.htm,
2025 Disclosure Cycle,779465,CDP,72927,Autonomous Community of Catalonia,States & Regions,Europe,Spain,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as part of land use planning,Conversion of natural habitats|Forest degradation|Deforestation,Fires,"Other: One-off assessment, explanation provided",Desk-based research and studies|Region-specific tools and databases|Consultations with partners,"Socio-economic impacts|Prices and demand trends of forest commodities|Climate change impacts|Legal framework (e.g. policies, regulations)|Governance issues (e.g. political instability, corruption)|Impacts on water security",Local communities|Local authorities (city-level),Evaluación estratégica ambiental del Plan de Política General Forestal \n \nhttp://agricultura.gencat.cat/web/.content/06-medi-natural/boscos/planificacio-forestal/pla-general/10_annex_10_memoria_ambiental.pdf,"El coste de intervención en el manejo forestal es mayor del precio de venta del producto obtenido. Por eso, se dificulta la ejecución y viabilidad de los planes de manejo. La Generalitat de Cataluña está trabajando para estimular y promover el pago de servicios ambientales."
2025 Disclosure Cycle,779465,CDP,72928,Autonomous Community of Cantabria,States & Regions,Europe,Spain,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of regional sustainability appraisals,Other: ,Fires,Six monthly or more frequently,Field surveys,,,,"Estarían los incendios forestales muy relacionados en Cantabria con la desmatorralización para ganar pastos para la cabaña ganadera extensiva. Y los aprovechamientos forestales que no son causa de deforestación ni degradación forestal porque están sujetos a la gestión forestal sostenible, pero se hace un seguimiento."
2025 Disclosure Cycle,779465,CDP,72953,Autonomous Region of the Azores,States & Regions,Europe,Portugal,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of the management of commercially valuable forests and/or plantations,"Deforestation|Other: Areas exploited in violation of traditional and civil rights, in accordance with FSC criteria and indicators.|Conversion of natural habitats|Forest degradation",,Other: One time.,Desk-based research and studies|Consultations with partners|Other: Personal interviews|Online tools (e.g. WWF-SIGHT and Analytics),"Legal framework (e.g. policies, regulations)|Governance issues (e.g. political instability, corruption)|Impacts on water security",Companies|National governments|Other regional governments|NGOs|Local authorities (city-level),https://drrf.azores.gov.pt/wp-content/uploads/Areas/Gestao_Certificacao_Florestal/Files/Avaliacao_de_Risco_FSC_Acores_02.pdf,"The Risk Analysis and Assessment report was carried out in 2010 to determine, in accordance with the approach and criteria specified by the Forest Stewardship Council (FSC) standards, the High, Low or Unspecified risk classification for the five categories of origin considered unacceptable by the FSC, in the Autonomous Region of the Azores, having obtained a classification in all low risk categories. It is valid for all material of forest origin produced and exploited in the forest areas of the Autonomous Region of the Azores. This work could be used by any company in the region that wishes to certify its Chain of Custody."
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of the management of commercially valuable forests and/or plantations,Other: Incêndios,Fires,Other: Sempre que se justifique,Field surveys,Other: ,Other: ,"A avaliação dos riscos florestais é realizada internamente pela autoridade regional competente, mas não está publicada online em formato acessível ao público.","Está a decorrer um levantamento detalhado das áreas afetadas pelos incêndios florestais, com o objetivo de identificar as zonas mais vulneráveis e quantificar os impactos ecológicos e territoriais. Esta análise permitirá reunir informação essencial para a definição das medidas mais adequadas de recuperação ambiental, bem como para o planeamento de intervenções específicas, orientadas para a regeneração dos ecossistemas, a proteção da biodiversidade e a mitigação de riscos futuros."
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as part of the management of Protected Areas,Deforestation|Forest degradation,Unsustainable logging|Small-scale agriculture|Fires|Charcoal and fuelwood production|Large-scale agriculture,Other: 5 to 10 years periodic review,Consultations with partners|Region-specific tools and databases|Field surveys|National specific tools and databases,"Prices and demand trends of forest commodities|Other: the impact of large primate hunting on forest regeneration in protected and non protected forest|Governance issues (e.g. political instability, corruption)|Legal framework (e.g. policies, regulations)|Climate change impacts|Socio-economic impacts","Other: state and national government agencies in the land use sector, ngos, academia, local communities and the private sector, all key forest stakeholders|Indigenous peoples",http://www.un-redd.org/single-post/2016/12/22/Safeguarding-Nigeria%E2%80%99s-Paradise-Cross-River-State%E2%80%99s-experiences-and-lessons-from-REDD.,"risk assessment conducted through an academic research, face to face interview of stakeholders, field survey and through stakeholder consultative dialogue"
2025 Disclosure Cycle,779465,CDP,73014,Quintana Roo,States & Regions,Latin America,Mexico,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as a standalone issue,Deforestation|Forest degradation,Infrastructure|Fires|Large-scale agriculture,Other: Cada 5 años,Remote sensing (e.g. satellite or aerial photographs)|Region-specific tools and databases|National specific tools and databases|WRI Global Forest Watch|Field surveys|Online tools (e.g. WWF-SIGHT and Analytics)|Desk-based research and studies,Climate change impacts,Local communities|Indigenous peoples|Local authorities (city-level),Departamento de soluciones climáticas de The Nature conservancy,Consultoría independiente
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of land use planning,Forest degradation|Conversion of natural habitats|Deforestation,"Small-scale agriculture|Other: Cambios de usos de suelo como construcciones, inmobiliarias, etc.|Large-scale agriculture|Fires",Every two years,National specific tools and databases|Consultations with partners|Region-specific tools and databases|Remote sensing (e.g. satellite or aerial photographs)|Other: Mesas de trabajo en comunidades y municipios|Field surveys|Desk-based research and studies,"Legal framework (e.g. policies, regulations)",NGOs|Local authorities (city-level)|Local communities|Other: Organizaciones de la sociedad civil|Indigenous peoples|Companies|Other regional governments|National governments,https://bitacoraordenamiento.yucatan.gob.mx/,"El Programa de Ordenamiento Ecológico del Territorio del Estado de Yucatán tiene por objeto regular los usos del suelo, el aprovechamiento de los recursos naturales, las actividades productivas y el crecimiento urbano, con el fin de hacer compatible la conservación de la biodiversidad, la protección al ambiente y el aprovechamiento sustentable de los recursos y elementos naturales del estado de Yucatán, así como con las actividades económicas que se realicen, sirviendo de base para la elaboración de los programas y\nproyectos de desarrollo que se pretendan ejecutar en el territorio estatal. "
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as part of regional sustainability appraisals,Deforestation,Small-scale agriculture|Other: Ganaderia|Large-scale agriculture|Fires,Every two years,Field surveys|National specific tools and databases|Region-specific tools and databases|Desk-based research and studies|Consultations with partners|WRI Global Forest Watch,"Legal framework (e.g. policies, regulations)",National governments|Local authorities (city-level)|Indigenous peoples|Companies|Other regional governments|Local communities|NGOs,http://www.sds.yucatan.gob.mx/cambio-climatico/documentos/EEREDD_Yuc.pdf,"Este proyecto regional tiene la intención de dar cumplimiento al marco de acción regional y establecer las bases estratégicas para activar una acción temprana regional que contribuya a los esfuerzos nacionales de la estrategia REDD+.\n\nEste proyecto establece el diagnóstico base, los objetivos centrales y consensuados con los gobiernos estatales y las organizaciones de la sociedad civil, esto con el fin de estructurar la visión regional y que sirva como marco orientador para definir una iniciativa a mediano plazo piloto en materia de Gobernanza, Mecanismos de Financiamiento y Distribución de Beneficios, Sistema de Monitoreo-Reporte-Verificación, Fortalecimiento de Capacidades y Participación Ciudadana."
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as a standalone issue,Forest degradation|Deforestation,Large-scale agriculture,"Other: One-off assessment, explanation provided",Field surveys|Consultations with partners|Remote sensing (e.g. satellite or aerial photographs),Other: Análisis de cobertura de cambio de uso de suelo,Local communities|Other regional governments,https://2fiprodefo.forest2020-mx.ourecosystem.com/interface/\n\nhttps://geoportal.fiprodefo.gob.mx/ ,"El Fideicomiso del Programa de Desarrollo Forestal del Estado (FIPRODEFO) hizo un mapa de riesgo de deforestación y degradación en el marco del proyecto ECOMÉTRICA, los criterios que se utilizaron , fueron; 1. Un proceso por medio de álgebra de mapas o análisis multicriterio, combinando diversas capas de información de elementos antrópicos como son asentamientos humanos, localidades, vías de comunicación entre otros y variables naturales como la cobertura forestal, escurrimientos perennes e intermitentes, climáticas etc. Previo a la definición final de variables se hizo una evaluación del grado de influencia que tienen estas capas, cruzando datos de degradación y deforestación observados en años previos con las variables que se consideran detonadoras (Drivers) de estos procesos. De esta manera se descartó la incorporación de variables que al principio parecieran obvias, pero que después de este análisis no resultaron significativas. El corte final de variables para la elaboración de mapa de riesgo de deforestación y degradación fue de 13 variables. Como producto del análisis del mapa, pudimos darnos cuenta que las variables que tienen mayor impacto sobre los ecosistemas forestales del estado son de carácter antrópico, ya que las zonas que presentan menor riesgo son las que se encuentran a mayor distancia de centros de población, vías de comunicación y de difícil acceso (FIPRODEFO)."
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as part of regional sustainability appraisals,Deforestation|Forest degradation|Conversion of natural habitats,Charcoal and fuelwood production|Small-scale agriculture|Infrastructure|Unsustainable logging|Forest plantations|Fires,Other: se ha realizado una vez y se buscan recursos para la actualización,Region-specific tools and databases|Desk-based research and studies|Consultations with partners|Field surveys|National specific tools and databases|Remote sensing (e.g. satellite or aerial photographs),"Impacts on water security|Legal framework (e.g. policies, regulations)|Socio-economic impacts|Governance issues (e.g. political instability, corruption)|Climate change impacts",Indigenous peoples|NGOs|Local authorities (city-level)|Local communities|National governments,"a través de mapas, estudios, análisis de datos ","El Programa de Acción ante el cambio climático del estado de Chiapas evalúa los riesgos regionalmente por el cambio climático, analizando los problemas derivados de la deforestación, además de incluir sus causas, se tiene al año 2010, se busca una actualización para el 2021"
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,3,Row 3,Other: Atlas de riesgo del estado de Chiapas,Forest degradation|Deforestation|Conversion of natural habitats,Unsustainable logging|Forest plantations|Fires|Small-scale agriculture|Charcoal and fuelwood production,Every two years,Remote sensing (e.g. satellite or aerial photographs),"Climate change impacts|Socio-economic impacts|Impacts on water security|Other: Other, please specify|Legal framework (e.g. policies, regulations)",Local authorities (city-level)|Local communities|Indigenous peoples|National governments|Other regional governments|NGOs,,a traves del Sistema de Monitoreo Forerstal se realiza una evaluación de la perdida forestal.
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of land use planning,Deforestation|Forest degradation,Mining|Forest plantations|Large-scale agriculture,Annually,Remote sensing (e.g. satellite or aerial photographs),Climate change impacts|Socio-economic impacts,Local communities|NGOs|National governments|Indigenous peoples,Unable provide link/attachment.,"Risk and vulnerability assessments in East Kalimantan are designed to address the region's complex forest-related issues by integrating ecological, social, and economic dimensions. They provide critical insights into the drivers of deforestation and forest degradation, while offering solutions tailored to the local context. By using advanced tools like remote sensing and GIS, and involving local stakeholders, these assessments help ensure that forest management strategies are effective in reducing deforestation, protecting biodiversity, and mitigating climate change impacts"
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Other: The risk assessment was conducted as part of Regional Climate Action Plan (RAD GRK) section.,Deforestation,Small-scale agriculture,Other: The assessment will depend on the content of Regional Climate Action Plan (RAD GRK),Remote sensing (e.g. satellite or aerial photographs),Socio-economic impacts,Local communities,Unable provide link/attachment., The information was stated in Regional Climate Action Plan (RAD GRK) Section 2.2.2.6 regarding the Land use change driver. The main land use change driver is the need for land use to conduct economic activity (i.e. dryland agriculture).
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as a standalone issue,Other: The Hessian Forest,Other: ?,Annually,Field surveys,Climate change impacts,"Other: The Forest Condition Report is primarily prepared by the NW-FVA, HessenForst, and the Ministry of the Environment, but it also takes into account the interests of municipalities, private forest owners, and the general public.",https://landesregierung.hessen.de/sites/hessen.hessen.de/files/2024-11/waldzustandsbericht_2024.pdf,no info
2025 Disclosure Cycle,779465,CDP,73102,Region of Kanta-Häme,States & Regions,Europe,Finland,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,Assessed as part of land use planning,Conversion of natural habitats|Forest degradation|Deforestation,,Other: Every 5 years,Desk-based research and studies|Online tools (e.g. WWF-SIGHT and Analytics)|Region-specific tools and databases|National specific tools and databases|Consultations with partners,"Legal framework (e.g. policies, regulations)|Climate change impacts|Socio-economic impacts",National governments|NGOs|Local authorities (city-level)|Other regional governments|Local communities,https://hameenliitto.fi/aluesuunnittelu/maakuntakaava/voimassa-olevat-maakuntakaavat/,
2025 Disclosure Cycle,779465,CDP,73102,Region of Kanta-Häme,States & Regions,Europe,Finland,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as part of strategic environmental assessments,Deforestation|Conversion of natural habitats|Forest degradation,,Other: Every 4 years,Desk-based research and studies|Remote sensing (e.g. satellite or aerial photographs)|Region-specific tools and databases|Online tools (e.g. WWF-SIGHT and Analytics)|Consultations with partners|National specific tools and databases|Field surveys,"Impacts on water security|Prices and demand trends of forest commodities|Socio-economic impacts|Legal framework (e.g. policies, regulations)|Climate change impacts",Local communities|Other regional governments|Companies|National governments|NGOs|Local authorities (city-level),https://www.metsakeskus.fi/sites/default/files/document/hameen-metsaohjelma-2026-2030-luonnos.pdf,
2025 Disclosure Cycle,779465,CDP,73102,Region of Kanta-Häme,States & Regions,Europe,Finland,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,3,Row 3,Assessed as part of the management of Protected Areas,Conversion of natural habitats|Forest degradation|Deforestation,,Other: continuous process,Remote sensing (e.g. satellite or aerial photographs)|Field surveys|Online tools (e.g. WWF-SIGHT and Analytics)|WRI Global Forest Watch|Region-specific tools and databases|Desk-based research and studies|Consultations with partners|National specific tools and databases,"Socio-economic impacts|Prices and demand trends of forest commodities|Impacts on water security|Climate change impacts|Legal framework (e.g. policies, regulations)|Governance issues (e.g. political instability, corruption)",Local communities|Companies|Other regional governments|Indigenous peoples|National governments|Local authorities (city-level)|NGOs,https://www.metsa.fi/metsahallitus/vastuullisuus/,
2025 Disclosure Cycle,779465,CDP,73112,Region of Uusimaa,States & Regions,Europe,Finland,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,1,Row 1,"Other: Assessed as part of Regional Forest Plans, which guide the sustainable use of forests in Finland",,,,,,,,
2025 Disclosure Cycle,779465,CDP,73119,Pastaza,States & Regions,Latin America,Ecuador,Public,Q10.10.1,Please provide the details of your region's procedures for assessing deforestation and/or forest degradation risks.,2,Row 2,Assessed as part of the management of commercially valuable forests and/or plantations,Forest degradation,Unsustainable logging,"Other: El ente rector en el país es el Ministerio del Ambiente, Agua y Transición Ecológica, quien evalúa de acuerdo a los permisos otorgados y al monitoreo realizado la cobertura vegetal en el país",National specific tools and databases|Desk-based research and studies|Consultations with partners,"Climate change impacts|Prices and demand trends of forest commodities|Legal framework (e.g. policies, regulations)",Indigenous peoples|Other regional governments|Companies|National governments,https://www.ambiente.gob.ec/ministerio-del-ambiente-presento-la-evaluacion-nacional-forestal-una-herramienta-para-fortalecer-politicas-publicas-en-materia-forestal/,"Mediante un protocolo metodológico, se dividió al país en nueve estratos de bosque de acuerdo a sus características vegetativas y arbustivas, y a la homogeneidad en contenidos de biomasa. Además, se levantó información situando más de 600 unidades de muestreo. Para ello, se capacitó a más de 100 técnicos forestales, sobre la metodología del levantamiento de información y uso del sistema informático que contiene la base de datos de la Evaluación Nacional Forestal."
