disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Opportunity,col2_Describe how the region is maximizing this opportunity
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,2,Row 2,Increasing resilience to climate change impacts and other disasters,"Andalucía maximiza su resiliencia al cambio climático mediante el Plan Andaluz de Acción por el Clima (PAAC) 2021-2030, que busca reducir el riesgo de impactos climáticos en sectores clave como los recursos hídricos, la agricultura y el turismo. "
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,3,Row 3,Continued access to forest products,"Andalucía está maximizando la oportunidad de garantizar el acceso continuo a los productos forestales mediante una gestión forestal sostenible que combina planificación, certificación y uso eficiente de los recursos. Destacan:\n- Planes de ordenación forestal, que regulan la tala, reforestación y regeneración natural, asegurando que la extracción de madera y otros productos forestales sea sostenible a largo plazo.\n- Certificación forestal (FSC y PEFC), que asegura que los productos forestales, como madera y corcho, provienen de montes gestionados responsablemente.\n- Uso eficiente de los recursos forestales a través de la valorización de residuos forestales y el fomento de la economía circular.\n- Apoyo a la propiedad forestal privada, que permita a propietarios privados para implementar prácticas sostenibles, garantizando que los montes privados también contribuyan al suministro continuo de productos forestales."
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,1,Row 1,Additional funding and investment opportunities (e.g. access to REDD+),"O estado tem buscado atender os requisitos para a elegibilidade ao acesso e captação de pagamento por resultados de REDD+ reconhecidos entre 2011 e 2020 e estuda registrar, verificar e emitir créditos de carbono em escala jurisdicional junto a padrão com reconhecida integridade ambiental e social."
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,2,Row 2,Development of recreation and tourism industry,"O Estado faz o manejo florestal não madeireiro de áreas protegidas de modo a fomentar o desenvolvimento da indústria de lazer e turismo, em especial dos Parques Estaduais. Assim, as áreas florestais são preservadas em benefício da paisagem, da biodiversidade e da proteção de atrativos turísticos. Implementa-se para este fim outros instrumentos de gestão, como a elaboração de planos e a estruturação de concessões dos serviços de uso público. De tal modo, os Parques contarão com melhores serviços de apoio ao visitante, o que incrementa a experiência de educação e interpretação ambiental. "
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,3,Row 3,Ensuring clean water supply,"O Estado faz o manejo florestal não madeireiro de áreas protegidas de modo a fomentar a proteção de áreas de mananciais e o abastecimento de recursos hídricos. Implementa-se no Parque Estadual do João Leite, Goiânia, um projeto piloto de Pagamento por Serviços Ambientais, produtor de água. Também, a implementação do Programa Juntos pelo Araguaia ocorre na área e região da Floresta e Parque Estadual do Araguaia, visando ao aumento da produção e à disponibilidade de água com qualidade para apoio e fortalecimento dos serviços ecossistêmicos, garantia de segurança hídrica para o abastecimento humano e apoio à indústria do agronegócio"
2025 Disclosure Cycle,779465,CDP,73179,Rondonia,States & Regions,Latin America,Brazil,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,1,Row 1,Continued access to forest products,
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,1,Row 1,Development of recreation and tourism industry,Somos una provincia turística que usamos los servicios ecosistémicos del bosque nativo para el turismo\n
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,2,Row 2,Continued access to forest products,Producción de chips de madera a partir del aserrín\n
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,3,Row 3,Additional funding and investment opportunities (e.g. access to REDD+),Programa ECO2\n
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,4,Row 4,Other: Aprovechamiento de residuos de la industria forestal,Producción de energía eléctrica a través de la biomasa.
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,1,Row 1,Increasing resilience to climate change impacts and other disasters,Enhancing community engagement on more sustainable actions.
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,2,Row 2,Sustain livelihoods dependent on forests,Enhancement of policies as well as increased climate smart agricultures practices
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,3,Row 3,Climate change mitigation,Through forest management there is increased carbon sink thus enhanced climate change mitigation
2025 Disclosure Cycle,779465,CDP,74745,Nyandarua County,States & Regions,UKWW,Kenya,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,4,Row 4,Additional funding and investment opportunities (e.g. access to REDD+),"Through the adoption of policies, there is an opportunity for enhanced "
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,1,Row 1,Gain access to export markets with higher sustainability standards,"Indicação Geográfica (IG) do Mel de Melato da Bracatinga na categoria Denominação de Origem do Planalto Sul Brasileiro. A IG do mel de Melato da Bracatinga abrange uma área de 134 municípios, sendo 107 de Santa Catarina, 12 do Paraná e 15 do Rio Grande do Sul. Por sua prevalência no território catarinense, o processo de certificação teve participação da Epagri nas ações de pesquisa e extensão, em parceria com o Serviço de Apoio às Micro e Pequenas Empresas (Sebrae), a Universidade Federal de Santa Catarina (UFSC), o Ministério da Agricultura, Pecuária e Abastecimento (Mapa) e as associações de apicultores da região. \n"
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,2,Row 2,Increase employment opportunities,"As características de clima, solo e da cultura dessa região tornaram a erva-mate do Planalto Norte Catarinense um produto único. Em 2022, ela foi reconhecida por essa singularidade e conquistou a Indicação Geográfica (IG) na categoria Denominação de Origem (DO), em um processo que teve apoio da Epagri.\nO registro, concedido pelo Instituto Nacional de Propriedade Industrial (INPI), abrange 12 cidades e, parcialmente, outros oito municípios. A certificação tem potencial para impactar positivamente toda a economia do Planalto Norte, porque traz valor agregado aos produtos, aumentando a renda dos produtores rurais e impulsionando setores como o turismo."
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,3,Row 3,Increase opportunities for partnerships and establish joint forest management principles,Nas unidades de conservação estão sendo fortalecidas as parcerias com organizações da sociedade civil e o setor privado para a gestão dos programas de manejo dessas áreas através da parceria público-privada.
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,6,Row 6,Continued access to forest products,"No âmbito do PAT Planalto Sul e com objetivo de promover o fortalecimento da cadeia produtiva do pinhão como referência para as demais cadeias produtivas, considerando a conservação pelo uso de Araucaria angustifolia, da Floresta Ombrófila Mista e dos campos de altitude, foi elaborado de forma participativa com os atores envolvidos um Plano de Ação da Cadeia Produtiva. A partir das atividades desenvolvidas foi elaborado um livro virtual com as principais informações obtidas no diagnóstico, no seminário e na oficina que subsidiaram a elaboração do Plano, que pode ser acessado no seguinte link: \nhttps://proespecies.eco.br/wp-content/uploads/2025/04/Pub_CadeiasProdutivas_Pinhao_Miolo_v3_22Jan24_compressed.pdf"
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,7,Row 7,Development of recreation and tourism industry,"O projeto “Roteiro da Sociobiodiversidade do Pinhão na Serra Catarinense” tem como objetivo promover a qualidade de vida dos agricultores familiares e extrativistas do pinhão que vivem no Planalto Serrano do estado Santa Catarina e conservar a biodiversidade e os saberes das populações locais. O projeto está organizado em quatro metas que pretendem promover a criação de um sistema produtivo sustentável a partir da valorização do pinheiro brasileiro (araucária), árvore nativa da região, que produz o pinhão, semente comestível da araucária muito apreciada pela população local e por turistas, sendo utilizada em diferentes preparações culinárias, como a paçoca e o famoso entrevero de pinhão.\n\nDe iniciativa do Consórcio Intermunicipal Serra Catarinense (CISAMA), e com investimento do Ministério do Desenvolvimento Agrário e Agricultura Familiar (MDA), o projeto é desenvolvido por pesquisadores da Universidade Federal de Santa Catarina (UFSC) e da Universidade do Estado de Santa Catarina (UDESC)."
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,8,Row 8,Increased attention to other environmental concerns,"O manejo da palmeira juçara (Euterpe edulis) em Santa Catarina foca na produção sustentável da polpa para gerar renda e na restauração da Mata Atlântica, utilizando sistemas agroflorestais e o aproveitamento de frutos e sementes para rebrota. A exploração da palmeira juçara para produção de palmito levou a espécie para a lista de ameaçadas de extinção. A extração de polpa da fruta para produção de açaí tornou-se uma alternativa viável para manter a planta em pé, gerando renda para o produtor rural. Estima-se que Santa Catarina produza atualmente cerca de 320 toneladas de frutos destinados à extração de polpa. "
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,9,Row 9,Increase opportunities for partnerships and establish joint forest management principles,"As Florestas Nacionais (Flonas) de Irati (PR), Chapecó (SC) e Três Barras (SC) foram incluídas no Programa de Parcerias de Investimentos (PPI) do Governo Federal, que tem a finalidade de ampliar e fortalecer a interação com a iniciativa privada por meio de contratos de parceria e de outras medidas de desestatização, ampliando as oportunidades de investimento em diferentes setores. Esta concessão florestal faz parte de uma parceria entre o Banco Nacional de Desenvolvimento e Social (BNDES) e o Ministério da Agricultura, Pecuária e Abastecimento (MAPA), por meio do Serviço Florestal Brasileiro (SFB).\nEssas Flonas da Região Sul para concessão florestal estão localizadas nos municípios de Chapecó, Guatambú e Três Barras, em Santa Catarina, e Fernandes Pinheiro, Irati, Imbituva e Teixeira Soares, no Paraná. A proposta é o desenvolvimento de um novo modelo de concessão florestal que permita o uso comercial de florestas plantadas e a recuperação das mesmas através de silvicultura de espécies nativas ou recomposição florestal com a vegetação nativa original da Mata Atlântica. As diretrizes técnicas das concessões das Flonas do Sul são de substituição de porções de plantios atualmente com espécies exóticas por espécies nativas.\nEste projeto visa assegurar a restauração e a conservação das florestas públicas por meio de parcerias público-privadas, promovendo a conservação e geração de benefícios sociais, ambientais e econômicos"
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,10,Row 10,"Other ecosystem services from forests realized (e.g. improved well-being, soil erosion management)","Programa de Parcerias de Investimentos (PPI) do Governo Federal - Flonas de Irati (PR), Chapecó (SC) e Três Barras (SC).\nCom área de 3,8 mil hectares (Irati), 1,6 mil hectares (Chapecó) e 4,3 mil hectares (Três Barras), estas serão as primeiras concessões florestais da Região Sul. O modelo adotado na gestão será do manejo florestal sustentável e de silvicultura de espécies nativas (via plantio de espécies nativas), que adotará técnicas que possibilitem a extração de produtos florestais madeireiros e não madeireiros com o menor impacto ambiental possível. Adicionalmente, em áreas específicas haverá a recomposição florestal de vegetação nativa.\n Além dos benefícios ambientais, as concessões florestais, na escala municipal e nas comunidades vizinhas às áreas, têm o potencial de contribuir com a melhoria das condições socioeconômicas por meio da geração de empregos formais (diretos, indiretos e de efeito-renda), investimentos em serviços e infraestrutura, repasses financeiros através do pagamento pelos produtos explorados, além da arrecadação de tributos e movimentação da cadeia produtiva, de produtos madeireiros e não madeireiros.\n"
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,1,Row 1,"Other ecosystem services from forests realized (e.g. improved well-being, soil erosion management)",Maryland Forest Watershed Management Program: https://dnr.maryland.gov/forests/Pages/programapps/cbcon.aspx
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,2,Row 2,Climate change mitigation,"Climate Pollution Reduction Grant for Implementation Atlantic Conservation Coalition, duke.is/accdash"
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,3,Row 3,Increasing resilience to climate change impacts and other disasters,"Climate Pollution Reduction Grant for Implementation Atlantic Conservation Coalition, duke.is/accdash"
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,4,Row 4,Additional funding and investment opportunities (e.g. access to REDD+),Maryland Clean Energy Center Wood Energy Initiative: https://www.mdcleanenergy.org/programs/wood-energy-initiative/
2025 Disclosure Cycle,779465,CDP,31221,State of Virginia,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,1,Row 1,Increasing resilience to climate change impacts and other disasters,
2025 Disclosure Cycle,779465,CDP,31221,State of Virginia,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,2,Row 2,Continued access to forest products,
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,1,Row 1,Increased attention to other environmental concerns,Increasing urban forest addresses environmental justice concerns in unequal distribution of tree canopy across the state
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,2,Row 2,Sustain livelihoods dependent on forests,DEEP: CT Grown Forest Products. Second-party-verified sustainability certification program administered by DEEP Forestry. In cooperation with CT Dept of Agriculture locally grown farm products. CT Grown forest products provides consumer assurance that purchased forest products are sourced within Connecticut from sustainable forest harvests. 
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,1,Row 1,Climate change mitigation,"Washington's ambitious cap and invest, offsets program is working to develop climate change motivated incentives for carbon sequestration. Ongoing efforts to develop natural and working lands section of greenhouse gas emissions inventory."
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,2,Row 2,Increasing resilience to climate change impacts and other disasters,Investment in coastal resilience and community resilience in LIDAC communities through CCA and cap and invest
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,3,Row 3,Continued access to forest products,"Research and incentives to transition to energy efficient and restoration-oriented products (biofuel, biochar etc)"
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,4,Row 4,Development of recreation and tourism industry,Governmental investment and support
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,5,Row 5,Ensuring clean water supply,"Governmental regulation, investment, and support"
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,6,Row 6,Sustain livelihoods dependent on forests,"Workforce development planning by state, and recent climate initiatives"
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,7,Row 7,"Other ecosystem services from forests realized (e.g. improved well-being, soil erosion management)","Very strong research, governance, stakeholder communities with deep environmental interest"
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.12.1,Please indicate the opportunities associated with sustainable forest management and describe how your region is positioning itself to take advantage of them.,8,Row 8,Compliance to policies and regulations,Cap and Invest programs include compliance monitoring. Increasing availability of data to monitor forests.
