disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Primary entity collaborated with,col2_Mechanisms used to collaborate,col3_Areas collaboration focused on,"col4_Description of collaboration and any progress, if applicable",col5_Other entities collaborated with
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,Government/Public body: National government,Capacity development,Inclusive climate action and/or equity|Emissions reduction,"Our Innovate UK Net Zero Living: Fast Followers project has employed a Net Zero Innovation Delivery Officer (NZIDO) to support SME's in the Tyseley area on their journey to net zero. This concluded in June 2025. The project included the University of Birmingham and the Tyseley Energy Park (Webster and Horsfall) and mapped the businesses, carried out net zero audits, completed sustainability diagnostics, and supported SMEs to apply for further funding to allow for the implementation of their action plans. Two sessions were held with local businesses to explore the potential for installing solar panels to reduce energy costs, and the project achieved its outputs, delivering grant applications, delivery plans and other investable propositions.",NGO and associations
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",5,Row 5,"Civil society: Other: National Trust, formally National Trust for Places of Historic Interest or Natural Beauty, is a charity and membership organisation for heritage conservation in England, Wales and Northern Ireland",Project implementation and management|Funding (grants)|Collaborative initiative,Ecosystem restoration|Adaptation|Natural environment,"Over the past 5 years Birmingham has been part of a pioneer cohort of places delivering development programmes through the Future Parks Accelerator and Urban Forest Accelerator. The learning around environmental justice, climate resilience and biodiversity has been applied to develop a Nature Towns and Cities Accreditation scheme in partnership with the National Trust, Heritage Lottery Fund and Natural England. The Birmingham and its cohort partners have been integral to the development of this award programme, which saw its official launch in July 2025. Birmingham has become the first UK city to be awarded Nature City Status through this programme. This award recognises the significance of the work that has been undertaken to create the City of Nature 25 year plan and the delivery journey that Birmingham has embarked on. ",Regional government|Residents/community groups
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",6,Row 6,Government/Public body: National government,Knowledge or data sharing|Multi-jurisdictional regional collaboratives,Emissions reduction,"Heat networks are expected to provide significant emissions reductions, particularly in urban areas, through the decarbonisation of heating and cooling. The council has been working with the Department for Energy Security and Net Zero (DESNZ) on the Advanced Zoning Programme to identify locations in Birmingham where heat networks may present the most cost-effective method for decarbonising heat. Maps showing existing energy centres supplying heat via heat networks, and potential heat network zones across Birmingham have been published by DESNZ. These maps are an output of the National Heat Network tool, which will be used to refine the boundaries of potential zones once the legislation commences. The Energy Act 2023 enables government to implement heat network zoning regulations in England and secondary legislation to formally commence heat network zoning is due to come into effect during 2025. The Council has a key enabling role to play in this energy transition and we are working with DESNZ and stakeholders from across the city to develop a heat network strategy and delivery plan for the city which identifies and realises these opportunities. ",National government
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",7,Row 7,Civil society: Academia,Knowledge or data sharing|Capacity development|Technical assistance,Resilience|Inclusive climate action and/or equity," Birmingham City Council is a partner, alongside Wolverhampton City Council, Aston University, Birmingham City University and the University of Birmingham, in the Digital Innovation Transformative Change (DIATOMIC) Accelerator project, which is designed to accelerate place-based innovation in the West Midlands, harnessing the region's existing international relationships through a series of targeted initiatives. Now in its third year, the programme led by Connected Places Catapult is designed to increase innovation capacity in the West Midlands, support economic growth, and strengthen the region's research and development ecosystem. At its core is the development of a Digital Twin platform, enabling SMEs to test and demonstrate new digital models in secure environments. These models are helping to unlock smart investment zones in Birmingham's Knowledge Quarter and Wolverhampton's Green Innovation Corridor. This digital infrastructure connects local authorities and academic partners with SMEs, allowing real-world challenges to be addressed through innovative solutions. It supports the translation of research into commercial applications, leading to more effective, data-led decision-making. DIATOMIC will support 10 more SMEs, deliver five new Digital Twin use cases, and generate an additional £10 million in co-investment. With a strong focus on the Black Country, the programme continues to create an innovation-led, resilient economy for the West Midlands.",NGO and associations
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",8,Row 8,Government/Public body: Neighboring local government,Collaborative initiative,Emissions reduction,"Birmingham City Council, in partnership with Solihull Metropolitan Borough Council, have secured £290k UK Shared Prosperity Funding to deliver our 'Sustainable Supply Chains for Birmingham & Solihull' (SSCBAS) project, which will work with our Small and Medium Enterprises (SMEs) and support them to decarbonise their operations. Since commencing this activity, and working across both councils, we have improved our understanding of the councils' procurement spend profile and GHG emissions, engaged with our suppliers about their net zero commitments, activities and performance, and delivered targeted support for our SME suppliers with the transition to net zero. Our ambition is for this activity to provide training and non-financial support to almost 60 SMEs, and work with a third of these to support them develop decarbonisation plans. We have maximised the reach and impact of these activities through collaborating with the UKSPF Circular Economy in Birmingham and Solihull (CEBAS) programme, which is being delivered by International Synergies. SSCBAS concluded in March 2025.",National government
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",9,Row 9,Government/Public body: Neighboring local government,Procurement|Collaborative initiative,Waste|Emissions reduction,"Through our collaboration with Solihull Metropolitan Borough Council, we secured £520k from the UK Shared Prosperity Fund and have been working with International Synergies (ISL), a world leader in industrial symbiosis, to deliver tailored circular economy support for small and medium-sized enterprises (SMEs) across the region. The Circular Economy for Birmingham and Solihull (CEBAS) project is providing training, events, workshops and one-to-one so support to help SMEs improve their resource and waste efficiency. SMEs were able to match resources using the Synergie portal and this resulted in carbon savings and reduced costs. This project will be extended until March 2026. ",National government
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",10,Row 10,Government/Public body: National government,Funding (grants),Adaptation|Emissions reduction,"Having successfully secured and utilised £296,550 of revenue support for utility and chemical cost pressures across our swimming pools from phase I of Sport England's Swimming Pool Support Fund, the City Council has subsequently been awarded a further £250,000 under phase II, match funded with £118,643 from the UK Shared Prosperity Fund, totalling £368,643. The funding will be used to provide new efficient gas boilers and pool covers at Handsworth Wellbeing Centre. ",National government
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",11,Row 11,Civil society: Education sector,Knowledge or data sharing,Education,"We have been working with climate charity Ashden, and their newly recruited West Midlands Schools' Climate Action Advisors, to support their Let's Go Zero Campaign to decarbonise schools across Birmingham. Acivico Group, the council's building consultancy, is also providing support and has developed a school roadmap to decarbonisation, is delivering sessions for parents on energy efficiency, and working with schools to help them to decarbonise. The council is also extending engagement on school decarbonisation through the Spotlight newsletter for School Governors, and delivering carbon literacy training for governors, clerks and head teachers. The Route to Zero team has also been supporting school events, Birmingham Schools' Model Conference of Parties (COP) event, which included 10 schools, in the council chamber in November 2023 and 2024. A repeat of this event is currently being planned for November 2025.",Academia
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",12,Row 12,Civil society: Academia,Capacity development|Knowledge or data sharing,Energy|Resilience,"The Route to Net Zero supported 6 University of Birmingham students via a placement with Birmingham City Council, researching various Net Zero related topics including carbon offsetting and the purchase of renewable energy guarantees of origin. These projects involved collaboration with other councils across the UK. Outputs were shared with ~50 staff from across the council and summarised in briefing papers by students.",Local government within country/area
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",13,Row 13,Government/Public body: Regional government,Capacity development|Knowledge or data sharing|Collaborative initiative,Waste|Inclusive climate action and/or equity|Adaptation|Natural environment,"Birmingham collaborates with the West Midlands Combined Authority through a variety of working groups including: the WM Net Zero directors group, circular economy group, retrofit group and adaptation group. The Council also sits on the WMCA board, which organises the local Greener Together forum.",Regional government
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",14,Row 14,Civil society: Residents/community groups,Capacity development|Technical assistance|Funding (grants),Adaptation|Emissions reduction|Inclusive climate action and/or equity|Resilience|Natural environment,The council has supported the Bahu Trust and Footsteps with a successful grant application for £200k to fund and support faith led climate action projects. The team is now supporting the scheme via the project board. ,Climate initiatives/networks
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",15,Row 15,Government/Public body: Regional government,Entrepreneurship support programmes|Reporting of climate and/or environmental data,Emissions reduction,Our business development team signposts to our UKSPF funded scheme -which includes targeted support for our suppliers (particularly Small and Medium Enterprises (SMEs) as well as signposting suppliers to the West Midlands Net Zero Business Pledge.,Neighboring local government
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",16,Row 16,Government/Public body: Regional government,Collaborative initiative,Forestry|Water|Ecosystem restoration|Resilience|Adaptation|Natural environment,"The West Midlands Combined Authority (WMCA) was selected as one of four national programmes titled Local Investment in Natural Capital (LINC). The Defra funded £1million LINC programme was part of the government's Green Finance Strategy and will build the capacity and capability of local leaders and partners to attract finance at scale to: Create a nature-positive future, restoring habitats and biodiversity, and connectivity for people and nature. Deliver nature-based solutions to climate risks; improve water quality; reduce flood risk; sequester carbon; improve air quality; and provide urban cooling. Address socio-economic related inequalities in health by improving the quality quantity, and access to green and blue space. Maximise the opportunities and benefits of ecosystem services and natural capital assets. Strengthen the region's green economy to provide environmental improvements and sustainable growth as part of the Levelling Up agenda, Climate Adaptation Plans, Local Nature Recovery Strategy, Net Zero, and Biodiversity Net Gain. The LINC programme has enabled the public sector (and their third sector partners) to become more market-facing with their projects and programmes, which will support the delivery of the West Midlands Natural Environment Plan. The LINC programme has recently secured phase 2 funding to enable the delivery of a centralised natural capital trading platform. This will allow Birmingham to market a range of investment opportunities commencing with those identified in the East Birmingham Green Infrastructure Masterplan",National government|Neighboring local government
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",17,Row 17,Government/Public body: Regional government,Multi-jurisdictional regional collaboratives,Emissions reduction|Transport (Mobility),"The council works together with Transport for West Midlands to deliver our transport objectives. The Local Transport Plan (LTP), coordinated by Transport for West Midlands, establishes 3 priorities, improving transport accessibility to services, reducing road traffic and electrifying transport. The LTP includes a programme of funded transport schemes, that are designed to achieve the stated objectives. These priorities are informed by the Birmingham Transport Plan that is set out by the City Council and have similar aims of achieving net Zero emission from transport. BCC as the Local Highway Authority, delivers the highway elements of the Local Transport Plan within the Birmingham boundary.",National government|Regional government
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Government/Public body: Local government within country/area,Knowledge or data sharing,Natural environment|Adaptation|Emissions reduction|Inclusive climate action and/or equity|Energy,Cambridgeshire climate officers group - to share best practice,Local government within country/area
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",2,Row 2,Government/Public body: National government,Capacity development|Policy and regulation development/ implementation|Funding (grants)|Collaborative initiative|Financing (investment),Energy,https://www.cambridgeshire.gov.uk/residents/climate-change-energy-and-environment/climate-change-action/low-carbon-energy/community-heating/swaffham-prior-heat-network ,Local government within country/area|Energy|Residents/community groups|Utilities
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",3,Row 3,Government/Public body: Local government outside of country/area,Knowledge or data sharing,Resilience|Energy|Finance|Emissions reduction|Adaptation,"Cambridgeshire County Council chairs the ADEPT Energy & Clean Growth Working Group which is made up of 40+ representatives from local authorities across the UK. The group is used to share best practice and knowledge, and to bring together key messages to be shared with national government via a DESNZ rep who sits on the group. Other organisations (e.g. charities, businesses, community groups etc.) are also invited to attend adhoc meetings to share their work with the group.",NGO and associations|National government|Residents/community groups|Climate initiatives/networks|Energy|Local government outside of country/area
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q1.6,"Report your jurisdiction's most significant examples of collaboration with government, business, and/or civil society on climate-related issues.",1,Row 1,Civil society: Vulnerable population groups,Reporting of climate and/or environmental data|Climate action plan implementation|Collaborative initiative|Knowledge or data sharing,Other: Hazard identification and preparedness|Resilience|Public health|Inclusive climate action and/or equity,"Launched in November 2024, the University of Illinois Chicago (UIC) created the Center for Climate and Heath Equity, this multidisciplinary center to assess health impacts of climate risks and test green infrastructure interventions. It collaborates with the Department of Public Health, Morton Arboretum, and local communities—grounding solutions in both data and neighborhood engagement ",Faith-based organizations|Vulnerable population groups|Academia|Health Care|NGO and associations|National government|Residents/community groups
