disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Reason,col2_Please explain
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Lack of funding,
2025 Disclosure Cycle,779465,CDP,73018,Aguascalientes,States & Regions,Latin America,Mexico,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Intending to undertake in the future,No se cuenta con el recurso económico para generar el análisis
2025 Disclosure Cycle,779465,CDP,73025,Tabasco,States & Regions,Latin America,Mexico,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Intending to undertake in the future,
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Other: Não conhecido,"Até o momento de fechamento deste report, não obtivemos informações a respeito da realização de avaliação de riscos ou de vulnerabilidade com relação ao desmatamento e/ou degradação florestal para Pernambuco."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Other: Faz parte de um projeto mais abrangente,"Foi realizada a análise climática e determinação da vulnerabilidade dos municípios paranaenses em face das mudanças climáticas com foco aos eventos extremos de seca e alagamentos, principais incidências no Estado. Além disso, temos outros projetos como os citados abaixo\n\nO Projeto i9 Ambiental é uma plataforma inteligente que visa contribuir com a transformação digital das informações e serviços ambientais do estado do Paraná através de transparência e segurança de dados. O Portal de dados ambientais abertos utiliza inteligência geográfica e ferramentas de compreensão e colaboração tecnológica para técnicos e a sociedade em geral.\n\nFruto do programa i9 Ambiental, em 2025 estará sendo implementado também o Sistema de Fiscalização e Controle Ambiental (FICA) e outras aplicações geoespaciais. O FICA modernizará todo o processo de gestão dos autos de infração, incorporando controle de todas as fases processuais, em ambiente web, além do uso de geotecnologias e da integração com demais sistemas do IAT, como o sistema de licenciamento ambiental, o de outorga do uso da água e o de monitoramento. Assim possibilitará a elaboração de estratégias de fiscalização mais preditivas, proativas e com melhor embasamento técnico.\n\nResultado: Proporcionalmente, o Paraná alcançou o terceiro melhor desempenho do País no período, atrás apenas do Distrito Federal (-95,1%) e de Goiás (-71,9%), e o dobro da média nacional - no Brasil, em 2024, o desmatamento caiu 32,4%, totalizando 1,24 milhão de hectares. (link: https://www.sedest.pr.gov.br/Noticia/Com-queda-de-649-Parana-teve-3a-maior-reducao-de-desmatamento-do-Brasil-em-2024)"
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Risk assessment is still in the planning stages,"A jurisdição pretende fazer o Plano Estadual de Restauração e Desenvolvimento. Justifica-se pelas taxas de desmatamento quase zero nos últimos anos, devido as ações de fiscalização e controle."
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Lack of funding,No se ha asignado los fondos por el momento pero después de esto se buscará realizar esta acción.
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Risk assessment is still in the planning stages,Dentro del Atlas de Vulnerabilidad ante el Cambio Climático del Estado de Querétaro se incluirá un apartado para evaluar la vulnerabilidad o los riesgos relacionados con la deforestación y/o degradación forestal.
2025 Disclosure Cycle,779465,CDP,833240,Sergipe,States & Regions,Latin America,Brazil,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Lack of funding,"Pretende-se nos próximos anos fazer análises de risco para o desmatamento e degradação florestal, mas estamos deficientes em financiamentos."
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Risk assessment is still in the planning stages,"O RN conta com o Novo Plano de Monitoramento Ambiental e prevê a análise das\nespécies arbóreo-arbustivas registradas e a adoção de um valor de qualidade para as formações\nde vegetação nativa amostradas, conforme disposto no Sistema de Indicadores e Índices\nAmbientais proposto em 2007 (IDEMA, 2007a) e executado em parte do Estado, na região do\nBaixo-Açu (IDEMA, 2007b). Sendo que foram acrescentados à proposta de 2007 alguns ajustes\nno método de caracterização dos indicadores (subitem 5.4.2.), com intuito de caracterizar\nmelhor a vegetação nas áreas do estudo."
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Lack of expertise and knowledge of deforestation risks,EN PROCESO DE DE PLANIFICACION 
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Other: No information regarding the reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Papua have done it
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Risk assessment in progress,"UNIGEO desenvolveu em 2025 sistemas automatizados de alerta de desmatamento e queimadas, com base em sensoriamento remoto (NDVI e satélite GOES), inteligência artificial e algoritmos de vetorização automática, permitindo a detecção precoce e precisa de alterações na cobertura vegetal. Esses sistemas realizam cruzamentos com bases do Cadastro Ambiental Rural (CAR), Áreas de Preservação Permanente (APP), Unidades de Conservação (UC) e outras áreas sensíveis, gerando alertas com robustez técnica para subsidiar ações de fiscalização e responsabilização. \nUNIGEO atua como coordenadora da governança de dados geoespaciais no Estado, sendo responsável pela padronização, curadoria e publicação ativa de informações no Portal de Transparência Geoespacial do IMASUL, ferramenta que assegura rastreabilidade, transparência e confiabilidade nas informações utilizadas para subsidiar políticas públicas ambientais"
2025 Disclosure Cycle,779465,CDP,848527,Sinaloa,States & Regions,Latin America,Mexico,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Human resources/capacities constraint,"No existe personal dedicado con experiencia para realizar este estudio, ni tampoco los recursos para llevarlo a cabo"
2025 Disclosure Cycle,779465,CDP,884371,Nayarit,States & Regions,Latin America,Mexico,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Intending to undertake in the future,
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,"Other: Other, please specify","La Ciudad de México,actualmente cuenta con el \'Programa Estratégico Forestal del Distrito Federal 2006-2025\', aunque se encuentra vigente, la información del documento no ha sido actualizado desde su publicación en 2006.http://www.conafor.gob.mx:8080/documentos/docs/12/858Programa%20Estrat%c3%a9gico%20Forestal%20del%20Distrito%20Federal.pdf"
2025 Disclosure Cycle,779465,CDP,908451,Klaipėda County,States & Regions,Europe,Lithuania,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Intending to undertake in the future,N/A
2025 Disclosure Cycle,779465,CDP,2045619,Nonthaburi Province,States & Regions,South East Asia & Oceania,Thailand,Public,Q10.10.2,Please explain why your region has not undertaken/has not been requested to undertake a forests-related risk assessment.,1,Reason for the lack of risk or vulnerability assessment on deforestation and/or forest degradation,Other: Because Nonthaburi has no forests,Because Nonthaburi has no forests
