disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Description of data collected,col2_Geographic scope covered by the monitoring,col3_Frequency of data collection,col4_Do the results of forest monitoring inform your region's overall strategy to managing forests?,col5_Please explain
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"O SIMAD coleta dados de Imagens de satélite (com melhor escala de mapeamento e cruzamento de banco de dados do órgão ambiental estadual) comparando locais em diferentes períodos, mostrando o histórico da vegetação em periodicidade semanal.",Entire natural forest area within the region,Other: SEMANAL,Yes,"O Sistema Integrado de Monitoramento e Alertas de Desmatamento (Simad), é uma ferramenta de SC que detecta, registra e gera alertas precisos de desmatamento após cruzamento de diversos bancos de dados, tais como:\n- licenciamentos e autos de infração do banco de dados do IMA (Instituto de Meio Ambiente de SC);\n- Cadastro Ambiental Rural (CAR); e\n- espaços territoriais especialmente protegidos (APP, Reserva Legal, unidades de conservação)\n\nAs informações geradas são mais exatas utilizando-se de um filtro aprimorado de dados atualizados de programas do IMA, com melhor escala de mapeamento. \nO SIMAD utiliza imagens de satélite para comparar locais em diferentes períodos, mostrando o histórico da vegetação. Se há supressão de mata, o próprio sistema verifica se foi legal com Autorização de Corte ou se é clandestina.\nÉ considerado atualmente o sistema com a capacidade de atualização mais rápida do Brasil: semanal para as regiões do estado, ou a cada 16 dias para um ponto específico de interesse no acompanhamento."
2025 Disclosure Cycle,779465,CDP,833237,Santa Catarina,States & Regions,Latin America,Brazil,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,3,Row 3,"Para a execução dos ciclos 1 e 2 do programa contínuo de Inventário Florístico Florestal do estado de Santa Catarina foram coletados os seguintes dados:1) Inventário dos Remanescentes Florestais;2) Monitoramento da Cobertura Florestal, 3) Alometria, 4) Herbário, 5) Diversidade genética e 6) Levantamento Socioambiental\nEstes estudos estão disponíveis em: https://www.iff.sc.gov.br/p%C3%A1gina-inicial",Entire natural forest area within the region,Other: 6 anos,Yes,"Em seis anos, o Inventário Florístico Florestal (IFFSC) finalizou o primeiro ciclo lançando o primeiro inventário. A remedição das parcelas nos anos subsequentes produziu o segundo ciclo, encerrado em 2019. A assinatura do convênio para continuidade e início do 3º ciclo ocorreram em 2022."
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"Forest Inventory and Analysis (FIA) is a congressionally mandated program that delivers current, consistent, and credible information about the status of forests and forest resources within the United States by continually collecting and analyzing data about these forests and the values they provide. FIA works to: Collect annualized data relating to forest resources, health and ownership. Collect and analyze a consistent core set of ecological data on all forests to view trends over time. Utilize new and emerging technologies to acquire data through remote sensing and field activities. FIA completes data collection and analysis work within four main inventories: The Nationwide Forest Inventory (NFI): a national network of permanent plots that are remeasured every 5-10 years depending on location. Land use information is collected on all plots, with additional site and tree (live and standing dead) data collected on plot areas having forest land use present. Additionally, information about down woody material, soils and understory vegetation is collected on a subset of plots. The National Resource Use Monitoring (NRUM): a survey which collects information on manufacturers that use harvested wood products for reporting on size of facilities, products that are manufactured, manufacturing capacity, and other data points. The National Woodland Owners Survey (NWOS): a survey that collects information on private forest landowners to understand why they own the land, what they use it for, and how they are planning on managing their land over time. Urban Inventory: an inventory program that monitors the Nation's urban forests, examines social dimensions of urban forests and green spaces, and estimates the industrial and nonindustrial uses of urban wood. FIA also works with experts from universities and trusted partners to expand research capacity, analytical capabilities, and continually develop and enhance our inventory and monitoring techniques within these inventories. ",Entire natural forest area within the region,Annually,Yes,"Benefits of the Annual Inventory System Provides data on forest cover, tree species composition, wood volume, tree health and other factors Provides baseline information to measure changes over time Consistent data collection over a period of many years allows for correlation with other time-series data, such as temperature and rainfall"
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,FRWRM Monitoring ,Areas of high deforestation/forest degradation risk,Other: As the project is needed,Yes,Promote forest health and forest restoration projects
2025 Disclosure Cycle,779465,CDP,30989,State of Colorado,States & Regions,North America,United States of America,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,3,Row 3,COSWAP Monitoring,Areas of high deforestation/forest degradation risk,Other: As projects are identified. CFRI is completing a 3 year monitoring project.,Yes,"The Colorado Forest Restoration Institute (CFRI) at Colorado State University is partnering with the Colorado Department of Natural Resources (DNR) to monitor outcomes of COSWAP landscape resilience investments. Our monitoring strategy will evaluate how COSWAP investments mitigate wildfire hazard and promote ecological resilience within individual projects, and assess the cumulative impact of cross-boundary forest management to improve landscape resilience within the ten COSWAP strategic focal areas. The intent of our monitoring program is to create learning opportunities that improve future projects by providing DNR, local project partners, and other local, state, and federal policy-makers a reliable, objective, quantitative measure of landscape resilience and wildfire hazard reduction. "
2025 Disclosure Cycle,779465,CDP,31196,State of Maryland,States & Regions,North America,United States of America,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"The Maryland Department of Natural Resources uses three methods to monitor forests in the state: the University of Maryland High-Resolution Tree Canopy Data, Chesapeake Conservancy High Resolution Land Cover Assessment for 2013, US Forest Service Inventory and Analysis (FIA) Annual Summary of Permanent Plots in Maryland. More information: https://dnr.maryland.gov/forests/Pages/About_Forests.aspx. Annual forest carbon fluxes for Maryland are primarily estimated using a new method for monitoring high-resolution forest above-ground carbon dynamics produced by the NASA Carbon Monitoring System (CMS) and the University of Maryland (UMD). This IPCC Tier-3 approach utilizes high-resolution remote sensing data, U.S. Department of Agriculture (USDA) Forest Service Forest Inventory and Analysis (FIA) plot data, and a process-based ecosystem model to detect and quantify annual changes to the State's tree and forest carbon stocks. For more information: https://mde.maryland.gov/programs/air/climatechange/pages/greenhousegasinventory.aspx",Entire natural forest area within the region,Annually,Yes,"For Maryland, 985 permanent sample plots exist across the state. FIA field crews get permission from landowners to access the plot, and record the data. To protect the privacy of the landowner, the location and content of the plots are confidential. Of these plots, 432 were forested in 2016, and the current report represents data collected from 2011 to 2016. All of the plots are visited once in 7 years, with roughly 1/7 of all plots in a state being sampled in a single year. For a time, the plots were sampled every five years, but budgetary constraints forced the US Forest Service to reduce the number of field staff, and extend the sampling period. For more information on the most recent methodology see: https://mde.maryland.gov/programs/air/ClimateChange/Documents/VIMAL/MD_ForestCarbon_Flux_Methodology_01.06.23.pdf"
2025 Disclosure Cycle,779465,CDP,72887,State of Connecticut,States & Regions,North America,United States of America,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"University of Connecticut's Center for Land Use Education and Research conducts the Changing Landscape remote sensing-based land cover study that charts landscape changes in Connecticut and portions of New York. It covers the 30-year period from 1985 to 2015. It includes information on basic land cover, as well as subsidiary analyses of riparian corridor land cover, impervious cover, and forest fragmentation analysis. GIS layer analysis. https://clear.uconn.edu/projects/landscape/index.htm",Entire natural forest area within the region,"Other: It covers the 30-year period from 1985 to 2015 (with in-between dates of 1990, 1995, 2002, 2006 and 2010)",Yes,Informs priority locations to focus resources on forest conservation and education to woodland owners. 
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,The state monitors forests by surveying plots every 6km across the state's forest land every 5-10 years for the Forest Inventory and Analysis (FIA) program,Entire natural forest area within the region,"Other: All permanent plots, 5-10yrs",Yes,This data is considered by forest management governments at all levels
2025 Disclosure Cycle,779465,CDP,72890,State of Minnesota,States & Regions,North America,United States of America,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,USFS Forest Inventory Analysis (FIA) data,Entire natural forest area within the region,"Other: Data are collected every year, but plots are revisited every 5 years. Plots are a statistically representative sample of MN forests, but this program is not intended to detect and respond to deforestation at fine spatial or temporal scales.",Yes,"DNR Forestry and Minnesota Forest Resources Council assess and utilize FIA data in their policy, planning, and implementation work."
2025 Disclosure Cycle,779465,CDP,72890,State of Minnesota,States & Regions,North America,United States of America,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,Minnesota Forest Inventory,Entire natural forest area within the region,Annually,Yes,"LIDAR and plot based measures are used to assess a wide variety of forest characteristics, including deforestation. Advancements in technology and recent expansion to include more private lands have enhanced the outcomes of this program. "
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"The Forest Inventory and Analysis (FIA) Program of the U.S. Forest Service the nation's continuous forest census. The program collects nationwide forest inventory data from a grid of sampling plots and projects how forests are likely to appear 10 to 50 years from now. This enables the State to evaluate whether current forest management policies and practices are sustainable in the long run.Basic Forest Inventory:Phase 1 is a remote sensing phase aimed at classifying the land into forest and non-forest and taking spatial measurements such as fragmentation, urbanization, and distance variables. This phase has historically been done using aerial photography, but is changing to a system based on satellite imagery.Phase 2 consists of a set of field sample locations distributed across the landscape with approximately one sample location (FIA plot) every 6,000 acres. Forested sample locations are visited by field crews who collect a variety of forest ecosystem data. Non forest locations are also visited as necessary to quantify rates of land use change. Forest Health Indicators:Phase 3 consists of a subset of the phase two plots (approximately 1 every 96,000 acres) which are visited during the growing season in order to collect an extended suite of ecological data including full vegetation inventory, tree and crown condition, soil data, lichen diversity, coarse woody debris, and ozone damage.FIA reports on status and trends in forest area and location; in the species, size, and health of trees; in total tree growth, mortality, and removals by harvest; in wood production and utilization rates by various products; and in forest land ownership.",Entire natural forest area within the region,Other: Every 10 years,Yes,The data provided by the FIA program informs and guides forest-related policy and management decisions.
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,Woodland Loss statistics derived from the GB National Forest Inventory,Area legally defined as forest,Annually,Yes,"The Woodland Loss statistics are derived from data collected through the Great Britain National Forest Inventory. Woodlands must be 0.5 ha and above, with a minimum width of 20 m to be counted towards the inventory.The data layer for the Wales ancient woodland inventory can be analysed against the statistics on woodland loss to give an indication of loss of natural forest (excluding Plantations on ancient woodland sites)."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"The California Natural Resources Agency is working with the California Air Resources Board and NASA Ames (NASA Earth Exchange) to create new statewide, high-resolution datasets that use new types of remote sensing data and treatment data to evaluate forest conditions, changes, and track actions on the ground. This effort will monitor changes in California's forests, shrublands, and grasslands over time and evaluate the effectiveness of management practices, including treatment-wildfire interactions. The California Air Resources Board will maintain this data to help ensure the success of the state's public health and safety programs, particularly those related to wildfire and climate.",Entire natural forest area within the region,Annually,Yes,The data and assessments produced will guide adaptive management moving into the future under a changing climate. 
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"Assembly Bill (AB) 1492 directs the Timber Regulation and Forest Restoration Program to develop a statewide ecological performance measures approach as an accountability measure for the multiple state programs that regulate timber management on non-federal forestlands. Looking beyond the mandate of AB 1492, the environmental performance measures approach may also assist in the evaluation of state and Federal programs to invest in forest health and resilience. Data collected include forest and other land cover types, wildlife species' diversity, forest structure, water quality/supply, carbon stocks, stock change, and resulting greenhouse gas flux associated with stock change in California's landscapes over time.",Other: Natural and working lands,Annually,Yes,"Forest monitoring and inventory data can be used to prioritize management practices, and adjustment of practices where needed to improve ecological conditions and carbon sequestration on the landscape conditions, as well as timing to support healthy, sustainable forests and ecosystems. Furthermore, these data can be used to support adaptive management, adjusting management approaches based on assessment of ecological trends across the landscape."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,3,Row 3,"The California Air Resources Board's Natural and Working Lands (NWL) Inventory provides a quantitative estimate of carbon stocks, stock change, and resulting greenhouse gas flux associated with stock change in California's landscape, and attributes stock changes to disturbances. The NWL inventory is an important tool for informing how California's land base contributes to the state's climate goals and tracking statewide progress toward the state's long-term objectives for NWL. For more information, see https://ww2.arb.ca.gov/nwl-inventory.","Other: Natural and working lands including natural and urban forests, rangelands, grasslands, wetlands, and agricultural lands",Every two years,Yes,"The Natural and Working Lands (NWL) Inventory's geospatially explicit carbon estimates provide information about what vegetation type is present on land, how carbon density varies in different areas, how much live and dead biomass carbon are present on the landscape, and what changes are occurring on land. It can help identify areas where additional investment could result in more impact, thereby helping to inform project prioritization and level of investment needed on our lands to meet our long-term climate goals. For example, the inventory could direct ecosystem restoration efforts toward areas currently serving as carbon sources, or direct preservation efforts to ecosystems that contain large carbon pools vulnerable to loss. In the future, spatially-explicit information from the inventory could also be used to support investment decisions and help the state better meet goals for NWL management."
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"La Xunta de Galicia ha puesto en marcha el proceso para la elaboración de un inventario forestal continuo en la Comunidad con el objetivo de establecer una hoja de ruta conjunta que permita, hacer seguimiento de la cantidad y del estado de las masas arboladas, y por otra, crear una estrategia de apoyo a las decisiones en materia de política forestal mediante un sistema de monitoreo forestal continuado. Este inventario será una pieza clave teniendo en cuenta cuestiones como la existencia de una gran cantidad de superficies forestales de pequeño tamaño más complejas de inventariar, que algunas especies no están bien estudiadas y que otras crecen a un ritmo más rápido.\nEl Inventario Forestal continuo de Galicia (IFCG) es una herramienta fundamental de control y planificación. Las metodologías aplicadas permiten visibilizar un mapa forestal adaptado a Galicia donde también se incorporan las restricciones técnico-legales que pueden condicionar la disponibilidad de los recursos de nuestros bosques.",Entire natural forest area within the region,Annually,Yes,"El inventario forestal anual de Galicia dará cumplimiento a una de las recomendaciones del dictamen de la Comisión especial no permanente de estudio y análisis de las reformas de la política forestal, de prevención y extinción de incendios forestales y del Plan forestal de Galicia, que señalaban que era necesario crear un sistema de información y estadística forestal de Galicia, como mecanismo que permitiese hacer diagnósticos adecuados y ser una herramienta esencial para la toma de decisiones de políticas públicas o empresariales relacionadas con el sector forestal.\nhttps://invega.xunta.gal/invega/"
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"A través de los inventarios forestales nacionales y en Navarra además a través del mapa de cultivos y aprovechamientos y las ortofotografías anuales que permiten analizar la evolución de los cambios mediante el mapa de cultivos, y además, hay un observatorio forestal que permite ver con detalle cómo se encuentra la gestión forestal en la comunidad. \n\nPor otra parte, un visor geográfico específico, La BDGPFNa centraliza datos tanto actuales como históricos de los instrumentos de planificación forestal aprobados por la Administración Como ejemplo de los datos incluidos, se pueden citar: Montes Ordenados, Cantones, Rodales, Masas, Pistas, Cierres, Planes de Cortas, Mejoras en Masas, Mejoras en Pistas, etc. A través de un visor web público, incluido en la aplicación y de accesibilidad universal, se puede realizar la consulta y seguimiento de todos estos datos mencionados de la planificación forestal de Navarra.\n\nLa presentación de la BDGPFNa, se puede ver en la página web de la Planificación Forestal del Gobierno de Navarra:\n\nhttps://www.navarra.es/es/medio-ambiente/gestion-forestal/planes-de-ordenacion-forestal\n\nEn esta página se incluye:\n\nEnlace de acceso al visor de la aplicación “Ordenación forestal”\nVídeo Tutorial de presentación de la aplicación: https://www.youtube.com/watch?v=kN3rdLpnXns\n\nObjetivo\nObjetivo general:\nTener toda la información relevante de la planificación forestal de Navarra, actual e histórica, homogeneizada, centralizada y accesible para su análisis y consulta. Los objetivos de esta centralización de la información de la planificación son: \n\nAnalizar el cumplimiento de los objetivos de la planificación forestal.\nAnalizar la coherencia de la evolución de la planificación forestal.\nDotar de continuidad y seguimiento a la gestión forestal del territorio, a través del conocimiento centralizado de lo planificado y las actuaciones (tanto aprovechamientos como mejoras) realizadas hasta el momento.\nObjetivo específico:\nDar accesibilidad a quienes participan en la planificación y gestión forestal de Navarra (administración pública, sector privado y propiedad forestales), para lo cual se crea en la aplicación un visor de accesibilidad universal. Optimizar los tiempos de trabajo de los perfiles implicados.",Entire natural forest area within the region,Annually,Yes,
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,"Anualmente se realiza un reporte analítico denominado Mapa Forestal CAE (Comunidad Autónoma de Euskadi) en el que se incluyen datos sobre el terreno ganado y/o perdido de cada tipo de suelo, así como por especies forestales, estado de los bosques, propiedad, altitud y otras variables.",Entire natural forest area within the region,Annually,Yes,Se puede acceder de manera libre a los datos del Mapa Foresta CAE 2023 y años anteriores hasta el 2017 en el siguiente link: https://www.euskadi.eus/gobierno-vasco/-/mapa-forestal-cae-2023/
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"Anualmente la Fundación HAZI institución instrumental del Gobierno Vasco, elabora un mapa detallado de los bosques de Euskadi (cartografía distribuida de las masas arbóreas) para cuantificar su extensión y estado.",Entire natural forest area within the region,Annually,Yes,"Se puede acceder a la información anual desde el año 2018 en l página de la fundación, los datos mas recientes corresponden al 2022 y se puede acceder libremente desde el siguiente link: https://basoa.org/wp-content/uploads/ANALISIS-Datos-de-situacion-2022-de-los-bosques-en-euskadi.pdf"
2025 Disclosure Cycle,779465,CDP,72927,Autonomous Community of Catalonia,States & Regions,Europe,Spain,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,2,Row 2,"El Sistema de Información del Patrimonio Natural es un sistema que aplica determinados procesos (inventario, evaluación, seguimiento) a un conjunto de elementos de información (especies, hábitats, elementos protegidos) a través de una infraestructura adecuada (hardware, software, centro logístico, recursos económicos) y un organización específica (equipos de trabajo, coordinadores científicos, procedimientos de trabajo), para obtener productos útiles (mapeos temáticos, bases de datos) para la toma de decisiones y para el acceso público a la información.",Areas of high conservation value,Other: Every 4-5 years,Yes,
2025 Disclosure Cycle,779465,CDP,72928,Autonomous Community of Cantabria,States & Regions,Europe,Spain,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Desde el Servicio de Montes se tienen geolocalizados todos los aprovechamientos forestales y los incendios forestales de Cantabria.,,,,
2025 Disclosure Cycle,779465,CDP,72953,Autonomous Region of the Azores,States & Regions,Europe,Portugal,Public,Q10.9.1,Please provide the details of the monitoring system in place within your region.,1,Row 1,Forest inventory.,Entire natural forest area within the region,"Other: Updating the forest inventory is dependent on the availability of aerial images with photointerpretation resolution, since the last ones date back to 2004. Currently, using aerial photogrammetric coverage of the region, orthophotomaps from 2024 will",Yes,"Updating the forest inventory is dependent on the availability of aerial images with photointerpretation resolution, since the last ones date back to 2004. Currently, using aerial photogrammetric coverage of the region, orthophotomaps from 2024 will be made available, which will allow the forest inventory to be updated, currently underway, with the support of aerial images collected with UAS."
