disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Further information,col2_Further attachments
2025 Disclosure Cycle,779465,CDP,42123,City of Goiânia,City,Latin America,Brazil,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Instittuimos o Fórum Goianiense de Mudanças Climáticas LEI Nº 11.381, DE 23 DE ABRIL DE 2025. \n\nE criamos a Gerência de Combate às Mudanças Climáticas e Fomento à Política de Redução do Carbono - GERCARB e renomeou a Diretoria de Gestão Ambiental e Mudanças Climáticas.","DC Nº 133, DE 10 DE JANEIRO DE 2025.pdf,Lei 11381_2025 Fórum Goianiense de Mudancas Climaticas -GYNCLIMA.pdf"
2025 Disclosure Cycle,779465,CDP,42388,Intendencia de Montevideo,City,Latin America,Uruguay,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Montevideo esta construyendo un observatorio ambiental donde registran datos relevantes para la toma de decisiones. Y esta elaborando un protocolo para medir la captura de carbono urbano a partir de imágenes de dron.\nEl Documento esta en fase de culminación, se espera que este disponible en un futuro próximo, lo que nos permitirá evaluar la captura de CO2 por arbolado ente 2019 y 2025.",
2025 Disclosure Cycle,779465,CDP,43909,"City of Orlando, FL",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,The attached documents provide additional information regarding several topics discussed throughout the questionnaire. These attachments include:\n1-\tVoluntary Local Review: This document highlights the interdependencies between Orlando and the Sustainable Development Goals (SDGs).\n2-\t2024 Water Quality Report (OUC): This report offers valuable information regarding water quality in the city and surrounding municipalities.\n3-\t2024 Financial and Statistical Report: This report includes important information regarding energy supply.\n4-\tPopulation Growth Projections: This document outlines population growth projections from 2024 to 2050.\n5-\tLake Quality Assessment Report: This document provides information on the assessment of lake water quality.\n6- Solar and Energy Loan Fund Reports\n,"2024-Financial-and-Statistical-Report_OUC.pdf,2024-to-2050-growth-projections-report.pdf,2024_Water-Quality-Report.pdf,2024_Water-Quality-Report.pdf,Lake Water Quality Report.pdf,Orlando VLR 2021.pdf,SELF-2020-Annual-Report.pdf,SELF-FY2021-Annual-Report-Final-2-1.pdf"
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"On May 27, 2025, the City of Charlotte adopted the Strategic Energy Action Plan Plus (SEAP+). The plan is an updated and expanded roadmap for reaching the city's climate and energy goals, and it builds on the 2018 plan. SEAP+ outlines bold goals to reduce greenhouse gas emissions, transition to clean energy and create a more resilient community by including an updated GHG Emissions Inventory for calendar year 2023. \n\nhttps://www.charlottenc.gov/City-Government/Initiatives-and-Involvement/The-Office-of-Sustainability-and-Resilience/SEAP",seap_public-draft_040325-compressed.pdf
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"1. As part of Sofia's digital innovation and climate adaptation strategy, a Digital Twin of the Lyulin district has been developed. This project, initiated in collaboration with the National Center for Geospatial Research and Technologies at Sofia University, aims to create a precise, 3D digital model of the district. The Digital Twin integrates geospatial data and urban infrastructure to simulate and monitor the impact of climate change on the area, providing a real-time tool for decision-making and planning.\nThe development of this digital model involved significant data collection. The project utilizes photogrammetry, laser scanning, and thermal imaging to create a detailed map of Lyulin, enabling urban planners to forecast the effects of climate change, such as urban heat islands and flood risks, and to plan adaptive measures accordingly.\nThis data-driven approach has become a key component in Sofia's efforts to achieve its climate neutrality goals by 2030, with the Digital Twin serving as a crucial tool for tracking progress and optimizing urban development.\n\n2.Sofia Municipality has undertaken a comprehensive study to assess the Urban Heat Island (UHI) effect within the city. By utilizing satellite data and geospatial technologies, the study identified areas most affected by higher surface temperatures. The results are instrumental in guiding urban planning efforts aimed at reducing the negative impacts of UHI.\nThese findings will contribute to identifying vulnerable zones and implementing effective solutions, such as expanding green spaces and using more sustainable construction materials. This research plays a key role in Sofia's efforts to achieve climate neutrality and promote sustainable urban development.\n\n3. Sofia Municipality conducted a study on the potential use of solar energy on the rooftops of over 880 municipal buildings, covering a total area of 720,000 square meters. Using geospatial technologies and platforms like SOLARGIS, rooftops with high solar potential for photovoltaic installation were identified. This study supports the municipality's goals for sustainable development and climate neutrality.",2024-04-26-Локален план за климатична адаптация (1).pdf
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"The attached documents include the Study on the Decarbonization of Local Heat Sources, Digital strategy, Energy balance 2023, Transport strategy LPP, Regional SUMP and Sustainable Urban Strategy.","20241115_EB_MOL.pdf,DIGITAL DEVELOPMENT STRATEGY.pdf,STUDY ON DECARBONISATION OF LOCAL_HEATING.pdf,SUSTAINABLE URBAN STRATEGY.pdf,TRANSPORT STRATEGY Urban Region.pdf,TRANSPORT STRATEGY_LPP company.pdf"
2025 Disclosure Cycle,779465,CDP,43926,City of Mannheim,City,Europe,Germany,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Dear CDP-Team,\n\nwe wish to emphasize our commitment to transparency: Progress is reported on the public “ClimateView Mannheim” platform. The digital dashboard presents all climate mitigation and adaptation measures - completed, ongoing, and planned - together with their current progress status. The tool is currently available in German only, you can find the URL down below.\n\nIf we are honored to be included in the A-List again, we would be pleased to participate in an award ceremony organized by the CDP-Team, as in Paris in 2024.\nWe see great untapped potential to create additional value and benefits for the reporting cities - in this case by networking with peer cities. Such networking is simply far more effective in person than through digital tools.\n\nWe are open to questions and feedback at any time - please feel free to contact us to clarify any uncertainties (dominik.stroh@mannheim.de). Thank you for the processing and kind regards from Mannheim, Germany.\n\nClimateView Mannheim URL: https://app.climateview.global/organisation/a915706b-addc-4485-8885-ee45b7e8e924/board/dfd4f1a0-02f6-4f93-97bd-1f5b68e186b4/dashboard/preview/dashboard",
2025 Disclosure Cycle,779465,CDP,43930,Municipality of The Hague,City,Europe,Netherlands,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"In terms in energy transition, we focus on the development of district heating systems powered by sustainable energy sources.\nWe apply the national government definitions of affordable sustainable collective district heating. The central government objective is that this should not lead to higher costs for households than what they would pay for the alternative (individual gas or all-electric heating). In this domain affordability is a relative term, relative to the cost of the alternative.\nOur objective for the next 10 years is to develop a public district heating company that delivers sustainable and affordable district heating (and where possible and relevant cooling) services to 24.000 households in The Hague municipality.\nOur policy towards affordable sustainable household heating services is separate from our policies aimed at addressing energy poverty. For the latter, there are targeted subsidies and support programmes.",
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Disclaimer: Auckland's emission reduction goals were set out in Te Tāruke-ā-Tāwhiri: Auckland's Climate Plan.,auckland-climate-plan.pdf
2025 Disclosure Cycle,779465,CDP,43937,Wellington City Council,City,South East Asia & Oceania,New Zealand,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Following attachments are available here:\n- The food desert map of Wellington City\n- Household toilet access map for Wellington City\n- Electricity generation by fuel type for New Zealand\n- Mode share data for Wellington City\n-Waste data for Wellington City,"Electricity by Fuel-type New Zealand.xlsx,Food Dessert Map.pdf,Household Toilet Access_Wellington City.pdf,Mode share data.xlsx,Waste emissions FY24.xlsx"
2025 Disclosure Cycle,779465,CDP,43938,"Environment and Climate Change Authority, Govt of Dubai",City,UKWW,United Arab Emirates,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No further information to add and unattached documents are cassified,
2025 Disclosure Cycle,779465,CDP,43940,City of Malmö,City,Europe,Sweden,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,N/A,
2025 Disclosure Cycle,779465,CDP,44184,Ulsan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,없음,
2025 Disclosure Cycle,779465,CDP,44185,Suwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"제1차 수원시 탄소중립 녹색성장 기본계획 보고서 * 온실가스 감축사업, 기후위기 대응기반 강화대책 내용은 해당 보고서의 6장을 참고","(통계표3) 2020년 신재생에너지 보급통계(2021년 공표)_기초지자체별 현황_한국에너지공단1.xlsx,(통계표3) 2023년 신재생에너지 보급통계(2024년 공표)_기초지자체별 현황.xlsx,제1차 수원시 탄소중립 녹색성장 기본계획(2025~2034).pdf,제3차 기후위기 적응대책_2024년 이행점검 결과 보고서(발췌).pdf"
2025 Disclosure Cycle,779465,CDP,44187,Goyang City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"In 2024, Goyang City plans to utilize groundwater discharged from the bedrock layer approximately 80 meters below ground during the construction of GTX-A as an urban water resource. The recovered water will be used efficiently as operations and maintenance water for nearby public facilities—including the KINTEX Exhibition Center, the Goyang Sports Complex, and Daehwa Station—improve the water quality of the Daehwa Stream, and support the introduction of a Cooling & Clean Road System, thereby reducing demand for municipal water and achieving budget savings. This project has been selected for a national subsidy program and is scheduled to be implemented with KRW 2.035 billion in central government funding",GTX-A 유출지하수를 활용한 시민 체감형 도심 기후위기 대응 선도모델 구축 사업(사업제안서)_241111 ver.2.pdf
2025 Disclosure Cycle,779465,CDP,44194,Jeonju City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Jeonju City's First Carbon-Neutral Green Growth Basic Plan\n\nJeonju City's Carbon Neutrality Basic Plan was selected as a best practice by the Korean government for its evidence-based decision-making, democratic participation of diverse stakeholders in decision-making, and realistic goal setting.",전주시 탄소중립 녹색성장 기본계획 최종보고서(안).pdf
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No additional comments.,
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Ahmedabad Municipal Corporation (AMC) has established the 'Net-zero, Environment and Climate Resilient Cell' for assessing, planning, implementing, and monitoring various climate actions and accessing various finance options for effective implementation of various climate actions. ICLEI South Asia is supporting AMC in institutionalising and operationalising the cell. All head of departments are part of this cell, which meets once in a month.\n\nThe Cell is responsible for coordinating climate-related efforts among various departments, institutions, and stakeholders, both internally and externally. Operating under the 'Analyse, Act, and Accelerate' approach, the cell aims to work towards a sustainable future by conducting research, engaging and collaborating with stakeholders, conducting climate readiness reviews, exploring innovative finance options, and integrating climate actions into regular planning processes amongst others. \n\nAdditionally, the cell is supporting various departments in prioritising climate actions, create a data bank for data-driven monitoring and evaluation, and promote liveable and sustainable urban planning practices.\n\nAll concerned departments of AMC, under the supervision of Municipal Commissioner, are preparing five year and annual action plan, identifying department level/ zone level/ ward level short-term, medium-term and long-term climate actions. All proposed climate actions will be linked with various national and state government schemes from where city may get funding for implementation.\n\nAMC, with support from ICLEI South Asia, is preparing a climate budget for FY 2025-26, in line with Ahmedabad Net-zero Climate Resilient City Action Plan. \n \nNotification from AMC for establishing the 'Net-zero, Environment and Climate Resilient Cell' in Gujarati is attached herewith.",Net Zero Cell_Circular.pdf
2025 Disclosure Cycle,779465,CDP,46470,Municipality of Vitoria-Gasteiz,City,Europe,Spain,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Inventario de emisiones del Ayuntamiento de Vitoria-Gasteiz.\nSe adjunta el inventario de consumo de energía y emisiones para 2022 correspondiente a las actividades y servicios prestados por gobierno local (AVG). Se han desglosado los datos correspondientes a los edificios e instalaciones municipales, el alumbrado público, la flota de vehículos municipales, desglosados los correspondientes a la gestión del agua, el transporte público (autobuses urbanos), y la recogida y transporte de residuos.\n\nSello de la Misión Ciudades\nLa ciudad de Vitoria-Gasteiz ha recibido de la Comisión Europea el Mission Label, sello Misión, como una de las ciudades participantes en la Misión Europea de 100 Ciudades Inteligentes y Climáticamente Neutras en 2030. \nVitoria-Gasteiz se coloca así entre las 10 primeras ciudades europeas y entre las 5 ciudades españolas en obtener este sello, lo que le mantiene entre las ciudades más ambiciosas en términos de sostenibilidad, y, con ello también, en una ciudad a la que mirar desde el ámbito regional, estatal, europeo e internacional.\nEl Sello de Misión es, ante todo, un reconocimiento de la finalización con éxito del proceso de Acuerdo Climático de Ciudad. Ese documento se ha sometido en los últimos meses a un exhaustivo control de integridad por parte de la Plataforma de Misiones (NetZeroCities) y, a continuación, en abril de 2023, se presentó oficialmente a la Comisión Europea para su revisión. Tras proceder al análisis de su Acuerdo Climático, y tras consultar al Consejo de Misiones (Mission´s Board) y al Grupo de Propietarios de Misiones de la Comisión (Commission´s Mission Owners Group), se ha concedido a Vitoria-Gasteiz el Sello de Misión\nDe entre las más de 370 ciudades europeas que lo intentaron, en abril de 2022 Vitoria-Gasteiz fue elegida una de las 100 Ciudades Misión. Desde entonces, ha estado trabajando en el diseño y desarrollo de su Acuerdo Climático de Ciudad (Climate City Contract), un paso fundamental en la participación en esta Misión europea. \nLa Misión Europea de 100 Ciudades Inteligentes y Climáticamente Neutras para 2030 en la que toma parte Vitoria-Gasteiz tiene como objetivo conseguir 100 ciudades inteligentes y neutras desde el punto de vista climático para el año 2030, y garantizar que estas ciudades actúen como centros de experimentación e innovación para permitir que todas las ciudades europeas sigan su ejemplo para 2050. Para conseguir estos objetivos la Misión de las Ciudades Inteligentes y Climáticamente neutras implicará a las autoridades locales, los ciudadanos, las empresas, los inversores y las autoridades regionales y nacionales.\n",GEIs AVG 2022.xlsx
2025 Disclosure Cycle,779465,CDP,46473,Municipality of Zaragoza (Spain),City,Europe,Spain,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Contrato climático de la ciudad de Zaragoza y Plan de Acción. El enlace web donde se puede encontrar: https://netzerocities.app/resource-4068\n\nAgenda Urbana de Zaragoza, https://zaragoza.es/sede/portal/agenda-urbana/plan-accion/ \n\nEstrategia +20, https://ebropolis.es/estrategia/estrategia-20/",
2025 Disclosure Cycle,779465,CDP,49326,"Ville de Quebec, QC",City,North America,Canada,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,,
2025 Disclosure Cycle,779465,CDP,49333,"City of Louisville, KY",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Closing Letter, including an explanation of why the GHG Inventory hasn't been updated since 2016 and why the Comprehensive Climate Action Plan (CCAP) has not yet been completed.","2025 CDP Closing Letter.docx,2025 CDP Closing Letter.docx"
2025 Disclosure Cycle,779465,CDP,49342,"City of Rochester, NY",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Our targets are based on our 2010 GHG Inventory. We have since done a 2019 GHG Inventory, but have yet to modify our targets based on the new data. We plan on updating our targets through our update of the Climate Action Plan next year.",
2025 Disclosure Cycle,779465,CDP,49345,"City of Birmingham, AL",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,Office of Sustainability and Resiliency has formally been established and staffed within the City. Office will be tasked with completion of City Sustainability and Resiliency Plan.,
2025 Disclosure Cycle,779465,CDP,49347,"City of Omaha, NE",City,North America,United States of America,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Omaha's climate action and resilience plan was adopted on December 17, 2024. At this time, implementation funding has not been budgeted, and no staff have been directed or assigned to carry out implementation of the plan.",
2025 Disclosure Cycle,779465,CDP,49360,City of Tshwane,City,UKWW,South Africa,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,The city has completed a Techno-economic study that explored possibilities of alternative energy as a technical and philosophical shift towards renewable energy technologies at a scale permitted by the new pronouncement and approved regulations. This entails the involvement of the assessment of the new roles that RE Independent Power producers and Embedded generators can play in meeting the city energy requirements. This is supported by the approved Embedded Generation and Wheeling policies that were approved by council.,"20241017_CSIR-Tshwane MEMP-RENEWABLES-Final BVZ Print.pdf,20241017_CSIR-Tshwane MEMP-RENEWABLES-Final BVZ Print.pdf,City of Tshwane Executive Summary.pdf,City of Tshwane Executive Summary.pdf,Council Approved Embedded Generation Policy 29 May 2025.pdf,Council Approved Energy wheeling Policy 29 May 2025.pdf,Council approved Report on Public particiaption and embedded generation 29 May 2025.pdf,Draft_Tshwane Socio-Economic Impact Results 2025.pdf,Draft_Tshwane Socio-Economic Impact Results 2025.pdf"
2025 Disclosure Cycle,779465,CDP,49367,Freetown City,City,UKWW,Sierra Leone,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No further information,
2025 Disclosure Cycle,779465,CDP,50154,City of Turku,City,Europe,Finland,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,https://www.turku.fi/en/city-climate-and-nature,
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"This report serves as a key reference document for evaluating Turkey's national greenhouse gas emissions in line with IPCC methodologies. It was used in the emission inventory to obtain Turkey-specific emission factors for various fuel types under the Tier 2 approach, ensuring accurate application in city-level calculations.",Ulusal Sera Gazı Envanteri 2024.pdf
2025 Disclosure Cycle,779465,CDP,50355,Ayuntamiento de Tijuana,City,Latin America,Mexico,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"El 11 de febrero de 2025 se creó la Secretaría de Protección al Ambiente, con el objetivo de mejorar el medio ambiente, la calidad de vida de los Tijuanenses, así como la preservación de ecosistemas y recuperación de espacios.","ACUERDO_24_4.4_XXV_21 de Agosto de 2025.pdf,ACUERDO_24_4.4_XXV_21 de Agosto de 2025.pdf,ACUERDO_24_4.4_XXV_21 de Agosto de 2025.pdf,ACUERDO_24_4.4_XXV_21 de Agosto de 2025.pdf,ACUERDO_24_4.4_XXV_21 de Agosto de 2025.pdf"
2025 Disclosure Cycle,779465,CDP,50357,Ciudad de Mendoza,City,Latin America,Argentina,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No hay informacion adicional,
2025 Disclosure Cycle,779465,CDP,50361,Ayuntamiento de Hermosillo,City,Latin America,Mexico,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"Files 01 to 04 - Hermosillo on a Human Scale: A Diversified, Innovative, and Sustainable City\n\nThe Emerging and Sustainable Cities Initiative (ESC) in Hermosillo, Sonora, is a comprehensive, interdisciplinary urban study that identifies and prioritizes interventions in areas such as energy, mobility and transportation, fiscal sustainability, and water. Its goal is to promote sustainability in urban planning and growth. The initiative was developed by the Inter-American Development Bank (IDB) for emerging cities in Latin America. The North American Development Bank (NADBank) partnered with the IDB to launch the program in Mexican border communities.\n\nFile 05 - Green Infrastructure Manual (Developed by the Municipality of Hermosillo)\n\nGeneral Objective: To guide the design and decision-making process for incorporating Green Infrastructure (G.I.) in Mexican municipalities through technical design guidelines at the micro-scale level (techniques and technologies) and a methodology for application at the macro-scale level (urban basin and sub-basin scale), achieved through strategic planning, participatory management, and adaptation to local ecosystem conditions.\n\nSpecific Objective at the Micro Scale: To develop technical design specifications for G.I. based on roadway categories, built environments, and the urbanization of areas where green infrastructure is implemented.\n\nSpecific Objective at the Macro Scale: To establish a foundation for developing a methodology that supports the design and planning of G.I. at the scale of urban basins, sub-basins, neighborhoods, and cities.\n\nFile 06 - Advanced Electric Transport and Sustainable Mobilities (TEAMS)\n\nThe Letter of Intent for TEAMS outlines the commitment and interest of the involved parties to collaborate on developing and implementing advanced electric transportation and sustainable mobility solutions. This document serves as a formal expression of intent to work together, detailing the general terms and objectives that will guide future actions, such as improving electric transport infrastructure, promoting sustainable urban mobility, and fostering technological innovation. While not legally binding, it sets the stage for more detailed agreements and strategic partnerships related to the TEAMS initiative.\n\nMunicipal Urban Development Program \nUnrestricted link: https://boletinoficial.sonora.gob.mx/images/boletines/2023/09/2023CCXII21III.pdf\n\nThe Municipal Urban Development Program is a technical and regulatory document created by authorities, specialists, and the broader community. Its purpose is to organize the territory of the municipality of Hermosillo with a long-term vision that enables sustainable urban, economic, social, and community development.\n\nMunicipal Development Plan 2025-2027 \nUnrestricted link: https://www.hermosillo.gob.mx/descargas/PMD_2025WEB.pdf\n\nThe Municipal Development Plan 2025-2027 focuses on generating tangible, measurable, and evaluable results. It was developed using a results-based budget, with strategies, objectives, goals, and actions planned around key indicators to monitor progress or setbacks in various areas affecting the city and its residents.\n\nThis document incorporates a collection of proposals and aspirations from the community, organized around five major strategic fronts. These fronts outline challenges, strategies, and action lines that emerged from the efforts of citizen transition committees and all who participated in collaborative spaces to define the direction of public decision-making:\n\n1. Hermosillo in Peace\n2. Sustainable Hermosillo\n3. Active Hermosillo\n4. Inclusive Hermosillo\n5. Engaged Hermosillo",
2025 Disclosure Cycle,779465,CDP,50368,Municipalidad de Provincial de Arequipa,City,Latin America,Peru,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"La ciudad de Arequipa es la capital de la región y tiene una ubicación privilegiada puesto que se encuentra en el centro de la Macro Región Sur. Por esta situación y su\nposición económica, ejerce una gran influencia sobre el resto de la región (IMPLA, 2016). Aunque existe un esquema urbano monocéntrico, la ciudad de Arequipa no es\nautosuficiente. Requiere de las provincias y regiones aledañas para obtener bienes y servicios básicos, como los alimentos, el agua y la energía. En este análisis, no se\nestán considerando las zonas aledañas a la ciudad de Arequipa por la escala en la que se trabaja, pero no se deben perder de vista. En términos geográficos la ciudad de\nArequipa se ubica entre el desierto de Atacama y la Cordillera Occidental de los Andes, a una altura de 2 335 m.s.n.m. Se localiza entre las regiones naturales de la costa y\nsierra, rodeada por volcanes activos (MPA-AECI, s.f.).","Ficha Tecnica Final Plan Local de Accion Ambiental AQP- 2023.pdf,Plan Local de Accion Ambiental FINAL AREQUIPA.pdf"
2025 Disclosure Cycle,779465,CDP,50369,Ayuntamiento de San Luis Potosí,City,Latin America,Mexico,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"La Administración Municipal 2024-2027 se ha incorporado a la red de Gobiernos Locales para la Sostenibilidad (ICLEI) con el propósito de acceder a asesoría técnica especializada, programas de capacitación y referencias internacionales de políticas públicas que han demostrado resultados tangibles en otras ciudades y regiones. Esta vinculación permitirá fortalecer la toma de decisiones y afrontar con mayor capacidad los desafíos ambientales presentes y futuros en nuestro municipio.\n\nCon base en este acompañamiento estratégico, el Ayuntamiento impulsa diversas iniciativas prioritarias:\n\n• Implementación del Plan de Acción Climática Municipal (PACMUN): Se trabaja en la adopción y consolidación de este instrumento, que orientará las políticas locales de mitigación y adaptación al cambio climático. El PACMUN permitirá identificar fuentes de emisiones, evaluar riesgos climáticos y definir acciones puntuales para reducir la vulnerabilidad de la población y de la infraestructura urbana.\n\n• Fortalecimiento del Programa de Ecología Táctica: Este programa se está robusteciendo para ejecutar intervenciones rápidas, de bajo costo y alto impacto en el territorio municipal. Su objetivo es prevenir riesgos ambientales, mejorar el entorno urbano y operar estrategias que fomenten la participación comunitaria y la recuperación de espacios públicos mediante soluciones verdes y sostenibles.\n\n• Visión estratégica hacia el Plan San Luis 2050: La administración impulsa programas y acciones que sirvan como cimientos para una agenda ambiental de largo plazo. La visión al 2050 busca encaminar al municipio hacia un desarrollo sostenible, resiliente y competitivo, mediante políticas que promuevan el uso eficiente de recursos, la transición energética, la protección de los ecosistemas y la mejora en la calidad de vida de las y los ciudadanos.\n\nCon estas líneas de acción, la Administración Municipal reafirma su compromiso con la sostenibilidad y la resiliencia climática, aprovechando la experiencia global de CDP, ICLEI entre otras instituciones para adecuarla al contexto local y generar beneficios directos para San Luis Potosí.",Informe DGEMR 2024-2027 SanLuis 2050.pdf
2025 Disclosure Cycle,779465,CDP,50373,Municipalidad de Rosario,City,Latin America,Argentina,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,"La información oficial sobre cómo la ciudad integra la acción climática en su política pública está sistematizada y se actualiza en el portal del Plan Local de Acción Climática (PLAC) Rosario 2030: \nhttps://www.rosario.gob.ar/inicio/plan-local-de-accion-climatica-rosario-2030\nAllí se publican: \n- Inventario de Gases de Efecto Invernadero,\n- El Sistema de Monitoreo,\n- La arquitectura de gobernanza (Gabinete Local de Cambio Climático y Transición Ecológica Justa y Comité Asesor frente al Cambio Climático), \n- El Perfil de Cambio Climático, \n- Los Mapas de Riesgo Climático Rosario 2024\n- La Estrategia de Género y Cambio Climático. \n\nLa Municipalidad sancionó una Ordenanza de Cambio Climático que establece la obligatoriedad de remitir anualmente al Concejo Municipal un informe de seguimiento de los avances del PLAC para su auditoría. Se adjunta el informe correspondiente.\n",INFORME ANUAL ACCIÓN CLIMÁTICA ROSARIO 2024.pdf
2025 Disclosure Cycle,779465,CDP,50375,Ayuntamiento de Chihuahua,City,Latin America,Mexico,Public,Q11.1,Use this field to provide any additional information or context that you feel is relevant to your jurisdiction's response. Please note that this field is optional and is not scored/assessed.,1,,No hay información adicional ,SEGUNDA ACTUALIZACIÓN PACMUN CHIHUAHUA (Incluye Iventario GEI).pdf
