disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_requested_org_number,requested_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,questionnaire,eligible_pathway,selected_pathway,disclosure_status,public_status,previous_response_status
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,856655,Cardiff Capital Region,856655,Cardiff Capital Region,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2027856,Cañada Rosquín,2027856,Cañada Rosquín,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,849039,Ceres (Argentina),849039,Ceres (Argentina),City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,31186,Changwon City,31186,Changwon City,City,South East Asia & Oceania,Korea (The Republic of),2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,73678,Chañar Ladeado,73678,Chañar Ladeado,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,862505,Cheltenham Borough Council,862505,Cheltenham Borough Council,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74334,Cirebon City,74334,Cirebon City,City,South East Asia & Oceania,Indonesia,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,31168,City District Government Karachi,City,UKWW,Pakistan,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54345,City Government of Davao,54345,City Government of Davao,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54354,City Government of Makati,54354,City Government of Makati,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,36004,City of Abidjan,36004,City of Abidjan,City,UKWW,Côte d'Ivoire,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,32480,City of Adelaide,City,South East Asia & Oceania,Australia,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,918805,City of Ajka,918805,City of Ajka,City,Europe,Hungary,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59151,City of Akureyri,59151,City of Akureyri,City,Europe,Iceland,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60588,City of Alba Iulia,60588,City of Alba Iulia,City,Europe,Romania,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54102,"City of Albany, NY",54102,"City of Albany, NY",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50540,"City of Albuquerque, NM",50540,"City of Albuquerque, NM",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,53931,"City of Alexandria, VA",53931,"City of Alexandria, VA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,49346,"City of Allentown, PA",49346,"City of Allentown, PA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50566,"City of Anchorage, AK",50566,"City of Anchorage, AK",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54092,"City of Ann Arbor, MI",54092,"City of Ann Arbor, MI",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,36247,City of Arezzo,36247,City of Arezzo,City,Europe,Italy,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54114,"City of Asheville, NC",54114,"City of Asheville, NC",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,52897,"City of Aspen, CO",52897,"City of Aspen, CO",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",1093,"City of Atlanta, GA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54448,City of Augsburg,54448,City of Augsburg,City,Europe,Germany,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",1184,"City of Austin, TX",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,2044738,City of Balanga,2044738,City of Balanga,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,35853,"City of Baltimore, MD",35853,"City of Baltimore, MD",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,1499,City of Barcelona,City,Europe,Spain,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59708,"City of Bethlehem, PA",59708,"City of Bethlehem, PA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,866887,"City of Bexley, OH",866887,"City of Bexley, OH",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,49345,"City of Birmingham, AL",49345,"City of Birmingham, AL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,62800,City of Bistrița,62800,City of Bistrița,City,Europe,Romania,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54109,"City of Bloomington, IN",54109,"City of Bloomington, IN",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,863405,"City of Boca Raton, FL",863405,"City of Boca Raton, FL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54125,"City of Boise, ID",54125,"City of Boise, ID",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",35268,"City of Boston, MA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,62791,City of Botoșani,62791,City of Botoșani,City,Europe,Romania,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54104,"City of Boulder, CO",54104,"City of Boulder, CO",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,74594,"City of Boynton Beach, FL",74594,"City of Boynton Beach, FL",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,826446,City of Bradford,826446,City of Bradford,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Activated
2025 Disclosure Cycle,779465,CDP,62795,City of Brașov,62795,City of Brașov,City,Europe,Romania,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,54530,City of Brighton & Hove,54530,City of Brighton & Hove,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,918804,City of Budaörs,918804,City of Budaörs,City,Europe,Hungary,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,31155,City of Buenos Aires,City,Latin America,Argentina,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50550,"City of Buffalo, NY",50550,"City of Buffalo, NY",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,842012,"City of Burlington, ON",842012,"City of Burlington, ON",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,924780,City of Butuan,924780,City of Butuan,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,918783,City of Békéscsaba,918783,City of Békéscsaba,City,Europe,Hungary,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60029,City of Cagayan de Oro,60029,City of Cagayan de Oro,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,35475,"City of Calgary, AB",35475,"City of Calgary, AB",City,North America,Canada,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,55800,"City of Cambridge, MA",55800,"City of Cambridge, MA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,68250,City of Canada Bay,68250,City of Canada Bay,City,South East Asia & Oceania,Australia,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,35858,City of Cape Town,City,UKWW,South Africa,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,31052,City of Cardiff,31052,City of Cardiff,City,UKWW,United Kingdom,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,58413,"City of Carmel, IN",58413,"City of Carmel, IN",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,2044739,City of Carmona,2044739,City of Carmona,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Unknown
2025 Disclosure Cycle,779465,CDP,73742,City of Catbalogan,73742,City of Catbalogan,City,South East Asia & Oceania,Philippines,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",43914,"City of Charlotte, NC",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59545,"City of Charlottesville, VA",59545,"City of Charlottesville, VA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,3203,City of Chicago,City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,50562,"City of Chula Vista, CA",50562,"City of Chula Vista, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35857,"City of Cincinnati, OH",35857,"City of Cincinnati, OH",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35859,"City of Cleveland, OH",35859,"City of Cleveland, OH",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,54100,"City of Columbia, MO",54100,"City of Columbia, MO",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,43910,"City of Columbus, OH",43910,"City of Columbus, OH",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Amended,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59609,"City of Concord, CA",59609,"City of Concord, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,No Response
2025 Disclosure Cycle,779465,CDP,64014,"City of Cupertino, CA",64014,"City of Cupertino, CA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35860,"City of Dallas, TX",35860,"City of Dallas, TX",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,60112,City of Debrecen,60112,City of Debrecen,City,Europe,Hungary,2025 Questionnaire,Unknown,PATHWAY_1,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,840521,City of Denizli,840521,City of Denizli,City,UKWW,Türkiye,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,59537,"City of Denton, TX",59537,"City of Denton, TX",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",32550,"City of Denver, CO",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_3,Submitted,Public,Submitted
2025 Disclosure Cycle,779465,CDP,35862,"City of Detroit, MI",35862,"City of Detroit, MI",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Activated
2025 Disclosure Cycle,779465,CDP,54116,"City of Dubuque, IA",54116,"City of Dubuque, IA",City,North America,United States of America,2025 Questionnaire,Unknown,PATHWAY_2,Submitted,Public,Submitted
