disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Name of the initiative,col2_Name of jurisdiction or/and landscape area,col3_Describe the aim of the initiative including any focus commodities and your state/region's role,col4_Implementation stage of initiative,col5_Current sources of finance for the initiative,col6_Types of partners engaged in the initiative design and implementation,col7_Describe governance structures and policies in place to support the initiative,col8_Five primary actions from private sector companies that would drive positive impact in the initiative,col9_Is a collective monitoring framework used to measure progress towards landscape goals and actions?,"col10_State the achievements of your engagement so far, and how progress is monitored"
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,2,Row 2,Catálogo de Paisajes de Galicia,Galicia,"La Ley 7/2008, de 7 de julio, de Protección del Paisaje de Galicia, reconoce jurídicamente el paisaje y establece un marco de referencia para todas las legislaciones sectoriales, planes y programas que puedan influir en el paisaje. En el capítulo III de esta ley se definen los instrumentos para la protección, gestión y ordenación del paisaje de Galicia. Los primeros instrumentos mencionados son los catálogos del paisaje de Galicia, a los que atribuye las funciones de delimitación de las grandes áreas paisajísticas de Galicia y de identificación de los tipos de paisajes existentes en cada una de ellas, así como de sus características diferenciales. En el año 2011 la Consellería de Medio Ambiente, Territorio e Infraestructuras puso en marcha una Estrategia del Paisaje Gallego para la puesta en valor, protección y recuperación del paisaje. Esta estrategia establece en una de sus líneas de actuación a elaboración del Atlas de los Paisajes de Galicia a partir de los Catálogos y Directrices del Paisaje, definiendo como su objetivo principal “identificar y caracterizar los valores y las potencialidades del paisaje de la Galicia hacia suya protección y gestión”. Este Atlas se concibe como referencia para la caracterización y valoración del paisaje gallego, constituyendo, en un primero lugar, el Catálogo de los Paisajes de Galicia, que comprende la realización conjunta de los catálogos de todas las grandes áreas paisajísticas. El Catálogo de los Paisajes de Galicia es un documento de carácter técnico que aborda la primera etapa del proceso de planificación del paisaje, consistente en su análisis y diagnosis, y que servirá de base para la posterior elaboración de las Directrices de Paisaje. El conjunto del Catálogo y las Directrices del Paisaje dará soporte a los diferentes instrumentos de ordenación territorial y urbanística, así como a los Estudios de Impacto e Integración Paisajística y a los informes sectoriales en materia de paisaje. Un objetivo adicional del Catálogo, contemplado en la Estrategia Gallega del Paisaje, es la concienciación y sensibilización de la sociedad, así como la puesta en valor del paisaje gallego, contribuyendo a una cultura y conocimiento de la población sobre el paisaje. Este catálogo pretende sentar las bases para la planificación, gestión y protección del paisaje de Galicia, estableciendo criterios comunes y metodologías de análisis para futuros trabajos, estudios y planes a mayor escala vinculados al paisaje.","Post implementation: Implementation is complete, measurement, monitoring and report of impacts is in progress",Governmental fund/subsidies,Government," Dentro de la Xunta de Galicia existe el Instituto de Estudios del Territorio que ejerce, entre otras, las siguientes funciones: a) Realizar trabajos de investigación, análisis, estudio y difusión sobre urbanismo, ordenación del territorio, en particular:- La realización de investigaciones metodológicas, bases de datos e indicadores para el seguimiento del desarrollo territorial de Galicia, con el objetivo de alcanzar la gestión dinámica de sus paisajes.- La realización de análisis y diagnósticos y el planteamiento de propuestas y alternativas para la ordenación y gestión del territorio desde una perspectiva global a cara descubierta al desarrollo sostenible y la cohesión territorial de Galicia.- La participación en foros especializados, redes y proyectos, de carácter nacional e internacional, en materia de urbanismo, ordenación del territorio, sostenibilidad y paisaje.- La promoción, diseño, ejecución y seguimiento de programas o acciones y actividades formativas de concienciación para la sostenibilidad dirigidas al conjunto de la sociedad de Galicia y en sus instituciones, públicas y personales, en especial mediante la educación y formación en las materias de urbanismo, ordenación del territorio y paisaje.- La puesta en marcha de instrumentos para la protección, gestión y ordenación de los paisajes de Galicia, tales como los catálogos y las directrices de paisaje, los estudios de impacto e integración paisajística, los planes de acción del paisaje en áreas protegidas, incluida la elaboración de los informes de ellos derivados, así como cualquier otro que se había entendido como necesario para el cumplimiento de los puntos anteriores, en tanto no se constituya el Observatorio Gallego del Paisaje.",Collaborate on management/ land use planning in the landscape/jurisdiction,"Yes, progress is monitored using an internally defined framework",-
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Planes de Accion del Paisaje,País Vasco,"Los Planes de Acción del Paisaje (PAP) son las herramientas de gestión que, basándose en los Catálogos del paisaje, que son los documentos de carácter descriptivo y prospectivo que abarcan la totalidad del paisaje de cada área funcional de la Comunidad Autónoma del País Vasco definidas en las Directrices de Ordenación Territorial. Y en las Determinaciones del paisaje, que son criterios extraídos de los Catálogos del paisaje, que desarrollan los objetivos de calidad paisajística e identifican las medidas para su consecución. De manera conjunta concretan las acciones a llevar a cabo en el marco de las actuaciones para la protección, la gestión y la ordenación del paisaje.",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Local communities|Government,"El Decreto 90/2014, de 3 de junio, sobre protección, gestión y ordenación del paisaje en la ordenación del territorio de la Comunidad Autónoma del País Vasco, tiene por objeto establecer, en el ámbito de la ordenación del territorio, los instrumentos para la protección, la gestión y la ordenación del paisaje, así como las medidas oportunas de promoción, sensibilización, formación e investigación sobre el paisaje. Se puede revisar de manera libre en el link: https://www.euskadi.eus/bopv2/datos/2014/06/1402623a.pdf","Collaborate to maintain representation from all relevant stakeholders within governance structure of initiative|Implement REDD+ actions in the landscape/jurisdiction|Share spatial data and land management plans with other partners in the landscape/jurisdiction|Engage partners on importance of conservation, restoration and/or rehabilitation|Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation","Yes, progress is monitored using an internally defined framework","Desde el año 2014 se han convocado concesiones de subvenciones para la elaboración de Planes de Acción del Paisaje (PAP) a los Ayuntamientos de la Comunidad Autónoma del País Vasco. El objeto de esta línea de subvenciones es impulsar la redacción de los Planes de acción del paisaje, como instrumentos que permitan la concreción de las acciones para la protección, gestión y ordenación del paisaje, mediante diferentes Programas de actuación. Los municipios donde se han llevado a cabo dichos planes se pueden revisar de manera libre en el link: https://www.euskadi.eus/planes-accion-paisaje/web01-a3lurpai/es/"
2025 Disclosure Cycle,779465,CDP,72928,Autonomous Community of Cantabria,States & Regions,Europe,Spain,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,"Existe un Plan Nacional de Paisaje Cultural, que busca proteger y poner en valor los paisajes con valor histórico y cultural a través de acciones de conservación, y la Estrategia Nacional de Infraestructura Verde y de la Conectividad y Restauración Ecológicas, impulsada por el Ministerio de Transición Ecológica, que se enfoca en una red de zonas naturales para la conservación de ecosistemas y servicios ambientales.",,,,,,,,,
2025 Disclosure Cycle,779465,CDP,72930,KwaZulu-Natal,States & Regions,UKWW,South Africa,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,LandCare Programme (KZN Agriculture & Rural Development),KwaZulu Natal Province,"The initiative promotes community participation in sustainable land use, rehabilitation of degraded agricultural land. It has funding for community‑based projects that promote job creation under the principles of the Expanded Public Works Programme (EPWP) that seek to prioritize employment of women, youth and people living with disabilities.",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,NGO and/or civil society|Indigenous peoples|Private sector|Government|Local communities,"The LandCare Programme is anchored in national legislation, in particular the Conservation of Agricultural Resources Act (Act 43 of 1983). This gives the legal mandate for maintaining production potential of land, controlling natural resource use, combating weeds and invasive plants, etc.There is a National LandCare Secretariat (under the Department of Agriculture / DALRRD) whose job is to coordinate the programme, ensure consistency between national and provincial implementation, set broad policy / objectives, support awareness, capacity building etc. At the national level, funding is allocated via grants, especially under the Division of Revenue Act (DORA). The national department transfers funds to provinces, based on business plans approved at provincial or national level.\n\nKZN Agriculture & Rural Development (KZN DARD) is the implementing authority in the province for the LandCare Programme. It manages community‑based projects, in‑school programmes (e.g. “JuniorCare”), EPWP job creation components, accredited training, awareness raising, etc. KZN DARD also has responsibility for coordinating with local communities and land users, ensuring capacity building/training, and monitoring implementation of projects funded.\n\nOther stakeholders and local governance level include Landcare groups / committees, Local government / municipalities, and Non-government organisations (NGOs).","Collaborate to maintain representation from all relevant stakeholders within governance structure of initiative|Collaborate on establishing and managing monitoring system(s) for livelihoods and human well-being|Share spatial data and land management plans with other partners in the landscape/jurisdiction|Collaborate on landscape sustainability assessments through participatory mapping|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative","No, we do not monitor progress and do not plan to in the next two years",
2025 Disclosure Cycle,779465,CDP,72932,Western Cape,States & Regions,UKWW,South Africa,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,SmartAgri Programme,Entire Western Cape Region,"The SmartAgri Plan was developed in response to current and future climate change threats facing the Western Cape. The objective is to provide a roadmap to ensure a low-carbon, climate-resilient agricultural sector in the Western Cape. The goal of SmartAgri is to: “To equip agriculture to respond to climate change risks and opportunities through innovation, leadership and united strategic action”. The SmartAgri Plan was\ndesigned following an elaborate review of climate change and agriculture in the Western Cape. The plan consists of a response framework with four strategic focus areas (SFAs), namely: promoting climate-resilient production systems; strengthening disaster risk reduction; strengthening monitoring, data and knowledge\nand research; and ensuring good cooperative governance and planning for effective climate change response implementation in agriculture. A detailed implementation plan was formulated, and implementation commenced in May 2016. ","Review, evaluation and adapt: Lessons learned from the initiative are being used to update original plans",Governmental fund/subsidies|Regional budget,Local communities|Government|Private sector|NGO and/or civil society,"The SmartAgri Plan is supported by a governance structure led by the Western Cape Department of Agriculture and the Department of Environmental Affairs and Development Planning, which are responsible for implementing the majority of its activities. The initiative is embedded within existing government programmes, relying on institutional uptake rather than a standalone operational unit. A SmartAgri Evaluation Steering Committee was established to oversee progress and guide improvements. The plan is aligned with the Western Cape's Climate Change Response Strategy and is structured around four strategic focus areas, including climate-resilient production and cooperative governance. While the plan is government-led, its success depends on cross-sector collaboration and integration into provincial and municipal planning processes.","Collaborate on management/ land use planning in the landscape/jurisdiction|Identify and map partners (including vulnerable and/or marginalized groups) and encourage their engagement in multi-partner processes|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative|Collaborate to maintain representation from all relevant stakeholders within governance structure of initiative|Collaborate on landscape sustainability assessments through participatory mapping","No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,72932,Western Cape,States & Regions,UKWW,South Africa,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,2,Row 2,CapeNature Strategic Plan 2025-2030.,Entire Western Cape Region,The vision of this strategy is to create a sustainble future in which biodiversity flourishes and communities thrive.\n\nIts mission is to protect and enhance the natural environment of the Western Cape while fostering a deep connection between people and nature.,Implementation stage: Implementation plans are completed and currently underway/operational,"Regional budget|Private sector, companies|NGO|Governmental fund/subsidies",NGO and/or civil society|Indigenous peoples|Local communities|Government|Private sector,"The CapeNature Strategic Plan 2025-2030 is supported by a governance structure led by the Western Cape Nature Conservation Board, established under the Western Cape Biodiversity Act (2021). The Board is appointed by the Provincial Minister for Local Government, Environmental Affairs and Development Planning, who also serves as the Executive Authority. Operational leadership is provided by the CEO and management team, with oversight aligned to the Public Finance Management Act. CapeNature's work is guided by key policies and frameworks including the Western Cape Biodiversity Act, the Ecological Infrastructure Investment Framework, the Catchment to Coast Strategy, and alignment with the Provincial Strategic Plan and Sustainable Development Goals. These structures and policies collectively support CapeNature's mandate to conserve biodiversity, promote ecological resilience, and integrate environmental sustainability into provincial development.","Identify and map partners (including vulnerable and/or marginalized groups) and encourage their engagement in multi-partner processes|Support enforcement of land-use and/or zoning plans|Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative|Collaborate on management/ land use planning in the landscape/jurisdiction","Yes, progress is monitored using a shared external framework: CapeNature integrates ecological monitoring, spatial analysis, and fieldwork across diverse ecosystems (e.g., river corridors, mountain fynbos, coastal habitats) to track biodiversity health and ecosystem resilience. The State of Conservation Report",
2025 Disclosure Cycle,779465,CDP,72932,Western Cape,States & Regions,UKWW,South Africa,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,3,Row 3,Ecological Infrastructure Investment Framework,Entire Western Cape Region,"The Ecological Infrastructure Investment Framework (EIIF) Implementation and Monitoring Plan aims to strategically guide investment in ecological infrastructure across the Western Cape to enhance ecosystem services, climate resilience, and socio-economic development. It focuses on restoring and maintaining natural systems such as wetlands, rivers, and indigenous vegetation that support water security, disaster risk reduction, and livelihoods. Key commodities include Honeybush, Fynbos, and water resources, which are prioritized for sustainable use and conservation. The Western Cape Government, through the Department of Environmental Affairs and Development Planning, plays a leading role in coordinating stakeholders, integrating ecological infrastructure into planning and budgeting, and ensuring alignment with provincial biodiversity strategies.",Implementation stage: Implementation plans are completed and currently underway/operational,No finance at present,Local communities|Government|Private sector|NGO and/or civil society|Financial institution(s)|Indigenous peoples,"The governance structures and policies supporting the Ecological Infrastructure Investment Framework (EIIF) are designed to ensure strategic coordination, financial accountability, and effective implementation across the Western Cape. Led by the Department of Environmental Affairs and Development Planning (DEA&DP), the initiative is governed through provincial planning instruments such as the Provincial Strategic Plan (PSP) and aligned with national frameworks like the Public Finance Management Act (PFMA). The Provincial Treasury plays a key role in enforcing financial governance, issuing treasury instructions, and overseeing compliance. Monitoring and evaluation mechanisms, including performance audits and ecological indicators, ensure transparency and continuous improvement, supporting the long-term sustainability of ecological infrastructure investments.","Support maintenance/ improvement of water availability and/or quality|Collaborate on management/ land use planning in the landscape/jurisdiction|Collaborate on landscape sustainability assessments through participatory mapping|Collaborate on integrated watershed management and remediation activities|Promote and implement climate change adaptation and mitigation activities|Support local governments (or equivalent) to enhance landscape governance structure, and provide them with resources to develop and implement sustainable landscape policies and/or management plan(s)",,
2025 Disclosure Cycle,779465,CDP,72932,Western Cape,States & Regions,UKWW,South Africa,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,4,Row 4,Protected Area Expansion Strategy,Entire Western Cape Region,"The 2025 Western Cape Protected Areas Expansion Strategy (WC PAES) aims to guide the strategic expansion of protected areas across the province to ensure the representation, conservation, and effective management of biodiversity and ecosystems. The initiative seeks to address historical imbalances in the protected area network, which has been biased toward mountainous regions, by prioritising underrepresented lowland ecosystems and other critical biodiversity areas. The strategy is informed by the 2023 Western Cape Biodiversity Spatial Plan, which identifies Biodiversity Priority Areas for focused landscape-scale conservation efforts.\n\nThe strategy promotes expansion through state and private land investment, partnerships with NGOs, and stewardship arrangements. It is underpinned by a Theory of Change and guided by principles that emphasise science-based decision-making, ecological integrity, and collaborative governance. The Western Cape Government, through CapeNature and the Department of Environmental Affairs and Development Planning (DEA&DP), plays a central role in implementing the strategy, coordinating stakeholders, and ensuring compliance with the National Environmental Management: Protected Areas Act (NEM:PAA).\n\nWhile the strategy does not focus on specific commodities, it supports the protection of ecological infrastructure that underpins sectors such as agriculture, tourism, and water security, thereby contributing to sustainable development across the province.",Implementation stage: Implementation plans are completed and currently underway/operational,"Governmental fund/subsidies|NGO|Regional budget|Private sector, companies|Private financial institutions|International organizations",Indigenous peoples|NGO and/or civil society|Government|Private sector|Local communities,"The governance structures and policies supporting the 2025 Western Cape Protected Areas Expansion Strategy (WC PAES) are rooted in a collaborative, legally mandated framework designed to ensure ecological integrity and biodiversity representation. The strategy is guided by the Western Cape Biodiversity Act (Act 6 of 2021) and the National Environmental Management: Protected Areas Act (NEM:PAA), which require formal declaration, management authority assignment, and approved management plans for protected areas. CapeNature leads implementation, supported by partnerships with provincial departments, municipalities, NGOs, and landowners. Governance is further structured through the Theory of Change and principles outlined in the Provincial Biodiversity Strategy and Action Plan (PBSAP), emphasizing science-based decision-making, alignment with Biodiversity Priority Areas from the Western Cape Biodiversity Spatial Plan (WC BSP), and mechanisms for both public and private land conservation. Administrative efficiency, stakeholder collaboration, and compliance monitoring are central to ensuring the strategy's success","Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative|Collaborate on landscape sustainability assessments through participatory mapping|Identify and map partners (including vulnerable and/or marginalized groups) and encourage their engagement in multi-partner processes|Collaborate on management/ land use planning in the landscape/jurisdiction","Yes, progress is monitored using an internally defined framework",
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Implementação de projetos estruturantes que visam a reconversão de povoamentos ocupados por Invasoras em áreas ocupadas por floresta natural. A exemplo possuímos o projeto de constituição da Faixa de Gestão de combustíveis ao Caminho dos Pretos.,"Criação de uma Faixa de Gestão de Combustíveis (Faixa Corta Fogo), ao longo do Caminho dos Pretos.","A Faixa de Gestão de Combustíveis tem como objetivo primordial a mitigação do risco de incêndios florestais. Para atingir esse objetivo, são implementadas ações que visam a redução da carga de combustíveis, o que inclui a remoção de espécies invasoras e sua substituição por variedades mais resistentes ao fogo. Essa estratégia não apenas facilita o combate a incêndios, mas também proporciona proteção ao património natural e às comunidades locais circunvizinhas.",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Government,PROF RAM\nPGF\nPlano de ação de defesa da floresta contra incêndios,"Collaborate on establishing and managing monitoring system(s) for biodiversity, habitat fragmentation and/or threats to IUCN Red List species in priority areas","No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Sustainable fuelwood management Project,Cross river State,"Methodology adapted: \n-\tThe establishment of fast growing trees in vastly degraded forest reserves and degraded arid lands in CRS via an agroforestry for fuelwood, economic tree for food and income generation and indigenous legiumious forest trees to build back the nutrient capacity of the degraded forest and enhance ecosystem resilience\n-\tThe cultivation of agricultural crops especially nitrogen fixing crop such as groundnuts, cowpea along with the planted trees thus contributing to food availability, soil enrichment, availability of fodder for livestock\n-\tThe fast growing trees are mostly exotic (Gmelina arborea and Tectonia grandis) are harvested by cutting in a manner that allows for coppicing to enhance regeneration.\n-\tThe annual food crops cultivation ceases when the trees close canopy. \n-\tTree planting is done in batches within a given land area to ensure rotation and sustain food crops cultivation \nResults: \nWoodlots have been established in nine communities in CRS since the inception of the SFM project in 2017. In 2018 a total of 12 hectares of woodlots were established across three communities, Ikot Ansa, Igwo and Bateriko. Between 2019 to 2021, woodlots were established in Ekinta, Ukutia, Bebi, Mbok, Ekiriba and Ochango. In 2019 due to extreme dry weather, some portions of woodlot in Northern CRS (Ukutia, Igwo, Mbok, Bebi and Ochango) were affected by fire outbreak while Ekinta woodlot was heavily vandalized by trespasser. In 2020, through support from the State government, individuals and affected communities, maintenance of woodlots with special focus on restoring areas affected by fire and vandalism was initiated and in June 26th 2021, the project supported on-going woodlot maintenance in five selected woodlots as shown in the table below. \nS/N\tName of woodlot\tDate Established\tType of forest\tLocation\tSize (Hectares)\n1\tOchango\t2019\tForest Reserve\tYala LGA\t11\n2. \tMbok\t2018\tCommunity Forest\tOgoja LGA\t9.5 \n3.\tEkinta\t2019\tForest Reserve \tAkpabuyo\t32 \n4. \tUkutia\t2019\tCommunity Forest\tObudu \t7.2\n5.\tBebi\t2019\tCommunity Forest\tObanliku\t4\nTOTAL\t\t\t\t\t63.7\n\nConclusion:\nThe initial funding for the project ended in 2021, however the woodlots are managed by State forest officers and communities SFM committees. The project's results call for a scaling up of the project to other communities in the state and project results addresses the food and energy supply in a sustainable manner, reduce the pressure of fuelwood extraction from primary thereby conserving",Other: scaling up stage,"Private sector, companies|Governmental fund/subsidies",Local communities|Government|Financial institution(s),the Forestry Commission working together with the Council on Climate Change and the Green Economy Commission with respective institutional laws/policies,"Identify and act on opportunities for pre-competitive collaboration with company's own sector|Share spatial data and land management plans with other partners in the landscape/jurisdiction|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative|Collaborate on landscape sustainability assessments through participatory mapping|Collaborate on management/ land use planning in the landscape/jurisdiction|Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation","Yes, progress is monitored using a shared external framework: review meeting and reporting shared to all stakeholders",
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,2,Row 2,Improved and Clean cooking solutions,Cross River State,"The aim of improved and clean cooking solutions is to address a wide range of social, environmental, and economic problems associated with traditional cooking methods, such as using open fires and inefficient stoves with polluting fuels like wood, charcoal, and other biomass. replacing the traditional cooking methods with clean and modern cooking solutions such as Liquefied Petroleum Gas (LPG), Electricity (including from renewable sources), Biogas (produced from organic waste), Natural Gas, Solar power (solar cookers) and Improved Cookstoves.",Other: scaling up stage,"Governmental fund/subsidies|Private sector, companies",,,,,
2025 Disclosure Cycle,779465,CDP,73014,Quintana Roo,States & Regions,Latin America,Mexico,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Programa Estatal de Inventario y Mapeo Arbolado Urbano de Quintana Roo,Todo el Estado de Quintana Roo,"Esta iniciativa es un esfuerzo para generar una base de datos geoespacial que contengan la información del arbolado existente en las superficies de áreas urbanas del estado de Quintana Roo. Con esta iniciativa generamos plataforma para el registro de las especies arbóreas de las áreas urbanas, con información respecto a la dasometría, riqueza y abundancia de especies, información que estima los servicios ecosistémicos que proveen y determina los factores de riesgo de especies asociadas a la infraestructura urbana. ",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Government,"La Ley de Conservación, Mantenimiento y Protección del Arbolado Urbano del Estado de Quintana Roo, es un ordenamiento que nos puede garantizar contar con espacios arbolados bajo un estricto cumplimiento de los demás ordenamientos de desarrollo o impacto ambiental, para diseñar y ejecutar políticas públicas que garanticen mejores condiciones de vida y medio ambiente para todos sus habitantes","Support local governments (or equivalent) to enhance landscape governance structure, and provide them with resources to develop and implement sustainable landscape policies and/or management plan(s)|Collaborate on management/ land use planning in the landscape/jurisdiction|Implement REDD+ actions in the landscape/jurisdiction|Promote and implement climate change adaptation and mitigation activities","Yes, progress is monitored using an internally defined framework",Los progresos se miden en una plataforma y una aplicación móvil para el desarrollo del inventario del arbolado urbano.\nHasta el 30 de septiembre de 2024 se tienen 8971 registros en la plataforma. 
2025 Disclosure Cycle,779465,CDP,73018,Aguascalientes,States & Regions,Latin America,Mexico,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Corredor Biocultural del Centro Occidente de México (COBIOCOM),Centro Occidente de México,"OBJETIVO:\nTiene como principal promover la conservación de la biodiversidad y el desarrollo sostenible en la región central del país. Este corredor busca integrar la protección de los ecosistemas con el desarrollo socioeconómico de las comunidades locales, enfatizando la importancia de la cultura y el patrimonio natural\n\nMATERIAS PRIMAS:\nRecursos Forestales: Madera, resinas y productos no maderables, promoviendo su uso sostenible.\nAgua: Gestión y conservación de recursos hídricos para asegurar su disponibilidad.\n\nPAPEL DE LA REGIÓN:\nAguascalientes, dentro del contexto del COBIOCOM, tiene un papel destacado por:\n\nUbicación Estratégica: Al estar en el centro de México, actúa como un nexo entre diferentes ecosistemas y culturas, facilitando la conectividad ecológica.\nEcosistemas Únicos: La diversidad de ecosistemas en Aguascalientes es vital para la conservación de especies endémicas y para la implementación de prácticas sostenibles.\nColaboración Comunitaria: Aguascalientes cuenta con iniciativas locales que promueven la participación de comunidades en la conservación, integrando saberes ancestrales con estrategias modernas de desarrollo.\nEducación y Sensibilización: Se desarrollan programas de educación ambiental que buscan fomentar la conciencia sobre la importancia de la biodiversidad y el patrimonio natural.\nAgricultura: Prácticas agrícolas sostenibles que promuevan cultivos nativos y orgánicos.\nBiodiversidad Silvestre: Especies de fauna y flora que tienen potencial económico y cultural.\n\n",Pre-Implementation and design stage: Initiative plans are under development but not yet implemented,International organizations,NGO and/or civil society|Government,"El Corredor Biocultural Centro Occidente de México se apoya en estructuras de gobernanza que incluyen la participación de gobiernos estatales y municipales, comunidades locales, y organizaciones civiles. A nivel federal, la Comisión Nacional de Áreas Naturales Protegidas (CONANP) es clave en su gestión, mientras que las políticas de conservación de la biodiversidad y el uso sostenible de los recursos naturales se implementan a través de planes regionales y estatales. Además, se promueve la participación comunitaria para la preservación de tradiciones culturales y prácticas agrícolas sostenibles, apoyando tanto la biodiversidad como la resiliencia climática.","Identify and act on opportunities for pre-competitive collaboration with company's own sector|Share information on supplier non-compliance, supply chain mapping and traceability with other partners in the landscape/jurisdiction|Help establish a transparent governance platform responsible for managing the initiative and its activities with clear roles, responsibilities, and balanced decision-making|Finance carbon credits|Help establish effective mechanisms for undertaking human rights due diligence, risk management, monitoring, verification, and grievance resolution","No, but we are planning to monitor and report on progress in the next two years",
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.8.1,Provide details of your state/region's implementation of landscape/jurisdictional approaches during the reporting year.,1,Row 1,Programa de Ordenamiento Ecológico Local (POEL).,"Los POEL abarcan la totalidad o parte del territorio de un municipio. Actualmente se encuentran en proceso de elaboración el POEL de los municipios de Oxkutzcab, Tekax, Tzucacab y Santa Elena.","Los POEL tienen como objetivo determinar el diagnóstico de las condiciones ambientales y tecnológicas, regular los usos del suelo fuera de los centros de población.",Implementation stage: Implementation plans are completed and currently underway/operational,Governmental fund/subsidies,Local communities|Indigenous peoples,"El POEL es una modalidad más focalizada del ordenamiento ecológico, por lo que, si bien se alinea de la misma manera que el POETY y el POETCY a la normativa nacional y estatal, tiene un análisis más preciso del territorio, sus recursos e incluye los criterios de regulación ecológica para los centros de población, para que éstos formen parte integral de los programas de desarrollo urbano formulados por las autoridades municipales de acuerdo con lo que establecen los artículos 20 bis 4 y bis 5 de la LGEEPA y los artículos 57 al 61 de su Reglamento. Los municipios formularán su Programa de Ordenamiento Ecológico con base en las leyes locales en la materia, y podrán invitar al gobierno federal a participar en el proceso de ordenamiento ecológico a través de la suscripción de un convenio de coordinación.Los POEL, en cuyas áreas se incluya un Área Natural Protegida federal, serán elaborados y aprobados conjuntamente por el gobierno estatal o municipal correspondiente y la SEMARNAT, conforme a lo determinado por los artículos 20 bis 2 y 20 bis 5 de la LGEEPA, respectivamente","Support enforcement of land-use and/or zoning plans|Share spatial data and land management plans with other partners in the landscape/jurisdiction|Collaborate on establishing and managing monitoring system(s) for deforestation, natural ecosystem conversion and/or degradation|Co-design and develop goals, strategies and an action plan with timebound targets and milestones for the initiative|Collaborate on management/ land use planning in the landscape/jurisdiction","No, we do not monitor progress and do not plan to in the next two years",
