disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Safeguards in place,col2_Web link with additional information about the safeguard,"col3_Explain how the safeguard is implemented, or if there is no safeguard why this is the case"
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Traceability system for forest commodities,https://caltreesplans.resources.ca.gov/caltrees/Default.aspx,Enforcement and tracking timber harvest subject to California Forest Practice Rules 
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Budget set aside for dedicated work on forest protection/conservation,https://resources.ca.gov/Initiatives/Forest-Stewardship/Wildfire-Resilience-Program,"California has undertaken an urgent paradigm shift to address the growing wildfire crisis. Given the frequency and scale of recent fires, preventative wildfire resilience efforts such as prescribed burns, strategic fuel breaks, and home hardening alter a fire's behavior and help both communities and wildlands survive wildfires. California's recent $2.7 billion investment in wildfire resilience is protecting California's watersheds, wildlands, and communities. In 2021 and 2022, California dramatically scaled wildfire resilience investments and shifted state business practices to quickly put resources into projects. This funding launched more than 1960 wildfire resilience projects in less than 2 years. By speeding up and increasing the scale of wildfire resilience activities from home-hardening to fuel breaks to reforestation, these investments are giving California a fighting chance to match the scale and frequency of the wildfire crisis."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Land use planning,https://www.fire.ca.gov/what-we-do/natural-resource-management/forest-practice,"The California Department of Forestry and Fire Protection enforces the laws that regulate logging on privately-owned lands in California. The Forest Practice Act was enacted in 1973 to ensure that logging is done in a manner that will preserve and protect our fish, wildlife, forests, and streams."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Management of Protected Areas,https://canature.maps.arcgis.com/sharing/rest/content/items/e0b28148f7b64efe85c84da3eb5cce83/data,Various mechanisms for protected area management across agencies/organizations as described in link
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,6,Row 6,Strategic environmental assessments,https://frap.fire.ca.gov/assessment/,"Conducted periodically by the California Department of Forestry and Fire Protection's Resource Assessment Program, the Assessment links together state requirements for natural resource inventories and strategies and the federal government's desire to rely more heavily on these state programs in determining priorities for funding. "
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,7,Row 7,High conservation value assessments,https://www.californianature.ca.gov,"This Pathways to 30x30 strategy sets California on the path to successfully implement our 30x30 conversation goal. This strategy: Describes the key objectives and core commitments that are a part of California's 30x30 conservation framework. Defines conservation for the purpose of California's 30x30 initiative and establishes a current baseline of conserved areas. Outlines strategic actions necessary to achieve our 30x30 target. Introduces California Nature, a suite of publicly available applications to identify conservation opportunities and track our collective progress."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,8,Row 8,Long-term forest management/protection/conservation plans,https://wildfiretaskforce.org/wp-content/uploads/2022/12/californiawildfireandforestresilienceactionplan.pdf,"The Wildfire and Forest Resilience Action Plan is designed to strategically accelerate efforts to:* Restore the health and resilience of California forests, grasslands and natural places;* Improve the fire safety of our communities; and* Sustain the economic vitality of rural forested areas. Actions listed in Action Plan can be found in link."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,9,Row 9,Regional laws on improved forest management,https://bof.fire.ca.gov/regulations-and-policies/bills-statutes-rules-and-annual-california-forest-practice-rules,"The main statute is the Z'Berg-Nejedly Forest Practice Act of 1973. Another important part of the Public Resources Code is the chapter on Protection of Forest, Range and Forage Lands; Prohibited Activities."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,10,Row 10,Regional policies on improved forest management,https://bof.fire.ca.gov/regulations-and-policies/bills-statutes-rules-and-annual-california-forest-practice-rules,"The purpose of the Forest Practice Rules is to implement the provisions of the Z'berg-Nejedly Forest\nPractice Act of 1973 in a manner consistent with other laws, including but not limited to, the Timberland\nProductivity Act of 1982, the California Environmental Quality Act of 1970, the Porter Cologne\nWater Quality Act, and the California Endangered Species Act."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,11,Row 11,National laws on avoided conversion,https://www.fs.usda.gov/emc/nfma/includes/NFMA1976.pdf,"National Forest Management Act of 1976: Regulates the management of national forests to ensure sustainable practices.\nAlso, Endangered Species Act of 1973: Protects habitats of threatened and endangered species, limiting forest conversion.\nIn addition, Clean Water Act of 1972: Regulates discharges into waterways, indirectly protecting forested areas from development."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,12,Row 12,Regional laws on avoided conversion,https://bof.fire.ca.gov/regulations-and-policies/bills-statutes-rules-and-annual-california-forest-practice-rules,The Z'berg-Nejedly Forest Practice Act of 1973 regulates timber harvesting to ensure sustainable forest management. 
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,13,Row 13,Regional policies on avoided conversion,https://www.adaptationclearinghouse.org/resources/california-forest-carbon-plan.html?preview=true,"California's Forest Carbon Plan focuses on how to restore resilience to all forestlands in the state, creating forests that are and adaptive to climate change, and reliable long-term carbon sinks, rather than sources of GHG and black carbon emissions from wildfire. "
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,14,Row 14,Jurisdictional approaches or initiatives,https://www.eldoradocounty.ca.gov/files/assets/county/v/1/documents/land-use/long-range-planning/eir-2017/bio-policy-deir-june-2016-appendix-c-1-proposed-ormp.pdf,"For example, El Dorado County has an Oak Woodland Management Plan since 2008. The County revised it in 2016. The purpose of this Plan is to define mitigation requirements for impacts to oak resources and to outline the County's strategy\nfor oak woodland conservation. "
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,15,Row 15,Management programs in partnership with Indigenous peoples,https://wildfiretaskforce.org/tribal-engagement/,"The Governor's Wildfire Resilience budget provided $40 million in funding for California Native American tribal governments to support tribal-led wildfire resilience efforts. The funds will support Tribes in managing tribal land holdings, implement and promote tribal ecological knowledge in wildfire resilience, and establish wildfire safety for tribal communities. The goal of the program is to deliver resources to California Native American tribes to support wildfire resilience in a way that is efficient, respectful, equitable and supports a more direct approach to getting State resources to valuable projects identified by tribes."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,16,Row 16,Targets to address deforestation/forest degradation are set,https://resources.ca.gov/-/media/CNRA-Website/Files/Initiatives/Expanding-Nature-Based-Solutions/Californias-NBS-Climate-Targets-2024.pdf,"California's Nature-Based Solutions Climate Targets includes targets for: Afforestation, 52.9k acres per year by 2045; Conservation 55.1k acres per year by 2045; Restoration, 322.1k acres per year by 2045; Working Forest Conservation, 165.2k acres per year by 2045; Decrease the rate of illegal conversion and\nforest degradation by 90% by 2045; Shift the proportion of statewide high severity wildfire such that the total percentage of low to moderate\nseverity wildfire is 90% by 2045."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,17,Row 17,Monitoring systems to inform management of deforestation and/or forest degradation,https://wildfiretaskforce.org/monitoring-reporting-assessment/,"The State of California and the U.S. Forest Service (USFS), along with other partners, collaborate closely through the California Wildfire and Forest Resilience Task Force to track vegetation management actions on the ground, monitor ecosystem responses, and assess progress of wildfire and climate resilience efforts in California's landscapes. The California Natural Resources Agency (CNRA), CAL FIRE, and the USFS have established monitoring and assessment programs developed to specifically focus on:\n● Location and status of vegetation management projects\n● Status and trends in ecosystem conditions\n● Effectiveness and ecological performance of management activities"
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional policies on improved forest management,Estrategia para el fomento de la gestión activa de las masas de frondosas en Galicia,"Este documento se centra en la redacción de la Estrategia para el fomento de la gestión activa de las masas de frondosas en Galicia, excluyendo el castaño. Esta estrategia se referirá a las frondosas autóctonas, aunque en lo correspondiente al fomento de especies frondosas caducifolias de alto valor se considerarán híbridos o especies foráneas: \nhttps://libraria.xunta.gal/es/estratexia-para-o-fomento-da-xestion-activa-das-masas-de-frondosas \n"
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Traceability system for forest commodities,"FORTRA (Trazabilidad Forestal) es una herramienta digital impulsada por la Xunta de Galicia que se pone a disposición de las empresas forestales y consumidores con el objetivo de dar trazabilidad a los productos derivados de la madera, registrando las operaciones que realizan todas las empresas que forman parte del proceso de transformación, del bosque al producto que llega al mercado. Para las empresas, permite construir una red para conectar digitalmente toda la cadena de valor del sector de la madera de Galicia, de manera que puedan informar a clientes y consumidores de las características de sus productos elaborados a partir de la madera, incluida su huella de carbono, así como como el bosque de donde proceden y las operaciones que fueron necesarias para su elaboración. Con el proyecto FORTRA, la Xunta pretende potenciar el uso de productos de proximidad (producidos y transformados en Galicia), así como compras responsables (productos de baja o nula huella de carbono) y respetuosas con el medio ambiente (origen legal, obligación de repoblar tras la tala o certificación forestal).",https://www.xunta.gal/notas-de-prensa/-/nova/68676/estan-mercado-los-primeros-productos-madereros-acogidos-plataforma-fortra-impulsada
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Regional policies on improved forest management,"La Dirección general de Planificación y Ordenación Forestal está gestionando un conjunto de órdenes de ayuda para el fomento forestal, la gestión forestal sostenible, la prevención contra incendios forestales y otras catástrofes, la recuperación del potencial forestal dañado, o la puesta en valor de los servicios ecosistémicos de los montes.",https://mediorural.xunta.gal/es/temas/forestal/fomento-da-multifuncionalidade
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Strategic environmental assessments,https://cmatv.xunta.gal/tema/c/CMAOT_Avaliacion_ambiental,"Realización de procedimientos de evaluación ambiental cuando lo requiera el plan, proyecto o programa"
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,5,Row 5,Regional laws on improved forest management,"Ley 11/2021, de 14 de mayo, de recuperación de la tierra agraria de Galicia.https://www.boe.es/ccaa/dog/2021/094/g24908-25102.pdf.\nLa apuesta estratégica por la recuperación de tierras abandonadas mediante su puesta en valor presenta varios ejes fundamentales: la creación de actividad económica en el medio rural, factor fundamental a la hora de combatir el reto demográfico; la mitigación y adaptación al cambio climático, en especial mediante la prevención de los incendios forestales; la seguridad alimentaria, a través de la protección de la capacidad productiva de la tierra y el fomento de su puesta en producción; y el impulso de una planificación del paisaje agrario que permita la creación de ecosistemas resilientes con una probada capacidad de recuperación frente a perturbaciones como grandes incendios o graves riesgos fitosanitarios.",Ley en implantación
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,6,Row 6,Long-term forest management/protection/conservation plans,"1ª revisión del Plan forestal de Galiciahttps://mediorural.xunta.gal/sites/default/files/temas/forestal/plan-forestal/20211112-Plan-Forestal-Galicia-2021-2040-cast.pdfLa finalidad de la 1ª revisión del Plan forestal de Galicia es actualizar el instrumento básico de planificación forestal estratégica para el diseño de la política forestal gallega, cumpliendo los requisitos exigibles y procurando su adecuación tanto a las nuevas circunstancias, necesidades, retos y oportunidades de futuro que se presentan para el monte y el sector forestal gallego, como a las demandas y tendencias emergentes surgidas a nivel nacional e internacional.Referido al ámbito internacional a nivel mundial, la 1ª revisión del Plan PFG debe adoptar los compromisos y recomendaciones emanadas de los diferentes acuerdos intergubernamentales sobre medio ambiente y desarrollo sostenible, en particular los convenios mundiales sobre biodiversidad, desertificación y cambio climático, íntimamente relacionados con los bosques y recursos forestales, que dieron lugar a compromisos para desarrollar políticas, planes y programas forestales a nivel nacional y subnacional.","La 1ª revisión del PFG se proyecta con un horizonte a largo plazo, como corresponde a los sistemas forestales, de conformidad con las recomendaciones internacionales para formular instrumentos de planificación estratégica de la política forestal. Al objeto de efectuar la programación económica del Plan forestal, se considera conveniente ajustar su ejecución a los períodos de financiación de los programas de desarrollo rural (PDR) en el marco de la política agraria común de la Unión Europea, de acuerdo con la nueva Estrategia forestal y con lo previsto en el Plan de acción del sector forestal de la Unión Europea, y con la articulación periódica del propio Plan forestal español. La distribución presupuestaria temporal de la 1ª revisión del PFG expone su ejecución a corto y medio plazo; la vigencia operativa a efectos presupuestarios del Plan se establece durante su primer período de aplicación (2021-2025) y las previsiones estimadas a largo plazo se proyectan con un horizonte a 20 años (2021-2040).La 1ª revisión del Plan Forestal de Galicia será objeto de continuas revisiones, a fin de evaluar el grado de cumplimiento de los objetivos programáticos y estratégicos, así como de las iniciativas, programas y líneas de acción; a tal fin se realizarán evaluaciones quinquenales (5 años) que podrán dar lugar a establecer medidas extraordinarias que conduzcan a satisfacer los objetivos fijados. Además, dichas revisiones objetivarán el grado de cumplimiento esperado a través de los criterios e indicadores estratégicos de evaluación y seguimiento que deben ser fijados igualmente en quinquenios:- 2021-2025.- 2026-2030.- 2031-2035.- 2036-2040. En el apartado correspondiente a criterios e indicadores de evaluación y seguimiento se establece una tabla, que deberá servir de panel de control (dashboard), dividida en los períodos de cinco años declarados y que constituirá la base fundamental de control de cumplimiento y ejecución de la 1ªrevisión del Plan Forestal de Galicia. "
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,7,Row 7,Regional laws on improved forest management,"Actualmente se encuentran en tramitación las siguientes Leyes: Ley de montes vecinales en mano común de Galicia: https://transparencia.xunta.gal/tema/informacion-de-relevancia-xuridica/consulta-publica-previa/consultas-pechadas/-/cpp/0155/ley-montes-vecinales-mano-comun-galicia La norma pretende ser una herramienta normativa útil para acometer con eficacia iniciativas de activación de la gestión forestal privada y mejorar la gobernanza de los montes vecinales en mano común, mejorando el funcionamiento de las comunidades y contribuyendo a la lucha contra el abandono del rural y contra la infrautilización de los terrenos forestales. Ley de prevención y defensa contra los incendios forestales de Galiciahttps://transparencia.xunta.gal/tema/informacion-de-relevancia-xuridica/consulta-publica-previa/consultas-pechadas/-/cpp/0126/ley-prevencion-defensa-contra-los-incendios-forestales-galiciaLa norma pretende ser una herramienta normativa útil para acometer con eficacia la prevención y defensa contra los incendios forestales en Galicia acorde a los nuevos desafíos derivados del cambio climático y de los cambios sociodemográficos, incorporando previsiones que contribuyan a potenciar la rentabilidad sostenible del rural.",Normativa en tramitación
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,8,Row 8,Monitoring systems to inform management of deforestation and/or forest degradation," La Consellería de Medio Rural firmó un convenio de colaboración con las universidades de Santiago de Compostela y Vigo para el desarrollo del Inventario Forestal Continuo de Galicia (IFCG). El objeto de este convenio es regular así el marco común de colaboración entre estas instituciones firmantes. Las actuaciones comprendidas en el convenio están dirigidas a realizar un trabajo conjunto entre las instituciones para conocer la situación de los recursos forestales de Galicia y desarrollar plenamente la necesaria producción científica y académica en materia de inventarios forestales de nuestra comunidad. Para eso, es necesario realizar un seguimiento y evaluación del estado de las masas arboladas y estimar la cantidad y calidad de los recursos para, de este modo, crear un sistema de apoyo a las decisiones en materia de política forestal basado en un sistema de seguimiento forestal continuo para Galicia.",Resultados disponibles en: https://mediorural.xunta.gal/es/temas/forestal/inventario-forestal-continuo
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,9,Row 9,Officially approved registry for land ownership,"DECRETO 167/2019, de 5 de diciembre, por el que se crea y se regula el Registro de Masas Consolidadas de Frondosas Autóctonas.https://www.xunta.gal/dog/Publicados/2020/20200108/AnuncioG0426-271219-0009_es.html",https://mediorural.xunta.gal/es/temas/forestal/registro-masas-frondosasProcedimiento sede electrónica:https://sede.xunta.gal/detalle-procedemento?langId=es_ES&codtram=MR620A
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,10,Row 10,Budget set aside for dedicated work on forest protection/conservation,"Actualización del Plan de prevención y defensa contra los incendios forestales de Galicia 2025-2026. Medio Rural prevé invertir 13,7 M€ hasta 2026 para la mejora de las infraestructuras contra incendios forestales: \nhttps://www.xunta.gal/notas-de-prensa/-/nova/012241/medio-rural-preve-investir-13-7-ata-2026-para-mellora-das-infraestruturas-anti","El PLADIGA 2025 (Plan de Prevención y Defensa contra los Incendios Forestales de Galicia) tiene por objeto el establecimiento de la organización y el procedimiento de actuación de los recursos y servicios cuya titularidad corresponde a la Comunidad Autónoma de Galicia, de aquellos que puedan ser asignados a éste por la Administración General del Estado, así como de los que pudiesen ser facilitados por otras entidades públicas o privadas para hacer frente a los incendios forestales dentro del territorio gallego, y permitir, en su caso, una coordinación y actuación conjunta de los diversos servicios y administraciones implicadas en la lucha contra el fuego: \nhttps://mediorural.xunta.gal/es/temas/defensa-monte/pladiga-2025 \n"
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional laws on improved forest management,"LEY FORAL 13/1990, DE 31 DE DICIEMBRE, DE PROTECCIÓN Y DESARROLLO DEL PATRIMONIO FORESTAL DE NAVARRA: https://www.lexnavarra.navarra.es/detalle.asp?r=2809\n\nDECRETO FORAL 59/1992, DE 17 DE FEBRERO, POR EL QUE SE APRUEBA EL REGLAMENTO DE MONTES EN DESARROLLO DE LA LEY FORAL 13/1990, DE 31 DE DICIEMBRE, DE PROTECCIÓN Y DESARROLLO DEL PATRIMONIO FORESTAL DE NAVARRA\nhttps://www.lexnavarra.navarra.es/detalle.asp?r=28682",La aprobación de este marco normativo permite la puesta en marcha de determinadas medidas
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Land use planning,https://www.navarra.es/es/territorio-paisaje-y-urbanismo/ordenacion-del-territorio/planes-de-ordenacion-del-territorio,
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Long-term forest management/protection/conservation plans,"En el ámbito forestal Navarra es una comunidad con un alto grado de planificación. Los datos sobre los montes que cuentan con un proyecto de planificación están disponibles en IDENA : https://idena.navarra.es/navegar/#ZXh0fGJhc2V8bWFwYWJhc2V8bGF5ZXJzfHV8Ly9pZGVuYS5uYXZhcnJhLmVzL29nYy93bXN8bnxJREVOQTpGT1JFU1RfUG9sX09yZGVuYWNpb25lc3xvfHZ8aHx1cnxmfHR8SURFTkF8aXxsY2F0LTEtM14xXjUxNTg4OS4zNDJ8NDcyODM1My44NTd8NjkwNzM3LjM0Mnw0ODExOTM3Ljg1N14kMHxASXxKfEt8TF18MXwyfDN8QCQ0fDV8Nnw3fDh8SHw5fC0xfEF8LTF8QnwtNXxDfC01fER8RXxGfEddXV0\n\nAdemás, gracias a LIFE-IP NAdapta-CC se ha generado una geodatabase forestal con toda la información necesaria para la planificación de los montes de Navarra: https://administracionelectronica.navarra.es/VisorOrdenacionForestal/default.aspx",
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Long-term forest management/protection/conservation plans,"Agenda Forestal de Navarra. \n\nLa Agenda Forestal de Navarra, elaborada entre 2019 y 2023, es un documento estratégico que actualiza la política forestal navarra y establece un marco para su desarrollo durante los siguientes 20 años. Se enfoca en cinco ejes principales: gobernanza, cambio climático y riesgos, fomento del sector, biodiversidad, e innovación y conocimiento. Esta agenda está alineada con otras estrategias como la Economía Circular en Navarra y tiene como objetivo que los bosques navarros sean sanos, resilientes y gestionados de forma sostenible. \n\nActualmente, se encuentra en proceso de actualización",
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional policies on improved forest management,https://www.euskadi.eus/contenidos/informacion/osoa_dokumentazioa/es_def/adjuntos/PDR-Euskadi-2015-2020_v7.2.pdf,El Programa de desarrollo rural establece en su medida 8 subvenciones e inversiones en silvicultura sostenible y una mejora de la viabilidad de los bosques.
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Regional policies on improved forest management,https://www.ihobe.eus/publicaciones/estrategia-proteccion-suelo-2030,"La Estrategia de Protección del Suelo de Euskadi 2030 establece medidas para proteger el suelo de la degradación, prevenir la antropización y restaurar suelos degradados, así como en la sección dedicada a la silvicultura, la apuesta estratégica de las instituciones vascas y del sector forestal de la madera por la gestión forestal sostenible y la certifi-cación de esta."
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,3,Row 3,Long-term forest management/protection/conservation plans,https://neiker.eus/es/proyecto/euskobasoa-2050/,"Aunque se encuentra aún en desarrollo, EUSKOBASOA 2050 es un plan de mejora del sector forestal en la CAPV, pretende conseguir una reestructuración del sector con iniciativas para seguir avanzado en el conocimiento, la investigación y la divulgación de la madera local de los bosques vascos. Dentro de las medidas mas importantes se incluye el apoyo a la industria de primera y segunda transformación e iniciativas vinculadas con la biomasa, la de promover el uso de la madera local en la obra pública, estructuración de Baskegur y la internacionalización del sector, todo sin perder de vista la conservación y cuidado de las especies autóctonas de Euskadi."
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,4,Row 4,Regional policies on improved forest management,https://www.euskadi.eus/informacion/plan-territorial-sectorial-agroforestal-de-la-comunidad-autonoma-del-pais-vasco/web01-a2lurral/es/,"El PTS Agroforestal lleva mas de 10 años vigente, incluye medidas como zonificaciones de uso forestal, fomento de la gestión forestal sostenible, prevención de riesgos y reconocimiento del valor multifuncional del bosque vasco, asegurando la compatibilidad de las actividades sectoriales correspondientes con la conservación medioambiental."
2025 Disclosure Cycle,779465,CDP,72927,Autonomous Community of Catalonia,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,National laws on improved forest management,"Ley 6/1988, de 30 de marzo, forestal de Cataluña\nhttps://www.boe.es/buscar/doc.php?id=BOE-A-1988-10913\n\nLey 43/2003, de 21 de noviembre, forestal\nhttps://boe.es/buscar/pdf/2003/BOE-A-2003-21339-consolidado.pdf\n\nPlan General de Política Forestal\nhttp://agricultura.gencat.cat/web/.content/06-medi-natural/boscos/planificacio-forestal/pla-general/02_annex_02_pla_accio.pdf\n\nAgenda forestal 2020 -2025\nhttp://agricultura.gencat.cat/ca/ambits/medi-natural/gestio-forestal/planificacio-forestal/pla-general-politica-forestal-public/\n\nPlanes de manejo de recursos forestales\nhttps://agricultura.gencat.cat/ca/ambits/medi-natural/gestio-forestal/planificacio-forestal/plans-ordenacio-recursos-forestals/\n\nPlan presupuestario de política general forestal 2014-2024\nhttp://agricultura.gencat.cat/web/.content/06-medi-natural/boscos/planificacio-forestal/pla-general/03_annex_03_pressupost.pdf\n\nHerramientas de apoyo a la redacción de herramientas de gestión forestal\nhttp://agricultura.gencat.cat/ca/ambits/medi-natural/gestio-forestal/planificacio-forestal/instruments-ordenacio-recursos-forestals/eines-suport-redaccio-instruments-ordenacio-forestal/\n\nCertificación forestal sostenible\nhttp://agricultura.gencat.cat/ca/ambits/medi-natural/gestio-forestal/dar_certificacio_gestio_forestal_sostenible/dar_sistemes_certificacio/","En Cataluña existen herramientas de planificación a diferentes escalas de detalle y para diferentes áreas que permiten ordenar la superficie forestal. El Plan General de Política Forestal tiene como objetivo establecer las directrices técnicas para la ejecución de una política forestal integral en el conjunto de Cataluña y tiene como siguientes objetivos:- Promover la gestión activa de los terrenos forestales, como necesidad para potenciar sus funciones socioeconómicas y ambientales, y promover la conservación de la biodiversidad.- Apoyar la propiedad y la industria forestal como principales agentes del sector económico.-Mejorar el sistema social percepción de la gestión forestal sostenible y promover el aprovechamiento de sus productos.-Promover el desarrollo, la innovación, la transferencia de tecnología y la tecnificación de los procesos productivos del sector forestal.-Promover una planificación eficiente de los terrenos forestales y promover la coordinación e incorporación de valores forestales económicos y ambientales en otras planificaciones sectoriales para promover sinergias.\n\nLa Agenda Forestal 2020-2025 también ha creado un espacio de diálogo con los principales agentes del sector forestal (propietarios, administración y sector empresarial), y ha evaluado aquellas medidas estructurales que el sector necesita para mejorar y prosperar. Se han identificado acciones que deben tomarse en el corto plazo, que son factibles y deben implementarse. Es un acuerdo entre la Administración y el sector para centrarse en aquellos aspectos más importantes. El objetivo de la Agenda Forestal es determinar la hoja de ruta de las políticas forestales en Cataluña y crear un punto de partida común para el futuro del sector con todos los agentes implicados. Esta explicación es válida también para las próximas salvaguardas (además de las Leyes nacionales de mejora de la gestión forestal ):●Leyes regionales sobre mejor manejo forestal●Políticas regionales sobre mejor manejo forestal●Registro de propiedad de la tierra aprobado oficialmente●Planificación del uso de la tierra●Evaluaciones ambientales estratégicas●Sistemas de monitoreo para informar la gestión de la deforestación y/o degradación forestal●Presupuesto reservado para áreas dedicadas trabajo en protección / conservación forestal"
2025 Disclosure Cycle,779465,CDP,72928,Autonomous Community of Cantabria,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,1,Row 1,Regional laws on improved forest management,,
2025 Disclosure Cycle,779465,CDP,72928,Autonomous Community of Cantabria,States & Regions,Europe,Spain,Public,Q10.4,Please explain what safeguards are in place to protect your region's forests in the long-term.,2,Row 2,Long-term forest management/protection/conservation plans,,
