disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Government operations emissions inventory attachment,col2_Government operations emissions inventory link,col3_Year covered by inventory,col4_Boundary,col5_Gases included in the inventory,col6_Primary protocol,col7_Emissions sources included,col8_Has the inventory been audited/verified?,col9_Comment
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,,https://doee.dc.gov/service/greenhouse-gas-inventories,2020,"Departments, entities or companies over which operational control is exercised",CH4|N2O|CO2,"Local Government Operations Protocol (ICLEI USA, The Climate Registry, California Climate Action Registry, California Air Resources Board)",Electricity transmission and distribution|Employee commuting|Street lighting and traffic signals|Landfills|Waste collection|Incineration of waste|Wastewater treatment|Buses|Water supply|Municipal vehicle fleet|Buildings|Local trains,"No, not audited / verified","The impact of the COVID-19 public health emergency is notable in this inventory, however the full extent of that impact will not be fully realized until further assessment and comparison of future years. The District is in the process of completing a roadmap to achieving carbon neutrality in its own Government Operations by 2040; a revised, refined, and reviewed inventory will be completed in late 2025 to underpin that planning. This inventory will be included in our next CDP reporting cycle. "
2025 Disclosure Cycle,779465,CDP,31109,City of Melbourne,City,South East Asia & Oceania,Australia,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Public_Disclosure_Statement_-_City_of_Melbourne_FY2024.docx,https://cityofmelbourne-my.sharepoint.com/:w:/g/personal/nicholas_carrazzo_melbourne_vic_gov_au/EZs-jCK77OBEpyP3oEc4rxsBjCu-KG0TfTOpCqctZvVRdw?e=zjeZig,2023/2024,"Departments, entities or companies over which operational control is exercised",CH4|CO2|HFCs|N2O,Other: Climate Active (formerly Austalian National Carbon Offset Standard),Municipal vehicle fleet|Water supply|Electricity generation|Waste related emission sources (scope 3)|Street lighting and traffic signals|Emissions from contracted services (scope 3)|Waste collection|Employee commuting (scope 3)|Employee commuting,"Yes, internally and externally audited / verified","The City of Melbourne's greenhouse gas emissions inventory has been prepared according to the Australian Government's Climate Active Carbon neutral Standard. The emissions boundary is consistent with the GHG Protocol Corporate Accounting and Reporting Standard:Organisational boundary: The City uses the operational control approach for measuring and reporting on the organisation's emissions. The City includes emissions from all activities over which we have full operational control (as shown in Figure 2).Operational boundary: The emissions inventory includes direct emissions sources (scope 1), emissions from purchased energy (scope 2) and other measurable indirect sources (scope 3) that are material to the City's operationshttps://www.melbourne.vic.gov.au/SiteCollectionDocuments/ncos-public-disclosure-summary-2021-22.pdf"
2025 Disclosure Cycle,779465,CDP,31111,Tokyo Metropolitan Government,City,Japan,Japan,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,,https://www.kankyo.metro.tokyo.lg.jp/climate/own_efforts/results/index.html,2023/2024,"Departments, entities or companies over which operational control is exercised",HFCs|PFCs|N2O|CO2|SF6|CH4|NF3,Other: Manuals and guidelines of national government and Tokyo Cap-and-Trade Program 政府や東京キャップ＆トレード制度のマニュアルやガイドライン,Buses|Incineration of waste|Wastewater treatment|Subway / underground|Local trains|Buildings|Municipal vehicle fleet|Airport(s)|Street lighting and traffic signals|Employee business travel (scope 3)|Electricity generation|Waste collection|Waste related emission sources (scope 3)|Maritime port|Water supply|Landfills|Thermal energy,"No, not audited / verified","・エネルギー起源（燃料、電気及び熱）のCO2については、「総量削減義務と排出量取引制度における特定温室効果ガス排出量算定ガイドライン」（東京都環境局）による係数を使用した。\n・上下水の利用に伴うCO2については、「温室効果ガス排出量算定・報告・公表制度　電気事業者別排出係数一覧」（環境省・経済産業省）による係数を使用した。\n・非エネルギー起源の温室効果ガスについては、「温室効果ガス排出量算定・報告マニュアル」（環境省・経済産業省）による係数を使用した。\n・For CO2 emissions from energy sources (fuel, electricity and heat), we used coefficients from the \'Guidelines for Calculating Greenhouse Gas Emissions under the Total Emissions Reduction Obligations and Emissions Trading Scheme\' (Bureau of Environment, Tokyo Metropolitan Government).\n・CO2 emissions from use of water and sewage were calculated using factors from the \'List of Emission Factors by Electric Utility Operator in the Greenhouse Gas Accounting, Reporting and Publishing System\' (Ministry of the Environment and Ministry of Economy, Trade and Industry).\n・For GHGs from non-energy sources, we used coefficients from the \'Manual for Greenhouse Gas Accounting and Reporting\' (Ministry of the Environment and Ministry of Economy, Trade and Industry)."
2025 Disclosure Cycle,779465,CDP,31113,City of Yokohama,City,Japan,Japan,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,3.1.1.1 jikkoukeikaku siyakusyohen.pdf,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/ondanka/jikkou/keikaku/jimujigyou.files/0043_20250804.pdf,2022/2023,"Departments, entities or companies over which operational control is exercised",N2O|CO2|PFCs|HFCs|NF3|CH4|SF6,Own methodology used to calculate emissions from government operations,Municipal vehicle fleet|Maritime port|Subway / underground|Buses|Buildings|Water supply|Landfills|Roads / highways|Incineration of waste|Waste collection|Wastewater treatment|Thermal energy|Street lighting and traffic signals|Electricity generation,"Yes, internally audited / verified (self-verification)",横浜市地球温暖化対策実行計画（市役所編）（2023年1月改定）に基づき、市役所における温室効果ガス排出量を2030年までに50%削減を目標として、省エネルギー対策、建物の省エネルギー化、再生可能エネルギー利用、公用車における次世代自動車の割合を100%を目指すなど様々な取組を実施しています。排出量インベントリは添付の公表資料以外は添付できません。
2025 Disclosure Cycle,779465,CDP,31114,City of Sydney,City,South East Asia & Oceania,Australia,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,City of Sydney_PDS_FY24_Organisation V9.1.pdf,https://www.climateactive.org.au/buy-climate-active/certified-members/city-sydney,2023/2024,"Departments, entities or companies over which operational control is exercised",NF3|HFCs|CO2|N2O|SF6|PFCs|CH4,Other: Climate Active Carbon Neutral Standard,Waste related emission sources (scope 3)|Employee commuting (scope 3)|Street lighting and traffic signals|Waste collection|Employee business travel (scope 3)|Emissions from contracted services (scope 3)|Municipal vehicle fleet|Electricity transmission and distribution|Employee commuting|Buildings,"Yes, externally audited / verified (third-party verification)","The National Climate Active Carbon Neutral Standard for Organisations provides is currently the Australian standard on how to measure, reduce, offset report and audit emissions that occur as a result of the operations of an organisation. Most of the energy sources are converted into emissions using factors listed in the Australian Government National Greenhouse Factors workbook. "
2025 Disclosure Cycle,779465,CDP,31115,City of Johannesburg,City,UKWW,South Africa,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Draft_Emissions_Inventory_report_CSIR 24 August 2017 CSIR.pdf,Local Government Scale GHG Inventory report attached,2014,"Departments, entities or companies over which operational control is exercised",CO2|N2O|CH4,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Electricity generation|Buildings|Buses,"No, not audited / verified","This initial effort marked the beginning of developing a local-scale GHG inventory. Valuable lessons were learned, and although an audit was not considered essential at this stage, the work will undergo review once the city establishes robust systems for conducting community-scale inventories. Moreover, creating this inventory and community scale with limited human and financial resources can pose a challenge. The city compiles its inventories in-house, relying on a single official who is tasked with numerous other duties to fulfil."
2025 Disclosure Cycle,779465,CDP,31117,"City of Toronto, ON",City,North America,Canada,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,,https://www.toronto.ca/wp-content/uploads/2024/12/9270-2022-SBEI-Report.pdf\n\nhttps://www.toronto.ca/services-payments/water-environment/environmentally-friendly-city-initiatives/transformto/sector-based-emissions-inventory/\n,2022,"Other: Includes agencies, boards, corporations and divisions of the City of Toronto. List of exclusions available upon request.",CH4|CO2|N2O,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Street lighting and traffic signals|Municipal vehicle fleet|Wastewater treatment|Buses|Subway / underground|Landfills|Water supply|Buildings|Waste collection,Other: An assurance review was completed by a third party in 2022 for the corporate and community emissions inventories. See Comment for details.,"Corporate/Government Operation Emissions Inventory begins on pg. 34 of the attached sector-based emissions inventory report.\n\nAn assurance review was completed by a third party in 2022 for the corporate and community emissions inventories (2017). The review provided feedback on the actions the City must take to prepare the corporate and community emissions inventories for an external audit. Toronto aims to have its corporate emissions inventory audited first, in 2025, with the community emissions inventory audit to follow."
2025 Disclosure Cycle,779465,CDP,31146,Addis Ababa City Administration,City,UKWW,Ethiopia,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,,https://drive.google.com/drive/u/0/folders/1llLq0tWJO9MmH-iGgLGX5xVC_HBhItkF,2024,,,,,,
2025 Disclosure Cycle,779465,CDP,31149,Municipality of Athens,City,Europe,Greece,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,2.municipal_CIRIS_2023_v2.5_v01_08.09.25 revised.xlsx,N/A,2023,"Departments, entities or companies over which operational control is exercised",PFCs|CO2|CH4|NF3|N2O|HFCs|SF6,Greenhouse Gas Protocol: Public Sector Standard,"Waste collection|Other: AFOLU within the city, made by the municipality. Gardening activities. IPPU, regarding bitumen used in asphalt production for road paving, made by the municipality.|Municipal vehicle fleet|Buildings|Street lighting and traffic signals","No, not audited / verified","Includes municipal buildings and Vehicle circulation of the municipal fleet, including waste collection tracks"
2025 Disclosure Cycle,779465,CDP,31153,City-State of Berlin,City,Europe,Germany,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,,https://www.berlin.de/sen/uvk/klimaschutz/klimaschutz-in-der-umsetzung/vorbildrolle-oeffentliche-hand/co2-neutrale-verwaltung/,2024/2025,"Departments, entities or companies over which operational control is exercised",CO2,"Other: Other, please specify",Electricity generation|Municipal vehicle fleet,"No, not audited / verified",The link provided leads to an action plan for a climate-neutral administration by 2030. Its implemenation is being monitored. 
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,INGEI Entidades Gubernamentales_CDP.xlsx,INGEI 2023 sector público. No se suministra Link porque el INGEI 2023 está en proceso de publicación.,2023,"Departments, entities or companies over which operational control is exercised",CH4|CO2|N2O,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Buses|Wastewater treatment|Street lighting and traffic signals|Roads / highways|Electricity transmission and distribution|Other: emisiones fugitivas, absorciones netas por arbolado urbano (árboles plantados y talas)|Buildings","No, not audited / verified","La estimación de emisiones por operación del gobierno distrital se realiza con el fin de revisar los alcances de la política pública de acción climática, en su componente de mitigación. "
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Planilha_Curitiba_Selo_Clima_2025.xlsx,Planilha_Curitiba_Selo_Clima_2025.xlsx \n ,2024,"Departments, entities or companies over which operational control is exercised",CO2|CH4|N2O,ISO 14064,Electricity generation|Municipal vehicle fleet|Buses|Employee commuting,"Yes, internally audited / verified (self-verification)","O Selo Clima Paraná é uma certificação voluntária promovida pelo Governo do Estado do Paraná, por meio da Secretaria do Desenvolvimento Sustentável (SEDEST), com o objetivo de reconhecer e valorizar empresas e entidades (públicas, privadas ou municipais) que se comprometem com a medição, divulgação e redução da pegada de carbono, contribuindo para o combate às mudanças climáticas\n"
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,CIRIS 2022 Institutional GHG Inventory.xls,Istanbul Institutional Inventory 2022- CIRIS,2022,"Departments, entities or companies over which operational control is exercised",CH4|CO2|N2O,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Landfills|Water supply|Street lighting and traffic signals|Maritime port|Subway / underground|Electricity generation|Incineration of waste|Wastewater treatment|Employee commuting|Municipal vehicle fleet|Buildings|Buses,"Yes, externally audited / verified (third-party verification)",
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,"CO2 Bilanz_HD_2022_final.xlsx,CO2 Bilanz_HD_2023_preliminary.xlsx",,2022,"Departments, entities or companies over which operational control is exercised",CO2|CH4|N2O,Other: German standard 'BISKO',Buildings,"No, not audited / verified","According to a resolution passed by the municipal council in July 2022, the city administration is to become largely greenhouse gas-neutral by 2030. There are already many activities in this direction, in particular to reduce the energy requirements of public buildings and by transitioning to climate neutral heating systems. A concept is now being drawn up to accelerate the reduction path. A CO2 starting balance specially designed for the administration is currently being drawn up for this purpose"
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,"Chart Sign Smart 2023.pdf,Signmart Chart_2025.pdf",https://signsmart.menlhk.go.id/v2.1/app/chart/emisi_m,2023,"Departments, entities or companies over which operational control is exercised",CH4|N2O|CO2,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Incineration of waste|Electricity generation|Local trains|Buses|Buildings|Waste collection|Wastewater treatment|Electricity transmission and distribution|Landfills|Employee commuting,"Yes, externally audited / verified (third-party verification)",Di periksa Pada aplikasi Sign smart https://signsmart.menlhk.go.id/v2.1 
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Huella de carbono corporativo 2019-MML.pdf,https://smia.munlima.gob.pe/uploads/documento/d775c5f0e5878fc1.pdf ,2019,"Departments, entities or companies over which operational control is exercised",N2O|SF6|CO2|PFCs|HFCs|CH4|NF3,ISO 14064,Buses|Electricity generation|Buildings|Water supply|Employee commuting,"Yes, externally audited / verified (third-party verification)","El inventario fue revisado y aprobado por el Ministerio del Ambiente. (MINAM), ente rector en materia ambiental "
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,"CIRIS v2.5 IE2022 CDMX gobierno CDP25.xlsx,revisión CIRIS emisiones para CDP2025 GOBIERNO.xlsx",https://drive.google.com/drive/folders/12FhtzM0BNI9Rwny_ol7VbOvadIx2nbKQ?usp=sharing,2022,"Departments, entities or companies over which operational control is exercised",PFCs|HFCs|SF6|NF3|CH4|CO2|N2O,Other: Protocolo Global para Inventarios de Emisión de Gases de Efecto Invernadero a Escala Comunitaria (GPC).,Local trains|Municipal vehicle fleet|Waste related emission sources (scope 3)|Subway / underground|Wastewater treatment|Landfills|Buses|Buildings|Airport(s)|Electricity transmission and distribution|Electricity generation,"No, not audited / verified","No hay uso por parte del gobierno de PFC, SF6 y NF3."
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,Local_government_emissions_Milan_2023.xlsx,See attached file,2023,"Other: municipal building (schools, officies, residential, etc), street lighting, traffic lights, other on road stationary electricity uses, municipal fleet",CO2|N2O|CH4,Own methodology used to calculate emissions from government operations,Buildings|Municipal vehicle fleet|Subway / underground|Street lighting and traffic signals,"No, not audited / verified",-
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,"Bilan_Carbone_administration_2023.xlsx,Bilan_Carbone_administration_2023.xlsx",government operations GHG inventory,2023,"Departments, entities or companies over which operational control is exercised",NF3|PFCs|CO2|HFCs|N2O|CH4|SF6,ISO 14064,Street lighting and traffic signals|Emissions from contracted services (scope 3)|Employee commuting|Waste related emission sources (scope 3)|Employee business travel (scope 3)|Municipal vehicle fleet|Waste collection|Buildings|Upstream production of materials and fuels (scope 3)|Upstream and downstream transportation of materials and fuels (scope 3)|Roads / highways|Incineration of waste|Airport(s)|Employee commuting (scope 3),"Yes, internally audited / verified (self-verification)","The Paris Administration's Carbon Footprint® presented is that of the year 2023. It reached the figure of 213 027 797tCO2e in 2023. This represents 1.2% of Paris' 2023 carbon footprint. The assessment is down 21% compared to 2004. Public facilities (buildings - energy and construction - and public lighting) remain the leading sector emitting greenhouse gases, followed by general services known as Operations (consumption, waste, food) and Transport (freight, travel of agents and elected officials). The distribution remains unchanged compared to 2018 but has changed since 2004 when public facilities represented 50%, transport, 23% and operations, 27%."
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,2025CO2EMP.pdf,https://duurzaam010.nl/content/uploads/2025/03/2025CO2EMP.pdf ,2024/2025,"Departments, entities or companies over which operational control is exercised",CO2,ISO 14064,"Street lighting and traffic signals|Buildings|Other: sewage/municipal wastewater transport, public parking facilities|Employee business travel (scope 3)|Municipal vehicle fleet","Yes, internally and externally audited / verified","Inventory data based on the CO2 Prestatieladder ( https://www.co2performanceladder.com/) is for government operations of Rotterdam municipality. Other emission inventories related to Rotterdam public services in general including schools, health services etc. can be obtained through https://klimaatmonitor.databank.nl/dashboard/rapport-co2-uitstoot/2--gebouwde-omgeving "
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q3.3.1,Attach your government operations emissions inventory and report the following information regarding this inventory.,1,Emissions methodology,"Municipal Energy Unit Annual Update - FY24.pdf,Municipal GHG Inventory 2023.xlsx",N/A,2023,"Departments, entities or companies over which financial control is exercised",CH4|N2O|CO2,"Local Government Operations Protocol (ICLEI USA, The Climate Registry, California Climate Action Registry, California Air Resources Board)",Buses|Wastewater treatment|Buildings|Airport(s)|Street lighting and traffic signals,"Yes, internally audited / verified (self-verification)",N/A
