disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Health area affected by climate change,col2_Identify the climate hazard(s) that most significantly impact the selected health area,col3_Identify the health issues driven by the selected climate hazard(s),col4_Timeframe of impact,col5_Identify which vulnerable populations are affected by the selected health issue(s),col6_What factors affect your jurisdiction's ability to address the selected health issues,col7_Comment
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Health systems,Infectious disease|Extreme heat|Heavy precipitation,Exacerbation of non-communicable disease symptoms - cardiovascular disease|Disruption to health service provision and service accessibility|Exacerbation of non-communicable disease symptoms - other|Exacerbation of non-communicable disease symptoms - respiratory disease|Heat-related illnesses|Overwhelming of health service provision due to increased demand|Disruption of health-related services,Short-term (by 2025),Elderly|Low-income households|Frontline workers|Vulnerable health groups,Lack of financial capacity and expertise/technical capacity,N/A
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Loss of green space/green cover|Urban flooding|Heavy precipitation|Fire weather (risk of wildfires)|Extreme heat,"Exacerbation of non-communicable disease symptoms - respiratory disease|Disruption to water, sanitation, and wastewater service provision and service accessibility|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Direct physical injuries and deaths due to extreme weather events|Mental health impacts|Overwhelming of health service provision due to increased demand",Short-term (by 2025),Low-income households|Vulnerable health groups|Marginalized / minority communities|Children and youth|Elderly,Lack of political priority|Lack of financial capacity,"Air pollution associated with fossil fuel combustion have long been associated with adverse health outcomes for vulnerable residents. Air pollution in Chicago has a deleterious effect on the health of low-income, minority, and vulnerable health groups. Recently, air quality concerns related to wildire activity have pushed municipal leadership to critically evaluate the city's emergency operations protocol. Political will and enforcement capacity are required protect residents from pollution. "
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Extreme heat|Snow and ice|Extreme wind|Extreme cold|Heavy precipitation|Urban flooding,"Damage/destruction to health infrastructure and technology, including access modes|Disruption to water, sanitation, and wastewater service provision and service accessibility|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Direct physical injuries and deaths due to extreme weather events|Heat-related illnesses",Short-term (by 2025),Low-income households|Elderly|Outdoor workers|Marginalized / minority communities,Lack of financial capacity|Lack of political priority,"Chicago suffered severely from the extreme heat wave of 1995, which killed a shocking 700+ lives within a short period in July. Although the City's swift actions have ensured that such an episode hasn't repeated, dire warnings of increased frequency of heat waves continue to come. The City continues to plan ahead to deal with climate-related shocks including heat and floods.In recent years, major local climatic fluctuations have caused either severe heat, freezing, and flooding events. The City anticipates more frequent and dangerous environmental conditions as climate change intensifies. More funding from diverse sources as well as more priority given to solutions will be required to effectively meet the public health challenged related to extreme weather. "
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health systems,Extreme heat|Storm|Heat stress|Coastal flooding (incl. sea level rise)|Heavy precipitation|Urban flooding,Direct physical injuries and deaths due to extreme weather events,Medium-term (2026-2050),Frontline workers|Marginalized / minority communities|Vulnerable health groups|Low-income households,Lack of financial capacity,NYC is planning to take action in the City of Yes for Housing Opportunity Zoning amendment to make units safer for at-risk populations in coastal and stormwater flood risk areas in 2024/2025.
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Storm|Extreme heat|Coastal flooding (incl. sea level rise),"Disruption of health-related services|Mental health impacts|Disruption to water, sanitation, and wastewater service provision and service accessibility|Heat-related illnesses",Short-term (by 2025),Vulnerable health groups|Children and youth|Elderly|Low-income households|Outdoor workers|Marginalized / minority communities|Women and girls,Lack of political priority,NYC DOHMH has data on how climate change overlays with public health at the following page: https://www.nyc.gov/site/doh/health/health-topics/climate-change-and-public-health.page
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Infectious disease,Vector-borne infections and illnesses,Medium-term (2026-2050),Vulnerable health groups,Lack of financial capacity,"The ecological range of disease-carrying mosquito vectors through to southern and central Europe increases the risk that diseases such as dengue, zika and chikungunya are introduced into England, particularly the South East due to the higher average winter temperatures experienced. London is especially at risk due to the dense network of travel (humans and goods) through the city as well as the higher temperatures. "
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health outcomes,Other: Air pollution,Exacerbation of non-communicable disease symptoms - respiratory disease|Other: Preterm birth; low birth weight; still birth; dementia; widening health inequalities|Exacerbation of non-communicable disease symptoms - cardiovascular disease,Short-term (by 2025),Women and girls|Children and youth|Elderly|Vulnerable health groups,Lack of financial capacity|Lack of political priority,"In 2019, in Greater London, the equivalent of between 3,600 to 4,100 premature deaths were estimated to be attributable to air pollution, considering that health effects exist even at very low levels. This calculation is for deaths from all causes including respiratory, lung cancer and cardiovascular deaths. The highest number of deaths was in outer London boroughs, mainly due to the higher proportion of elderly people in these areas, who are more vulnerable to the impacts of air pollution. Additionally, exacerbation of asthma by air pollution is estimated to lead to around 700 asthma admissions from 2017 - 2019 in children in London, 7% of all asthma admissions in children in London. The following article on the impacts of air pollution on unborn babies in London found that cutting the average concentration of fine particle pollution emitted by the city's road traffic by just 10% could prevent around 90 babies a year (3% of cases) being born with low birth weight. https://www.imperial.ac.uk/news/183504/air-pollution-from-london-traffic-affecting/"
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,3,Row 3,Health systems,Urban flooding|Heavy precipitation,"Damage/destruction to health infrastructure and technology, including access modes|Other: Widening Health Inequalities|Disruption to health service provision and service accessibility|Disruption of health-related services|Mental health impacts|Direct physical injuries and deaths due to extreme weather events",Short-term (by 2025),Vulnerable health groups|Low-income households|Frontline workers|Children and youth|Elderly,Lack of political priority|Lack of financial capacity,"Flash flooding in July 2021 caused 2 London hospitals to close / redirect patients. Such closures put at risk anyone needing to access health services, such as the vulnerable groups identified. Flooding impacts populations needing to access healthcare both through the flooding of healthcare settings themselves, and also affected travel to healthcare (either personal or via ambulance). Further information on the impacts of flooding can be found in the recently published London Surface Water Strategy London Surface Water Strategy | London City Hall."
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,4,Row 4,Health outcomes,Heat stress|Extreme heat,Heat-related illnesses|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Mental health impacts|Exacerbation of non-communicable disease symptoms - respiratory disease|Disruption to health service provision and service accessibility|Direct physical injuries and deaths due to extreme weather events|Other: Widening health inequalities|Disruption of health-related services,Short-term (by 2025),Marginalized / minority communities|Outdoor workers|Elderly|Frontline workers|Low-income households|Vulnerable health groups|Children and youth,Lack of political priority|Lack of financial capacity,"In 2022, there were 3,271 heat-related deaths in England, with 387 occurring in London. London has the highest regional standardised excess mortality rate, highlighting its vulnerability to extreme heat. Temperatures above 24.7°C over two days leads to greater incidences of morbidity, mortality, and hospital admissions in London, especially among the elderly. The direct impacts of climate change lead to heat-related illnesses and can exacerbate existing health conditions, including cardiovascular and respiratory diseases.. Mental health is negatively affected too, with evidence that individuals with a previous diagnosis of a mental health condition being at higher risk during heatwave events, whether this is due to their medication, health behaviours or a lack of adaptive capacity."
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,5,Row 5,Health systems,Heat stress|Extreme heat,"Damage/destruction to health infrastructure and technology, including access modes|Disruption of health-related services|Heat-related illnesses|Disruption to health service provision and service accessibility|Other: Widening health inequalities|Exacerbation of non-communicable disease symptoms - respiratory disease|Exacerbation of non-communicable disease symptoms - cardiovascular disease|Direct physical injuries and deaths due to extreme weather events|Mental health impacts",Short-term (by 2025),Vulnerable health groups|Frontline workers|Elderly|Low-income households|Children and youth,Lack of political priority|Lack of expertise/technical capacity|Lack of financial capacity,"Some hospitals and other health settings are not currently adapted for the heat and the workforce and patients are at risk, and health service provision could be impacted. There is good evidence that cognitive function is impaired at high temperatures frontline healthcare workers have reported struggling to deliver services in hot weather. There have been reported incidents of hot weather affecting the IT infrastructure of healthcare settings. \nIncreased demand for services: Heatwaves lead to a surge in admissions for heat-related illnesses like heatstroke and dehydration, as well as exacerbations of existing conditions such as cardiovascular and respiratory illnesses. Emergency departments are particularly impacted, experiencing overcrowding, increased pressure on staff and finances.\nInfrastructure limitations: Many hospitals and other healthcare facilities are not adequately equipped to handle extreme temperatures, especially older buildings lacking effective cooling systems like air conditioning. According to The BMJ, almost half of NHS trusts in England reported at least one overheating incident in wards or clinical areas in 2020-21. There is a lack of funding for adaptation retrofit of existing infrastructure. \nStaff welfare and performance: High temperatures can lead to staff fatigue, decreased cognitive function, and burnout, impacting patient care and potentially exacerbating staff shortages. \nMedication and equipment sensitivity: Some medications require specific temperature storage, and heatwaves can pose risks to their efficacy and availability if storage conditions are compromised. Extreme heat can also impact the function of medical equipment such as MRI scanners and air conditioning units.\nOn the lack of political priority we are unable to be critical of the current central government. "
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,6,Row 6,Health outcomes,Mass movement,Food & nutrition security|Mental health impacts,Not known (not possible to define),Marginalized / minority communities,Lack of political priority|Lack of financial capacity,"London as a capital city and global city, with a mobile and internationally-connected population will be impacted by the potential future influx of refugees due to climate migration. Refugees and migrants could become marginalised and not receive appropriate levels of health care or face dangerous conditions. "
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,7,Row 7,Health outcomes,Heavy precipitation|Biodiversity loss|Soil degradation/erosion|Extreme heat,Food & nutrition security,Medium-term (2026-2050),Low-income households|Children and youth|Elderly|Marginalized / minority communities,Lack of political priority|Lack of financial capacity and expertise/technical capacity,Food security and associated impacts on nutrition is a potential health risk in future but not necessarily as a direct result of climate change impacts in London itself but because we rely on a food chain which is vulnerable to climate change impacts in other countries. This may result in malnutrition or impact on obesity with associated health issues. It is also likely to further widen inequalities between different social groups and those who can afford to pay more to access healthier food. 
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,8,Row 8,Health outcomes,Water stress,"Mental health impacts|Disruption to health service provision and service accessibility|Disruption to water, sanitation, and wastewater service provision and service accessibility",Medium-term (2026-2050),Children and youth|Elderly|Marginalized / minority communities|Low-income households|Vulnerable health groups,Lack of financial capacity,"Drought conditions in London would have impacts on human health through both physical and mental stress, including indirectly through impacts on the food system (i.e. higher food prices and food insecurity, the healthcare system is reliant on the availability of potable water, vulnerable individuals living independently will find it difficult to adapt to a water outages and a constrained water supply. There is limited evidence available on the health impacts of drought on health and health systems in high income countries, such as England. "
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,9,Row 9,Health outcomes,Storm|Urban flooding|Heavy precipitation,"Mental health impacts|Disruption of health-related services|Direct physical injuries and deaths due to extreme weather events|Disruption to health service provision and service accessibility|Damage/destruction to health infrastructure and technology, including access modes",Short-term (by 2025),Children and youth|Marginalized / minority communities|Vulnerable health groups|Elderly|Low-income households,Lack of political priority|Lack of financial capacity,"Flooding impacts the health of populations directly (i.e. through injury and death) as well as indirectly through the disruption of access to essential services (including health and education). Wider impacts arise from interruptions in water or power supply. Access to healthcare is impacted both by the flooding of healthcare facilities and difficulties in traveling to these settings, whether personally or via ambulance. For instance, Flash flooding in July 2021 caused two London hospitals to close / redirect patients. Such closures put at risk anyone needing to access health services, such as the vulnerable groups identified. Additionally, flooding can lead to major and prolonged effects on mental health and well-being, with those affected being at higher risk for conditions such as depression, anxiety, and post-traumatic stress disorder. There is evidence from the English flooding cohort study that disruption to access to healthcare services increased the risk of a mental disordered amongst flooded and flood affected individuals. "
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,1,Row 1,Health outcomes,Extreme heat|Heat stress,Heat-related illnesses,Short-term (by 2025),Vulnerable health groups|Children and youth|Elderly,"Other: Please see above regarding responsibility for health care. The city can take measures within its jurisdiction for sure, but the city does not have full authority of all possible measures.|Lack of financial capacity and expertise/technical capacity",There is perhaps not as much a lack of financial capacity but rather that any investment needs to be put in relation to other urgent matters. There might also be a question of space and what is possible to achieve in terms of greenery etc when a street needs to accommodate many functions and the space is limited.
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.8,Report on how climate change impacts health outcomes and health services in your jurisdiction.,2,Row 2,Health systems,Heavy precipitation|Extreme heat|River flooding,"Disruption to water, sanitation, and wastewater service provision and service accessibility|Heat-related illnesses|Disruption of health-related services",Short-term (by 2025),Elderly|Other: Disruption of healt-related services as mentioned above may affect anyone in need of those services|Children and youth,Other: The health system is a shared resonsibility between municipalities and regions. The Regions are responsible for the medical care and thus of making sure hospitals have redundance and can cope with the effects of extreme weathers.,"Please, find explanation included above"
