disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Air pollution metric,col2_Value,col3_Number of air quality monitoring stations measuring this pollutant in your jurisdiction,col4_Year data was collected,col5_Weblink to air pollution data from monitoring site(s),col6_Comment
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,NO2 concentration (annual average) level (ug/m3),16.65,32,2023,https://www.fenland.gov.uk/media/21463/Air-Quality-Annual-Status-Report-2024/pdf/Fenland_Air_Quality_Annual_Status_Report__2024.pdf,"Data for Fenland district. Data sourced from non-automatic diffusion tubes. Only sites with greater than 90% valid data in 2023 have been included. Note that there are different types of diffusion tube based on their location: kerbside, roadside, urban background."
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,NO2 concentration (annual average) level (ug/m3),13.28,53,2023,https://www.huntingdonshire.gov.uk/media/qtreahla/2024-air-quality-annual-status-report-asr-for-the-year-2023.pdf,"Data for Huntingdonshire district. Data sourced from non-automatic diffusion tubes. Only sites with greater than 90% valid data in 2023 have been included. Note that there are different types of diffusion tube based on their location: kerbside, roadside, rural, suburban, urban background."
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,NO2 concentration (annual average) level (ug/m3),11.66,21,2023,https://www.scambs.gov.uk/media/abva4dzc/asr_2024_website-version.pdf,"Data for South Cambridgeshire district. Data sourced from non-automatic diffusion tubes. Only sites with greater than 90% valid data in 2023 have been included. Note that there are different types of diffusion tube based on their location: roadside, urban background."
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),10.8,10,2024,https://www.aqi.in/assets/files/world-air-quality-report-2024-by-aqi.in.pdf\nhttps://www.epa.gov/outdoor-air-quality-data/interactive-map-air-quality-monitors,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),16,13,2024,https://www.chicago.gov/content/dam/city/depts/cdph/CDPH/admin/program-summaries/2025/CDPH_OnePager_AirQuality_FINAL_Q1-2025.pdf\n\nhttps://epa.illinois.gov/content/dam/soi/en/web/epa/topics/air-quality/outdoor-air/air-monitoring/documents/2023-network-plan-28final-29.pdf,
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),16,73,2023,https://www.epa.gov/outdoor-air-quality-data/interactive-map-air-quality-monitors\n\n\nhttps://a816-dohbesp.nyc.gov/IndicatorPublic/data-features/nyccas/\n,"NO2 concentration: annual average, number of air quality monitoring stations measuring the pollutant, and a link to a monitoring site"
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),10.8,11,2023,https://a816-dohbesp.nyc.gov/IndicatorPublic/data-features/realtime-air-quality/,"PM2.5 concentration: annual average, number of air quality monitoring stations measuring the pollutant, and a link to a monitoring site"
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),16,,2023,http://www.nyaqinow.net/,"Number of days exceeding air quality standards/guidelines, the number of air quality monitoring stations measuring this (13), and a link to a website"
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),24,150,2024,https://data.london.gov.uk/download/56131906-4da7-4102-bf05-31605525265d/039d68e4-023a-4f0b-9bed-0152128f905e/State%20of%20London_June%202025-amended.pdf,Value for roadside measurements.
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),9,80,2024,https://data.london.gov.uk/download/56131906-4da7-4102-bf05-31605525265d/039d68e4-023a-4f0b-9bed-0152128f905e/State%20of%20London_June%202025-amended.pdf,Value for roadside measurements.
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,NO2 concentration (annual average) level (ug/m3),18,150,2024,https://data.london.gov.uk/download/56131906-4da7-4102-bf05-31605525265d/039d68e4-023a-4f0b-9bed-0152128f905e/State%20of%20London_June%202025-amended.pdf,Value for background sites.
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),8,80,2024,https://data.london.gov.uk/download/56131906-4da7-4102-bf05-31605525265d/039d68e4-023a-4f0b-9bed-0152128f905e/State%20of%20London_June%202025-amended.pdf,Value for background sites.
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Number of days exceeding air quality guidelines/standards (times/year),9,,2024,https://www.slb.nu/slbanalys/historiska-data-luft/,Number of days exceeding daily the limit value 50 µg/m3 for PM10. (Max 35 days)
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),5.5,3,2024,https://www.slb.nu/slbanalys/historiska-data-luft/,Average annual concentration of PM2.5 from 2 urban street canyon stations.
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: Particulate Matter PM10 concentration,16.1,3,2024,https://www.slb.nu/slbanalys/historiska-data-luft/,Average annual concentration of PM10 from 3 traffic monitoring stations in Stockholm city
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Number of days exceeding air quality guidelines/standards (times/year),0,,2024,https://www.slb.nu/slbanalys/historiska-data-luft/,0 days over 25 µg/m3 for PM2.5. (Max 35 days)\n
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,NO2 concentration (annual average) level (ug/m3),16.3,4,2024,https://www.slb.nu/slbanalys/historiska-data-luft/,Average annual concentration of NO2 from 3 traffic monitoring stations in Stockholm city. Not including urban background or stations with less than 75% yearly coverage.
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: Number of air quality exceedances,1,250,2024,https://essexair.org.uk/\n,"\nThe number of air quality exceedances was 23 in 2019; 3 in 2020; and 5 in 2021, 3 in 2022 and 3 in 2023, 1 in 2024. There are approximately 250 air quality monitoring stations measuring the pollutant NO2 in Essex."
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,,,,,,N/A
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),25.81,24,2024,,https://desaqmonitoring.clarkcountynv.gov/AgilaireWeb/
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),6.04,38.0,2024,,For number of air quality sensors. Counted sensors in both links:https://desaqmonitoring.clarkcountynv.gov/AgilaireWeb/https://map.purpleair.com/1/mAQI/a10/p604800/cC0#10.83/36.1231/-115.1202
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Number of days exceeding air quality guidelines/standards (times/year),1,,2024,https://www.epa.gov/outdoor-air-quality-data/air-quality-index-report,https://www.epa.gov/outdoor-air-quality-data/air-quality-index-report\n\n\nLooked at #Days Unhealthy. Located in the red colored cell.
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),16.2,,2023,https://www.aqmd.gov/docs/default-source/air-quality/historical-data-by-year/2023-air-quality-data-tables.pdf?sfvrsn=6,data from Central LA monitoring Station
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),10.25,,2023,https://www.aqmd.gov/docs/default-source/air-quality/historical-data-by-year/2023-air-quality-data-tables.pdf?sfvrsn=6,https://sdgdata.lamayor.org/11-6-2/ has data for 2020 at 12.31 ppb. Reported data from 2023 South Coast AQMD Central LA station.\n
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),7.047,3,2024,https://internet.deq.louisiana.gov/portal/DIVISIONS/AIR-MONITORING/AIR-MONITORING-DATA-WITH-INTERVAL-5-OR-10-MINUTES#,"This data is 2024 data from the New Orleans City Park site monitored by the LDEQ, who states this data is collected by automated monitors and has not been subjected to a quality assurance review. There are two other sites in New Orleans that LDEQ monitors, that data can be provided also. "
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),8,1,2024,https://www.nottinghamaqm.net/,AURN Kenmore Gardens
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),20.9,5,2024,https://www.nottinghamaqm.net/\n,"The NO2 concentration provided is an average of the values measured at 5 sites across the city, with values (ug/m3):\nSite 1: 14 AURN Kenmore Gardens\nSite 2: 20.6 AURN Western Blvd\nSite 3: 22.5 Carter Gate\nSite 4: 21.8 Lace Street\nSite 5: 25.6 St Andrews Road\n"
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),0,,2024,https://www.nottinghamaqm.net/,
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: PM10 annual mean (ug/m3),15.35,2,2024,https://www.nottinghamaqm.net/\n,Annual mean across two sites (ug/m3):\nSite 1: 14 AURN Kenmore Gardens\nSite 2: 16.7 AURN Western Blvd\n
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),12,15,2024,"https://luftkvalitet.miljodirektoratet.no/maalestasjoner/Oslo , https://luftkvalitet.nilu.no/en/historical",Added just to in row one to be able to mark as reviewed.
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),33,13,2024,https://luftkvalitet.miljodirektoratet.no/maalestasjoner/Oslohttps://luftkvalitet.nilu.no/en/historical,all the data given are from the most polluted station among the monitoring stationsMost recent year 2024 (Ring 3 Økern)
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),95,,2024,https://luftkvalitet.miljodirektoratet.no/maalestasjoner/Oslo https://luftkvalitet.nilu.no/en/historical,"Days PM10 exceed 50 µg/m3 the data given are from the most polluted station among the monitoring stations in Oslo in 2024. This is Ring 3 Økern, a new station placed in an area influenced by main roads with tunnel portals. "
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),12,15,2024,"https://luftkvalitet.miljodirektoratet.no/maalestasjoner/Oslo , https://luftkvalitet.nilu.no/en/historical",all the data given are from the most polluted station among the monitoring stations (Ring 3 Økern). Most recent year 2024
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,"Other air pollution metric: PM10, SO2, O3, CO",,,2024,https://luftkvalitet.nilu.no/en/historical,"Particulate Matter (PM10) and some other gases than NO2 are measured. Data available at the weblink by choosing time series starting with \'Oslo,\' Most recent whole year 2024."
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),6.4,7,2023,https://aqi.oregon.gov/,Values calculated from a multi-station data query via the Air Quality Monitoring web application. 
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Number of days exceeding air quality guidelines/standards (times/year),3,,2023,https://aqi.oregon.gov/,Values calculated from a multi-station data query via the Air Quality Monitoring web application. 
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: Nitrogen dioxide concentration (ppb),6,1.0,2023,https://aqi.oregon.gov/,Values calculated from a multi-station data query via the Air Quality Monitoring web application. 
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,NO2 concentration (annual average) level (ug/m3),21.6,2,2024,https://secure.pscleanair.org/airgraphing https://enviwa.ecology.wa.gov/report/SingleStationReport," Dept of Ecology (10th & Weller, Beacon Hill - since 2021)"
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: SO2 Annual Average in µg/m3,0.26,1.0,2024,https://secure.pscleanair.org/airgraphing https://enviwa.ecology.wa.gov/report/SingleStationReport, Dept of Ecology (Beacon Hill)
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Other air pollution metric: PM2.5 Annual Mean in µg/m3,6.1,4.0,2024,https://secure.pscleanair.org/airgraphing https://enviwa.ecology.wa.gov/Report/Hr24PM25SummaryNew,"2 stations - Puget Sound Clean Air Agency (Duwamish, South Park), 2 stations - Department of Ecology (10th & Weller, Beacon Hill)"
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: O3 Daily 8-hour Max Average in µg/m3,58.8,1.0,2024,https://secure.pscleanair.org/airgraphing https://enviwa.ecology.wa.gov/report/SingleStationReport,Dept of Ecology (Beacon Hill)
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),22,4.0,2024,https://secure.pscleanair.org/airgraphing https://enviwa.ecology.wa.gov/Report/Hr24PM25SummaryNew,"2 stations - Puget Sound Clean Air Agency (Duwamish, South Park), 2 stations - Department of Ecology (10th & Weller, Beacon Hill)"
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),4.63,2,2024,https://www2.gov.bc.ca/gov/content/environment/air-land-water/air/air-quality/current-air-quality-data/bc-air-data-archive,Province of British Columbia Air Data Archive that provides an average of 4.63 µg/m3 for 2024. https://www2.gov.bc.ca/gov/content/environment/air-land-water/air/air-quality/current-air-quality-data/bc-air-data-archive
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Other air pollution metric: AQHI,2,4,2024,https://vancouver.weatherstats.ca/charts/health_index-yearly.html,Mean AQHI reading for 4 stations in Metro Vancouver area: Metro Vancouver - SW (Richmond) Metro Vancouver - NW Metro Vancouver - SE (Surrey) Metro Vancouver - NE (Pitt Meadows). Data provided by Environment and Climate Change Canada
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Other air pollution metric: PM10 annual average,20,6,2023,https://dce.au.dk/fileadmin/dce.au.dk/Udgivelser/Tekniske_rapporter_300-349/TR320.pdf,Street level at H.C. Andersens Boulevard
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),22,6,2023,https://dce.au.dk/fileadmin/dce.au.dk/Udgivelser/Tekniske_rapporter_300-349/TR320.pdf,Street level at H.C. Andersens Boulevard
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),8.7,6,2023,https://dce.au.dk/fileadmin/dce.au.dk/Udgivelser/Tekniske_rapporter_300-349/TR320.pdf,Street level at H.C. Andersens Boulevard
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.9,Report the following air pollution data for the jurisdiction.,4,Row 4,Other air pollution metric: O3 annual average,52,2,2023,https://dce.au.dk/fileadmin/dce.au.dk/Udgivelser/Tekniske_rapporter_300-349/TR320.pdf,Street level at H.C. Andersens Boulevard
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.9,Report the following air pollution data for the jurisdiction.,5,Row 5,Other air pollution metric: CO annual average,241,2,2023,https://dce.au.dk/fileadmin/dce.au.dk/Udgivelser/Tekniske_rapporter_300-349/TR320.pdf,Street level at H.C. Andersens Boulevard
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.9,Report the following air pollution data for the jurisdiction.,6,Row 6,Other air pollution metric: SO2 annual average,0.2,1,2023,https://dce.au.dk/fileadmin/dce.au.dk/Udgivelser/Tekniske_rapporter_300-349/TR320.pdf,Street level at H.C. Andersens Boulevard
2025 Disclosure Cycle,779465,CDP,31055,Glasgow City Council,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,1,Row 1,Particulate Matter PM2.5 concentration (annual average) level (ug/m3),,10,2024,https://www.scottishairquality.scot/,Air pollution data does not fit reporting questions. Information on air quality in Glasgow can be found at - https://www.glasgow.gov.uk/localairqualitymanagement
2025 Disclosure Cycle,779465,CDP,31055,Glasgow City Council,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,NO2 concentration (annual average) level (ug/m3),,10,2024,https://www.scottishairquality.scot/,Air pollution data does not fit reporting questions. Information on air quality in Glasgow can be found at - https://www.glasgow.gov.uk/localairqualitymanagement
2025 Disclosure Cycle,779465,CDP,31055,Glasgow City Council,City,UKWW,United Kingdom,Public,Q4.9,Report the following air pollution data for the jurisdiction.,3,Row 3,Number of days exceeding air quality guidelines/standards (times/year),0,,2024,https://www.scottishairquality.scot/,Air pollution data does not fit reporting questions. Information on air quality in Glasgow can be found at - https://www.glasgow.gov.uk/localairqualitymanagement
2025 Disclosure Cycle,779465,CDP,31090,"District of Columbia, DC",City,North America,United States of America,Public,Q4.9,Report the following air pollution data for the jurisdiction.,2,Row 2,Number of days exceeding air quality guidelines/standards (times/year),4,,2024,DOEE Air Quality Trends report\nhttps://storymaps.arcgis.com/stories/79a80bb4a7074b6989f94a4a5b154675,Exceeded ozone NAAQs for ozone 4 times in 2024
