disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Net zero target and emissions removals usage,col2_Emissions removals (in unit selected in column 1),col3_Removal activities the government is undertaking/plans to undertake,col4_Comment
2025 Disclosure Cycle,779465,CDP,72888,State of Washington,States & Regions,North America,United States of America,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified as a percentage of the overall target,5,," By 2050, reduce overall emissions of greenhouse gases to 95 percent below 1990 levels, and also achieve net zero greenhouse gas emissions."
2025 Disclosure Cycle,779465,CDP,72890,State of Minnesota,States & Regions,North America,United States of America,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Other: Still in the early stages of development.,
2025 Disclosure Cycle,779465,CDP,72891,State of Hawaii,States & Regions,North America,United States of America,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Afforestation|Agricultural soil carbon management|Reforestation|Biochar,
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Afforestation|Reforestation,Some emission reduction in Wales will come from areas where powers are largely reserved to UK government. This includes areas such as heavy industry and power generation. The UK government may look to use CCS in Wales to reduce emissions in these areas. 
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified in metric tonnes CO2e,75000000,Agricultural soil carbon management|Reforestation|Coastal blue carbon|Direct air capture (DAC)|Afforestation|Ocean-based carbon removal (inc. ocean alkalinisation)|Other: Carbon dioxide removal & carbon capture and sequestration|Biochar|Bioenergy with carbon capture and sequestration (BECCS),"California has a 2045 net zero carbon neutrality target that is anticipated to be achieved utilizing carbon dioxide removal (CDR) which is projected to be 7 million metric tons of CO2 equivalent (MMTCO2e) in 2030 and 75 MMTCO2e in 2045. In addition to CDR, the carbon neutrality goal is anticipated to be achieved using carbon capture and sequestration to avoid GHG emissions from industry and electric sectors. These avoided emissions are projected to be 13 MMTCO2e in 2030 and 25 MMTCO2e in 2045. The goal includes carbon removal targets of 20 MMTCO2e for 2030 and 100 MMTCO2e for 2045 and this is reflected in the 2022 Scoping Plan for Achieving Carbon Neutrality. California is pursuing a suite of nature-based solutions in its climate change mitigation and adaptation efforts. For example, afforestation, reforestation, and agricultural soil management are potential nature-based tools to sequester carbon. California's use of nature-based tools are in addition to its 100 MMTCO2e removal target for 2045."
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified in metric tonnes CO2e,889852,Coastal blue carbon|Reforestation|Afforestation|Agricultural soil carbon management|Bioenergy with carbon capture and sequestration (BECCS),En el año 2023 se absorbieron 8.898.52 t CO2 eq en la categoría de cambios de uso del suelo y silvicultura.\nFuente: Desagregación territorial del Inventario Nacional de Gases de Efecto Invernadero.
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,"Other: Other, please specify",,,"No se ha establecido un objetivo de cero emisiones netas porque no tenemos información acerca de las absorciones de GEI. En todo caso Navarra firmó una declaración en la COP 26 que llama a la acción de los gobiernos y a un mayor papel de los gobiernos regionales a los que se anima a unirse a la campaña \'Race to Zero\' de los Embajadores del Comité de Alto Nivel de la ONU, adoptando objetivos de cero emisiones netas para 2050 o antes, e implementando medidas para alcanzar el objetivo."
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified as a percentage of the overall target,10.0,Agricultural soil carbon management|Reforestation|Afforestation,"De acuerdo con la Ley 1/2024, de 8 de febrero, de Transición Energética y Cambio Climático, el 90% de las emisiones se estima que se verán reducidas respecto a 1990 antes del 2050, y el 10% restante será absorbido por sumideros de carbono distribuidos dentro del territorio. Estimación realizada en el ámbito de aprobación de la Ley 1/2024 de 8 de febrero, de Transición Energética y Cambio Climático, y la elaboración de la futura Hoja de Ruta a Largo plazo de Transición Energética y Cambio Climático. Además, establece la obligación de realizar estrategias de Transición Energética y Cambio Climático cada 10 años, y la realización de informes de evaluación cada 5 años."
2025 Disclosure Cycle,779465,CDP,72927,Autonomous Community of Catalonia,States & Regions,Europe,Spain,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target but it will not be achieved using emissions removals,,,
2025 Disclosure Cycle,779465,CDP,72928,Autonomous Community of Cantabria,States & Regions,Europe,Spain,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,
2025 Disclosure Cycle,779465,CDP,72932,Western Cape,States & Regions,UKWW,South Africa,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Other: These features are still to be determined based on the outcomes of the 2050 Emissions Pathway Analysis.,A 2050 Emissions Pathway Analysis is currently being developed and further detail will come out of that process. A 2050 emissions pathway analysis is a method used to model and project greenhouse gas (GHG) emissions from various sources and sectors until the year 2050. It involves developing scenarios or pathways that outline potential trajectories for emissions reductions or changes in emissions over time.
2025 Disclosure Cycle,779465,CDP,72953,Autonomous Region of the Azores,States & Regions,Europe,Portugal,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Reforestation|Afforestation|Agricultural soil carbon management,"Face aos compromissos internacionais, europeus, nacionais e regionais, e tendo em conta o horizonte 2030 de projeção de emissões do PRAC, a Região estabeleceu uma estratégia de longo prazo para assegurar a neutralidade das suas emissões líquidas até 2050, definida no Roteiro para a Neutralidade Carbónica dos Açores, que tem como objetivo traçar uma visão estratégica clara e as várias possíveis trajetórias custo-eficazes tecnologicamente exequíveis e economicamente viáveis, em diferentes cenários coerentes de desenvolvimento económico e demográfico, para que a Região atinja a neutralidade carbónica da economia açoriana em 2050, que se deverá traduzir num balanço neutro entre as emissões de GEE e o sequestro de carbono pelo uso do solo e florestas.\n\nNeste documento, as remoções de CO2 pela Floresta estão incluídas no valor líquido das emissões do setor da Agricultura, Florestas e Outros Usos do Solo, com uma meta de -166 ktCO2eq em 2050, pelo que não é possível indicar, de forma individualizada, o valor das remoções pela Floresta."
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target but it will not be achieved using emissions removals,,,"A Região comprometeu-se a contribuir o mais possível para atingir a meta nacional e europeia. Além disso, assinou o novo Memorando da Under2Coalition (MoU), comprometendo-se a contribuir o máximo possível para atingir a meta da Coligação."
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified as a percentage of the overall target,,Coastal blue carbon|Bioenergy with carbon capture and sequestration (BECCS)|Reforestation|Agricultural soil carbon management|Biochar|Afforestation|Ocean-based carbon removal (inc. ocean alkalinisation),expertise and capacity of relevant staff still need to be built to enable the quantification of emission removal value
2025 Disclosure Cycle,779465,CDP,73014,Quintana Roo,States & Regions,Latin America,Mexico,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,"La entidad tiene una meta de reducción de emisiones de GEI para limitar el calentamiento global de menos 2 grados Celsius, para el año 2030 el 21% de reducción de emisiones de GEI y para el 2050 el 63% de reducción de emisiones de GEI."
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified in metric tonnes CO2e,3229070.0,Afforestation|Other: Proyectos de conservación forestal y de aforestación.,"El Gobierno del Estado de Yucatán reconoce la urgente necesidad de hacer frente a este problema sin precedentes que se agrava cada año que pasa. Es por ello, que el estado se ha sumado al compromiso internacional de \'Race to Zero\' en febrero del 2022. Enlace de la noticia: https://www.yucatan.com.mx/merida/2022/2/12/el-estado-se-suma-la-estrategia-de-race-to-zero-296432.htmlEn la actualización del Programa Especial Estatal de Cambio Climático (PEECC), el cual reemplazará al Programa Especial de Acción ante el Cambio Climático (PEACC) 2012-2018, se plantea la meta de cero emisiones netas al año 2050. En este documento, aún por publicar, se identifican líneas de acción bajo ejes estratégicos correspondientes a cada sector del Inventario Estatal de GEI que se pueden implementar en la región con el fin de lograr esta meta y se evalúan los escenarios con respecto a las proyecciones de emisiones las cuales consideran una línea base y un escenario de mitigación el cual integra los potenciales de mitigación de las líneas de acción mencionadas anteriormente. Actualmente se trabaja en la construcción de este instrumento y se estima se concluya a finales de 2025."
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified in metric tonnes CO2e,1175346,Other: Sumideros de carbono en ANP´s,En proceso de desarrollo para su certificación. 
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,"East Kalimantan Government currently only has the mitigation plan to achieve NDC (RAD GRK). However, the Net Zero emission based on the Science Based Target guidelines has not been yet developed both at the jurisdiction level and at the national level.Ministry of Environment and Forestry did ask the provincial level to develop the Net FOLU sink. However, the Net FOLU sink is not the same as Net Zero Emission as the Net FOLU only covers forest and land use sector."
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,"GoWK does not have a net zero target. GoWK did have Net FOLU Sink. However, the definition of Net FOLU Sink and Net Zero under SBTi is not the same. Net Zero require to cover all sectors, while Net FOLU only cover forestry sectors"
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Do not know,,,
2025 Disclosure Cycle,779465,CDP,73104,Region of Päijät-Häme,States & Regions,Europe,Finland,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target but it will not be achieved using emissions removals,,,
2025 Disclosure Cycle,779465,CDP,73112,Region of Uusimaa,States & Regions,Europe,Finland,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified as a percentage of the overall target,20,"Other: Increase of carbon removal by existing forest cover, moderate amounts of CCS",
2025 Disclosure Cycle,779465,CDP,73119,Pastaza,States & Regions,Latin America,Ecuador,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,No se ha realizado actividades y/o proyectos que permitan determinar una meta de cero emisiones
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Other: Removal activities are undefined at this time.,"A carbon neutral objective for 2050 has been announced in the 2030 Green Economy Plan launched in 2020, but it remains to be fixed in a law and the amount of emissions removal remains to be determined."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified in metric tonnes CO2e,4989000000.0,Afforestation|Other: Proteção da vegetação secundária;|Agricultural soil carbon management|Reforestation,Os dados de atividade e fatores de emissão e remoção estão disponíveis no estudo Trajetórias de Descarbonização.
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified in metric tonnes CO2e,24.19,Afforestation|Bioenergy with carbon capture and sequestration (BECCS)|Reforestation,"Determinado pelo Plano de Descarbonização, com metas de carbono neutro até 2050."
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Afforestation|Reforestation|Bioenergy with carbon capture and sequestration (BECCS)|Agricultural soil carbon management,Mecanismos conforme o detalhamento do PAC2050 (Plano Paulista) e da meta \'net zero\' nacional.
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Afforestation|Reforestation|Agricultural soil carbon management,Essas atividades de remoção de emissões serão quantificadas a partir do próximo período de creditação (2025 a 2029) do Programa Jurisdicional de REDD+ do Estado do Tocantins
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified in metric tonnes CO2e,2750000,Bioenergy with carbon capture and sequestration (BECCS)|Reforestation|Afforestation|Agricultural soil carbon management,"O Plano de Descarbonização do Estado está publicado e em fase de consulta pública até 20 de setembro, com previsão de lançamento para outubro de 2025. Pode ser acessado pelo link https://fundacaosfa.org.br/wp-content/uploads/2025/08/Produto-14-Relatorio-Tecnico-Consolidado-PEDEP_v1.pdf"
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,-
2025 Disclosure Cycle,779465,CDP,73186,Minas Gerais,States & Regions,Latin America,Brazil,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals and this value is quantified in metric tonnes CO2e,132860000,Afforestation|Reforestation|Other: Expansão de fontes renováveis com o abatimento nas emissões de geração elétrica do Sistema Interligado Nacional.|Bioenergy with carbon capture and sequestration (BECCS),"Foi elaborado o Plano de Ação Climática de Minas Gerais (PLAC-MG) com o objetivo definir - através de um processo participativo - as diretrizes, metas, ações e indicadores para redução das emissões e ampliação das remoções de gases de efeito estufa de forma que seja possível que o território estadual alcance o cenário de neutralidade até o ano de 2050, além das medidas de adaptação necessárias para avançar na resiliência aos efeitos adversos da mudança do clima no estado de Minas Gerais. O Plano foi desenvolvido pelo Governo do Estado de Minas Gerais em parceria com o UK Pact, o CDP América Latina e o ICLEI Governos Locais pela Sustentabilidade."
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Reforestation|Other: Carbon Capture and Storage|Agricultural soil carbon management|Afforestation|Coastal blue carbon,
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,"Other: Se esta trabajando en la actualización de los instrumentos para determinar si es posible la meta cero emisiones, y si esto es posible determinar la temporalidad que pudiese suceder.",,,Se esta evaluando actualmente.
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction has a net zero target that will be achieved using emissions removals but this value has not yet been quantified,,Afforestation,"En el Plan estatal de Desarrollo de Querétaro 2021-2027, en su Eje Recto 4. Medio Ambiente e infraestructura Sostenible, tiene como objetivo Ordenar, cuidar y vigilar el equilibrio ecológico, así\ncomo proyectar la infraestructura y el desarrollo para la prosperidad del presente y el futuro del estado, en un marco de sustentabilidad.\n\nEn su Objetivo 2. Preservación del equilibrio ecológico para mejorar condiciones de vida en el estado.\n\nEstablece el Reto 44. Aumentar en 7,000\nhectáreas la superficie protegida del estado.\n\nEn su Línea Estratégica Conservar el patrimonio natural del estado de Querétaro.\n\nAtreves de las siguientes Acciones:\n\n* Implementar planes y estrategias de descarbonización en los sectores económicos.\n \n*Consolidar el marco regulatorio y su aplicación para el cuidado del medio ambiente.\n\n* Desarrollar, gestionar y dar seguimiento a un sistema de vigilancia de los impactos ambientales.\n\n* Establecer y gestionar un sistema de compensación de emisiones para el\npago de servicios ambientales y ecológicos en las áreas naturales.\n\n *Fomentar el saneamiento de cuencas hidrológicas y zonas de recarga\ndel estado.\n\n *Reducir la emisión de contaminantes al medio ambiente y preservar los\necosistemas.\n\n* Crear cinturones verdes urbanos para la conservación y protección de\náreas naturales.\n\n En estado de Querétaro conserva y restaurar sus áreas forestales de 3,841 hectáreas se\nllevaron a cabo acciones de reforestación\nparticipativa, sanidad forestal,\nprevención y control de incendios, con\nuna inversión de $17,000,000 para la\ncontratación de brigadistas.\n\nEn la Trayectoria de Descarbonización, el estado de Querétaro seleccionó las siguientes metas de reducción de GEI a nivel estatal de manera consistente con los niveles de emisiones requeridos para alcanzar el objetivo de limitar el calentamiento global a 2°C:\n\n*Para el año 2030, 27% reducción de emisiones de GEI por debajo del nivel de emisiones del 2015. \n\n*Para el año 2050, 65% reducción de emisiones de GEI por debajo del nivel \nde emisiones del 2015.\n\nPara cumplir estos objetivos se seleccionar 12 acciones prioritarios de las cuales 2 de ellas se pretende ayudar a la conservación de los bosques y son:\n\nFOLU-1. Expansión del Ecosistema Forestal (en el sector de silvicultura y otros usos del suelo)\nDescripción: Esta acción tiene por objeto aumentar la absorción del dióxido de carbono de la atmósfera mediante iniciativas que\nestablecen nuevos bosques en zonas actualmente no boscosas en áreas públicas y/o privadas en el estado. \n\nFOLU-2. Conservación de tierras forestales (en el sector de silvicultura y otros usos del suelo)\nDescripción: Esta acción tiene por objeto reducir las tasas de deforestación en el estado y las emisiones asociadas mediante la generación\nde un mecanismo de pago por servicios ambientales en el que los propietarios de bosques existentes.\n\n\ny no protegidos\nserán\n\nrecompensados\npor conservar las tierras\nforestales\ncon alto riesgo de ser deforestadas.\n\n "
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q6.1.3,"If your jurisdiction has a net zero target, report the proportion of the net zero target that is allocated to emissions removals and provide further information on the emissions removal activities that the jurisdiction is undertaking.",1,Response,Our jurisdiction does not have a net zero target,,,---
