disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicate your state/region's involvement with jurisdictional REDD+,col2_Mechanisms in place to implement the jurisdictional REDD+,"col3_Financial sources, both secured or at application stage, for the jurisdictional REDD+",col4_Provide more details on the jurisdictional REDD+,,,
2025 Disclosure Cycle,779465,CDP,72928,Autonomous Community of Cantabria,States & Regions,Europe,Spain,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ as it is not applicable to us",,,,,,
2025 Disclosure Cycle,779465,CDP,72930,KwaZulu-Natal,States & Regions,UKWW,South Africa,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,No we are not currently implementing jurisdictional REDD+ but we are intending to in the next two years,,,,,,
2025 Disclosure Cycle,779465,CDP,72932,Western Cape,States & Regions,UKWW,South Africa,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ as it is not applicable to us",,,,,,
2025 Disclosure Cycle,779465,CDP,72953,Autonomous Region of the Azores,States & Regions,Europe,Portugal,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ as it is not applicable to us",,,,,,
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ as it is not applicable to us",,,,,,
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+","Benefit sharing strategy|Policy strategy|Social and environmental safeguards|Baseline year Subnational Forest Reference Emission Levels (FREL)|Monitoring, reporting and verification system|Multi-partner governance structure",Other: private financing|Carbon market mechanisms|Bilateral agreements (ex. between governments),,,,
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,No we are not currently implementing jurisdictional REDD+ but we are intending to in the next two years,,,,,,
2025 Disclosure Cycle,779465,CDP,73014,Quintana Roo,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+","Policy strategy|Monitoring, reporting and verification system",Bilateral agreements (ex. between governments)|Carbon market mechanisms|Green Climate Fund (GCF)|Other: ,"El mecanismo REDD+ busca ofrecer incentivos financieros para desacelerar, frenar o revertir la pérdida y degradación de los bosques o selvas al mismo tiempo que garantiza la conservación de la biodiversidad y el bienestar de las comunidades humanas que en ellos habitan.\nLa Estrategia Estatal REDD+ (EEREDD+) \nde Quintana Roo se concibe como un instrumento de planeación Estatal en el que se identifican escenarios de reducción de emisiones por deforestación y degradación de la selva y se contemplan acciones para alcanzar dichos escenarios en un periodo determinado que defina formas de financiamiento y de evaluación. Ha sido construida con el objeto de que sus lineamientos orienten las políticas y programas públicos de acuerdo a su responsa�bilidad administrativa, así como para favorecer el \ndesarrollo de actividades en campo que logren la \nreducción de emisiones. De esta forma se guiará el proceso de REDD+ en el Estado, en concordancia con el proceso nacional.",,,
2025 Disclosure Cycle,779465,CDP,73018,Aguascalientes,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,No we are not currently implementing jurisdictional REDD+ but we are intending to in the next two years,,,,,,
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+","Baseline year Subnational Forest Reference Emission Levels (FREL)|Social and environmental safeguards|Multi-partner governance structure|Benefit sharing strategy|Policy strategy|Monitoring, reporting and verification system",Other: Finanzas públicas (presupuesto propio)|Green Climate Fund (GCF),"La Estrategia Estatal REDD+ se actualizó. En los últimos años, se ha realizado un esfuerzo importante para implementar acciones que contribuyan a reducir las emisiones por deforestación y degradación forestal, fomentando prácticas agropecuarias bajas en emisiones, la apicultura y meliponicultura, y esquemas de pago por servicios ambientales concurrentes (gobierno federal, estatal y municipal), principalmente en la región del Puuc, al sur y oriente del estado. \n\nObjetivo: Conservar e incrementar los reservorios de carbono forestal a fin de reducir las emisiones de gases de efecto invernadero derivadas de la deforestación y degradación de los ecosistemas forestales en el Estado de Yucatán.\n\nHito para la EEREED+ de Yucatán: Alcanzar una tasa cero de deforestación neta en Yucatán para el año 2030, contribuyendo a los compromisos establecidos por México para la incorporación al mecanismo REDD+.\n\nFuente: http://www.sds.yucatan.gob.mx/cambio-climatico/documentos/EEREDD_Yuc.pdf\n",,,
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+",Policy strategy,"REDD Early Movers (REM)|Other: por el momento solo se financia con recursos Estatales, pero se planeta poder","Se a trabajado con socios estratégicos como la Comisión Nacional Forestal (CONAFOR), Pronatura Sur A.C., Fondo Noroeste (FONNOR), Environmental Defense Fund (EDF), Climate Law and Policy (CLP), Rainforest Alliance (RA), Grupo de Trabajo de Gobernadores por el Clima y Bosques (GCF Task Force) entre otras no menos relevantes, con las cuales queremos seguir trabajando para alcanzar nuevas metas y objetivos a corto y largo plazo.",,,
2025 Disclosure Cycle,779465,CDP,73025,Tabasco,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+",Policy strategy,Other: Fondo Noruego PNUD,El Gobierno de Tabasco se encuentra en busca de financiamiento para la implementacion de la Estrategia Estatal REDD+ Tabasco. En los primeros resultados del monitoreo de la vegetación se ha visto que hay ganancia de vegetación derivada de las plantaciones forestales en el territorio estatal. La meta es lograr una tasa 0% deforestación en 2030.,,,
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to a lack of resources",,,,,,
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+","Social and environmental safeguards|Financial architecture: Regional fund to manage jurisdictional REDD+|Policy strategy|Multi-partner governance structure|Baseline year Subnational Forest Reference Emission Levels (FREL)|Benefit sharing strategy|Monitoring, reporting and verification system",Forest Carbon Partnership Facility (FCPF)|Bilateral agreements (ex. between governments)|Green Climate Fund (GCF),"Jurisdiction-based REDD+ implementation in East Kalimantan covers provincial, district/city, and village levels, aiming not only to protect remaining forests but also to improve local livelihoods. The program is mainstreamed into regional development plans to ensure legal certainty for activities, funding, emission reduction targets, and timelines. Incentives from REDD+ are distributed proportionally based on roles and responsibilities, with transparency guaranteed through governor's decrees detailing incentive amounts. This approach aligns with Indonesia's national program under the Indonesia Results-Based Payment (RBP) REDD+ for Results Period 2014-2016, supported by the Green Climate Fund (GCF) Output 2, which allocates USD 93.4 million to strengthen sustainable forest governance, expand and improve social forestry implementation, develop forest management units (KPH), rehabilitate degraded forests and land (RHL), enhance fire prevention, and promote sustainable livelihoods. For sub-national governments, including East Kalimantan, 56.25% of funds (USD 52.53 million) are specifically allocated for verified emission reduction performance (ex-post RBP), ensuring that provincial efforts are recognized and rewarded. The funding mechanism follows an investment plan endorsed by the Minister of Environment and Forestry, with disbursement conducted either directly through Work Plans or via intermediary institutions (Lemtara) using Concept Notes and Funding Proposals, allowing provinces to plan and implement REDD+ activities effectively and transparently.",,,
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+","Multi-partner governance structure|Financial architecture: Regional fund to manage jurisdictional REDD+|Policy strategy|Other: Sustainable commodity development (agriculture)|Monitoring, reporting and verification system|Baseline year Subnational Forest Reference Emission Levels (FREL)|Social and environmental safeguards",Other: Co-funding from development partners|Green Climate Fund (GCF)|Bilateral agreements (ex. between governments),"Our jurisdictional REDD+ program supports Indonesia's FOLU Net Sink 2030 target by reducing deforestation and promoting sustainable commodity production (agriculture). It is implemented through a multi-partner governance structure involving government, civil society, private sector, and local communities, with social and environmental safeguards in place. Emission reductions are tracked through regular MRV using the subnational FREL as a baseline. This program is aligned with the Indonesia Results-Based Payment (RBP) REDD+ for Results Period 2014-2016 Green Climate Fund (GCF) Output 2, which allocates USD 93.4 million nationally and sub-nationally to strengthen forest governance, expand and improve the implementation of social forestry, develop forest management units (KPH), rehabilitate degraded forests and lands, support fire prevention and control, and promote sustainable livelihoods. For provinces, 56.25% of the allocation (USD 52.53 million) is distributed through Ministerial Decree SK.1398/MENLHK/SETJEN/KUM.1/2023 for verified emission reductions, including West Kalimantan as a recipient province. \n\nFinancing is disbursed either directly or through intermediary institutions following approved work plans or concept notes, with project implementation expected to complete before 2030. This funding mechanism ensures that jurisdictional REDD+ actions are results-based, transparent, and contribute to poverty alleviation, social forestry acceleration (Jareng Jebol), adat forest recognition (including sites in Kapuas Hulu), and capacity-building for local champions, aligning provincial efforts with national NDC targets and the Enhanced NDC implementation framework.",,,
2025 Disclosure Cycle,779465,CDP,73112,Region of Uusimaa,States & Regions,Europe,Finland,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ as it is not applicable to us",,,,,,
2025 Disclosure Cycle,779465,CDP,73119,Pastaza,States & Regions,Latin America,Ecuador,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+",Policy strategy,Bilateral agreements (ex. between governments)|Other: Financiamiento concursable,"Aprobación del Plan de implemantación de medidas y acciones REDD+ de la provincia de Pastaza por parte del Ministerio del Ambienta, Agua y Transición Ecológica",,,
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to other higher priorities",,,,,,
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+","Baseline year Subnational Forest Reference Emission Levels (FREL)|Social and environmental safeguards|Multi-partner governance structure|Benefit sharing strategy|Monitoring, reporting and verification system",REDD Early Movers (REM),"O REDD+ jurisdicional é o REDD+ aplicado a uma jurisdição. No âmbito dos mercados de carbono, a jurisdição é a base territorial sobre a qual se estabelecem as metas de redução do desmatamento e os projetos de carbono. Nesta base territorial, um governo tem poder ou competência para estabelecer projetos de carbono. As jurisdições são regularmente consideradas em nível nacional (país) ou subnacional. As jurisdições têm nomes diferentes dependendo do país, por exemplo, em alguns países são chamados de departamentos, em outros são chamados de estados, há alguns que os chamam de províncias. Essas jurisdições têm um governo, geralmente autônomo e com administração própria. Até agora, o REDD+ jurisdicional foi financiado por meio de contratos de “pagamento baseado em resultados” onde o pagamento da jurisdição está ligado a reduções de emissões medidas em relação a uma linha de base de toda a jurisdição. A avaliação da redução é feita em comparação com a quantidade de carbono que foi emitida na jurisdição antes do projeto REDD+. Esses governos podem então usar fundos de REDD+ para manter áreas protegidas, regular a extração de madeira e melhorar o manejo florestal ou evitar que a floresta seja desmatada para dar espaço à agricultura. Alguns financiadores de REDD+ esperam que o dinheiro do REDD+ seja distribuído por meio de Pagamentos por Serviços Ambientais, ou seja, que se dê dinheiro para proprietários de terras que prometem não derrubar áreas florestais, ou pagam agricultores para plantar árvores em vez de plantações, ou recompensam comunidades que desistem de cortar madeira, abrir pasto para animais, ou praticando agricultura itinerante em áreas específicas.",,,
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+","Benefit sharing strategy|Social and environmental safeguards|Policy strategy|Monitoring, reporting and verification system|Multi-partner governance structure",REDD Early Movers (REM),"Atualmente o estado executa a segunda fase do Programa REDD Early Movers (REM MT), beneficiando povos indígenas, povos e comunidades tradicionais, agricultores familiares e assentados da reforma agrária em diversos municípios por todo o estado, além de fortalecer as capacidades institucionais para que o combate ao desmatamento e incêndios florestais seja cada vez mais eficaz. Mais informações sobre a execução do REM MT disponível em https://rem.sema.mt.gov.br/. O estado se prepara para atender os requerimentos do ART/TREES. Visando alcançar a conformidade com o padrão, o estado conta com o apoio técnico da Força Tarefa de Governadores para o Clima e Florestas - GCFTF e do PNUD, que providenciará estudos e dados importantes relacionados ao sistema de moritoramento, reporte e verificação das emissões aos estados. Além disso, conta com uma rede de parceiros que participam da implementação do Sistema de REDD+ de Mato Grosso, através do Fórum Mato-grossense de Mudanças Climáticas e do Conselho Gestor do REDD+ , e de um Grupo de Trabalho para o LEAF (GT LEAF MT) para apoiar na elaboração da Nota de Conceito do estado e também superar as lacunas de conformidade com o ART TREES já identificadas. Os recursos de pagamento por resultados do Programa REDD+ for Early Movers (REM) destinados ao fortalecimento institucional poderão apoiar a implementação de parte do plano de conformidade. O Estado elaborou seu primeiro sumário de informações de salvaguardas em consonância com o Padrão, no intuito de se preparar para atender aos requisitos de salvaguardas. ",,,
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to other higher priorities",,,,,,
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,No we are not currently implementing jurisdictional REDD+ but we are intending to in the next two years,,,,,,
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+","Multi-partner governance structure|Benefit sharing strategy|Other: O Estado está elaborando o Programa de REDD+ Jurisdicional com a participação dos povos indígenas, povos tradicionais, quilombolas, agricultores familiares, e produtores rurais.",Green Climate Fund (GCF)|Carbon market mechanisms,"REDD+ é um incentivo desenvolvido no âmbito da Convenção-Quadro das Nações Unidas sobre Mudança do Clima (UNFCCC) para recompensar financeiramente países em desenvolvimento por seus resultados de Redução de Emissões de gases de efeito estufa provenientes do Desmatamento e da Degradação florestal, considerando o papel da conservação de estoques de carbono florestal, manejo sustentável de florestas e aumento de estoques de carbono florestal (+).O Tocantins será o primeiro estado a apresentar um REDD+ para o bioma Cerrado. O mecanismo representa um marco regulatório capaz de dar ao programa a segurança jurídica necessária. Tal estratégia pode abranger diversos subprogramas e possibilitar a transformação de carbono em ativos financeiros que possam subsidiar atividades de baixo impacto e com salvaguardas sociais.(https://www.to.gov.br/semarh/redd/4axfztcknoi3)",,,
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"Yes, we are currently implementing jurisdictional REDD+","Multi-partner governance structure|Monitoring, reporting and verification system|Benefit sharing strategy|Financial architecture: Regional fund to manage jurisdictional REDD+|Policy strategy",Other: Fundo Estadual do Meio Ambiente,"O Paraná já iniciou a quantificação do estoque e sequestro de carbono em áreas de proteção integral. O projeto-piloto ocorreu no Parque Estadual Rio da Onça e está em andamento nas 38 Unidades de Conservação de gestão Estadual. O inventário mede o carbono da massa vegetal, acima e abaixo do solo e, com base nisso, é feita a projeção de sequestro de carbono. \n\nEstá em andamento o Programa de Pagamentos por Serviços Ambientais, dando continuidade às práticas realizadas pelo Estado, como o Programa de Crédito de Biodiversidade (link: https://www.sedest.pr.gov.br/Pagina/Creditos-de-Biodiversidade), bem com o Programa ICMS Ecológico. O Governo do Estado repassou R$ 316,4 milhões aos municípios paranaenses por meio do ICMS Ecológico no primeiro semestre de 2025. A média é de R$ 52,7 milhões por mês. O valor representa um acréscimo de 7,2% em relação ao mesmo período do ano passado (R$ 294,9 milhões). O programa, estabelecido na década de 1990, é uma forma de compensar os municípios que abrigam áreas protegidas em duas modalidades: o ICMS Ecológico por Biodiversidade e o ICMS Ecológico por Mananciais, que repassaram cada um a metade do valor (R$ 158,2 milhões). (link: https://www.comunicacao.pr.gov.br/noticias/aen/2511f78a-d0e5-4d73-a3d3-f0ef95cbb68f ). ",,,
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ as it is not applicable to us",,,,,,
2025 Disclosure Cycle,779465,CDP,73186,Minas Gerais,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,No we are not currently implementing jurisdictional REDD+ but we are intending to in the next two years,,,,,,
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to other higher priorities",,,,,,
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to a reason not listed above: No se ha valorado la posibilidad. Sin embargo, se recuperan las visiones y objetivos REDD+ en la implementación de estrategias sobre desarrollo forestal.",,,,,,
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,No we are not currently implementing jurisdictional REDD+ but we are intending to in the next two years,,,,,,
2025 Disclosure Cycle,779465,CDP,833240,Sergipe,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,No we are not currently implementing jurisdictional REDD+ but we are intending to in the next two years,,,,,,
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,No we are not currently implementing jurisdictional REDD+ but we are intending to in the next two years,,,,,,
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,"No, we are not implementing jurisdictional REDD+ and are not intending to due to a lack of resources",,,,,,
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.7,Indicate your state/region's implementation of REDD+ and provide details.,1,Response,No we are not currently implementing jurisdictional REDD+ but we are intending to in the next two years,,,,,,
