disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Deforestation/forest degradation is an issue for the region,col2_Current drivers of deforestation and/or forest degradation,col3_Total current annual deforestation rate (%),col4_Comments
2025 Disclosure Cycle,779465,CDP,72895,Wales,States & Regions,UKWW,United Kingdom,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Infrastructure|Mining,0.008,"The figure given is the total woodland loss within the observation period 2016/17 within the natural forest area in Wales. As only ancient woodland (excluding PAWS) was examined owing to resource/timescale issues, this figure is very small. If other woodland types that could come under the definition of “natural forest” such as native woodlands (including planted or regenerated) were also included, this figure could be higher. However Wales does have a number of jurisdictional approaches in place to minimise habitat loss such as this.No separation of cause is entered here as the amount is so small."
2025 Disclosure Cycle,779465,CDP,72901,State of California,States & Regions,North America,United States of America,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,"Unsustainable logging|Infrastructure|Large-scale agriculture|Fires|Small-scale agriculture|Other: Climate Change, Pests and Disease, Fire Suppression, Urban/Suburban Development",0.17,"California's forests, wildlands and adjacent communities have seen significant impacts associated with climate change over the past eight years, including the largest and deadliest fires in the history of the state, an increase in the size of high severity patches within large fires, and unprecedented tree mortality. Most California forest types evolved with relatively frequent, typically low-intensity fire as an ecosystem process that provided forest resilience and renewal. Loss of traditional Native American fire use practices coupled with the introduction of fire suppression policies in the early 20th century has greatly reduced the role of fire in the natural ecological process, which, coupled with a significant reduction of mechanical management tools, has resulted in overstocked and unhealthy forest conditions prone to disease and severe wildfires. Catastrophic wildfire and tree mortality, among other threats, threaten accelerating loss of infrastructure, life, habitat, property and to make permanent post-fire conversion of forest to other land types such as grassland or chaparral. In addition to this, expansion and encroachment of human settlements and infrastructure continue to impact forested systems around the state. The annual deforestation rate was calculated using changes from 2007 to 2017."
2025 Disclosure Cycle,779465,CDP,72920,Autonomous Community of Galicia,States & Regions,Europe,Spain,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Fires,,"No disponemos de datos de la tasa de deforestación anual. \nEn 2024 la superficie total quemada fue de 2.644,70 hectáreas. \n\nFuente: https://www.ige.gal/igebdt/esq.jsp?c=0101001002&ruta=verTabla.jsp?COD=3726&R=1[2024];2[n0]&C=0[3]&OP=1"
2025 Disclosure Cycle,779465,CDP,72924,Autonomous Community of Navarre,States & Regions,Europe,Spain,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Fires,,"Se ha comprobado una tendencia al alza de la superficie quemada en Navarra en los últimos años. Entre 1987 y 2023, la superficie quemada por incendios forestales ha sido de 49.317 ha, siendo muy importante en caso de 2022, con 17.394,2 ha, un año de temperaturas muy elevadas, con olas de calor largas e intensas, y con mucho déficit hídrico e incluso sequía. \n\nEn si la deforestación no es un problema, pero si la producción y efectos de los incendios. \n\nEn Gobierno de Navarra existe una unidad especifica para tratar los incendios: Negociado de Prevención de Incendios, y otro de Restauración Forestal. "
2025 Disclosure Cycle,779465,CDP,72926,Autonomous Community of the Basque Country,States & Regions,Europe,Spain,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,No,,,"Se mantiene constantemente la proporción de 48% bosque natural y 52% de plantación con variaciones de 1% entre años desde el 2017, los datos de el último año (2024) reportan 192,661.24 ha de bosque natural y 203,342.01 ha de bosque de plantación, manteniendo la proporción antes enunciada. Podría representar un problema de deforestación del bosque natural si se perdiera ese balance y el porcentaje de bosque de plantación se disparara. Los datos anuales de donde se obtuvo esta conclusión se pueden revisar abiertamente en el link: https://www.euskadi.eus/mapa-forestal-cae-2024/web01-a3estbin/es/"
2025 Disclosure Cycle,779465,CDP,72927,Autonomous Community of Catalonia,States & Regions,Europe,Spain,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Mining|Other: Solve the lack of forest management|Fires,,"La superficie forestal en Cataluña ha aumentado mucho en los últimos años (130.000 hectáreas): en 2023 fue el 63,6% de la superficie total. No se han producido grandes pérdidas asociadas a los incendios forestales (unas 15.000 hectáreas de bosque fueron quemadas en los últimos 10 años (2012-2022) o cualquier otra perturbación. El aumento de la superficie forestal se debe al abandono de cultivos y a la falta de gestión forestal y crecimiento del sotobosque."
2025 Disclosure Cycle,779465,CDP,72928,Autonomous Community of Cantabria,States & Regions,Europe,Spain,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Fires|Other: ,,"Causantes de la deforestación: incendios, enfermedades, plagas, abandono de la selvicultura."
2025 Disclosure Cycle,779465,CDP,72930,KwaZulu-Natal,States & Regions,UKWW,South Africa,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Large-scale agriculture|Mining|Infrastructure|Fires|Small-scale agriculture,0,Data on the percentage annual deforestation rate is not available
2025 Disclosure Cycle,779465,CDP,72932,Western Cape,States & Regions,UKWW,South Africa,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,No,,,"Unlike tropical regions where deforestation is a major driver of environmental loss, the Western Cape's challenge is less about large-scale clearing of forests and more about the degradation of its unique ecosystems. The province has only small patches of indigenous forest, which are largely protected, but faces significant pressures from the conversion of fynbos and renosterveld into agriculture and urban development. These globally important habitats are also threatened by invasive alien species, frequent wildfires, and the impacts of climate change. As a result, the Western Cape's biodiversity crisis is characterised not by deforestation, but by widespread habitat loss and ecosystem transformation, which are equally critical for long-term resilience."
2025 Disclosure Cycle,779465,CDP,72953,Autonomous Region of the Azores,States & Regions,Europe,Portugal,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,No,,,"According to the Forest Inventory of the Autonomous Region of the Azores (2007), forest spaces occupy around 31% of its land surface, and large-scale deforestation occurred in the past for human colonization and the creation of agricultural fields and pastures. Currently, licensed forested land use change represents around 0.28% of the total area of forest spaces per year. Although deforestation is not currently a problem, it is considered a threat due to urban pressures or investments in other uses."
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Fires,1,"A região tem vindo a acompanhar os fatores que influenciam a dinâmica florestal, com especial atenção à ocorrência de incêndios, enquanto fenómeno com impacto significativo na cobertura vegetal. A monitorização contínua destes eventos, bem como a análise das suas causas e padrões de recorrência, tem permitido reforçar a capacidade de planeamento e resposta. Esta abordagem contribui para o estabelecimento de prioridades estratégicas em matéria de gestão florestal, nomeadamente na prevenção, mitigação e recuperação de áreas afetadas."
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Charcoal and fuelwood production|Unsustainable logging|Fires|Large-scale agriculture|Small-scale agriculture,2.9,"In Nigeria the rate of deforestation is estimated to have increased from 2.7 percent for 1990-2000 to 4.0 percent for 2005-2010 (FAO 2010). In CRS the net forest loss over two 7 year periods (2000-2007 and 2007-2014) are 39,907 and 167,382 hectares with annual rate of deforestation of 0.67% and 2.95% respectively (NASRDA-FAO 2015). "
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Other: Aprovechamiento forestal secundario e ilegal. Expansión de la infraestructura eléctrica y carretera.|Fires|Hydroelectric power|Mining|Large-scale agriculture,51,"0.51% \nLa estimación de deforestación bruta en el Estado consistió en la evaluación de 6,471 parcelas de muestreo, de las cuales, 489 presentaron deforestación en el periodo 2001-2018 (CONAFOR, 2020). Por lo que anualmente se deforestan 22,805 hectáreas/año (CONAFOR, 2020).\n\nAl solo contar con las hectáreas por año deforestadas de acuerdo con la Comisión Nacional Forestal (CONAFOR) 2020, para obtener el dato porcentual de la tasa de deforestación anual total, se obtuvo de acuerdo a una regla de tres el porcentaje que aquí se incluye.\n"
2025 Disclosure Cycle,779465,CDP,73014,Quintana Roo,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Large-scale agriculture|Infrastructure|Fires,0.35,"Los incendios, el crecimiento de poblacional y la agricultura son las principales causas de deforestación en el Estado."
2025 Disclosure Cycle,779465,CDP,73018,Aguascalientes,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Small-scale agriculture|Forest plantations|Other: Actividades humanas y pastoreo,0.9,Sin comentarios
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Charcoal and fuelwood production|Large-scale agriculture|Fires|Small-scale agriculture|Other: Infraestructura de carreteras Expansión ganadera,0.16,"Valor calculado a partir del cociente del área total desforestada en 2023 entre el último dato actualizado de cobertura forestal en la región (2020) de acuerdo a datos del Sistema Nacional de Monitoreo Forestal (CONAFOR):\nEn el estado de YUCATAN, de 2001 a 2018 se deforestaron 240,620 hectareas, equivalente a 13,368 ha/año de tierras deforestadas.\nEn el último año 2023 se deforestaron\n4,440 ha.\nFuente: CONAFOR, consultado en https://snmf.cnf.gob.mx/deforestacion/\nSuperficie forestal: 28,371.293198 km2\nConjunto de datos espaciales de localización de la cobertura del suelo del año 2020 versión 1.1 para el estado de\nYucatán.\nFuente: CONAFOR, enero 2024. Mapa de Cobertura del Suelo del Estado de Yucatán al año base 2020 versión 1.1. México:\nComisión Nacional Forestal\nhttps://snmf.cnf.gob.mx/cobertura-del-suelo/\nMetodología: Sistema Satelital de Monitoreo Forestal (SAMOF). Enfoque de mapeo pared a pared (Wall-to-wall)\n\n"
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,"Other: Conversión a terrenos forestales para agricultura de alto valor comercial: Aguacate, berries y agave, Practicas de manejo forestal inadecuadas.|Fires|Charcoal and fuelwood production|Hydroelectric power|Unsustainable logging|Infrastructure|Large-scale agriculture|Small-scale agriculture|Mining",,"Las principales causas de la deforestación son: Ganadería extensiva con uso de pastizales inducidos cultivados y agostaderos cerriles. Conversión a terrenos agrícolas para agricultura de renta. Crecimiento urbano por el desarrollo turístico. Degradación: Extracción ilegal de madera para combustible (leña), postes y otros usos locales. Prácticas de manejo forestal inadecuadas. Plagas y enfermedades forestales. Ganadería extensiva y sobrepastoreo. Extracción ilegal de madera y cultivos ilegales. Incendios forestales frecuentes. No se tiene cuantificada la tasa o superficie de deforestación por actividad. 24,000 hectáreas deforestadas del 2014 al 2016(RN-SEMADET)"
2025 Disclosure Cycle,779465,CDP,73025,Tabasco,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Unsustainable logging|Small-scale agriculture,1.0,no dato
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Infrastructure|Small-scale agriculture|Forest plantations|Unsustainable logging|Fires|Charcoal and fuelwood production,14.23,
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Small-scale agriculture|Mining|Charcoal and fuelwood production|Unsustainable logging|Large-scale agriculture|Forest plantations|Fires,0.41,The 2019-2020 FCPF-CF measurement results show a significant reduction in deforestation
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Mining|Unsustainable logging|Large-scale agriculture|Forest plantations|Small-scale agriculture,38.01,"The total deforestation of natural forest on 2013 to 2018 is 655,179 ha. The forestry sector contribution is 202,038 ha or 30.84%, Large-scale agriculture contribution to deforestation is 249, 060 ha or 38.01%, Mining contribution is 59,116 ha or 9.02% and unsustainable logging or unidentified activity) contribution is 144,965 ha or 22.1%."
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Other: Extreme events (drought) 2018/2019,1.4,"https://landesregierung.hessen.de/sites/hessen.hessen.de/files/2024-11/waldzustandsbericht_2024.pdf\nhttps://www.hessen-forst.de/presse-und-meldungen/klimakrise-schadet-hessens-waeldern?\nThe annual mortality rate (all trees, all ages), an important indicator of vitality risks, has risen to 1.4 percent. It is three times higher than the long-term average (0.5 percent)."
2025 Disclosure Cycle,779465,CDP,73112,Region of Uusimaa,States & Regions,Europe,Finland,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,No,,,
2025 Disclosure Cycle,779465,CDP,73119,Pastaza,States & Regions,Latin America,Ecuador,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Unsustainable logging,1.0,"Diagnostico biofisico realizado el 2019, con la información del Ministerio del Ambiente y Agua que es el ente rector en el Ecuador para el tema ambiental."
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,No,,,No comments
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Small-scale agriculture|Unsustainable logging,7.25,Source: PRODES
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Fires|Unsustainable logging|Small-scale agriculture|Mining|Large-scale agriculture,31.24," A taxa de desmatamento foi de 1.257 km² em 2024, representando um decréscimo de 791 km² (38,63%) em relação a 2023 (2.048 km²). (TerraBrasilis/INPE, acesso em <https://terrabrasilis.dpi.inpe.br/app/dashboard/deforestation/biomes/legal_amazon/rates>)"
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Unsustainable logging|Small-scale agriculture|Large-scale agriculture|Charcoal and fuelwood production|Other: Ocupação irregular|Mining|Infrastructure|Hydroelectric power|Fires|Forest plantations,0.22,"Conforme dados da plataforma MapBiomas, houve uma redução da área ocupada por formações florestais de 207.367 ha entre 2010 e 2020. O Governo do Estado de Pernambuco juntamente com os demais estados do Nordeste (Consórcio Nordeste) fecharam um acordo no dia 05 de junho de 2021 com o MapBiomas para utilizar esta ferramenta para aprimorar o monitoramento florestal do estado, incluindo sistema de alerta de desmatamento ilegal."
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Charcoal and fuelwood production|Infrastructure|Mining|Unsustainable logging|Small-scale agriculture|Fires,0.06,"A partir do período de 1990/92 iniciou-se a série de mapeamentos realizados pelo Instituto Florestal por meio do projeto Inventário Florestal, mostrando a evolução da cobertura vegetal nativa no Estado sendo:\n1971/73 :17,7%\n1990/92 :13,5%\n2000 :13,9%\n2010 :17,5%\n2020: 22,9 % \nQuanto ao desmatamento atual: \nEm 2017 = 3.321,75 ha/ 33 km²\nEm 2018 = 1.596,85 ha/16 Km²\nEm 2019= 1.206,83/12Km²\nhttps://smastr16.blob.core.windows.net/home/2020/07/apresentacao-lancamento-inventario-florestal-2020.pdf"
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Large-scale agriculture|Small-scale agriculture|Fires,9.6,"Dados de desmatamento do Cerrado: Redução de 21,8%\nDados de desmatamento do Bioma Amazônico: redução de 46,3%.\nComparação de dados de 2024 e 2025."
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Fires|Unsustainable logging|Forest plantations|Charcoal and fuelwood production|Mining,0,"Paraná reduz em 64% o desmatamento ilegal, indica Fundação SOS Mata Atlântica\nDe acordo com o relatório divulgado na segunda-feira (12), o desmatamento ilegal da Mata Atlântica passou de 633 hectares em 2023 para 226 hectares em 2024. Diminuição equivale a aproximadamente 420 campos de futebol. Paraná obteve o terceiro melhor resultado do País no período.\n\nhttps://www.parana.pr.gov.br/aen/Noticia/Parana-reduz-em-64-o-desmatamento-ilegal-indica-Fundacao-SOS-Mata-Atlantica#:~:text=S%C3%A9ries%20Especiais-,Paran%C3%A1%20reduz%20em%2064%25%20o%20desmatamento%20ilegal%2C%20indica%20Funda%C3%A7%C3%A3o%20SOS,aproximadamente%20420%20campos%20de%20futebol.\n\nDados consolidados dos alertas de desmatamento validados pelo MapBiomas nos estados e no Brasil em 2025 que cruzam com ações de fiscalização dos órgãos federais (Ibama e ICMBio) e estaduais. \nDisponíveis em: https://plataforma.alerta.mapbiomas.org/mapa?monthRange[0]=2019-01&monthRange[1]=2025-06&sources[0]=All&territoryType=state&territoryIds[0]=18407&authorization=all&embargoed=all&locationType=alert_code&activeBaseMap=2&map=-24.685727%2C-51.328171%2C7\nCálculo: Taxa (%) = (Área desmatada / Área total) × 100\nTaxa (%) = (196,68 / 5.900.500) × 100 ≈ 0,00333%\nO campo \'Taxa total de desmatamento anual atual\' não aceita 0,00333%\n\n"
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Large-scale agriculture|Fires|Small-scale agriculture|Unsustainable logging,2.15,"REVISAR\nRecentemente, o Rio de Janeiro entrou na lista dos estados com \'desmatamento zero\' (estados com taxas de desmatamento abaixo de 1km²) - nossa taxa de desmatamento atual (2014-2015) é de 0,27 km². "
2025 Disclosure Cycle,779465,CDP,73186,Minas Gerais,States & Regions,Latin America,Brazil,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,Yes,Charcoal and fuelwood production|Small-scale agriculture|Other: Pastagem.|Large-scale agriculture|Mining,0.04,"Sim. O desmatamento ilegal traz problemas referentes à perda de habitats, comprometimento dos recursos hídricos, conservação do solo e de mudanças climáticas. Assim, o Estado vem adotando ações de combate ao desmatamento, por meio do monitoramento contínuo da cobertura vegetal, que fornece dados para realização de operações de fiscalização, além de programas de restauração da cobertura vegetal."
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q10.2,Is deforestation and/or forest degradation currently an issue for your region?,1,Information about deforestation and/or forest degradation within your region,No,,,"The state's forest and wood processing industries are entirely plantation-based. Importantly, there is no harvesting of native forests in South Australia as the Native Vegetation Act 1991 protects them."
