disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73112,Region of Uusimaa,States & Regions,Europe,Finland,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,"Other: Some risks of degradation exist due to global warming, but these can not be said to be significant."
2025 Disclosure Cycle,779465,CDP,73119,Pastaza,States & Regions,Latin America,Ecuador,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73180,Pernambuco,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73182,Sao Paulo State,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,"Other: No, please specify why"
2025 Disclosure Cycle,779465,CDP,73183,Tocantins,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73184,Parana,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73185,Rio de Janeiro State,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73186,Minas Gerais,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,73198,South Australia,States & Regions,South East Asia & Oceania,Australia,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,"Other: No, please specify why"
2025 Disclosure Cycle,779465,CDP,831388,Colima,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,831391,Queretaro,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,833240,Sergipe,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,833241,Rio Grande do Norte,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,833242,Guanajuato,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,833243,Nuevo León,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,833263,North Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,833265,Papua,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,835965,West Papua Province,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,848149,Mato Grosso do Sul,States & Regions,Latin America,Brazil,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,848300,Aceh,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,848301,Central Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,848527,Sinaloa,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,884371,Nayarit,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,884372,Tlaxcala,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,906800,Federal District,States & Regions,Latin America,Mexico,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
2025 Disclosure Cycle,779465,CDP,908451,Klaipėda County,States & Regions,Europe,Lithuania,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Do not know
2025 Disclosure Cycle,779465,CDP,2045619,Nonthaburi Province,States & Regions,South East Asia & Oceania,Thailand,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Other: Because Nonthaburi has no forests
2025 Disclosure Cycle,779465,CDP,2045832,Yasothon Province,States & Regions,South East Asia & Oceania,Thailand,Public,Q10.11,Do current and/or anticipated impacts of deforestation and/or forest degradation present significant risks to your region?,,,Yes
