disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Impacts,col2_Forests-related issue causing the impact,col3_Driver causing the impact,col4_Anticipated timescale,col5_Impact seriousness,col6_Impact description,col7_Primary action taken,col8_Status of action,col9_Action description
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,4,Row 4,Loss of forest products and services,Conversion of natural habitats|Forest degradation|Deforestation,Infrastructure|Fires|Large-scale agriculture,Short-term,Serious,"La deforestación y degradación forestal en Andalucía afectan los servicios y productos forestales reduciendo la biodiversidad, exacerbando la erosión del suelo y la desertificación, aumentando la vulnerabilidad a inundaciones y deslizamientos, y afectando el ciclo hídrico. Esto se traduce en pérdida de hábitats, disminución de la capacidad de captura de carbono, y alteración del ecosistema que perjudica la recolección de productos como la madera, corcho, setas y biomasa, y la prestación de servicios ecosistémicos como la regulación del agua y la provisión de servicios recreativos. ",Enforcing forest policies and regulations,Operation,"Cabe destacar el Programa Anual de Aprovechamientos Forestales donde se relacionan, y describen ordenadamente los recursos forestales susceptibles de comenzar a ser aprovechados en un monte durante el periodo anual correspondiente o el Plan Forestal Andaluz Horizonte 2030 "
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,5,Row 5,Biodiversity loss,Forest degradation|Deforestation|Conversion of natural habitats,Fires|Large-scale agriculture|Infrastructure,Short-term,Serious,"La deforestación y degradación forestal en Andalucía provocan una pérdida de biodiversidad al destruir hábitats, reducir la conectividad entre poblaciones de especies, y disminuir la resiliencia de los ecosistemas. Esto se manifiesta en la extinción de especies, el empobrecimiento del suelo por erosión, la alteración de los ciclos hídricos, y una mayor vulnerabilidad a los incendios y a la introducción de plagas o enfermedades",Enforcing forest policies and regulations,Operation,"La Junta de Andalucía promueve la restauración de áreas forestales deterioradas buscando recuperar la biodiversidad y mejorar la funcionalidad ecológica de los ecosistemas forestales. Las principales restauraciones se centrarán en entornos incendiadas además de ecosistemas forestales degradados, sistemas hidrológicos-forestales, humedales y de ribera.\nIgualmente existen iniciativas orientadas a la producción de plantas autóctonas destacando el vivero de San Jerónimo (Sevilla), con la producción anual de más de medio millón de árboles al año.\nExiste también en Andalucía Programa para el desarrollo de actuaciones de conservación y recuperación de los bosques isla en Andalucía que genera un inventario y caracterización de los bosques isla y setos en Andalucía."
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,6,Row 6,Introduction of invasive species,Other: Alteración de paisajes|Forest degradation,,Short-term,Serious,"Los problemas relacionados con especies invasoras en los bosques de Andalucía incluyen la pérdida de biodiversidad, la degradación del ecosistema y la alteración del paisaje, que son generados por la competencia con especies nativas y la introducción de especies que alteran el equilibrio ecológico",Enforcing forest policies and regulations,Operation,"Para gestionar esta amenaza, la Junta de Andalucía ha implementado el Plan Andaluz para el Control de las Especies Exóticas Invasoras, centrado en la prevención, la actuación sobre el terreno y la sensibilización ciudadana. "
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,7,Row 7,Change in forest structure and composition,Forest degradation|Deforestation,Large-scale agriculture|Fires|Infrastructure,Short-term,Serious,"Los cambios en la composición de los bosques de Andalucía debido al cambio climático generan problemas como un mayor riesgo de incendios, sequías e infestaciones de plagas, así como la alteración de los ciclos de crecimiento de las especies y la modificación de los ecosistemas forestales. ",Enforcing forest policies and regulations,Operation,"La Red Seda de la Junta de Andalucía nos permite evaluar de forma sistemática el estado de los ecosistemas forestales. La red está compuesta por más de 400 de parcelas de observación distribuidas de forma sistemática sobre una malla de 8x8 kilómetros que abarca toda Andalucía, ubicadas exclusivamente en formaciones forestales consolidadas. Cada parcela se convierte en un laboratorio natural donde se analiza el vigor y la vitalidad de los árboles de forma anual, sin interrupciones."
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,8,Row 8,Habitat loss and wildlife displacement,Forest degradation,Large-scale agriculture|Fires|Infrastructure,Short-term,Serious,"Los cambios en los bosques de Andalucía debido a factores como el cambio climático y la expansión de especies exóticas invasoras están provocando la pérdida y fragmentación de hábitats, lo que a su vez desplaza y amenaza a la fauna local. Esto se traduce en una pérdida de biodiversidad, una alteración de las redes tróficas y, en última instancia, pone en riesgo la supervivencia de especies nativas, que se ven obligadas a adaptarse a nuevas condiciones o desaparecer. ",Enforcing forest policies and regulations,Operation,"La Junta de Andalucía implementa una nueva gestión forestal para la conservación de la biodiversidad, mediante proyectos como el LIFE CO2RK, y promueve la mejora de hábitats amenazados, incluyendo la gestión de bosques isla para aumentar la conectividad y la biodiversidad. Estas actuaciones buscan mitigar la pérdida de hábitats y el desplazamiento de fauna en los bosques andaluces afectados por el cambio en su composición. "
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,9,Row 9,Habitat fragmentation,Deforestation|Forest degradation,Large-scale agriculture|Infrastructure|Fires,Short-term,Serious,"La fragmentación de hábitats causada por cambios en la composición de los bosques en Andalucía, a menudo promovida por desarrollos humanos como infraestructuras y embalses, impacta negativamente la biodiversidad al reducir el tamaño y la conectividad de las áreas boscosas, lo que dificulta el movimiento de especies y altera los procesos ecológicos y el microclima, afectando así a las poblaciones de flora y fauna",Adoption of reforestation strategies,Operation,"La Junta de Andalucía aborda la fragmentación del hábitat forestal mediante acciones de mejora de hábitats, la conservación de especies amenazadas como los pinsapos, la promoción de la conectividad a través de la restauración ecológica y la creación de corredores verdes, y el desarrollo de una gestión forestal sostenible que tiene en cuenta la biodiversidad y el papel de los bosques como sumideros de carbono.\nCabe destacar el Plan director para la mejora de la conectividad ecológica en Andalucía o el Plan Forestal Andaluz Horizonte 2030 aborda explícitamente la fragmentación de hábitats como un desafío clave para la biodiversidad en Andalucía"
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,10,Row 10,Increased soil erosion,Forest degradation|Deforestation|Conversion of natural habitats,Infrastructure|Fires|Large-scale agriculture,Short-term,Serious,"La erosión del suelo en Andalucía, agravada por los cambios en la composición forestal (como la deforestación o la degradación por especies invasoras), resulta en la pérdida de la capa superficial fértil del suelo, lo que disminuye su fertilidad y productividad, pudiendo llevar a la desertificación y a problemas de inundaciones y sedimentación en cauces y embalses",Adoption of reforestation strategies,Operation,"Para reducir la erosión del suelo causada por los cambios en la composición de los bosques andaluces, se deben implementar actuaciones como la restauración hidrológico-forestal. También se deben construir obras de control de la escorrentía y retención de sedimentos en cauces y laderas, como diques, albarradas y fajinas. \nPara ello contamos con estrategias como el Plan Forestal Andaluz Horizonte 2030 que establece directrices para la restauración de terrenos forestales y la lucha contra la erosión y la desertificación, la Estrategia Andaluza de Desarrollo Sostenible 2030 que incluye objetivos para la conservación del suelo y la lucha contra la desertificación o el Plan Andaluz de Control de la Desertificación que realiza un diagnóstico de las principales causas de la desertificación y propone un conjunto de actuaciones para frenar este proceso.\nIgualmente, la Junta de Andalucía desarrolló el Plan andaluz contra la desertificación como base para el establecimiento de un programa de actuaciones específicas sobre el territorio que inviertan la tendencia actual y logren detener el proceso de desertificación que sufre nuestra Comunidad."
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,11,Row 11,Increased wildfires,Deforestation|Forest degradation,Fires,Short-term,Extremely serious,"La degradación forestal y la deforestación en Andalucía aumentan el riesgo y la intensidad de los incendios forestales, especialmente cuando se combinan con fenómenos de cambio climático. Los problemas que se derivan incluyen: mayor acumulación de combustible, pérdida de suelo, alteración de ecosistemas con especies sensibles al fuego y la creación de \'matas\' de vegetación de alto riesgo en terrenos agrícolas abandonados que arden con facilidad y amenazan los bosques cercanos. ",Adoption of reforestation strategies,Operation,"Las principales actuaciones en Andalucía ante el aumento de incendios forestales por degradación o deforestación incluyen el Plan INFOCA para la prevención y extinción, planes de restauración post-incendio con obras de corrección de erosión y mejora de hábitat, planes de autoprotección municipales, y acciones de concienciación y educación ambiental para reducir negligencias humanas. Destacar también el plan forestal de Andalucía Horizonte 2030 que integra la gestión de los incendios forestales como parte de una estrategia más amplia que incluye la prevención de la desertificación, la restauración de ecosistemas, la mitigación y adaptación al cambio climático, y la conservación de la biodiversidad"
2025 Disclosure Cycle,779465,CDP,72923,Autonomous Community of Andalusia,States & Regions,Europe,Spain,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,12,Row 12,Biodiversity loss,Forest degradation|Deforestation|Conversion of natural habitats,Fires|Large-scale agriculture|Infrastructure,Short-term,Serious,"La desaparición de hábitats naturales afecta a numerosas especies endémicas y de interés ecológico. La reducción de la cobertura forestal limita los recursos disponibles para la fauna y flora autóctonas, comprometiendo la biodiversidad regional.",Adoption of reforestation strategies,Operation,El Plan Forestal de Andalucía Horizonte 2030 establece directrices para la gestión sostenible de los montes andaluces hasta el año 2030. Uno de sus objetivos es reducir la deforestación y la degradación de los bosques mediante la adopción de prácticas de ordenación forestal sostenible.\nIgualmente para luchar con la pérdida de la biodiversidad se crean proyectos LIFE como los LIFE Conhabit
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Loss of carbon sinks,Forest degradation|Deforestation,Fires|Large-scale agriculture,Current,Serious,"A série de dados disponível no sistema de monitoramento do Cerrado Terra Brasilis apresenta a perda de 49.033 km² de vegetação nativa em Goiás, entre 2001 e 2023, o que representa 15,75% do desmatamento total do bioma no mesmo período e 14,41% da área do Estado.",Enforcing forest policies and regulations,Complete,"No início de 2019 existia um passivo de mais de 3.000 (três mil) processos de demandas para fiscalização pendentes de atendimento. A sistematização e qualificação desses processos, aliado a mudanças de estratégias permitiram que nos anos de 2020 e 2022 o número de processos para atendimento de fiscalização seja em média de 800 (oitocentos) de forma rotativa. Em relação às ações de fiscalização in loco, observa-se que a demanda se restringe basicamente ao atendimento de demandas do Ministério Público do Estado e da sociedade em feral registradas na Ouvidoria da Secretaria. A mudança de estratégia consiste me realizar ações de fiscalização remotas para coibir o desmatamento e a degradação florestal, operações de fiscalização com alvos específicos e em parceria com instituições de segurança pública do Estado (DEMA, Batalhão Ambiental da Polícia Militar e GT3) e de Meio Ambiente do Governo Federal (ICMBio e IBAMA), além da utilização de aeronaves remotamente pilotadas. Essa ação foi iniciada no segundo semestre de 2020. As fiscalizações remotas são realizadas utilizando-se de alertas de desmatamento disponibilizados pelo INPE/DETER e pelo MapBiomas. Os alertas são aferidos a partir do confronto entre as imagens de satélites obtidas gratuitamente e dos vetores disponibilizados no SIGA. As operações de fiscalização se fazem valer ainda de novas tecnologias e capacitações, como por exemplo a utilização de aeronaves remotamente pilotadas e de aplicação para registro e sistematização de denúncias ambientais, bem como a lavratura e acompanhamento de autos de infração e demais procedimentos administrativos de maneira eletrônica. Quando consideradas as autuações remotas mais as presenciais relacionadas à desmatamento ilegal, verifica-se um salto de aproximadamente 6.800 hectares autuados em 2019 para 46.000 hectares autuados em 2022. Com isso, nos anos de 2021 e 2022 o total de área autuada por desmatamento foi superior ao total de alertas de desmatamento do MapBiomas. Essas ações contribuíram significativamente para a redução do desmatamento no Estado de Goiás. Segundo dados do MapBiomas, o Estado apresentou um decrescimento de 30% no desmatamento total entre 2019 e 2020. No período entre 2019 e 2021, o saldo houve um decrescimento de aproximadamente 6% do desmatamento em Goiás. "
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Increased greenhouse gas emissions,Conversion of natural habitats|Forest degradation|Deforestation,Fires|Large-scale agriculture,Current,Serious,"Em 2022, o setor de MUTF representou 18,9% das emissões (18,5 Mt CO2e), com uma remoção de 8,56 Mt CO2e. Está sendo desenvolvido um Plano de Ação para o setor. ",Encouraging integrated land-use planning and management,Implementation,"A implementação do Plano de Prevenção e Controle do Desmatamento, Queimadas e Incêndios Florestais - PPCDQIF (2024-2028) é composto de políticas e medidas voltadas para vetores identificados, nas áreas de monitoramento e controle ambiental, atividades produtivas sustentáveis, ordenamento territorial e regularização fundiária, instrumentos econômicos e normativos. "
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,3,Row 3,Increased wildfires,Conversion of natural habitats|Forest degradation,Fires|Large-scale agriculture,Current,Extremely serious,"O padrão de incêndios tem se modificado a partir da presença humana no bioma, criando um padrão de incêndios mais frequentes no período de estiagem e de maior severidade. Em Goiás, nota-se o aumento gradual de área queimada a partir de junho, culminando no pico de incidência em setembro",Encouraging integrated land-use planning and management,Pre-implementation,"Está em desenvolvimento a Política de Manejo Integrado do Fogo, com o objetivo de disciplinar e promover a articulação interinstitucional relativa ao manejo integrado do fogo, à redução da incidência e dos danos dos incêndios florestais; e, ao reconhecimento do papel ecológico do fogo nos ecossistemas e ao respeito aos saberes e às práticas de uso tradicional do fogo."
2025 Disclosure Cycle,779465,CDP,73171,Goias,States & Regions,Latin America,Brazil,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,4,Row 4,Disruptions in the water cycle,Deforestation|Forest degradation|Conversion of natural habitats,Large-scale agriculture,Current,Serious,"Em razão da mudança do clima e do desmatamento, observa-se a redução de disponibilidade hídrica em cenários avaliados (2% a 70%). Mananciais podem apresentar reduções de disponibilidade superiores a 15% em curto prazo (até 2040). Precipitação: os resultados mostram redução de totais médios precipitados em todos os cenários avaliados (2% a 8%);\n",Adoption of reforestation strategies,Implementation,"O Programa Juntos pelo Araguaia (JPA) tem como objetivo restaurar 50 km² de terras degradadas na bacia do Rio Araguaia, em Goiás, promovendo a restauração da vegetação, práticas de conservação do solo e da água, e fomentando uma mudança cultural entre os produtores rurais, com o apoio de instituições implementadoras credenciadas. Identificam-se seis projetos do Programa Produtor de Águas da Agência Nacional de Águas no Estado, em diferentes estágios de implementação. Nesse caso, o PSA pode valorizar o trabalho dos produtores rurais e comunidades locais ao garantir a adequada manutenção das práticas conservacionistas, assim como pela restauração de áreas degradadas."
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,1,Row 1,Increased greenhouse gas emissions,Deforestation,Small-scale agriculture|Forest plantations|Unsustainable logging|Fires,Current,Serious,,,,
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,2,Row 2,Biodiversity loss,Deforestation|Conversion of natural habitats,Forest plantations|Fires|Small-scale agriculture|Unsustainable logging,Current,Extremely serious,,,,
2025 Disclosure Cycle,779465,CDP,74215,Misiones,States & Regions,Latin America,Argentina,Public,Q10.11.1,Please provide details of the deforestation and/or forest degradation impacts as well as the primary action taken by your region.,3,Row 3,Increased soil erosion,Deforestation,Unsustainable logging,Current,Serious,"La topografía de Misiones es muy variada: predominan las sierras onduladas y suelos con pendientes pronunciadas, especialmente en el centro y norte de la provincia (Sierra Central, Sierra de San Pedro, Sierra de Misiones). Estas condiciones naturales favorecen el escurrimiento rápido del agua, lo que, combinado con la deforestación, aumenta la erosión.\n\nEl suelo misionero pertenece mayormente al tipo Laterítico o Rojo Misionero, derivado de basaltos del período Cretácico. Es rico en hierro y aluminio, muy fértil cuando tiene cobertura vegetal, pero extremadamente vulnerable a la erosión hídrica cuando se elimina la selva que lo protege.",,,
